MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
^VNINDEX,9/26/2002,183.7,183.7,183.7,183.7,123050,0,0,181.7,2.01,1.11,0,0,0
^VNINDEX,9/27/2002,182.6,182.6,182.6,182.6,122600,0,0,183.7,-1.05,-0.57,0,0,0
^VNINDEX,9/30/2002,182.1,182.1,182.1,182.1,76200,0,0,182.6,-0.49,-0.27,0,0,0
^VNINDEX,10/1/2002,183,183,183,183,76850,0,0,182.1,0.84,0.46,0,0,0
^VNINDEX,10/2/2002,182.8,182.8,182.8,182.8,67500,0,0,183,-0.13,-0.07,0,0,0
^VNINDEX,10/3/2002,183.4,183.4,183.4,183.4,88100,0,0,182.8,0.56,0.31,0,0,0
^VNINDEX,10/4/2002,182.5,182.5,182.5,182.5,71900,0,0,183.4,-0.91,-0.5,0,0,0
^VNINDEX,10/7/2002,181.7,181.7,181.7,181.7,88500,0,0,182.5,-0.78,-0.43,0,0,0
^VNINDEX,10/8/2002,180,180,180,180,140600,0,0,181.7,-1.69,-0.93,0,0,0
^VNINDEX,10/9/2002,178.9,178.9,178.9,178.9,134400,0,0,180,-1.17,-0.65,0,0,0
^VNINDEX,10/10/2002,179.1,179.1,179.1,179.1,516200,0,0,178.9,0.25,0.14,0,0,0
^VNINDEX,10/11/2002,179.3,179.3,179.3,179.3,36100,0,0,179.1,0.23,0.13,0,0,0
^VNINDEX,10/14/2002,180.1,180.1,180.1,180.1,109300,0,0,179.3,0.77,0.43,0,0,0
^VNINDEX,10/15/2002,180.6,180.6,180.6,180.6,122400,0,0,180.1,0.53,0.29,0,0,0
^VNINDEX,10/16/2002,180.1,180.1,180.1,180.1,73200,0,0,180.6,-0.5,-0.28,0,0,0
^VNINDEX,10/17/2002,179.7,179.7,179.7,179.7,91100,0,0,180.1,-0.47,-0.26,0,0,0
^VNINDEX,10/18/2002,178.6,178.6,178.6,178.6,124620,0,0,179.7,-1.02,-0.57,0,0,0
^VNINDEX,10/21/2002,178.7,178.7,178.7,178.7,66610,0,0,178.6,0.02,0.01,0,0,0
^VNINDEX,10/22/2002,179.4,179.4,179.4,179.4,101580,0,0,178.7,0.73,0.41,0,0,0
^VNINDEX,10/23/2002,179.1,179.1,179.1,179.1,71500,0,0,179.4,-0.29,-0.16,0,0,0
^VNINDEX,10/24/2002,178.9,178.9,178.9,178.9,90900,0,0,179.1,-0.16,-0.09,0,0,0
^VNINDEX,10/25/2002,178.8,178.8,178.8,178.8,68600,0,0,178.9,-0.13,-0.07,0,0,0
^VNINDEX,10/28/2002,178.8,178.8,178.8,178.8,105200,0,0,178.8,-0.01,-0.01,0,0,0
^VNINDEX,10/29/2002,177.9,177.9,177.9,177.9,100600,0,0,178.8,-0.88,-0.49,0,0,0
^VNINDEX,10/30/2002,177.6,177.6,177.6,177.6,55700,0,0,177.6,0,0,0,0,0
^VNINDEX,10/31/2002,177.6,177.6,177.6,177.6,53800,0,0,177.6,0,0,0,0,0
^VNINDEX,11/1/2002,177.4,177.4,177.4,177.4,78400,0,0,177.6,-0.26,-0.15,0,0,0
^VNINDEX,11/4/2002,176.6,176.6,176.6,176.6,386900,0,0,177.4,-0.78,-0.44,0,0,0
^VNINDEX,11/5/2002,175,175,175,175,288200,0,0,176.6,-1.55,-0.88,0,0,0
^VNINDEX,11/6/2002,174.8,174.8,174.8,174.8,57110,0,0,175,-0.18,-0.1,0,0,0
^VNINDEX,11/7/2002,174.6,174.6,174.6,174.6,87010,0,0,174.8,-0.22,-0.13,0,0,0
^VNINDEX,11/8/2002,174.9,174.9,174.9,174.9,64710,0,0,174.6,0.26,0.15,0,0,0
^VNINDEX,11/11/2002,175.2,175.2,175.2,175.2,60070,0,0,174.9,0.31,0.18,0,0,0
^VNINDEX,11/12/2002,175.3,175.3,175.3,175.3,58200,0,0,175.2,0.08,0.05,0,0,0
^VNINDEX,11/13/2002,175.6,175.6,175.6,175.6,65300,0,0,175.3,0.36,0.21,0,0,0
^VNINDEX,11/14/2002,175.4,175.4,175.4,175.4,91600,0,0,175.6,-0.21,-0.12,0,0,0
^VNINDEX,11/15/2002,175.8,175.8,175.8,175.8,70700,0,0,175.4,0.35,0.2,0,0,0
^VNINDEX,11/18/2002,175.7,175.7,175.7,175.7,76300,0,0,175.8,-0.04,-0.02,0,0,0
^VNINDEX,11/19/2002,175.5,175.5,175.5,175.5,64400,0,0,175.7,-0.19,-0.11,0,0,0
^VNINDEX,11/20/2002,176.1,176.1,176.1,176.1,51100,0,0,175.5,0.54,0.31,0,0,0
^VNINDEX,11/21/2002,176.5,176.5,176.5,176.5,104100,0,0,176.1,0.39,0.22,0,0,0
^VNINDEX,11/22/2002,175.2,175.2,175.2,175.2,64300,0,0,176.5,-1.23,-0.7,0,0,0
^VNINDEX,11/25/2002,176.5,176.5,176.5,176.5,54500,0,0,175.2,1.23,0.7,0,0,0
^VNINDEX,11/26/2002,176.5,176.5,176.5,176.5,99200,0,0,176.5,0.03,0.02,0,0,0
^VNINDEX,11/27/2002,176.4,176.4,176.4,176.4,80100,0,0,176.5,-0.06,-0.03,0,0,0
^VNINDEX,11/28/2002,177.3,177.3,177.3,177.3,79300,0,0,176.4,0.81,0.46,0,0,0
^VNINDEX,11/29/2002,177.9,177.9,177.9,177.9,40000,0,0,177.3,0.62,0.35,0,0,0
^VNINDEX,12/2/2002,179.3,179.3,179.3,179.3,95860,0,0,177.9,1.4,0.79,0,0,0
^VNINDEX,12/3/2002,183.6,183.6,183.6,183.6,89530,0,0,179.3,4.29,2.39,0,0,0
^VNINDEX,12/4/2002,187.2,187.2,187.2,187.2,181770,0,0,183.6,3.65,1.99,0,0,0
^VNINDEX,12/5/2002,186.8,186.8,186.8,186.8,235500,0,0,187.2,-0.38,-0.2,0,0,0
^VNINDEX,12/6/2002,184.6,184.6,184.6,184.6,136700,0,0,186.8,-2.28,-1.22,0,0,0
^VNINDEX,12/9/2002,183.6,183.6,183.6,183.6,124600,0,0,184.6,-0.93,-0.5,0,0,0
^VNINDEX,12/10/2002,184.8,184.8,184.8,184.8,74300,0,0,183.6,1.13,0.62,0,0,0
^VNINDEX,12/11/2002,184.3,184.3,184.3,184.3,102900,0,0,184.3,0,0,0,0,0
^VNINDEX,12/12/2002,183.7,183.7,183.7,183.7,68400,0,0,184.3,-0.65,-0.35,0,0,0
^VNINDEX,12/13/2002,184.2,184.2,184.2,184.2,101200,0,0,183.7,0.46,0.25,0,0,0
^VNINDEX,12/16/2002,184.7,184.7,184.7,184.7,86700,0,0,184.2,0.59,0.32,0,0,0
^VNINDEX,12/17/2002,185.4,185.4,185.4,185.4,138220,0,0,184.7,0.63,0.34,0,0,0
^VNINDEX,12/18/2002,186,186,186,186,150300,0,0,185.4,0.59,0.32,0,0,0
^VNINDEX,12/19/2002,186.2,186.2,186.2,186.2,0,0,0,186,0.22,0.12,0,0,0
^VNINDEX,12/20/2002,184.9,184.9,184.9,184.9,115700,0,0,186.2,-1.24,-0.67,0,0,0
^VNINDEX,12/23/2002,184.2,184.2,184.2,184.2,73400,0,0,184.9,-0.71,-0.38,0,0,0
^VNINDEX,12/24/2002,184.2,184.2,184.2,184.2,122500,0,0,184.2,-0.05,-0.03,0,0,0
^VNINDEX,12/25/2002,184.1,184.1,184.1,184.1,92900,0,0,184.2,-0.04,-0.02,0,0,0
^VNINDEX,12/26/2002,183.8,183.8,183.8,183.8,107400,0,0,184.1,-0.36,-0.2,0,0,0
^VNINDEX,12/27/2002,183.1,183.1,183.1,183.1,70700,0,0,183.8,-0.73,-0.4,0,0,0
^VNINDEX,12/30/2002,182.7,182.7,182.7,182.7,54700,0,0,183.1,-0.4,-0.22,0,0,0
^VNINDEX,12/31/2002,183.3,183.3,183.3,183.3,65900,0,0,182.7,0.68,0.37,0,0,0
^VNINDEX,1/2/2003,183.4,183.4,183.4,183.4,30300,0,0,183.3,0.08,0.04,0,0,0
^VNINDEX,1/3/2003,182.4,182.4,182.4,182.4,58100,0,0,183.4,-1.02,-0.56,0,0,0
^VNINDEX,1/6/2003,181.8,181.8,181.8,181.8,52400,0,0,182.4,-0.63,-0.35,0,0,0
^VNINDEX,1/7/2003,180.6,180.6,180.6,180.6,67400,0,0,181.8,-1.13,-0.62,0,0,0
^VNINDEX,1/8/2003,179.8,179.8,179.8,179.8,42500,0,0,180.6,-0.84,-0.47,0,0,0
^VNINDEX,1/9/2003,178.9,178.9,178.9,178.9,47450,0,0,179.8,-0.86,-0.48,0,0,0
^VNINDEX,1/10/2003,178.7,178.7,178.7,178.7,41500,0,0,178.9,-0.26,-0.15,0,0,0
^VNINDEX,1/13/2003,178,178,178,178,69900,0,0,178.7,-0.64,-0.36,0,0,0
^VNINDEX,1/14/2003,177.3,177.3,177.3,177.3,39100,0,0,178,-0.72,-0.4,0,0,0
^VNINDEX,1/15/2003,176.4,176.4,176.4,176.4,62700,0,0,177.3,-0.88,-0.5,0,0,0
^VNINDEX,1/16/2003,173.1,173.1,173.1,173.1,104600,0,0,176.4,-3.32,-1.88,0,0,0
^VNINDEX,1/17/2003,173.1,173.1,173.1,173.1,62700,0,0,173.1,-0.06,-0.03,0,0,0
^VNINDEX,1/20/2003,171.4,171.4,171.4,171.4,65500,0,0,173.1,-1.65,-0.95,0,0,0
^VNINDEX,1/21/2003,171.4,171.4,171.4,171.4,71300,0,0,171.4,-0.04,-0.02,0,0,0
^VNINDEX,1/22/2003,170.6,170.6,170.6,170.6,92700,0,0,171.4,-0.81,-0.47,0,0,0
^VNINDEX,1/23/2003,172,172,172,172,62200,0,0,172,0,0,0,0,0
^VNINDEX,1/24/2003,172.7,172.7,172.7,172.7,66800,0,0,172,0.63,0.37,0,0,0
^VNINDEX,1/27/2003,172.3,172.3,172.3,172.3,96300,0,0,172.7,-0.36,-0.21,0,0,0
^VNINDEX,1/28/2003,172.4,172.4,172.4,172.4,109500,0,0,172.3,0.08,0.05,0,0,0
^VNINDEX,2/10/2003,170.9,170.9,170.9,170.9,77300,0,0,172.4,-1.44,-0.84,0,0,0
^VNINDEX,2/11/2003,167.6,167.6,167.6,167.6,141600,0,0,170.9,-3.35,-1.96,0,0,0
^VNINDEX,2/12/2003,163.9,163.9,163.9,163.9,194500,0,0,167.6,-3.68,-2.2,0,0,0
^VNINDEX,2/13/2003,167.1,167.1,167.1,167.1,99700,0,0,163.9,3.16,1.93,0,0,0
^VNINDEX,2/14/2003,168.7,168.7,168.7,168.7,85470,0,0,167.1,1.66,0.99,0,0,0
^VNINDEX,2/17/2003,168.5,168.5,168.5,168.5,77850,0,0,168.7,-0.24,-0.14,0,0,0
^VNINDEX,2/18/2003,167.2,167.2,167.2,167.2,72800,0,0,168.5,-1.26,-0.75,0,0,0
^VNINDEX,2/19/2003,166.3,166.3,166.3,166.3,66600,0,0,167.2,-0.92,-0.55,0,0,0
^VNINDEX,2/20/2003,166,166,166,166,83200,0,0,166.3,-0.32,-0.19,0,0,0
^VNINDEX,2/21/2003,164.6,164.6,164.6,164.6,93150,0,0,166,-1.37,-0.83,0,0,0
^VNINDEX,2/24/2003,165.5,165.5,165.5,165.5,89600,0,0,164.6,0.86,0.52,0,0,0
^VNINDEX,2/25/2003,165.3,165.3,165.3,165.3,80600,0,0,165.5,-0.19,-0.11,0,0,0
^VNINDEX,2/26/2003,164.7,164.7,164.7,164.7,44500,0,0,165.3,-0.58,-0.35,0,0,0
^VNINDEX,2/27/2003,164.7,164.7,164.7,164.7,43400,0,0,164.7,-0.02,-0.01,0,0,0
^VNINDEX,2/28/2003,164.6,164.6,164.6,164.6,80200,0,0,164.7,-0.08,-0.05,0,0,0
^VNINDEX,3/3/2003,165.6,165.6,165.6,165.6,71300,0,0,164.6,0.97,0.59,0,0,0
^VNINDEX,3/4/2003,164.9,164.9,164.9,164.9,77700,0,0,165.6,-0.67,-0.4,0,0,0
^VNINDEX,3/5/2003,164.3,164.3,164.3,164.3,92300,0,0,164.9,-0.57,-0.35,0,0,0
^VNINDEX,3/6/2003,164.3,164.3,164.3,164.3,67800,0,0,164.3,-0.06,-0.04,0,0,0
^VNINDEX,3/7/2003,164,164,164,164,62000,0,0,164.3,-0.26,-0.16,0,0,0
