MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
BBC,9/26/2002,16.1,16.1,16.1,16.1,40800,16.91,15.3,15.7,0.4,2.55,0,0,0
BBC,9/27/2002,16.1,16.1,16.1,16.1,18000,16.91,15.3,16.1,0,0,0,0,0
BBC,9/30/2002,16,16,16,16,10400,16.8,15.2,16.1,-0.1,-0.62,0,0,0
BBC,10/1/2002,16.1,16.1,16.1,16.1,11300,16.91,15.3,16,0.1,0.63,0,0,0
BBC,10/2/2002,16.1,16.1,16.1,16.1,6100,16.91,15.3,16.1,0,0,0,0,0
BBC,10/3/2002,16,16,16,16,6400,16.8,15.2,16.1,-0.1,-0.62,0,0,0
BBC,10/4/2002,16,16,16,16,23700,16.8,15.2,16,0,0,0,0,0
BBC,10/7/2002,16.1,16.1,16.1,16.1,23500,16.91,15.3,16,0.1,0.63,0,0,0
BBC,10/8/2002,16.1,16.1,16.1,16.1,16000,16.91,15.3,16.1,0,0,0,0,0
BBC,10/9/2002,16.1,16.1,16.1,16.1,40800,16.91,15.3,16.1,0,0,0,0,0
BBC,10/10/2002,15.9,15.9,15.9,15.9,13400,16.7,15.11,16.1,-0.2,-1.24,0,0,0
BBC,10/11/2002,16,16,16,16,4500,16.8,15.2,15.9,0.1,0.63,0,0,0
BBC,10/14/2002,16.1,16.1,16.1,16.1,9700,16.91,15.3,16,0.1,0.63,0,0,0
BBC,10/15/2002,16.2,16.2,16.2,16.2,22200,17.01,15.39,16.1,0.1,0.62,0,0,0
BBC,10/16/2002,16.1,16.1,16.1,16.1,3800,16.91,15.3,16.2,-0.1,-0.62,0,0,0
BBC,10/17/2002,16.2,16.2,16.2,16.2,18500,17.01,15.39,16.1,0.1,0.62,0,0,0
BBC,10/18/2002,16.1,16.1,16.1,16.1,10700,16.91,15.3,16.2,-0.1,-0.62,0,0,0
BBC,10/21/2002,16,16,16,16,3800,16.8,15.2,16.1,-0.1,-0.62,0,0,0
BBC,10/22/2002,16.1,16.1,16.1,16.1,8400,16.91,15.3,16,0.1,0.63,0,0,0
BBC,10/23/2002,16.1,16.1,16.1,16.1,11800,16.91,15.3,16.1,0,0,0,0,0
BBC,10/24/2002,16,16,16,16,3100,16.8,15.2,16.1,-0.1,-0.62,0,0,0
BBC,10/25/2002,16,16,16,16,5000,16.8,15.2,16,0,0,0,0,0
BBC,10/28/2002,16,16,16,16,8800,16.8,15.2,16,0,0,0,0,0
BBC,10/29/2002,15.9,15.9,15.9,15.9,10700,16.7,15.11,16,-0.1,-0.63,0,0,0
BBC,10/30/2002,15.8,15.8,15.8,15.8,8000,16.59,15.01,15.9,-0.1,-0.63,0,0,0
BBC,10/31/2002,15.7,15.7,15.7,15.7,5000,16.49,14.92,15.8,-0.1,-0.63,0,0,0
BBC,11/1/2002,15.5,15.5,15.5,15.5,9100,16.27,14.73,15.7,-0.2,-1.27,0,0,0
BBC,11/4/2002,15.5,15.5,15.5,15.5,4400,16.27,14.73,15.5,0,0,0,0,0
BBC,11/5/2002,15.4,15.4,15.4,15.4,7500,16.17,14.63,15.5,-0.1,-0.65,0,0,0
BBC,11/6/2002,15.2,15.2,15.2,15.2,9300,15.96,14.44,15.4,-0.2,-1.3,0,0,0
BBC,11/7/2002,15,15,15,15,13600,15.75,14.25,15.2,-0.2,-1.32,0,0,0
BBC,11/8/2002,14.9,14.9,14.9,14.9,3800,15.65,14.16,15,-0.1,-0.67,0,0,0
BBC,11/11/2002,15,15,15,15,2500,15.75,14.25,14.9,0.1,0.67,0,0,0
BBC,11/12/2002,15,15,15,15,1400,15.75,14.25,15,0,0,0,0,0
BBC,11/13/2002,15,15,15,15,4600,15.75,14.25,15,0,0,0,0,0
BBC,11/14/2002,14.9,14.9,14.9,14.9,4400,15.65,14.16,15,-0.1,-0.67,0,0,0
BBC,11/15/2002,15,15,15,15,3800,15.75,14.25,14.9,0.1,0.67,0,0,0
BBC,11/18/2002,15,15,15,15,5300,15.75,14.25,15,0,0,0,0,0
BBC,11/19/2002,15,15,15,15,5900,15.75,14.25,15,0,0,0,0,0
BBC,11/20/2002,15,15,15,15,1600,15.75,14.25,15,0,0,0,0,0
BBC,11/21/2002,15,15,15,15,6800,15.75,14.25,15,0,0,0,0,0
BBC,11/22/2002,15,15,15,15,3500,15.75,14.25,15,0,0,0,0,0
BBC,11/25/2002,15,15,15,15,400,15.75,14.25,15,0,0,0,0,0
BBC,11/26/2002,15,15,15,15,7100,15.75,14.25,15,0,0,0,0,0
BBC,11/27/2002,15,15,15,15,22700,15.75,14.25,15,0,0,0,0,0
BBC,11/28/2002,15.2,15.2,15.2,15.2,12400,15.96,14.44,15,0.2,1.33,0,0,0
BBC,11/29/2002,15.4,15.4,15.4,15.4,3700,16.17,14.63,15.2,0.2,1.32,0,0,0
BBC,12/2/2002,15.4,15.4,15.4,15.4,13500,16.17,14.63,15.4,0,0,0,0,0
BBC,12/3/2002,15.8,15.8,15.8,15.8,1400,16.59,15.01,15.4,0.4,2.6,0,0,0
BBC,12/4/2002,16.1,16.1,16.1,16.1,17100,16.91,15.3,15.8,0.3,1.9,0,0,0
BBC,12/5/2002,16.4,16.4,16.4,16.4,38800,17.22,15.58,16.1,0.3,1.86,0,0,0
BBC,12/6/2002,16.2,16.2,16.2,16.2,32400,17.01,15.39,16.4,-0.2,-1.22,0,0,0
BBC,12/9/2002,15.9,15.9,15.9,15.9,16300,16.7,15.11,16.2,-0.3,-1.85,0,0,0
BBC,12/10/2002,16.3,16.3,16.3,16.3,3100,17.11,15.49,15.9,0.4,2.52,0,0,0
BBC,12/11/2002,16.3,16.3,16.3,16.3,3000,17.11,15.49,16.3,0,0,0,0,0
BBC,12/12/2002,16.3,16.3,16.3,16.3,4700,17.11,15.49,16.3,0,0,0,0,0
BBC,12/13/2002,16.1,16.1,16.1,16.1,4900,16.91,15.3,16.3,-0.2,-1.23,0,0,0
BBC,12/16/2002,16.1,16.1,16.1,16.1,8500,16.91,15.3,16.1,0,0,0,0,0
BBC,12/17/2002,16.1,16.1,16.1,16.1,5600,16.91,15.3,16.1,0,0,0,0,0
BBC,12/18/2002,16.1,16.1,16.1,16.1,11200,16.91,15.3,16.1,0,0,0,0,0
BBC,12/19/2002,16.1,16.1,16.1,16.1,4300,16.91,15.3,16.1,0,0,0,0,0
BBC,12/20/2002,15.9,15.9,15.9,15.9,5300,16.7,15.11,16.1,-0.2,-1.24,0,0,0
BBC,12/23/2002,15.9,15.9,15.9,15.9,3100,16.7,15.11,15.9,0,0,0,0,0
BBC,12/24/2002,15.9,15.9,15.9,15.9,1500,16.7,15.11,15.9,0,0,0,0,0
BBC,12/25/2002,15.6,15.6,15.6,15.6,9000,16.38,14.82,15.9,-0.3,-1.89,0,0,0
BBC,12/26/2002,15.5,15.5,15.5,15.5,6000,16.27,14.73,15.6,-0.1,-0.64,0,0,0
BBC,12/27/2002,15.6,15.6,15.6,15.6,2000,16.38,14.82,15.5,0.1,0.65,0,0,0
BBC,12/30/2002,16,16,16,16,2900,16.8,15.2,15.6,0.4,2.56,0,0,0
BBC,12/31/2002,15.7,15.7,15.7,15.7,14400,16.49,14.92,16,-0.3,-1.88,0,0,0
BBC,1/2/2003,15.7,15.7,15.7,15.7,3700,16.49,14.92,15.7,0,0,0,0,0
BBC,1/3/2003,15.7,15.7,15.7,15.7,5000,16.49,14.92,15.7,0,0,0,0,0
BBC,1/6/2003,15.7,15.7,15.7,15.7,4600,16.49,14.92,15.7,0,0,0,0,0
BBC,1/7/2003,15.7,15.7,15.7,15.7,13000,16.49,14.92,15.7,0,0,0,0,0
BBC,1/8/2003,15.7,15.7,15.7,15.7,10500,16.49,14.92,15.7,0,0,0,0,0
BBC,1/9/2003,15.7,15.7,15.7,15.7,5500,16.49,14.92,15.7,0,0,0,0,0
BBC,1/10/2003,15.6,15.6,15.6,15.6,1500,16.38,14.82,15.7,-0.1,-0.64,0,0,0
BBC,1/13/2003,15.5,15.5,15.5,15.5,2500,16.27,14.73,15.6,-0.1,-0.64,0,0,0
BBC,1/14/2003,15.4,15.4,15.4,15.4,2000,16.17,14.63,15.5,-0.1,-0.65,0,0,0
BBC,1/15/2003,15.3,15.3,15.3,15.3,5800,16.07,14.54,15.4,-0.1,-0.65,0,0,0
BBC,1/16/2003,15.1,15.1,15.1,15.1,8000,15.86,14.35,15.3,-0.2,-1.31,0,0,0
BBC,1/17/2003,15.1,15.1,15.1,15.1,7800,15.86,14.35,15.1,0,0,0,0,0
BBC,1/20/2003,15.1,15.1,15.1,15.1,7200,15.86,14.35,15.1,0,0,0,0,0
BBC,1/21/2003,15.1,15.1,15.1,15.1,1900,15.86,14.35,15.1,0,0,0,0,0
BBC,1/22/2003,15.2,15.2,15.2,15.2,200,15.96,14.44,15.1,0.1,0.66,0,0,0
BBC,1/23/2003,15.2,15.2,15.2,15.2,1000,15.96,14.44,15.2,0,0,0,0,0
BBC,1/24/2003,15.2,15.2,15.2,15.2,3800,15.96,14.44,15.2,0,0,0,0,0
BBC,1/27/2003,15.2,15.2,15.2,15.2,7800,15.96,14.44,15.2,0,0,0,0,0
BBC,1/28/2003,15.2,15.2,15.2,15.2,3200,15.96,14.44,15.2,0,0,0,0,0
BBC,2/10/2003,15.2,15.2,15.2,15.2,700,15.96,14.44,15.2,0,0,0,0,0
BBC,2/11/2003,15,15,15,15,2100,15.75,14.25,15.2,-0.2,-1.32,0,0,0
BBC,2/12/2003,14.7,14.7,14.7,14.7,8000,15.44,13.97,15,-0.3,-2,0,0,0
