MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
HAP,9/26/2002,36.5,36.5,36.5,36.5,2100,38.33,34.67,36.5,0,0,0,0,0
HAP,9/27/2002,36.5,36.5,36.5,36.5,900,38.33,34.67,36.5,0,0,0,0,0
HAP,9/30/2002,36,36,36,36,1800,37.8,34.2,36.5,-0.5,-1.37,0,0,0
HAP,10/1/2002,36.3,36.3,36.3,36.3,400,38.12,34.49,36,0.3,0.83,0,0,0
HAP,10/2/2002,36.3,36.3,36.3,36.3,200,38.12,34.49,36.3,0,0,0,0,0
HAP,10/3/2002,37.2,37.2,37.2,37.2,200,39.06,35.34,36.3,0.9,2.48,0,0,0
HAP,10/4/2002,37.4,37.4,37.4,37.4,100,39.27,35.53,37.2,0.2,0.54,0,0,0
HAP,10/7/2002,37.4,37.4,37.4,37.4,200,39.27,35.53,37.4,0,0,0,0,0
HAP,10/8/2002,36.5,36.5,36.5,36.5,600,38.33,34.67,37.4,-0.9,-2.41,0,0,0
HAP,10/9/2002,36.5,36.5,36.5,36.5,0,38.33,34.67,36.5,0,0,0,0,0
HAP,10/10/2002,36,36,36,36,300,37.8,34.2,36.5,-0.5,-1.37,0,0,0
HAP,10/11/2002,36,36,36,36,0,37.8,34.2,36,0,0,0,0,0
HAP,10/14/2002,36,36,36,36,800,37.8,34.2,36,0,0,0,0,0
HAP,10/15/2002,36,36,36,36,1300,37.8,34.2,36,0,0,0,0,0
HAP,10/16/2002,36,36,36,36,2300,37.8,34.2,36,0,0,0,0,0
HAP,10/17/2002,36,36,36,36,100,37.8,34.2,36,0,0,0,0,0
HAP,10/18/2002,36.6,36.6,36.6,36.6,200,38.43,34.77,36,0.6,1.67,0,0,0
HAP,10/21/2002,36.6,36.6,36.6,36.6,0,38.43,34.77,36.6,0,0,0,0,0
HAP,10/22/2002,36.6,36.6,36.6,36.6,500,38.43,34.77,36.6,0,0,0,0,0
HAP,10/23/2002,36,36,36,36,2000,37.8,34.2,36.6,-0.6,-1.64,0,0,0
HAP,10/24/2002,35.7,35.7,35.7,35.7,200,37.49,33.92,36,-0.3,-0.83,0,0,0
HAP,10/25/2002,35.6,35.6,35.6,35.6,200,37.38,33.82,35.7,-0.1,-0.28,0,0,0
HAP,10/28/2002,35.6,35.6,35.6,35.6,400,37.38,33.82,35.6,0,0,0,0,0
HAP,10/29/2002,35.5,35.5,35.5,35.5,5300,37.28,33.73,35.6,-0.1,-0.28,0,0,0
HAP,10/30/2002,35.5,35.5,35.5,35.5,0,37.28,33.73,35.5,0,0,0,0,0
HAP,10/31/2002,35.5,35.5,35.5,35.5,1400,37.28,33.73,35.5,0,0,0,0,0
HAP,11/1/2002,35.5,35.5,35.5,35.5,0,37.28,33.73,35.5,0,0,0,0,0
HAP,11/4/2002,35.5,35.5,35.5,35.5,0,37.28,33.73,35.5,0,0,0,0,0
HAP,11/5/2002,35.6,35.6,35.6,35.6,100,37.38,33.82,35.5,0.1,0.28,0,0,0
HAP,11/6/2002,35.3,35.3,35.3,35.3,500,37.07,33.53,35.6,-0.3,-0.84,0,0,0
HAP,11/7/2002,35,35,35,35,600,36.75,33.25,35.3,-0.3,-0.85,0,0,0
HAP,11/8/2002,35,35,35,35,900,36.75,33.25,35,0,0,0,0,0
HAP,11/11/2002,35,35,35,35,100,36.75,33.25,35,0,0,0,0,0
HAP,11/12/2002,35,35,35,35,200,36.75,33.25,35,0,0,0,0,0
HAP,11/13/2002,35,35,35,35,900,36.75,33.25,35,0,0,0,0,0
HAP,11/14/2002,34.8,34.8,34.8,34.8,1200,36.54,33.06,35,-0.2,-0.57,0,0,0
HAP,11/15/2002,34.5,34.5,34.5,34.5,1500,36.23,32.78,34.8,-0.3,-0.86,0,0,0
HAP,11/18/2002,35,35,35,35,1000,36.75,33.25,34.5,0.5,1.45,0,0,0
HAP,11/19/2002,35,35,35,35,1100,36.75,33.25,35,0,0,0,0,0
