MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
DHA,4/14/2004,38.5,38.5,38.5,38.5,11020,40.42,36.58,38.5,0,0,0,0,0
DHA,4/15/2004,38.5,38.5,38.3,38.3,28140,40.22,36.39,38.5,-0.2,-0.52,0,0,0
DHA,4/16/2004,38.3,38.3,38.2,38.2,10330,40.11,36.29,38.3,-0.1,-0.26,0,0,0
DHA,4/19/2004,37,37,36.3,36.3,18910,38.12,34.49,38.2,-1.9,-4.97,0,0,0
DHA,4/20/2004,34.5,34.7,34.5,34.7,33200,36.44,32.97,36.3,-1.6,-4.41,0,0,0
DHA,4/21/2004,34.8,36.4,34.8,36.4,3010,38.22,34.58,34.7,1.7,4.9,0,0,0
DHA,4/22/2004,36.4,36.4,36.4,36.4,8470,38.22,34.58,36.4,0,0,0,0,0
DHA,4/23/2004,36.5,36.5,36.3,36.3,3360,38.12,34.49,36.4,-0.1,-0.27,0,0,0
DHA,4/26/2004,35.7,35.7,35.6,35.6,14250,37.38,33.82,36.3,-0.7,-1.93,0,0,0
DHA,4/27/2004,35.6,35.6,35.5,35.5,16210,37.28,33.73,35.6,-0.1,-0.28,0,0,0
DHA,4/28/2004,35.5,35.5,35.5,35.5,14170,37.28,33.73,35.5,0,0,0,0,0
DHA,4/29/2004,35.5,36,35.5,36,810,37.8,34.2,35.5,0.5,1.41,0,0,0
DHA,5/4/2004,36.2,36.2,36.2,36.2,5320,38.01,34.39,36,0.2,0.56,0,0,0
DHA,5/5/2004,36.2,36.2,35.7,35.7,2440,37.49,33.92,36.2,-0.5,-1.38,0,0,0
DHA,5/6/2004,35.5,35.5,35.5,35.5,5110,37.28,33.73,35.7,-0.2,-0.56,0,0,0
DHA,5/7/2004,35.5,35.5,35,35,16210,36.75,33.25,35.5,-0.5,-1.41,0,0,0
DHA,5/10/2004,35.5,35.5,35.4,35.4,8020,37.17,33.63,35,0.4,1.14,0,0,0
DHA,5/11/2004,35.4,35.4,35.4,35.4,710,37.17,33.63,35.4,0,0,0,0,0
DHA,5/12/2004,35.4,35.5,35.4,35.5,8100,37.28,33.73,35.4,0.1,0.28,0,0,0
DHA,5/13/2004,35.5,35.5,35.5,35.5,2390,37.28,33.73,35.5,0,0,0,0,0
DHA,5/14/2004,35.5,35.5,35.2,35.2,3900,36.96,33.44,35.5,-0.3,-0.85,0,0,0
DHA,5/17/2004,35.2,35.2,35.2,35.2,6430,36.96,33.44,35.2,0,0,0,0,0
DHA,5/18/2004,35.1,35.1,35,35,7510,36.75,33.25,35.2,-0.2,-0.57,0,0,0
DHA,5/19/2004,35,35,35,35,8200,36.75,33.25,35,0,0,0,0,0
DHA,5/20/2004,35.1,35.1,35.1,35.1,3100,36.85,33.35,35,0.1,0.29,0,0,0
DHA,5/21/2004,35.2,35.2,35.2,35.2,3530,36.96,33.44,35.1,0.1,0.28,0,0,0
DHA,5/24/2004,35.2,35.2,35,35,11290,36.75,33.25,35.2,-0.2,-0.57,0,0,0
DHA,5/25/2004,35,35,35,35,4940,36.75,33.25,35,0,0,0,0,0
DHA,5/26/2004,35,35,35,35,1290,36.75,33.25,35,0,0,0,0,0
DHA,5/27/2004,35,35,35,35,800,36.75,33.25,35,0,0,0,0,0
DHA,5/28/2004,35,35,34.5,34.5,1000,36.23,32.78,35,-0.5,-1.43,0,0,0
DHA,5/31/2004,34.5,34.5,34.5,34.5,3350,36.23,32.78,34.5,0,0,0,0,0
DHA,6/1/2004,34.5,34.5,34.5,34.5,1610,36.23,32.78,34.5,0,0,0,0,0
DHA,6/2/2004,34.5,34.5,34.5,34.5,1690,36.23,32.78,34.5,0,0,0,0,0
DHA,6/3/2004,34.5,34.5,34,34,1100,35.7,32.3,34.5,-0.5,-1.45,0,0,0
DHA,6/4/2004,34,34,33.5,33.5,5170,35.17,31.83,34,-0.5,-1.47,0,0,0
DHA,6/7/2004,33.5,33.5,33,33,17630,34.65,31.35,33.5,-0.5,-1.49,0,0,0
DHA,6/8/2004,32.5,32.5,32.5,32.5,8340,34.13,30.88,33,-0.5,-1.52,0,0,0
DHA,6/9/2004,32.5,33,32.5,33,1220,34.65,31.35,32.5,0.5,1.54,0,0,0
DHA,6/10/2004,33,33,33,33,1710,34.65,31.35,33,0,0,0,0,0
DHA,6/11/2004,33.1,33.2,33.1,33.2,3500,34.86,31.54,33,0.2,0.61,0,0,0
DHA,6/14/2004,33.2,34.1,33.2,34.1,1100,35.81,32.4,33.2,0.9,2.71,0,0,0
DHA,6/15/2004,34.1,34.1,34,34,1120,35.7,32.3,34.1,-0.1,-0.29,0,0,0
DHA,6/16/2004,34,34,33.6,33.6,1500,35.28,31.92,34,-0.4,-1.18,0,0,0
DHA,6/17/2004,33.6,33.6,33.2,33.2,1390,34.86,31.54,33.6,-0.4,-1.19,0,0,0
DHA,6/18/2004,33.2,33.2,33.2,33.2,0,34.86,31.54,33.2,0,0,0,0,0
DHA,6/21/2004,32.7,32.8,32.7,32.8,2000,34.44,31.16,33.2,-0.4,-1.2,0,0,0
DHA,6/22/2004,32.6,32.6,32.6,32.6,2170,34.23,30.97,32.8,-0.2,-0.61,0,0,0
DHA,6/23/2004,32.6,32.7,32.6,32.7,1320,34.34,31.07,32.6,0.1,0.31,0,0,0
DHA,6/24/2004,32.7,33.3,32.7,33.3,60,34.97,31.64,32.7,0.6,1.83,0,0,0
DHA,6/25/2004,32.7,33,32.7,33,1290,34.65,31.35,33.3,-0.3,-0.9,0,0,0
DHA,6/28/2004,32.5,32.7,32.5,32.7,5540,34.34,31.07,33,-0.3,-0.91,0,0,0
DHA,6/29/2004,32.7,32.7,32.7,32.7,300,34.34,31.07,32.7,0,0,0,0,0
DHA,6/30/2004,32.7,32.7,32.7,32.7,2090,34.34,31.07,32.7,0,0,0,0,0
DHA,7/1/2004,32.7,32.8,32.7,32.8,100,34.44,31.16,32.7,0.1,0.31,0,0,0
DHA,7/2/2004,33,33,32.7,32.7,1030,34.34,31.07,32.8,-0.1,-0.3,0,0,0
DHA,7/5/2004,32.6,32.6,32.6,32.6,5950,34.23,30.97,32.7,-0.1,-0.31,0,0,0
DHA,7/6/2004,32.6,32.6,32.2,32.2,2350,33.81,30.59,32.6,-0.4,-1.23,0,0,0
DHA,7/7/2004,32.2,32.2,32,32,1500,33.6,30.4,32.2,-0.2,-0.62,0,0,0
DHA,7/8/2004,32,32,31.8,31.8,2310,33.39,30.21,32,-0.2,-0.63,0,0,0
DHA,7/9/2004,31.8,31.8,31.7,31.7,2640,33.28,30.12,31.8,-0.1,-0.31,0,0,0
DHA,7/12/2004,32.9,32.9,32.3,32.3,120,33.92,30.69,31.7,0.6,1.89,0,0,0
DHA,7/13/2004,32,32,31.7,31.7,670,33.28,30.12,32.3,-0.6,-1.86,0,0,0
DHA,7/14/2004,31.7,31.7,31.5,31.5,2600,33.08,29.93,31.7,-0.2,-0.63,0,0,0
DHA,7/15/2004,30.6,31,30.6,31,4680,32.55,29.45,31.5,-0.5,-1.59,0,0,0
DHA,7/16/2004,31,31,30.7,30.7,3310,32.24,29.17,31,-0.3,-0.97,0,0,0
DHA,7/19/2004,30.7,32.1,30.7,32.1,10,33.71,30.5,30.7,1.4,4.56,0,0,0
DHA,7/20/2004,30.6,31,30.6,31,2000,32.55,29.45,32.1,-1.1,-3.43,0,0,0
DHA,7/21/2004,31,31,31,31,2110,32.55,29.45,31,0,0,0,0,0
DHA,7/22/2004,31,31,30.7,30.7,1350,32.24,29.17,31,-0.3,-0.97,0,0,0
DHA,7/23/2004,30.7,31,30.7,31,7020,32.55,29.45,30.7,0.3,0.98,0,0,0
DHA,7/26/2004,31,31,30.9,30.9,900,32.45,29.36,31,-0.1,-0.32,0,0,0
DHA,7/27/2004,30.9,30.9,30.5,30.5,610,32.03,28.98,30.9,-0.4,-1.29,0,0,0
DHA,7/28/2004,30.5,30.5,30.5,30.5,2020,32.03,28.98,30.5,0,0,0,0,0
DHA,7/29/2004,30,30,30,30,4110,31.5,28.5,30.5,-0.5,-1.64,0,0,0
DHA,7/30/2004,30,30,30,30,3010,31.5,28.5,30,0,0,0,0,0
DHA,8/2/2004,30,30,29.8,29.8,2660,31.29,28.31,30,-0.2,-0.67,0,0,0
DHA,8/3/2004,29.4,29.4,29.3,29.3,2070,30.77,27.84,29.8,-0.5,-1.68,0,0,0
DHA,8/4/2004,29.1,29.1,29,29,5940,30.45,27.55,29.3,-0.3,-1.02,0,0,0
DHA,8/5/2004,29,29,28.8,28.8,1000,0,0,29,-0.2,-0.69,0,0,0
DHA,8/6/2004,28.8,28.8,27.4,27.4,10890,28.77,26.03,29,-1.6,-5.52,0,0,0
DHA,8/9/2004,26.4,26.4,26.2,26.2,37280,27.41,24.8,27.4,-1.2,-4.38,0,0,0
DHA,8/10/2004,25.5,27.5,25.5,27.5,4970,28.88,26.13,26.1,1.4,5.36,0,0,0
DHA,8/11/2004,28.8,28.8,28.5,28.5,4450,29.93,27.08,27.5,1,3.64,0,0,0
DHA,8/12/2004,28,28,27.6,27.6,3290,28.98,26.22,28.5,-0.9,-3.16,0,0,0
DHA,8/13/2004,27.6,27.6,27.5,27.5,200,28.88,26.13,27.6,-0.1,-0.36,0,0,0
DHA,8/16/2004,27.5,27.5,26.6,26.6,1020,27.93,25.27,27.5,-0.9,-3.27,0,0,0
DHA,8/17/2004,26.1,26.4,26.1,26.4,3330,27.72,25.08,26.6,-0.2,-0.75,0,0,0
DHA,8/18/2004,26.5,26.8,26.5,26.8,1860,28.14,25.46,26.4,0.4,1.52,0,0,0
DHA,8/19/2004,27,27.9,27,27.9,5090,29.3,26.51,26.8,1.1,4.1,0,0,0
DHA,8/20/2004,28,28.5,28,28.5,26970,29.93,27.08,27.9,0.6,2.15,0,0,0
DHA,8/23/2004,29.2,29.5,29.2,29.5,10250,30.98,28.03,28.5,1,3.51,0,0,0
DHA,8/24/2004,29.7,29.7,28.7,28.7,10610,30.14,27.27,29.5,-0.8,-2.71,0,0,0
DHA,8/25/2004,29,29,28.7,28.7,1720,30.14,27.27,28.7,0,0,0,0,0
DHA,8/26/2004,29.1,29.1,29.1,29.1,2650,30.56,27.65,28.7,0.4,1.39,0,0,0
DHA,8/27/2004,29.1,29.1,29,29,10830,30.45,27.55,29.1,-0.1,-0.34,0,0,0
DHA,8/30/2004,29,29,28.5,28.5,1440,29.93,27.08,29,-0.5,-1.72,0,0,0
DHA,8/31/2004,28.5,29,28.5,29,18150,30.45,27.55,28.5,0.5,1.75,0,0,0
DHA,9/1/2004,29,29,29,29,830,30.45,27.55,29,0,0,0,0,0
DHA,9/6/2004,29,29,28.5,28.5,1700,29.93,27.08,29,-0.5,-1.72,0,0,0
DHA,9/7/2004,28.5,28.5,28.5,28.5,1440,29.93,27.08,28.5,0,0,0,0,0
DHA,9/8/2004,28.5,28.5,28.1,28.1,10860,29.51,26.7,28.5,-0.4,-1.4,0,0,0
DHA,9/9/2004,28.1,28.4,28.1,28.4,210,29.82,26.98,28.1,0.3,1.07,0,0,0
DHA,9/10/2004,28.4,28.4,28.4,28.4,700,29.82,26.98,28.4,0,0,0,0,0
DHA,9/13/2004,28.6,28.6,28.6,28.6,150,30.03,27.17,28.4,0.2,0.7,0,0,0
DHA,9/14/2004,28,29,28,29,25720,30.45,27.55,28.6,0.4,1.4,0,0,0
DHA,9/15/2004,29.2,29.4,29.2,29.4,4100,30.87,27.93,29,0.4,1.38,0,0,0
DHA,9/16/2004,29.4,29.4,29,29,11500,30.45,27.55,29.4,-0.4,-1.36,0,0,0
DHA,9/17/2004,29,29,29,29,0,30.45,27.55,29,0,0,0,0,0
DHA,9/20/2004,28.6,29.2,28.6,29.2,20,30.66,27.74,29,0.2,0.69,0,0,0
DHA,9/21/2004,29.2,29.2,29.2,29.2,550,30.66,27.74,29.2,0,0,0,0,0
DHA,9/22/2004,29,29,29,29,2000,30.45,27.55,29.2,-0.2,-0.68,0,0,0
DHA,9/23/2004,29,29,29,29,5290,30.45,27.55,29,0,0,0,0,0
DHA,9/24/2004,29,29,29,29,0,30.45,27.55,29,0,0,0,0,0
DHA,9/27/2004,29,29.4,29,29.4,800,30.87,27.93,29,0.4,1.38,0,0,0
DHA,9/28/2004,29.5,29.5,29.5,29.5,5280,30.98,28.03,29.4,0.1,0.34,0,0,0
DHA,9/29/2004,29.5,29.5,29.5,29.5,13000,30.98,28.03,29.5,0,0,0,0,0
