Code,Date,Open,High,Low,Close,Volume
6,20030101,29.55,29.55,29.55,20.44,0
6,20030102,29.5,29.55,29.1,20.44,685600
6,20030103,29.85,29.9,29.7,20.68,2094300
6,20030106,29.7,29.95,29.6,20.71,1786600
6,20030107,30,30,29.8,20.68,1857100
6,20030108,29.8,30.2,29.75,20.82,2835900
6,20030109,30,30.1,29.9,20.82,1528000
6,20030110,30.1,30.1,29.9,20.75,1306500
6,20030113,30,30.2,29.95,20.82,2123100
6,20030114,30.3,30.3,29.8,20.64,2301600
6,20030115,30,30.3,30,20.75,3920800
6,20030116,30,30.1,29.85,20.64,2214400
6,20030117,29.9,30,29.7,20.54,948100
6,20030120,29.75,29.75,29.65,20.54,1489600
6,20030121,29.95,29.95,29.55,20.51,1365300
6,20030122,29.85,30.4,29.8,21.02,3338800
6,20030123,30.4,30.6,30.3,21.02,3208000
6,20030124,30.3,30.4,29.75,20.57,2283200
6,20030127,29.35,29.6,29.2,20.23,2747000
6,20030128,29.25,29.5,29.25,20.4,2023300
6,20030129,29.55,29.55,29.25,20.26,2951400
6,20030130,29.25,29.45,29.2,20.37,1781500
6,20030131,29.45,29.45,29.45,20.37,0
6,20030203,29.45,29.45,29.45,20.37,0
6,20030204,29.5,29.5,29.05,20.33,6088100
6,20030205,29.35,29.4,29.1,20.16,2998600
6,20030206,29.35,29.35,29.1,20.26,1591100
6,20030207,29.35,29.45,29.3,20.3,2649200
6,20030210,29.3,29.35,29.05,20.12,5585000
6,20030211,29.2,29.2,28.9,19.99,7105000
6,20030212,29.15,29.15,28.9,20.09,3326600
6,20030213,29.1,29.2,28.85,19.99,2905200
6,20030214,29.1,29.15,28.9,19.99,1388400
6,20030217,29.25,29.45,29.15,20.26,2363600
6,20030218,29.3,29.3,29.15,20.19,1245800
6,20030219,29.1,29.3,29,20.12,2498700
6,20030220,29.3,29.3,29.1,20.12,2149000
6,20030221,29.15,29.15,28.95,20.06,2495000
6,20030224,29.1,29.3,29.05,20.23,1428900
6,20030225,29.25,29.3,29.05,20.19,2437200
6,20030226,29.1,29.6,29.1,20.47,2689000
6,20030227,29.6,29.7,29.4,20.47,1926600
6,20030228,29.8,29.8,29.7,20.57,1179200
6,20030303,29.75,30.2,29.75,20.89,3727100
6,20030304,30.3,30.5,30.1,21.02,3885400
6,20030305,30.5,30.5,30.3,21.09,2775100
6,20030306,30.5,30.5,29.55,20.68,2577700
6,20030307,29.8,30.5,29.8,21.09,4511400
6,20030310,30.4,30.5,30,20.75,3976900
6,20030311,30,30.7,30,21.09,3089100
6,20030312,30.3,30.6,30.3,21.02,2006900
6,20030313,30.4,30.4,29.95,20.71,3271500
6,20030314,30.4,30.6,30.2,21.16,2600800
6,20030317,30.5,30.5,30.2,21.09,1847300
6,20030318,30.7,30.7,30.5,21.09,2703600
6,20030319,30.6,30.7,30.1,21.16,3592900
6,20030320,30.6,31.1,30.6,21.3,3893700
6,20030321,30.6,31,30.6,21.23,1911900
6,20030324,31,31.3,30.8,21.65,3106400
6,20030325,31,31.6,31,21.78,2517700
6,20030326,31.6,31.6,30.9,21.58,1804300
6,20030327,31.2,31.2,30.5,21.09,3249100
6,20030328,30.8,31.2,30.4,21.58,2973500
6,20030331,30.6,31.3,30.4,21.51,3485400
