MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
KHA,10/4/2004,24.1,24.2,24.1,24.2,16570,25.41,22.99,23.9,0.3,1.26,0,0,0
KHA,10/5/2004,25,25.4,25,25.4,41430,26.67,24.13,24.2,1.2,4.96,0,0,0
KHA,10/6/2004,26,26,26,26,33810,27.3,24.7,25.4,0.6,2.36,0,0,0
KHA,10/7/2004,25.9,25.9,25.7,25.7,7180,26.99,24.42,26,-0.3,-1.15,0,0,0
KHA,10/8/2004,25.1,25.2,25.1,25.2,12000,26.46,23.94,25.7,-0.5,-1.95,0,0,0
KHA,10/11/2004,25.4,25.4,25.4,25.4,13320,26.67,24.13,25.2,0.2,0.79,0,0,0
KHA,10/12/2004,25.6,25.6,25.5,25.5,27580,26.78,24.23,25.4,0.1,0.39,0,0,0
KHA,10/13/2004,20.5,20.6,20.5,20.6,7040,21.63,19.57,25.5,-4.9,-19.22,0,0,0
KHA,10/14/2004,21,21.3,21,21.3,6320,22.37,20.24,20.6,0.7,3.4,0,0,0
KHA,10/15/2004,21.6,21.7,21.6,21.7,13490,22.79,20.62,21.3,0.4,1.88,0,0,0
KHA,10/18/2004,21.8,21.8,21.8,21.8,20550,22.89,20.71,21.7,0.1,0.46,0,0,0
KHA,10/19/2004,22.2,22.2,21.7,21.7,15190,22.79,20.62,21.8,-0.1,-0.46,0,0,0
KHA,10/20/2004,21.7,21.7,21.5,21.5,17910,22.58,20.43,21.7,-0.2,-0.92,0,0,0
KHA,10/21/2004,21.3,21.3,21.1,21.1,6640,22.16,20.05,21.5,-0.4,-1.86,0,0,0
KHA,10/22/2004,21.1,21.1,21.1,21.1,16050,22.16,20.05,21.1,0,0,0,0,0
KHA,10/25/2004,21.2,21.3,21.2,21.3,2340,22.37,20.24,21.1,0.2,0.95,0,0,0
KHA,10/26/2004,21.5,21.7,21.5,21.7,8130,22.79,20.62,21.3,0.4,1.88,0,0,0
KHA,10/27/2004,21.8,21.9,21.8,21.9,14650,23,20.81,21.7,0.2,0.92,0,0,0
KHA,10/28/2004,22.2,22.2,22,22,10010,23.1,20.9,21.9,0.1,0.46,0,0,0
KHA,10/29/2004,22,22,21.9,21.9,9470,23,20.81,22,-0.1,-0.45,0,0,0
KHA,11/1/2004,21.8,21.8,21.8,21.8,13700,22.89,20.71,21.9,-0.1,-0.46,0,0,0
KHA,11/2/2004,21.8,21.9,21.8,21.9,7000,23,20.81,21.8,0.1,0.46,0,0,0
KHA,11/3/2004,21.9,21.9,21.9,21.9,4770,23,20.81,21.9,0,0,0,0,0
KHA,11/4/2004,21.8,21.9,21.8,21.9,7950,23,20.81,21.9,0,0,0,0,0
KHA,11/5/2004,21.9,21.9,21.9,21.9,6440,23,20.81,21.9,0,0,0,0,0
KHA,11/8/2004,22,22,21.9,21.9,5380,23,20.81,21.9,0,0,0,0,0
KHA,11/9/2004,21.8,21.8,21.7,21.7,17280,22.79,20.62,21.9,-0.2,-0.91,0,0,0
KHA,11/10/2004,21.7,21.7,21.7,21.7,17730,22.79,20.62,21.7,0,0,0,0,0
KHA,11/11/2004,21.6,21.6,21.4,21.4,20920,22.47,20.33,21.7,-0.3,-1.38,0,0,0
KHA,11/12/2004,21.2,21.2,20.9,20.9,27900,21.95,19.86,21.4,-0.5,-2.34,0,0,0
KHA,11/15/2004,20.9,21.3,20.9,21.3,27630,22.16,20.05,20.9,0.4,1.91,0,0,0
KHA,11/16/2004,21.5,21.5,21.3,21.3,5380,22.37,20.24,21.1,0.2,0.95,0,0,0
KHA,11/17/2004,21.3,21.4,21.3,21.4,5460,0,0,21.3,0.1,0.47,0,0,0
KHA,11/18/2004,21.4,21.4,21.3,21.3,5040,22.37,20.24,21.3,0,0,0,0,0
KHA,11/19/2004,21.4,21.4,21.4,21.4,290,22.47,20.33,21.3,0.1,0.47,0,0,0
KHA,11/22/2004,21.4,21.4,21.4,21.4,8410,22.47,20.33,21.4,0,0,0,0,0
KHA,11/23/2004,21.4,21.4,21.3,21.3,8700,22.37,20.24,21.4,-0.1,-0.47,0,0,0
KHA,11/24/2004,21.3,21.3,21.2,21.2,4150,22.26,20.14,21.3,-0.1,-0.47,0,0,0
KHA,11/25/2004,21.4,21.4,21.4,21.4,1230,22.47,20.33,21.2,0.2,0.94,0,0,0
KHA,11/26/2004,21.2,21.4,21.2,21.4,7170,22.47,20.33,21.4,0,0,0,0,0
KHA,11/29/2004,21.7,21.9,21.7,21.9,22460,23,20.81,21.4,0.5,2.34,0,0,0
KHA,11/30/2004,22.6,22.6,22.6,22.6,26780,23.73,21.47,21.9,0.7,3.2,0,0,0
KHA,12/1/2004,23,23,22.8,22.8,45770,23.94,21.66,22.6,0.2,0.88,0,0,0
KHA,12/2/2004,22.5,22.5,22.3,22.3,8920,23.42,21.19,22.8,-0.5,-2.19,0,0,0
KHA,12/3/2004,22.2,22.5,22.2,22.5,16140,23.63,21.38,22.3,0.2,0.9,0,0,0
KHA,12/6/2004,22.6,22.6,22.5,22.5,3820,23.63,21.38,22.5,0,0,0,0,0
KHA,12/7/2004,22.5,22.5,22.5,22.5,8290,23.63,21.38,22.5,0,0,0,0,0
KHA,12/8/2004,22.4,22.4,22.3,22.3,8230,23.42,21.19,22.5,-0.2,-0.89,0,0,0
KHA,12/9/2004,22.6,22.6,22.4,22.4,890,23.52,21.28,22.3,0.1,0.45,0,0,0
KHA,12/10/2004,22.6,22.6,22.6,22.6,6060,23.73,21.47,22.4,0.2,0.89,0,0,0
KHA,12/13/2004,22.7,22.7,22.5,22.5,7930,23.63,21.38,22.6,-0.1,-0.44,0,0,0
KHA,12/14/2004,22.5,22.5,22.5,22.5,16170,23.63,21.38,22.5,0,0,0,0,0
KHA,12/15/2004,22.7,23,22.7,23,19910,24.15,21.85,22.5,0.5,2.22,0,0,0
KHA,12/16/2004,23,23,22.9,22.9,7340,24.05,21.76,23,-0.1,-0.43,0,0,0
KHA,12/17/2004,22.8,23,22.8,23,37960,24.15,21.85,22.9,0.1,0.44,0,0,0
KHA,12/20/2004,23.2,23.2,23.2,23.2,37200,24.36,22.04,23,0.2,0.87,0,0,0
KHA,12/21/2004,23,23,23,23,37480,24.15,21.85,23.2,-0.2,-0.86,0,0,0
KHA,12/22/2004,23.2,23.3,23.2,23.3,16510,24.47,22.14,23,0.3,1.3,0,0,0
KHA,12/23/2004,23.6,24.1,23.6,24.1,34530,25.2,22.8,23.3,0.8,3.43,0,0,0
KHA,12/24/2004,25.1,25.3,25.1,25.3,60880,26.57,24.04,24,1.3,5.42,0,0,0
KHA,12/27/2004,25.3,25.3,25.1,25.1,55630,26.36,23.85,25.3,-0.2,-0.79,0,0,0
KHA,12/28/2004,25.1,25.1,24.9,24.9,16720,26.15,23.66,25.1,-0.2,-0.8,0,0,0
