labels 1 0 -1
-1 -1 1.41557480086268E-08 1.69899768716191E-08 0.999999968854275 
-1 -1 2.30286876254169E-09 2.76364171973301E-09 0.99999999493349 
-1 -1 4.56773645310741E-10 5.48145671711631E-10 0.999999998995081 
-1 -1 1.19118447042311E-10 1.42944403262424E-10 0.999999999737937 
-1 -1 6.15923716653479E-11 7.39116896358865E-11 0.999999999864496 
-1 -1 2.2912527578563E-11 2.7495220471123E-11 0.999999999949592 
-1 -1 8.2901572075992E-12 9.94822862309302E-12 0.999999999981762 
-1 -1 4.21891294823417E-12 5.06271005713915E-12 0.999999999990718 
-1 -1 8.40510305138592E-12 1.00861653068643E-11 0.999999999981509 
-1 -1 1.25968610588414E-11 1.51163093851957E-11 0.999999999972287 
-1 -1 9.23455468974218E-12 1.10815111721573E-11 0.999999999979684 
-1 -1 9.38916233308762E-08 1.12723379296475E-07 0.999999793384997 
-1 -1 2.92545813528381E-07 3.51348963525198E-07 0.999999356105223 
-1 -1 6.20997755895081E-07 7.46106759441266E-07 0.999998632895485 
-1 -1 9.00697157322478E-07 1.08242511970814E-06 0.999998016877723 
-1 -1 1.03259739245203E-06 1.24106573886136E-06 0.999997726336869 
-1 -1 1.46810543188554E-06 1.76502811539824E-06 0.999996766866453 
-1 -1 3.08243869197631E-07 3.70208826292526E-07 0.999999321547305 
-1 -1 1.20347589990061E-08 1.44440633909206E-08 0.999999973521178 
-1 -1 2.04184919807541E-11 2.45019354235481E-11 0.999999999955079 
-1 -1 4.85310346672964E-11 5.82366221272906E-11 0.999999999893232 
-1 -1 2.25470359574363E-10 2.70556350365587E-10 0.999999999503973 
-1 -1 5.85514665681311E-10 7.02590995960253E-10 0.999999998711894 
-1 -1 4.39199762302819E-10 5.27018825258379E-10 0.999999999033781 
-1 -1 6.21738763134161E-10 7.46045904619829E-10 0.999999998632215 
-1 -1 8.75072524602581E-10 1.05004106469779E-09 0.999999998074886 
-1 -1 1.13163454271472E-09 1.35790517196663E-09 0.99999999751046 
-1 -1 1.46591844428481E-09 1.75903869457474E-09 0.999999996775043 
-1 -1 1.86818038261417E-09 2.24176021645622E-09 0.999999995890059 
-1 -1 2.59411675261973E-09 3.11291334745083E-09 0.99999999429297 
-1 -1 4.11202940408673E-09 4.93452147262981E-09 0.999999990953449 
-1 -1 7.14117612980817E-09 8.56988240069473E-09 0.999999984288941 
