MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TRI,10/4/2004,21.5,21.5,21.4,21.4,5010,22.47,20.33,21.3,0.1,0.47,0,0,0
TRI,10/5/2004,21.4,21.4,21.3,21.3,1000,22.37,20.24,21.4,-0.1,-0.47,0,0,0
TRI,10/6/2004,21.3,21.4,21.3,21.4,300,22.47,20.33,21.3,0.1,0.47,0,0,0
TRI,10/7/2004,21.4,21.4,21.4,21.4,90,22.47,20.33,21.4,0,0,0,0,0
TRI,10/8/2004,21.4,21.4,21.4,21.4,100,22.47,20.33,21.4,0,0,0,0,0
TRI,10/11/2004,20.9,21.2,20.9,21.2,4690,22.26,20.14,21.4,-0.2,-0.93,0,0,0
TRI,10/12/2004,21.2,21.2,21.2,21.2,190,22.26,20.14,21.2,0,0,0,0,0
TRI,10/13/2004,21.2,21.2,20.9,20.9,2200,21.95,19.86,21.2,-0.3,-1.42,0,0,0
TRI,10/14/2004,21,21,21,21,870,22.05,19.95,20.9,0.1,0.48,0,0,0
TRI,10/15/2004,21,21,21,21,370,22.05,19.95,21,0,0,0,0,0
TRI,10/18/2004,21,21.3,21,21.3,350,22.37,20.24,21,0.3,1.43,0,0,0
TRI,10/19/2004,21.3,21.3,21.3,21.3,1810,22.37,20.24,21.3,0,0,0,0,0
TRI,10/20/2004,21.4,21.4,21.3,21.3,2460,22.37,20.24,21.3,0,0,0,0,0
TRI,10/21/2004,21.3,21.3,21.3,21.3,6500,22.37,20.24,21.3,0,0,0,0,0
TRI,10/22/2004,21.3,21.3,21.3,21.3,1230,22.37,20.24,21.3,0,0,0,0,0
TRI,10/25/2004,21.2,21.2,21.2,21.2,8250,22.26,20.14,21.3,-0.1,-0.47,0,0,0
TRI,10/26/2004,21,21.1,21,21.1,3670,22.16,20.05,21.2,-0.1,-0.47,0,0,0
TRI,10/27/2004,21.1,21.1,20.9,20.9,720,21.95,19.86,21.1,-0.2,-0.95,0,0,0
TRI,10/28/2004,20.9,21,20.9,21,1340,22.05,19.95,20.9,0.1,0.48,0,0,0
TRI,10/29/2004,21,21,21,21,3010,22.05,19.95,21,0,0,0,0,0
TRI,11/1/2004,21,21,21,21,2300,22.05,19.95,21,0,0,0,0,0
TRI,11/2/2004,21,21,21,21,3200,22.05,19.95,21,0,0,0,0,0
TRI,11/3/2004,21,21,21,21,1010,22.05,19.95,21,0,0,0,0,0
TRI,11/4/2004,20.8,20.9,20.8,20.9,360,21.95,19.86,21,-0.1,-0.48,0,0,0
TRI,11/5/2004,20.9,20.9,20.9,20.9,200,21.95,19.86,20.9,0,0,0,0,0
TRI,11/8/2004,21,21,20.9,20.9,400,21.95,19.86,20.9,0,0,0,0,0
TRI,11/9/2004,20.9,20.9,20.9,20.9,940,21.95,19.86,20.9,0,0,0,0,0
TRI,11/10/2004,20.9,20.9,20.7,20.7,500,21.74,19.67,20.9,-0.2,-0.96,0,0,0
TRI,11/11/2004,20.7,20.7,20.5,20.5,5070,21.53,19.48,20.7,-0.2,-0.97,0,0,0
TRI,11/12/2004,20,20.3,20,20.3,6500,21.32,19.29,20.5,-0.2,-0.98,0,0,0
TRI,11/15/2004,20.1,20.2,20.1,20.2,7460,21.21,19.19,20.3,-0.1,-0.49,0,0,0
TRI,11/16/2004,20.1,20.1,20.1,20.1,210,21.11,19.1,20.2,-0.1,-0.5,0,0,0
TRI,11/17/2004,20.1,20.1,20,20,1750,21,19,20.1,-0.1,-0.5,0,0,0
TRI,11/18/2004,20,20.1,20,20.1,8290,21.11,19.1,20,0.1,0.5,0,0,0
TRI,11/19/2004,20.4,20.4,20.4,20.4,4190,21.42,19.38,20.1,0.3,1.49,0,0,0
TRI,11/22/2004,20.4,20.4,20.2,20.2,550,21.21,19.19,20.4,-0.2,-0.98,0,0,0
