MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
AGF,9/28/2004,36,36,36,36,760,37.8,34.2,36,0,0,0,0,0
AGF,9/29/2004,36,36,36,36,6300,37.8,34.2,36,0,0,0,0,0
AGF,9/30/2004,36,36.4,36,36.4,1530,38.22,34.58,36,0.4,1.11,0,0,0
AGF,10/1/2004,36.4,36.4,36,36,150,37.8,34.2,36.4,-0.4,-1.1,0,0,0
AGF,10/4/2004,36,36,36,36,1010,37.8,34.2,36,0,0,0,0,0
AGF,10/5/2004,36,36,36,36,530,37.8,34.2,36,0,0,0,0,0
AGF,10/6/2004,36,36,36,36,1050,37.8,34.2,36,0,0,0,0,0
AGF,10/7/2004,36,36,36,36,1550,37.8,34.2,36,0,0,0,0,0
AGF,10/8/2004,36.1,36.1,36.1,36.1,520,37.91,34.3,36,0.1,0.28,0,0,0
AGF,10/11/2004,36.1,36.3,36.1,36.3,50,38.12,34.49,36.1,0.2,0.55,0,0,0
AGF,10/12/2004,36.3,36.3,36.1,36.1,4000,37.91,34.3,36.3,-0.2,-0.55,0,0,0
AGF,10/13/2004,36.1,36.1,36,36,11940,37.8,34.2,36.1,-0.1,-0.28,0,0,0
AGF,10/14/2004,36,36,36,36,4000,37.8,34.2,36,0,0,0,0,0
AGF,10/15/2004,36,36,36,36,3100,37.8,34.2,36,0,0,0,0,0
AGF,10/18/2004,36,36.2,36,36.2,30,38.01,34.39,36,0.2,0.56,0,0,0
AGF,10/19/2004,36.2,36.2,36.2,36.2,2790,38.01,34.39,36.2,0,0,0,0,0
AGF,10/20/2004,36.2,36.2,36.2,36.2,3500,38.01,34.39,36.2,0,0,0,0,0
AGF,10/21/2004,36,36.1,36,36.1,460,37.91,34.3,36.2,-0.1,-0.28,0,0,0
AGF,10/22/2004,36.1,36.1,36.1,36.1,1520,37.91,34.3,36.1,0,0,0,0,0
AGF,10/25/2004,36.1,36.1,36.1,36.1,2120,37.91,34.3,36.1,0,0,0,0,0
AGF,10/26/2004,36.1,36.1,36,36,2570,37.8,34.2,36.1,-0.1,-0.28,0,0,0
AGF,10/27/2004,36.2,36.2,36,36,5000,37.8,34.2,36,0,0,0,0,0
AGF,10/28/2004,36,36,36,36,2020,37.8,34.2,36,0,0,0,0,0
AGF,10/29/2004,36,36,36,36,3000,37.8,34.2,36,0,0,0,0,0
AGF,11/1/2004,36,36,35.9,35.9,2010,37.7,34.1,36,-0.1,-0.28,0,0,0
AGF,11/2/2004,35.8,35.8,35.5,35.5,2530,37.28,33.73,35.9,-0.4,-1.11,0,0,0
AGF,11/3/2004,35.4,35.4,35.1,35.1,4920,36.85,33.35,35.5,-0.4,-1.13,0,0,0
AGF,11/4/2004,35.1,35.5,35.1,35.5,500,37.28,33.73,35.1,0.4,1.14,0,0,0
