MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
BT6,9/28/2004,30,30,30,30,4940,31.5,28.5,29.9,0.1,0.33,0,0,0
BT6,9/29/2004,30.6,30.6,30.5,30.5,9790,32.03,28.98,30,0.5,1.67,0,0,0
BT6,9/30/2004,31,31,31,31,8910,32.55,29.45,30.5,0.5,1.64,0,0,0
BT6,10/1/2004,31.5,31.5,31.5,31.5,5210,33.08,29.93,31,0.5,1.61,0,0,0
BT6,10/4/2004,31.5,31.5,31.5,31.5,10,33.08,29.93,31.5,0,0,0,0,0
BT6,10/5/2004,30.8,31.5,30.8,31.5,4300,33.08,29.93,31.5,0,0,0,0,0
BT6,10/6/2004,31.5,32,31.5,32,700,33.6,30.4,31.5,0.5,1.59,0,0,0
BT6,10/7/2004,32,32,32,32,1000,33.6,30.4,32,0,0,0,0,0
BT6,10/8/2004,32,32,32,32,3040,33.6,30.4,32,0,0,0,0,0
BT6,10/11/2004,31.4,31.4,31.4,31.4,1910,32.97,29.83,32,-0.6,-1.88,0,0,0
BT6,10/12/2004,31.4,31.4,31.4,31.4,5000,32.97,29.83,31.4,0,0,0,0,0
BT6,10/13/2004,31.4,31.5,31.4,31.5,290,33.08,29.93,31.4,0.1,0.32,0,0,0
BT6,10/14/2004,31.1,31.5,31.1,31.5,1010,33.08,29.93,31.5,0,0,0,0,0
BT6,10/15/2004,31.1,31.8,31.1,31.8,860,33.39,30.21,31.5,0.3,0.95,0,0,0
BT6,10/18/2004,31.9,31.9,31.9,31.9,3100,33.49,30.31,31.8,0.1,0.31,0,0,0
BT6,10/19/2004,32.2,32.2,32.2,32.2,6410,33.81,30.59,31.9,0.3,0.94,0,0,0
BT6,10/20/2004,32.5,32.5,32.2,32.2,2400,33.81,30.59,32.2,0,0,0,0,0
BT6,10/21/2004,32.2,32.2,31.8,31.8,10,33.39,30.21,32.2,-0.4,-1.24,0,0,0
BT6,10/22/2004,31.8,31.8,31.7,31.7,960,33.28,30.12,31.8,-0.1,-0.31,0,0,0
BT6,10/25/2004,31.7,31.7,31.6,31.6,380,33.18,30.02,31.7,-0.1,-0.32,0,0,0
BT6,10/26/2004,31.6,31.6,31.6,31.6,0,33.18,30.02,31.6,0,0,0,0,0
BT6,10/27/2004,31.6,32,31.6,32,2000,33.6,30.4,31.6,0.4,1.27,0,0,0
BT6,10/28/2004,32,32,32,32,5130,33.6,30.4,32,0,0,0,0,0
BT6,10/29/2004,32.2,32.2,32.2,32.2,1080,33.81,30.59,32,0.2,0.63,0,0,0
BT6,11/1/2004,32.2,32.2,32.2,32.2,0,33.81,30.59,32.2,0,0,0,0,0
BT6,11/2/2004,32.2,32.2,32.2,32.2,5400,33.81,30.59,32.2,0,0,0,0,0
BT6,11/3/2004,32.2,32.2,32,32,160,33.6,30.4,32.2,-0.2,-0.62,0,0,0
BT6,11/4/2004,31.5,31.5,31.5,31.5,400,33.08,29.93,32,-0.5,-1.56,0,0,0
BT6,11/5/2004,31.5,31.5,31.5,31.5,440,33.08,29.93,31.5,0,0,0,0,0
BT6,11/8/2004,31.5,31.5,31.5,31.5,150,33.08,29.93,31.5,0,0,0,0,0
BT6,11/9/2004,31.5,31.5,31.5,31.5,1630,33.08,29.93,31.5,0,0,0,0,0
BT6,11/10/2004,30.9,31.4,30.9,31.4,1250,32.97,29.83,31.5,-0.1,-0.32,0,0,0
BT6,11/11/2004,32,32,31.5,31.5,7050,33.08,29.93,31.4,0.1,0.32,0,0,0
