MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SAM,9/28/2004,37.3,37.3,37.3,37.3,1000,39.17,35.44,37.3,0,0,0,0,0
SAM,9/29/2004,37.2,37.3,37.2,37.3,7540,39.17,35.44,37.3,0,0,0,0,0
SAM,9/30/2004,37.5,37.5,37.2,37.2,4350,39.06,35.34,37.3,-0.1,-0.27,0,0,0
SAM,10/1/2004,37.2,37.2,37.1,37.1,7350,38.96,35.24,37.2,-0.1,-0.27,0,0,0
SAM,10/4/2004,37.1,37.2,37.1,37.2,16620,39.06,35.34,37.1,0.1,0.27,0,0,0
SAM,10/5/2004,37.2,37.2,37.1,37.1,5310,38.96,35.24,37.2,-0.1,-0.27,0,0,0
SAM,10/6/2004,37.1,37.2,37.1,37.2,5310,39.06,35.34,37.1,0.1,0.27,0,0,0
SAM,10/7/2004,37.2,37.2,37.2,37.2,200,39.06,35.34,37.2,0,0,0,0,0
SAM,10/8/2004,37,37.1,37,37.1,5710,38.96,35.24,37.2,-0.1,-0.27,0,0,0
SAM,10/11/2004,37,37,36.7,36.7,11520,38.53,34.87,37.1,-0.4,-1.08,0,0,0
SAM,10/12/2004,36.6,36.6,36.5,36.5,10430,38.33,34.67,36.7,-0.2,-0.54,0,0,0
SAM,10/13/2004,36.5,36.6,36.5,36.6,9400,38.43,34.77,36.5,0.1,0.27,0,0,0
SAM,10/14/2004,36.5,36.5,36.5,36.5,19390,38.33,34.67,36.6,-0.1,-0.27,0,0,0
SAM,10/15/2004,36.6,36.6,36.6,36.6,20880,38.43,34.77,36.5,0.1,0.27,0,0,0
SAM,10/18/2004,36.6,36.6,36.6,36.6,17480,38.43,34.77,36.6,0,0,0,0,0
SAM,10/19/2004,37,37,37,37,12220,38.85,35.15,36.6,0.4,1.09,0,0,0
SAM,10/20/2004,37,37,37,37,10400,38.85,35.15,37,0,0,0,0,0
SAM,10/21/2004,37,37,36.8,36.8,7210,38.64,34.96,37,-0.2,-0.54,0,0,0
SAM,10/22/2004,36.8,36.8,36.6,36.6,2700,38.43,34.77,36.8,-0.2,-0.54,0,0,0
SAM,10/25/2004,36.6,36.6,36.5,36.5,8900,38.33,34.67,36.6,-0.1,-0.27,0,0,0
SAM,10/26/2004,36.5,36.5,36.4,36.4,15490,38.22,34.58,36.5,-0.1,-0.27,0,0,0
SAM,10/27/2004,36.4,36.4,36.4,36.4,6350,38.22,34.58,36.4,0,0,0,0,0
SAM,10/28/2004,36.6,36.6,36.5,36.5,7680,38.33,34.67,36.4,0.1,0.27,0,0,0
SAM,10/29/2004,36.5,36.5,36.3,36.3,23870,38.12,34.49,36.5,-0.2,-0.55,0,0,0
SAM,11/1/2004,36.3,36.3,36.2,36.2,4150,38.01,34.39,36.3,-0.1,-0.28,0,0,0
SAM,11/2/2004,36.2,36.2,36.2,36.2,13070,38.01,34.39,36.2,0,0,0,0,0
SAM,11/3/2004,36.2,36.2,36.2,36.2,4800,38.01,34.39,36.2,0,0,0,0,0
SAM,11/4/2004,36.2,36.2,36.1,36.1,720,37.91,34.3,36.2,-0.1,-0.28,0,0,0
SAM,11/5/2004,36.1,36.2,36.1,36.2,6000,38.01,34.39,36.1,0.1,0.28,0,0,0
SAM,11/8/2004,36.2,36.2,36.1,36.1,900,37.91,34.3,36.2,-0.1,-0.28,0,0,0
SAM,11/9/2004,35.9,35.9,35.9,35.9,9700,37.7,34.1,36.1,-0.2,-0.55,0,0,0
SAM,11/10/2004,36,36,35.9,35.9,5480,37.7,34.1,35.9,0,0,0,0,0
SAM,11/11/2004,35.9,35.9,35.9,35.9,6520,37.7,34.1,35.9,0,0,0,0,0
SAM,11/12/2004,35.9,35.9,35.9,35.9,25850,37.7,34.1,35.9,0,0,0,0,0
SAM,11/15/2004,35.9,36,35.9,36,450,37.8,34.2,35.9,0.1,0.28,0,0,0
SAM,11/16/2004,36,36,35.8,35.8,5700,37.59,34.01,36,-0.2,-0.56,0,0,0
SAM,11/17/2004,35.8,35.8,35.7,35.7,5420,0,0,35.8,-0.1,-0.28,0,0,0
SAM,11/18/2004,35.7,35.7,35.7,35.7,1600,37.49,33.92,35.8,-0.1,-0.28,0,0,0
SAM,11/19/2004,35.2,35.2,35.2,35.2,2500,36.96,33.44,35.7,-0.5,-1.4,0,0,0
SAM,11/22/2004,35.4,35.4,35.2,35.2,8050,36.96,33.44,35.2,0,0,0,0,0
