<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BMP,07/01/2011,35.0,35.0,34.2,34.4,5040
BMP,06/30/2011,35.0,36.0,35.0,36.0,3240
BMP,06/29/2011,35.1,36.7,35.1,36.0,2140
BMP,06/28/2011,36.5,36.5,36.2,36.2,3410
BMP,06/27/2011,37.5,38.0,36.2,36.2,7430
BMP,06/24/2011,38.0,38.0,36.6,38.0,20
BMP,06/23/2011,35.7,38.0,35.7,38.0,260
BMP,06/22/2011,37.1,38.7,37.1,37.3,840
BMP,06/21/2011,36.8,39.0,36.8,38.8,2530
BMP,06/20/2011,36.5,38.5,36.2,38.5,1810
BMP,06/17/2011,38.0,38.0,37.0,38.0,1550
BMP,06/16/2011,37.0,38.0,37.0,38.0,1510
BMP,06/15/2011,39.0,39.0,37.1,37.1,4300
BMP,06/14/2011,39.0,39.0,39.0,39.0,19010
BMP,06/13/2011,38.0,39.5,38.0,38.5,3700
BMP,06/10/2011,36.0,38.0,36.0,38.0,2100
BMP,06/09/2011,35.9,37.0,35.9,37.0,900
BMP,06/08/2011,37.0,37.2,37.0,37.2,2670
BMP,06/07/2011,36.7,37.1,36.7,37.0,2180
BMP,06/06/2011,36.1,36.4,36.1,36.4,510
BMP,06/03/2011,37.2,37.3,37.2,37.3,1150
BMP,06/02/2011,40.2,40.2,37.2,37.2,1360
BMP,06/01/2011,37.2,38.4,37.0,38.4,2980
BMP,05/31/2011,38.4,38.4,38.3,38.3,40080
BMP,05/30/2011,36.6,36.6,36.6,36.6,660
BMP,05/27/2011,36.0,36.6,36.0,36.6,1330
BMP,05/26/2011,34.0,36.6,34.0,36.6,2960
BMP,05/25/2011,35.3,37.0,35.2,35.2,53720
BMP,05/24/2011,36.5,37.2,36.5,37.0,23230
BMP,05/23/2011,38.6,38.6,37.2,37.2,11120
BMP,05/20/2011,38.6,38.6,38.1,38.5,22360
BMP,05/19/2011,38.5,38.5,38.5,38.5,12940
BMP,05/18/2011,38.5,38.5,38.0,38.5,19900
BMP,05/17/2011,39.0,39.0,38.0,38.5,28830
BMP,05/16/2011,38.7,38.8,38.7,38.7,13610
BMP,05/13/2011,38.0,39.1,38.0,39.1,24800
BMP,05/12/2011,39.0,39.0,39.0,39.0,40700
BMP,05/11/2011,38.6,40.0,38.6,39.0,14630
BMP,05/10/2011,38.2,38.7,38.2,38.6,4130
BMP,05/09/2011,38.2,38.2,38.2,38.2,2000
BMP,05/06/2011,38.1,38.2,38.1,38.2,3250
BMP,05/05/2011,39.8,39.8,38.1,38.1,7270
BMP,05/04/2011,38.0,38.0,38.0,38.0,2470
BMP,04/29/2011,38.8,39.3,38.8,39.3,20510
BMP,04/28/2011,38.6,38.8,38.5,38.8,32280
BMP,04/27/2011,38.5,39.0,38.5,38.8,40160
BMP,04/26/2011,38.5,38.9,38.5,38.9,30100
