<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HTV,07/01/2011,9.3,9.5,9.3,9.5,570
HTV,06/30/2011,9.5,9.5,9.4,9.4,1680
HTV,06/29/2011,9.6,9.6,9.5,9.5,3860
HTV,06/28/2011,9.7,9.8,9.6,9.6,4100
HTV,06/27/2011,9.7,9.9,9.7,9.9,2220
HTV,06/24/2011,9.7,9.7,9.5,9.7,660
HTV,06/23/2011,9.6,9.7,9.5,9.5,6900
HTV,06/22/2011,9.9,9.9,9.6,9.8,11820
HTV,06/21/2011,9.7,9.8,9.6,9.6,14670
HTV,06/20/2011,9.5,9.7,9.5,9.7,16720
HTV,06/17/2011,9.8,9.8,9.6,9.8,7730
HTV,06/16/2011,9.5,9.8,9.4,9.6,10370
HTV,06/15/2011,9.8,9.8,9.6,9.7,12790
HTV,06/14/2011,9.9,10.1,9.9,10.0,57060
HTV,06/13/2011,9.7,9.9,9.5,9.7,11500
HTV,06/10/2011,9.9,9.9,9.7,9.7,9510
HTV,06/09/2011,9.6,9.8,9.1,9.6,15160
HTV,06/08/2011,9.9,9.9,9.4,9.4,8670
HTV,06/07/2011,9.6,9.6,9.6,9.6,900
HTV,06/06/2011,9.2,9.2,9.0,9.2,10000
HTV,06/03/2011,10.0,10.0,9.2,9.2,7220
HTV,06/02/2011,9.4,9.6,9.4,9.6,14930
HTV,06/01/2011,9.0,9.5,9.0,9.2,3710
HTV,05/31/2011,9.0,9.2,8.7,9.2,6320
HTV,05/30/2011,9.2,9.2,9.1,9.1,3290
HTV,05/27/2011,9.5,9.5,9.4,9.5,2800
HTV,05/26/2011,8.4,9.2,8.4,9.1,19610
HTV,05/25/2011,8.9,8.9,8.8,8.8,48120
HTV,05/24/2011,9.7,9.7,9.2,9.2,41290
HTV,05/23/2011,10.0,10.0,9.5,9.6,10800
HTV,05/20/2011,10.1,10.1,10.0,10.0,9870
HTV,05/19/2011,10.5,10.5,10.0,10.0,9400
HTV,05/18/2011,10.5,10.5,10.4,10.5,7290
HTV,05/17/2011,10.7,10.7,10.6,10.6,12140
HTV,05/16/2011,10.7,10.7,10.6,10.7,8180
HTV,05/13/2011,10.5,10.9,10.5,10.9,5560
HTV,05/12/2011,10.3,10.7,10.3,10.5,2420
HTV,05/11/2011,10.5,10.6,10.5,10.6,970
HTV,05/10/2011,10.5,10.7,10.5,10.6,2130
HTV,05/09/2011,10.6,10.6,10.2,10.5,15420
HTV,05/06/2011,10.3,10.5,10.3,10.5,1150
HTV,05/05/2011,10.3,10.5,10.3,10.5,1280
HTV,05/04/2011,10.7,10.9,10.5,10.5,3310
HTV,04/29/2011,11.0,11.0,10.8,10.8,1210
HTV,04/28/2011,10.7,10.8,10.7,10.8,1130
HTV,04/27/2011,10.9,10.9,10.5,10.8,810
HTV,04/26/2011,10.7,10.8,10.7,10.8,2620
HTV,04/25/2011,10.4,10.9,10.4,10.9,14390
HTV,04/22/2011,11.0,11.0,10.6,10.6,12930
HTV,04/21/2011,11.2,11.2,10.6,10.9,2900
HTV,04/20/2011,11.2,11.2,10.9,10.9,2670
HTV,04/19/2011,11.1,11.4,11.1,11.1,14210
HTV,04/18/2011,11.8,11.9,11.4,11.4,17930
HTV,04/15/2011,11.6,11.6,11.6,11.9,140
HTV,04/14/2011,11.7,11.7,11.6,11.6,5500
