<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KHP,07/01/2011,7.8,7.9,7.8,7.9,16620
KHP,06/30/2011,7.8,7.9,7.8,7.9,20640
KHP,06/29/2011,7.9,8.0,7.9,8.0,11420
KHP,06/28/2011,7.8,7.9,7.8,7.9,24270
KHP,06/27/2011,7.9,8.0,7.8,7.9,38360
KHP,06/24/2011,8.0,8.0,7.9,8.0,28710
KHP,06/23/2011,8.0,8.0,7.9,8.0,31830
KHP,06/22/2011,8.1,8.1,8.0,8.0,26760
KHP,06/21/2011,8.0,8.1,8.0,8.0,23310
KHP,06/20/2011,7.9,8.0,7.9,7.9,25080
KHP,06/17/2011,8.2,8.2,7.9,7.9,30630
KHP,06/16/2011,7.9,8.2,7.9,8.2,18250
KHP,06/15/2011,8.3,8.3,8.0,8.0,42290
KHP,06/14/2011,8.2,8.6,8.2,8.3,37370
KHP,06/13/2011,8.1,8.4,8.1,8.4,16780
KHP,06/10/2011,8.4,8.6,8.4,8.4,48810
KHP,06/09/2011,8.3,8.4,8.0,8.4,13710
KHP,06/08/2011,8.2,8.3,8.0,8.2,56900
KHP,06/07/2011,8.0,8.1,7.9,8.1,39080
KHP,06/06/2011,8.0,8.0,7.7,7.8,17990
KHP,06/03/2011,8.3,8.3,7.6,8.0,48570
KHP,06/02/2011,7.9,8.0,7.9,8.0,51510
KHP,06/01/2011,7.3,7.7,7.3,7.7,71480
KHP,05/31/2011,7.4,7.4,7.3,7.4,21390
KHP,05/30/2011,7.5,7.6,7.3,7.4,28570
KHP,05/27/2011,7.4,7.6,7.4,7.6,19850
KHP,05/26/2011,7.0,7.4,7.0,7.4,80800
KHP,05/25/2011,7.3,7.8,7.3,7.3,37830
KHP,05/24/2011,7.6,7.7,7.6,7.6,46900
KHP,05/23/2011,7.9,7.9,7.6,7.9,28300
KHP,05/20/2011,8.0,8.0,7.7,7.9,26610
KHP,05/19/2011,8.0,8.0,7.8,8.0,10130
