<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PVD,07/01/2011,39.5,39.5,37.7,37.8,127230
PVD,06/30/2011,41.5,41.5,39.5,39.5,239280
PVD,06/29/2011,42.2,42.2,41.4,41.5,49980
PVD,06/28/2011,42.5,43.0,42.1,42.2,49290
PVD,06/27/2011,43.0,43.5,42.5,42.5,107020
PVD,06/24/2011,43.3,44.0,43.1,43.3,60890
PVD,06/23/2011,44.3,44.7,43.9,43.9,102030
PVD,06/22/2011,45.0,45.0,44.3,44.7,95030
PVD,06/21/2011,44.0,44.9,44.0,44.7,125010
PVD,06/20/2011,44.3,45.5,44.0,44.0,101500
PVD,06/17/2011,46.4,46.5,44.1,44.3,426960
PVD,06/16/2011,46.3,46.4,46.2,46.4,175260
PVD,06/15/2011,46.0,46.5,46.0,46.3,120870
PVD,06/14/2011,47.5,48.0,46.0,46.0,139350
PVD,06/13/2011,47.9,48.4,47.2,47.2,71400
PVD,06/10/2011,47.6,49.0,47.6,48.5,114130
PVD,06/09/2011,48.8,49.0,48.6,48.8,41880
PVD,06/08/2011,50.0,50.0,48.3,48.8,147780
PVD,06/07/2011,49.4,49.4,48.9,49.0,169990
PVD,06/06/2011,49.0,49.0,47.0,47.5,179320
PVD,06/03/2011,51.0,51.0,48.5,48.5,211850
PVD,06/02/2011,49.0,51.0,49.0,51.0,151710
PVD,06/01/2011,46.1,48.6,46.1,48.6,288370
PVD,05/31/2011,45.4,47.0,45.4,47.0,144110
PVD,05/30/2011,47.5,47.5,45.0,47.0,147340
PVD,05/27/2011,47.0,47.0,46.0,47.0,232920
PVD,05/26/2011,43.4,47.0,43.4,46.0,235160
PVD,05/25/2011,46.9,47.0,45.6,45.6,315030
PVD,05/24/2011,48.0,48.5,47.7,48.0,128330
PVD,05/23/2011,50.0,50.0,49.0,49.0,174010
PVD,05/20/2011,50.0,51.0,50.0,50.0,119700
PVD,05/19/2011,51.5,51.5,51.0,51.5,46040
PVD,05/18/2011,50.5,51.5,49.9,51.5,121220
PVD,05/17/2011,51.0,51.0,49.5,50.5,128660
PVD,05/16/2011,51.0,51.5,50.0,50.0,173680
PVD,05/13/2011,51.5,51.5,51.0,51.0,171800
PVD,05/12/2011,51.5,52.0,51.0,51.0,68620
PVD,05/11/2011,52.5,52.5,51.5,51.5,176900
PVD,05/10/2011,51.5,52.5,51.5,52.5,149610
PVD,05/09/2011,51.0,52.5,51.0,52.0,171010
PVD,05/06/2011,52.0,52.0,51.5,51.5,107610
PVD,05/05/2011,52.0,52.5,51.5,52.5,115100
PVD,05/04/2011,50.5,52.5,50.5,52.0,124990
PVD,04/29/2011,51.5,51.5,51.0,51.0,52700
PVD,04/28/2011,51.0,51.0,50.0,51.0,34590
PVD,04/27/2011,50.5,51.5,50.0,51.5,107170
PVD,04/26/2011,51.5,51.5,51.0,51.5,56840
PVD,04/25/2011,50.0,51.5,50.0,51.0,64180
PVD,04/22/2011,50.0,50.5,49.5,49.5,49020
PVD,04/21/2011,51.5,51.5,51.0,51.5,37260
PVD,04/20/2011,51.5,52.0,51.0,51.5,60420
PVD,04/19/2011,51.5,51.5,50.0,51.5,65670
PVD,04/18/2011,52.5,52.5,50.5,50.5,204830
PVD,04/15/2011,54.0,53.5,53.0,53.0,172660
PVD,04/14/2011,53.5,53.5,52.5,53.5,99540
PVD,04/13/2011,52.0,54.5,52.0,53.5,290230
PVD,04/08/2011,51.5,54.0,51.5,54.0,245070
PVD,04/07/2011,51.0,52.5,51.0,52.0,222470
PVD,04/06/2011,50.0,51.5,50.0,51.5,126870
PVD,04/05/2011,50.5,50.5,50.0,50.5,61020
PVD,04/04/2011,49.8,50.5,49.8,50.5,129370
PVD,04/01/2011,50.0,50.0,49.8,50.0,44820
PVD,03/31/2011,50.0,50.0,49.6,49.9,61310
PVD,03/30/2011,49.5,50.0,49.3,49.5,78360
