<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SAM,07/01/2011,7.3,7.3,7.0,7.1,391290
SAM,06/30/2011,7.4,7.5,7.3,7.3,205490
SAM,06/29/2011,7.5,7.5,7.3,7.4,372710
SAM,06/28/2011,7.6,7.7,7.5,7.5,405010
SAM,06/27/2011,7.8,7.9,7.7,7.7,346170
SAM,06/24/2011,7.9,8.1,7.8,7.9,289670
SAM,06/23/2011,8.0,8.2,8.0,8.0,317150
SAM,06/22/2011,8.3,8.4,8.0,8.1,629330
SAM,06/21/2011,7.9,8.1,7.9,8.1,1256590
SAM,06/20/2011,7.8,7.8,7.5,7.8,1818530
SAM,06/17/2011,7.4,7.5,7.2,7.5,1431310
SAM,06/16/2011,7.1,7.5,7.1,7.4,1090510
SAM,06/15/2011,7.7,7.8,7.4,7.4,1076580
SAM,06/14/2011,7.8,7.9,7.5,7.8,1891680
SAM,06/13/2011,7.5,7.5,7.4,7.5,639880
SAM,06/10/2011,7.1,7.1,7.1,7.1,74520
SAM,06/09/2011,6.7,6.9,6.7,6.8,548470
SAM,06/08/2011,6.9,7.0,6.7,6.9,657950
SAM,06/07/2011,6.7,6.7,6.6,6.7,583100
SAM,06/06/2011,6.1,6.4,6.1,6.4,368890
SAM,06/03/2011,6.4,6.4,6.0,6.2,1089650
SAM,06/02/2011,6.2,6.2,6.2,6.1,95210
SAM,06/01/2011,5.6,5.8,5.5,5.9,221730
SAM,05/31/2011,5.3,5.7,5.3,5.6,315640
SAM,05/30/2011,5.6,5.7,5.4,5.5,714390
SAM,05/27/2011,5.3,5.3,5.2,5.4,379310
SAM,05/26/2011,4.7,5.1,4.7,5.1,574180
SAM,05/25/2011,5.0,5.0,4.9,4.9,283040
SAM,05/24/2011,5.5,5.5,5.2,5.2,498340
SAM,05/23/2011,5.7,5.8,5.5,5.5,200760
SAM,05/20/2011,5.9,5.9,5.7,5.8,168480
SAM,05/19/2011,6.0,6.0,5.8,5.9,171200
SAM,05/18/2011,6.2,6.2,5.9,6.0,204430
SAM,05/17/2011,6.5,6.5,6.1,6.1,265380
SAM,05/16/2011,6.4,6.7,6.4,6.4,248440
SAM,05/13/2011,6.5,6.6,6.5,6.5,154700
SAM,05/12/2011,6.6,6.8,6.5,6.6,318830
SAM,05/11/2011,6.7,6.7,6.6,6.7,112440
SAM,05/10/2011,6.8,6.8,6.7,6.7,118740
SAM,05/09/2011,6.7,6.8,6.6,6.8,88670
SAM,05/06/2011,6.8,6.9,6.7,6.7,92250
SAM,05/05/2011,6.7,6.9,6.7,6.8,163650
SAM,05/04/2011,6.8,7.0,6.8,6.8,108030
SAM,04/29/2011,6.7,6.9,6.7,6.9,172550
SAM,04/28/2011,7.0,7.1,6.8,6.8,174240
SAM,04/27/2011,7.1,7.3,6.9,7.0,281480
SAM,04/26/2011,7.3,7.5,7.1,7.1,192410
SAM,04/25/2011,7.2,7.4,7.2,7.4,212380
SAM,04/22/2011,7.3,7.3,7.0,7.1,165680
SAM,04/21/2011,7.4,7.4,7.2,7.2,99880
SAM,04/20/2011,7.4,7.4,7.3,7.3,101150
SAM,04/19/2011,7.3,7.4,7.2,7.3,175650
SAM,04/18/2011,7.6,7.6,7.3,7.3,418710
SAM,04/15/2011,7.7,7.8,7.6,7.6,344590
SAM,04/14/2011,7.9,8.0,7.7,7.7,185760
SAM,04/13/2011,8.3,8.3,7.9,7.9,592830
SAM,04/08/2011,7.4,7.9,7.4,7.9,406510
SAM,04/07/2011,7.6,7.7,7.5,7.5,280690
SAM,04/06/2011,7.5,7.6,7.4,7.6,236640
SAM,04/05/2011,7.5,7.5,7.4,7.4,264100
SAM,04/04/2011,7.7,7.7,7.5,7.5,136440
SAM,04/01/2011,7.7,7.8,7.6,7.6,137790
SAM,03/31/2011,7.8,7.8,7.7,7.7,123580
