<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SFC,07/01/2011,24.3,26.6,24.3,26.6,8890
SFC,06/30/2011,23.0,25.4,23.0,25.4,22680
SFC,06/29/2011,22.6,24.2,22.6,24.2,9600
SFC,06/28/2011,21.3,23.1,21.3,23.1,22460
SFC,06/27/2011,21.6,23.7,21.6,22.0,13130
SFC,06/24/2011,22.6,22.6,21.6,22.6,2470
SFC,06/23/2011,21.6,21.6,20.7,21.6,14540
SFC,06/22/2011,22.1,22.1,20.3,20.6,8570
SFC,06/21/2011,22.1,22.1,21.1,21.1,2970
SFC,06/20/2011,22.7,22.7,21.1,21.1,4980
SFC,06/17/2011,22.0,23.5,21.7,21.7,810
SFC,06/16/2011,24.2,24.2,22.8,22.8,40
SFC,06/15/2011,24.2,24.3,22.9,23.1,930
SFC,06/14/2011,23.2,24.5,23.2,23.2,1370
SFC,06/13/2011,24.4,24.4,24.4,24.4,1020
SFC,06/10/2011,24.5,24.6,23.4,23.4,1670
SFC,06/09/2011,23.8,24.6,23.8,24.6,6960
SFC,06/08/2011,25.0,25.0,24.9,25.0,26920
SFC,06/07/2011,24.0,24.4,24.0,24.4,10010
SFC,06/06/2011,21.6,23.6,21.6,23.5,11520
SFC,06/03/2011,23.5,23.5,22.5,22.5,3800
SFC,06/02/2011,23.0,23.9,23.0,23.0,1320
SFC,06/01/2011,22.0,23.0,21.9,23.0,15600
SFC,05/31/2011,22.0,22.0,22.0,22.0,20
SFC,05/30/2011,20.0,21.5,20.0,21.5,5560
SFC,05/27/2011,20.8,20.8,20.8,20.8,100
SFC,05/26/2011,19.9,19.9,19.9,19.9,200
SFC,05/25/2011,20.9,20.9,20.8,20.9,520
SFC,05/24/2011,22.9,22.9,20.9,21.9,220
SFC,05/20/2011,21.9,21.9,21.9,21.9,10
SFC,05/19/2011,21.7,21.7,21.7,21.7,100
SFC,05/12/2011,22.7,22.7,22.7,22.7,50
SFC,05/11/2011,22.7,22.7,22.7,22.7,360
SFC,05/10/2011,21.8,22.7,21.8,22.7,50
SFC,05/09/2011,21.7,22.7,21.7,22.7,40
SFC,05/06/2011,22.8,22.8,22.8,22.8,1590
SFC,05/04/2011,23.3,23.3,23.3,23.3,10
SFC,04/28/2011,23.0,23.0,21.9,22.7,380
SFC,04/27/2011,22.5,22.5,22.5,22.5,10
SFC,04/26/2011,21.6,22.3,21.6,22.2,1320
SFC,04/25/2011,21.6,21.6,21.6,21.6,1260
SFC,04/22/2011,21.4,22.5,21.4,21.6,580
SFC,04/21/2011,22.8,22.8,21.6,21.6,1620
SFC,04/20/2011,22.3,22.3,22.3,22.3,430
SFC,04/19/2011,22.8,22.8,22.8,22.8,50
SFC,04/18/2011,23.2,23.2,22.1,22.1,50
SFC,04/15/2011,22.1,23.2,23.2,23.2,270
SFC,04/14/2011,23.8,23.8,23.2,23.2,720
SFC,04/13/2011,23.9,23.9,22.2,23.6,1100
SFC,04/08/2011,23.0,23.0,23.0,23.0,40
SFC,04/07/2011,22.2,22.3,20.8,22.3,820
SFC,04/06/2011,22.4,22.4,21.7,21.7,1200
SFC,04/05/2011,22.4,22.4,20.7,22.0,340
SFC,04/04/2011,21.5,21.5,21.5,21.5,150
SFC,04/01/2011,21.3,22.4,21.3,22.4,110
SFC,03/31/2011,21.1,22.2,21.1,22.2,1120
SFC,03/30/2011,21.2,22.0,21.2,22.0,1410
SFC,03/29/2011,20.8,22.0,20.8,22.0,410
SFC,03/28/2011,20.3,21.6,20.2,21.6,610
SFC,03/25/2011,20.8,22.0,20.5,20.7,2750
SFC,03/24/2011,20.9,22.5,20.9,21.0,620
SFC,03/23/2011,21.4,21.5,21.4,21.5,410
SFC,03/22/2011,21.6,22.4,20.7,22.4,550
SFC,03/21/2011,19.8,21.4,19.8,21.4,1580
SFC,03/18/2011,22.3,22.3,20.5,20.5,1650
SFC,03/17/2011,21.4,22.0,21.4,21.4,2200
SFC,03/16/2011,24.5,24.5,22.3,22.3,810
SFC,03/15/2011,25.5,25.5,23.4,23.4,650
SFC,03/14/2011,24.9,24.9,24.6,24.6,550
SFC,03/11/2011,23.8,23.8,23.8,23.8,10
SFC,03/10/2011,21.4,22.8,21.4,22.8,160
SFC,03/09/2011,21.8,21.8,21.8,21.8,10
SFC,03/08/2011,21.6,22.6,21.6,22.6,940
SFC,03/07/2011,21.5,21.6,21.5,21.6,30
SFC,03/04/2011,22.8,23.8,22.5,22.5,4050
SFC,03/03/2011,23.5,24.2,23.5,23.6,1820
SFC,03/02/2011,24.5,24.7,24.5,24.7,1120
SFC,03/01/2011,25.7,25.7,25.7,25.7,10
SFC,02/25/2011,26.9,26.9,25.6,26.9,1130
SFC,02/24/2011,26.9,26.9,26.9,26.9,10
SFC,02/23/2011,24.4,26.0,24.4,26.0,12240
SFC,02/22/2011,26.0,26.9,25.6,25.6,13040
SFC,02/18/2011,26.9,26.9,26.9,26.9,2310
SFC,02/17/2011,26.9,26.9,26.9,26.9,1470
SFC,02/16/2011,28.3,28.3,28.3,28.3,60
SFC,02/15/2011,28.4,28.8,28.8,28.8,220
SFC,02/14/2011,28.4,28.4,28.4,28.4,10
SFC,02/10/2011,27.5,28.5,27.4,28.5,310
SFC,02/08/2011,27.2,28.8,27.2,28.8,310
SFC,01/27/2011,28.6,28.6,28.4,28.5,2010
SFC,01/26/2011,26.9,27.7,26.9,27.7,260
SFC,01/25/2011,28.2,28.2,26.9,26.9,2260
SFC,01/24/2011,28.4,28.4,27.2,27.4,1110
SFC,01/21/2011,28.1,28.5,28.0,28.4,3370
SFC,01/20/2011,27.1,28.2,27.1,28.1,3940
