<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SJS,07/01/2011,31.5,31.5,30.0,30.0,151900
SJS,06/30/2011,31.5,31.5,31.1,31.5,91440
SJS,06/29/2011,32.2,32.2,31.0,31.5,144010
SJS,06/28/2011,32.5,32.9,32.1,32.2,80080
SJS,06/27/2011,33.7,34.3,33.4,33.4,89810
SJS,06/24/2011,34.0,34.7,33.3,34.0,85510
SJS,06/23/2011,33.5,35.0,33.5,33.9,35580
SJS,06/22/2011,36.3,36.3,34.3,34.3,101780
SJS,06/21/2011,35.0,35.2,34.1,35.2,385470
SJS,06/20/2011,33.5,33.6,33.0,33.6,373810
SJS,06/17/2011,33.6,33.6,32.0,32.0,174320
SJS,06/16/2011,32.0,33.6,31.6,33.6,99490
SJS,06/15/2011,33.0,33.4,32.0,32.0,137330
SJS,06/14/2011,34.3,35.7,33.2,33.6,199040
SJS,06/13/2011,33.7,34.6,33.7,34.3,109160
SJS,06/10/2011,34.4,35.8,34.3,34.6,188260
SJS,06/09/2011,33.7,34.9,33.7,34.4,121640
SJS,06/08/2011,35.9,35.9,34.6,34.9,238440
SJS,06/07/2011,34.8,35.5,34.3,35.5,252110
SJS,06/06/2011,33.0,34.0,32.8,33.9,92560
SJS,06/03/2011,36.4,36.4,34.0,34.4,418230
SJS,06/02/2011,34.7,34.8,34.5,34.8,198500
SJS,06/01/2011,32.0,33.2,31.7,33.2,208800
SJS,05/31/2011,29.5,31.7,29.5,31.7,245600
SJS,05/30/2011,31.3,31.7,30.1,30.2,485610
SJS,05/27/2011,29.4,30.2,29.0,30.2,507350
SJS,05/26/2011,26.2,28.8,26.2,28.8,230380
SJS,05/25/2011,27.6,27.8,27.5,27.5,235690
SJS,05/24/2011,29.0,29.1,28.9,28.9,349030
SJS,05/23/2011,32.0,32.5,30.4,30.4,531940
SJS,05/20/2011,34.0,34.0,31.8,32.0,251050
SJS,05/19/2011,31.7,33.7,31.7,32.7,248670
SJS,05/18/2011,32.1,32.5,32.0,32.1,621380
SJS,05/17/2011,33.6,34.5,33.6,33.6,477180
SJS,05/16/2011,37.1,37.1,35.3,35.3,161710
SJS,05/13/2011,38.0,38.5,37.1,37.1,498640
SJS,05/12/2011,40.5,40.5,39.0,39.0,99860
SJS,05/11/2011,41.2,41.4,40.4,40.5,97010
SJS,05/10/2011,41.4,41.6,40.3,40.3,139120
SJS,05/09/2011,42.0,42.0,41.2,41.4,139630
SJS,05/06/2011,42.2,42.5,42.0,42.0,51000
SJS,05/05/2011,42.9,42.9,42.0,42.2,79760
SJS,05/04/2011,42.2,43.1,42.2,42.7,67850
SJS,04/29/2011,43.0,43.1,42.8,43.1,143650
SJS,04/28/2011,43.0,43.0,42.7,42.8,30130
SJS,04/27/2011,43.0,43.0,42.1,43.0,133190
SJS,04/26/2011,45.8,45.8,43.7,43.7,192580
SJS,04/25/2011,45.0,46.3,45.0,45.9,121790
SJS,04/22/2011,46.6,46.6,45.0,45.0,101050
SJS,04/21/2011,47.0,47.3,46.6,46.6,111450
SJS,04/20/2011,48.3,48.3,47.6,47.6,142890
SJS,04/19/2011,47.6,48.2,47.6,47.6,91720
SJS,04/18/2011,49.4,49.4,48.0,48.4,78150
SJS,04/15/2011,49.0,48.9,48.7,48.9,100990
SJS,04/14/2011,48.8,49.2,48.8,48.9,88740
SJS,04/13/2011,49.0,49.0,48.8,48.8,43620
SJS,04/08/2011,48.6,49.1,48.6,48.9,144530
SJS,04/07/2011,49.3,49.4,48.7,48.8,211190
SJS,04/06/2011,48.8,50.5,48.8,49.2,309590
SJS,04/05/2011,49.1,49.2,48.8,48.9,77270
SJS,04/04/2011,49.2,49.5,49.0,49.1,82760
SJS,04/01/2011,50.5,50.5,49.8,50.0,58830
SJS,03/31/2011,50.5,51.0,50.0,50.0,90480
SJS,03/30/2011,50.0,51.5,49.7,50.5,135350
SJS,03/29/2011,49.7,52.0,49.7,50.5,596590
SJS,03/28/2011,49.1,49.8,49.1,49.7,69520
SJS,03/25/2011,49.5,49.7,49.2,49.5,63020
SJS,03/24/2011,50.0,50.0,49.4,49.6,193220
SJS,03/23/2011,48.6,50.0,49.0,50.0,81530
SJS,03/22/2011,49.4,49.6,49.0,49.0,123300
SJS,03/21/2011,51.0,51.0,49.2,49.8,197210
SJS,03/18/2011,49.0,51.0,48.7,50.0,352600
SJS,03/17/2011,49.4,50.0,49.1,49.2,127990
SJS,03/16/2011,49.3,50.0,49.0,49.4,238470
SJS,03/15/2011,48.5,51.0,48.5,49.3,232450
SJS,03/14/2011,53.0,53.0,49.4,49.4,160030
SJS,03/11/2011,51.5,52.0,51.5,52.0,191570
SJS,03/10/2011,47.9,49.8,47.8,49.8,243730
SJS,03/09/2011,49.8,49.8,47.5,47.5,175780
SJS,03/08/2011,50.0,50.0,49.0,49.8,120290
SJS,03/07/2011,48.6,49.9,48.5,49.9,183080
SJS,03/04/2011,49.9,49.9,48.3,48.6,222640
SJS,03/03/2011,48.0,49.5,48.0,48.8,171220
SJS,03/02/2011,51.0,52.0,49.4,49.4,469720
SJS,03/01/2011,51.5,52.0,50.5,52.0,84450
SJS,02/28/2011,52.0,54.5,51.0,51.0,179630
SJS,02/25/2011,54.0,54.0,51.0,53.0,242290
SJS,02/24/2011,54.0,54.0,51.5,52.5,256560
SJS,02/23/2011,57.0,57.0,54.0,54.0,272700
SJS,02/22/2011,56.5,59.0,56.5,56.5,361610
SJS,02/21/2011,60.5,60.5,59.0,59.0,379300
SJS,02/18/2011,62.5,63.0,61.5,62.0,199110
SJS,02/17/2011,65.5,65.5,63.0,64.0,272840
SJS,02/16/2011,67.0,67.0,65.5,65.5,169150
SJS,02/15/2011,66.0,66.5,65.5,66.5,288950
SJS,02/14/2011,67.5,67.5,66.5,66.5,183090
SJS,02/11/2011,68.0,68.0,66.5,67.0,221120
SJS,02/10/2011,68.0,68.0,67.0,67.5,235040
SJS,02/09/2011,68.0,69.5,67.0,67.5,453610
SJS,02/08/2011,67.0,68.5,67.0,68.0,200390
SJS,01/28/2011,65.5,67.5,65.5,67.0,378340
