<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TMS,06/30/2011,20.9,23.1,20.9,23.1,1850
TMS,06/29/2011,21.5,22.0,21.5,22.0,1620
TMS,06/28/2011,20.0,21.5,20.0,21.5,1610
TMS,06/27/2011,21.0,21.0,21.0,21.0,20
TMS,06/24/2011,21.0,21.0,19.6,21.0,350
TMS,06/23/2011,21.2,21.2,20.3,20.3,1080
TMS,06/22/2011,21.3,21.3,21.3,21.3,10
TMS,06/21/2011,20.4,21.3,20.3,21.3,2300
TMS,06/20/2011,20.4,21.3,20.4,21.3,510
TMS,06/17/2011,21.3,21.3,21.3,21.3,500
TMS,06/16/2011,21.0,21.0,20.6,20.6,3260
TMS,06/15/2011,21.3,23.0,21.3,21.3,1320
TMS,06/14/2011,22.4,22.4,22.4,22.4,400
TMS,06/13/2011,22.0,22.0,22.0,22.0,1000
TMS,06/10/2011,20.0,21.4,20.0,21.4,280
TMS,06/09/2011,23.0,23.0,20.9,20.9,70
TMS,06/08/2011,22.0,22.0,22.0,22.0,240
TMS,06/07/2011,20.0,21.0,20.0,21.0,880
TMS,06/06/2011,20.0,21.5,20.0,20.0,920
TMS,06/03/2011,20.1,21.0,20.1,21.0,520
TMS,06/02/2011,20.0,21.0,19.0,21.0,1270
TMS,06/01/2011,19.0,20.0,19.0,20.0,1320
TMS,05/31/2011,19.0,20.0,19.0,20.0,110
TMS,05/30/2011,21.5,21.5,20.0,20.0,150
TMS,05/27/2011,21.0,21.0,21.0,21.0,250
TMS,05/26/2011,21.1,21.1,21.0,21.0,450
TMS,05/25/2011,22.2,22.2,21.1,21.1,230
TMS,05/24/2011,22.3,23.3,22.2,22.2,340
TMS,05/23/2011,24.1,24.4,22.2,23.3,870
TMS,05/20/2011,24.5,24.5,23.3,23.3,110
TMS,05/19/2011,23.8,24.5,23.8,24.5,130
TMS,05/18/2011,22.8,25.0,22.8,24.5,1220
TMS,05/17/2011,23.5,24.0,23.2,24.0,200
TMS,05/16/2011,23.5,23.5,23.5,23.5,150
TMS,05/13/2011,24.0,24.0,22.8,22.9,60
TMS,05/12/2011,24.3,24.3,24.0,24.0,110
TMS,05/11/2011,23.1,23.1,23.1,23.1,100
TMS,05/10/2011,22.3,23.4,21.2,22.0,780
TMS,05/09/2011,23.9,23.9,22.3,22.3,1140
TMS,05/06/2011,23.9,23.9,23.4,23.4,110
TMS,05/05/2011,22.9,22.9,22.9,22.9,10
TMS,05/04/2011,23.7,23.7,23.7,23.7,130
TMS,04/29/2011,24.3,24.3,23.9,23.9,210
TMS,04/28/2011,22.3,23.6,22.3,23.6,2080
TMS,04/27/2011,24.1,24.1,22.0,23.4,140
TMS,04/26/2011,23.1,23.1,23.1,23.1,1000
TMS,04/25/2011,23.1,23.1,23.1,23.1,10
TMS,04/22/2011,22.9,24.2,22.9,24.2,4430
TMS,04/21/2011,22.9,24.0,22.9,24.0,640
TMS,04/20/2011,24.0,24.0,24.0,24.0,200
TMS,04/19/2011,23.2,23.2,23.2,23.2,20
TMS,04/18/2011,24.2,24.2,24.2,24.2,1510
TMS,04/15/2011,23.6,24.7,23.6,24.7,1310
TMS,04/14/2011,23.8,24.7,24.7,24.7,100
TMS,04/13/2011,23.8,23.8,23.8,23.8,100
TMS,04/08/2011,23.6,23.8,23.6,23.8,1600
TMS,04/07/2011,24.7,24.7,24.7,24.7,200
TMS,04/06/2011,24.7,24.7,23.6,24.7,700
TMS,04/05/2011,23.8,24.7,23.8,24.7,2040
TMS,04/04/2011,23.2,24.7,23.2,24.7,1500
TMS,04/01/2011,23.6,24.3,23.6,24.3,450
TMS,03/31/2011,24.8,24.8,24.8,24.8,2000
TMS,03/30/2011,22.8,24.8,22.7,24.8,5970
TMS,03/29/2011,22.8,23.8,22.8,23.8,5020
TMS,03/28/2011,22.9,23.8,22.8,23.8,6600
TMS,03/25/2011,23.8,23.8,23.4,23.8,2800
TMS,03/24/2011,24.8,23.8,23.8,23.8,2010
TMS,03/23/2011,24.3,24.8,24.3,24.8,2470
TMS,03/22/2011,24.8,24.8,24.8,24.8,1100
TMS,03/21/2011,23.6,24.8,23.6,24.8,2140
TMS,03/18/2011,24.6,24.4,24.4,24.4,1100
TMS,03/17/2011,23.8,24.6,23.8,24.6,1500
TMS,03/16/2011,24.8,24.8,24.8,24.8,200
TMS,03/15/2011,24.8,24.8,24.8,24.8,200
TMS,03/14/2011,24.2,24.8,24.2,24.8,3020
TMS,03/11/2011,24.8,25.3,24.8,25.3,800
TMS,03/10/2011,24.3,25.6,24.3,25.6,2330
TMS,03/09/2011,25.4,25.4,25.4,25.4,600
TMS,03/08/2011,25.5,25.4,25.4,25.4,500
TMS,03/07/2011,25.3,25.5,25.5,25.5,1000
