<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TS4,07/01/2011,13.0,13.2,12.7,12.9,48430
TS4,06/30/2011,13.3,13.5,13.1,13.1,70910
TS4,06/29/2011,13.3,13.6,13.2,13.3,62990
TS4,06/28/2011,13.5,13.8,13.3,13.3,60820
TS4,06/27/2011,13.8,13.9,13.5,13.7,81510
TS4,06/24/2011,13.7,13.9,13.5,13.7,50040
TS4,06/23/2011,14.0,14.0,13.3,13.5,96830
TS4,06/22/2011,14.3,14.3,13.8,13.8,59100
TS4,06/21/2011,13.5,13.9,13.3,13.9,123490
TS4,06/20/2011,13.5,14.2,13.3,13.3,191040
TS4,06/17/2011,15.0,15.0,13.9,13.9,534510
TS4,06/16/2011,14.5,15.2,14.1,14.6,192060
TS4,06/15/2011,15.0,15.0,14.5,14.5,382430
TS4,06/14/2011,16.1,16.6,15.2,15.2,269980
TS4,06/13/2011,15.9,16.1,15.6,16.0,262280
TS4,06/10/2011,15.3,15.4,15.3,15.4,296390
TS4,06/09/2011,14.5,15.4,14.2,14.7,521020
TS4,06/08/2011,15.6,15.6,14.7,14.7,477830
TS4,06/07/2011,14.8,14.9,14.8,14.9,45820
TS4,06/06/2011,13.5,14.2,13.2,14.2,172120
TS4,06/03/2011,13.9,13.9,13.4,13.6,647570
TS4,06/02/2011,13.3,13.3,13.3,13.3,19230
TS4,06/01/2011,12.0,12.7,12.0,12.7,67000
TS4,05/31/2011,12.7,12.7,12.1,12.1,80240
TS4,05/30/2011,13.3,13.3,12.7,12.7,84240
TS4,05/27/2011,13.1,13.3,12.7,13.3,139210
TS4,05/26/2011,11.5,12.7,11.5,12.7,195910
TS4,05/25/2011,12.1,12.5,12.1,12.1,147050
TS4,05/24/2011,12.9,12.9,12.7,12.7,181050
TS4,05/23/2011,14.2,14.2,13.3,13.3,109970
TS4,05/20/2011,14.4,14.4,13.6,13.9,81070
TS4,05/19/2011,15.5,15.5,14.3,14.3,93750
TS4,05/18/2011,15.9,15.9,14.9,15.0,70040
TS4,05/17/2011,15.8,15.8,15.4,15.4,59650
TS4,05/16/2011,16.2,16.6,15.8,15.8,94760
TS4,05/13/2011,16.3,16.4,15.9,16.2,58290
TS4,05/12/2011,15.9,16.3,15.9,16.2,17850
TS4,05/11/2011,16.0,16.2,16.0,16.2,15980
TS4,05/10/2011,16.7,16.7,16.0,16.2,22840
TS4,05/09/2011,16.2,16.5,16.0,16.5,95380
TS4,05/06/2011,15.8,15.9,15.6,15.9,40600
TS4,05/05/2011,15.8,16.0,15.6,15.7,44230
TS4,05/04/2011,15.8,16.4,15.8,15.9,37510
TS4,04/29/2011,16.1,16.2,15.8,16.0,88130
TS4,04/28/2011,15.9,16.4,15.6,15.6,149250
TS4,04/27/2011,16.0,16.2,15.5,15.7,110610
TS4,04/26/2011,16.5,16.5,15.7,15.8,86310
TS4,04/25/2011,16.3,16.5,16.2,16.4,89760
TS4,04/22/2011,15.9,16.2,15.8,15.8,65110
TS4,04/21/2011,16.4,16.7,16.2,16.2,63770
TS4,04/20/2011,16.7,16.7,16.3,16.4,96080
TS4,04/19/2011,16.3,17.1,16.0,16.3,104950
TS4,04/18/2011,17.0,17.0,16.3,16.3,124090
TS4,04/15/2011,17.5,17.5,17.0,17.0,111650
TS4,04/14/2011,17.5,17.9,17.1,17.4,103580
TS4,04/13/2011,17.8,18.2,17.6,17.6,76640
TS4,04/08/2011,18.5,18.8,18.2,18.2,140080
TS4,04/07/2011,18.9,19.8,18.3,19.1,228570
TS4,04/06/2011,18.0,18.9,17.9,18.9,349870
TS4,04/05/2011,17.3,18.1,17.2,18.0,341470
TS4,04/04/2011,17.3,17.5,17.2,17.3,104010
TS4,04/01/2011,17.5,17.6,17.4,17.4,71720
TS4,03/31/2011,17.7,18.0,17.5,17.5,55780
TS4,03/30/2011,17.4,18.1,17.2,17.7,145310
TS4,03/29/2011,17.4,17.7,17.1,17.7,195850
TS4,03/28/2011,17.7,17.7,17.1,17.4,61550
TS4,03/25/2011,17.5,17.5,17.0,17.5,143570
TS4,03/24/2011,17.8,17.8,17.2,17.2,73550
TS4,03/23/2011,17.2,17.5,17.0,17.3,46830
TS4,03/22/2011,18.3,18.3,17.2,17.2,104920
TS4,03/21/2011,18.3,18.5,17.9,18.0,166750
TS4,03/18/2011,17.2,18.0,17.0,18.0,141890
TS4,03/17/2011,17.5,17.7,16.9,17.2,101470
TS4,03/16/2011,17.3,17.5,16.6,17.2,60490
TS4,03/15/2011,16.1,17.6,16.1,17.2,144900
TS4,03/14/2011,18.2,18.2,16.8,16.8,243460
TS4,03/11/2011,17.6,17.6,17.6,17.6,75310
TS4,03/10/2011,15.9,16.8,15.9,16.8,113180
TS4,03/09/2011,16.7,16.7,15.8,16.0,122080
TS4,03/08/2011,17.0,17.2,16.6,16.6,130120
TS4,03/07/2011,17.0,17.0,16.4,16.4,51220
TS4,03/04/2011,16.5,16.6,16.1,16.6,172600
TS4,03/03/2011,16.2,16.5,15.8,15.8,133500
TS4,03/02/2011,16.8,17.1,16.5,16.5,124640
TS4,03/01/2011,17.6,17.6,16.8,17.4,114520
TS4,02/28/2011,17.6,17.6,17.1,17.6,499260
TS4,02/25/2011,16.0,16.8,16.0,16.8,70610
TS4,02/24/2011,15.9,16.5,15.5,16.0,90950
TS4,02/23/2011,16.6,16.7,15.9,16.3,136080
TS4,02/22/2011,16.3,16.9,16.2,16.2,186010
TS4,02/21/2011,17.3,17.3,17.3,17.0,68320
TS4,02/18/2011,18.6,19.0,17.9,17.9,165120
TS4,02/17/2011,19.4,19.7,18.7,18.8,99960
TS4,02/16/2011,19.8,19.8,19.6,19.6,55710
TS4,02/15/2011,20.3,20.3,19.7,19.7,30190
TS4,02/14/2011,19.9,20.7,19.8,20.2,106570
TS4,02/11/2011,19.4,19.9,19.2,19.8,52350
TS4,02/10/2011,20.1,20.1,19.3,19.4,33950
TS4,02/09/2011,20.1,20.1,19.6,19.7,68550
TS4,02/08/2011,20.2,20.2,19.6,19.7,14450
TS4,01/28/2011,19.9,20.1,19.5,19.8,73420
TS4,01/27/2011,19.4,19.7,19.4,19.4,85330
TS4,01/26/2011,19.5,19.8,19.1,19.4,53850
TS4,01/25/2011,19.1,19.9,19.1,19.5,33760
TS4,01/24/2011,20.4,20.4,19.5,19.5,99450
TS4,01/21/2011,19.9,20.6,19.9,20.4,83300
TS4,01/20/2011,20.5,21.0,19.9,19.9,62110
TS4,01/19/2011,19.6,20.6,19.1,20.5,190130
TS4,01/18/2011,20.4,20.8,19.9,20.0,95370
TS4,01/17/2011,20.2,21.5,20.2,20.4,60910
TS4,01/14/2011,20.2,21.1,20.2,20.9,134350
TS4,01/13/2011,18.8,20.1,18.8,20.1,228670
TS4,01/12/2011,19.5,19.8,18.6,19.1,69210
TS4,01/11/2011,19.4,19.5,19.0,19.0,202480
TS4,01/10/2011,20.6,20.6,20.0,20.0,150730
TS4,01/07/2011,21.1,21.6,21.1,21.1,34010
TS4,01/06/2011,20.7,21.1,20.6,21.1,49560
TS4,01/05/2011,22.2,22.2,21.1,21.1,130850
TS4,01/04/2011,21.6,21.6,21.1,21.3,46630
TS4,12/31/2010,21.6,21.6,20.8,21.2,105550
TS4,12/30/2010,21.6,22.0,21.1,21.4,89760
TS4,12/29/2010,23.1,23.1,21.8,21.8,277750
TS4,12/28/2010,22.3,23.3,22.3,22.9,191270
TS4,12/27/2010,22.0,22.6,21.1,22.3,233550
TS4,12/24/2010,21.6,22.1,20.8,21.5,107950
TS4,12/23/2010,21.1,21.5,20.5,21.5,459150
TS4,12/22/2010,21.1,22.2,20.5,20.5,210050
TS4,12/21/2010,21.5,23.1,21.0,21.6,471620
TS4,12/20/2010,23.3,24.0,22.1,22.1,103810
TS4,12/17/2010,22.7,23.3,21.8,23.3,345660
TS4,12/16/2010,23.0,23.6,22.7,22.7,488260
TS4,12/15/2010,24.5,24.9,23.4,23.9,425930
TS4,12/14/2010,25.1,26.0,23.6,23.9,367790
TS4,12/13/2010,24.8,24.8,24.8,24.8,56910
TS4,12/10/2010,23.1,23.6,22.2,23.6,459430
TS4,12/09/2010,21.5,23.6,21.4,22.5,558960
TS4,12/08/2010,22.7,23.7,22.5,22.5,470220
TS4,12/07/2010,23.7,24.9,23.5,23.7,604170
TS4,12/06/2010,23.3,23.7,22.6,23.7,250020
TS4,12/03/2010,22.6,22.6,22.1,22.6,418990
TS4,12/02/2010,21.5,21.5,19.6,21.5,629080
TS4,12/01/2010,20.5,20.5,20.1,20.5,373480
TS4,11/30/2010,19.5,19.5,19.5,19.5,21090
TS4,11/29/2010,18.6,18.6,17.8,18.6,204240
TS4,11/26/2010,17.7,17.7,17.7,17.7,301200
TS4,11/25/2010,16.9,16.9,16.9,16.9,87460
TS4,11/24/2010,15.3,16.1,15.1,16.1,187220
TS4,11/23/2010,14.6,15.3,14.6,15.3,64670
TS4,11/22/2010,14.4,14.9,14.4,14.6,122360
TS4,11/19/2010,15.1,15.6,15.1,15.1,51260
TS4,11/18/2010,15.2,15.5,15.2,15.5,82300
TS4,11/17/2010,14.3,15.2,14.3,14.8,41430
TS4,11/16/2010,15.1,15.3,14.7,14.7,112320
TS4,11/15/2010,15.7,16.3,15.3,15.5,42270
TS4,11/12/2010,16.0,16.2,15.9,15.9,233270
TS4,11/11/2010,17.5,17.5,16.7,16.7,86970
TS4,11/10/2010,18.1,18.3,17.6,17.6,122010
TS4,11/09/2010,19.1,19.1,18.3,18.3,64430
TS4,11/08/2010,19.6,19.6,18.9,19.1,54570
TS4,11/05/2010,19.8,19.9,19.4,19.6,53510
TS4,11/04/2010,18.9,19.3,18.7,19.0,70590
TS4,11/03/2010,19.2,19.2,18.6,18.6,62910
TS4,11/02/2010,19.8,19.8,19.1,19.1,50310
TS4,11/01/2010,20.1,20.1,19.8,19.8,23170
TS4,10/29/2010,19.6,20.5,19.6,20.1,41660
