<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
^VNINDEX,06/24/2011,0.0,0.0,0.0,433.4,21924190
^VNINDEX,06/23/2011,436.9,440.5,434.4,434.8,19977431
^VNINDEX,06/22/2011,444.3,445.5,439.3,439.6,24937520
^VNINDEX,06/21/2011,432.8,442.7,432.8,442.7,29717269
^VNINDEX,06/20/2011,444.3,440.2,431.6,431.6,43775190
^VNINDEX,06/17/2011,445.9,447.0,438.6,438.9,47401820
^VNINDEX,06/16/2011,439.6,445.7,438.5,445.2,34484980
^VNINDEX,06/15/2011,442.9,443.4,436.2,441.4,49903450
^VNINDEX,06/14/2011,441.1,452.6,440.6,441.5,61901888
^VNINDEX,06/13/2011,443.5,446.1,442.0,442.7,57632580
^VNINDEX,06/10/2011,446.5,451.8,445.0,445.0,41110520
^VNINDEX,06/09/2011,439.8,444.1,437.9,443.9,33505398
^VNINDEX,06/08/2011,445.4,447.0,436.1,439.6,37446882
^VNINDEX,06/07/2011,443.1,448.4,441.4,443.7,31803870
^VNINDEX,06/06/2011,435.0,436.9,430.1,433.8,22887504
^VNINDEX,06/03/2011,461.9,461.9,436.5,443.4,47641090
^VNINDEX,06/02/2011,446.7,450.6,446.0,450.6,34352800
^VNINDEX,06/01/2011,423.0,435.7,420.9,435.7,33941240
^VNINDEX,05/31/2011,415.0,421.4,414.9,421.4,22752640
^VNINDEX,05/30/2011,417.1,417.4,412.0,412.1,27110110
^VNINDEX,05/27/2011,406.8,410.8,405.8,410.8,29907150
^VNINDEX,05/26/2011,386.4,398.0,371.0,398.0,47224310
^VNINDEX,05/25/2011,388.6,389.9,385.7,386.4,35542629
^VNINDEX,05/24/2011,407.2,407.6,402.1,402.6,39022310
^VNINDEX,05/23/2011,430.5,430.5,416.1,417.8,31754100
^VNINDEX,05/20/2011,444.9,444.9,432.2,432.9,26743710
^VNINDEX,05/19/2011,450.9,456.5,444.9,444.9,25462620
^VNINDEX,05/18/2011,458.4,459.2,451.5,454.9,28517737
^VNINDEX,05/17/2011,471.5,474.6,464.4,464.4,24129320
^VNINDEX,05/16/2011,479.0,481.5,471.5,471.5,25358791
^VNINDEX,05/13/2011,482.0,482.5,478.6,479.7,18215570
^VNINDEX,05/12/2011,483.1,484.7,480.1,482.1,22048540
^VNINDEX,05/11/2011,479.1,483.7,479.1,483.1,21645218
^VNINDEX,05/10/2011,479.0,481.7,478.6,481.3,17969500
^VNINDEX,05/09/2011,469.0,477.5,467.8,477.5,18943312
^VNINDEX,05/06/2011,472.5,473.6,470.1,472.7,23694421
^VNINDEX,05/05/2011,486.0,487.0,476.5,479.3,21993195
^VNINDEX,05/04/2011,483.3,488.0,482.6,486.6,21203858
^VNINDEX,04/29/2011,479.5,481.1,478.8,480.1,25172450
^VNINDEX,04/28/2011,472.5,474.6,472.4,472.9,23604190
^VNINDEX,04/27/2011,466.3,469.3,463.7,469.3,28528768
^VNINDEX,04/26/2011,463.8,468.1,461.5,461.9,28299031
^VNINDEX,04/25/2011,459.0,467.0,459.0,465.6,26290460
^VNINDEX,04/22/2011,460.9,462.4,454.0,456.4,23568350
^VNINDEX,04/21/2011,458.4,462.7,458.3,460.3,21507385
^VNINDEX,04/20/2011,454.6,458.5,454.3,458.5,21041094
^VNINDEX,04/19/2011,455.2,457.6,453.7,453.7,22451489
^VNINDEX,04/18/2011,458.4,461.1,454.8,455.5,29835813
^VNINDEX,04/15/2011,462.2,463.5,460.9,461.0,24465320
^VNINDEX,04/14/2011,459.9,462.3,459.9,460.6,24309371
^VNINDEX,04/13/2011,463.9,464.7,461.0,461.0,25947046
^VNINDEX,04/08/2011,462.5,464.5,462.2,464.3,20305304
^VNINDEX,04/07/2011,464.7,465.9,462.0,463.5,27541390
^VNINDEX,04/06/2011,458.8,482.3,458.8,464.9,27347760
^VNINDEX,04/05/2011,458.2,459.1,454.9,457.2,23343120
^VNINDEX,04/04/2011,459.9,460.6,457.2,457.2,24644483
^VNINDEX,04/01/2011,460.8,466.1,458.6,459.2,23348719
^VNINDEX,03/31/2011,462.3,484.7,460.7,461.1,27888540
^VNINDEX,03/30/2011,454.3,481.4,454.3,460.0,28056280
^VNINDEX,03/29/2011,458.4,463.4,456.0,457.9,36122640
^VNINDEX,03/28/2011,458.4,463.4,456.7,459.5,24991970
^VNINDEX,03/25/2011,461.2,467.0,457.7,457.7,28175920
^VNINDEX,03/24/2011,465.1,468.3,461.3,461.3,27576266
^VNINDEX,03/23/2011,464.0,470.7,464.0,467.6,33714980
^VNINDEX,03/22/2011,469.9,471.0,464.8,464.8,37125501
^VNINDEX,03/21/2011,467.2,469.5,464.8,468.2,41791029
^VNINDEX,03/18/2011,459.4,461.9,454.7,461.1,53505819
^VNINDEX,03/17/2011,461.5,468.3,457.0,460.5,36004720
