<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BT6,06/29/2011,12.2,12.2,11.9,11.9,1700
BT6,06/28/2011,11.9,12.2,11.8,12.2,6420
BT6,06/27/2011,11.9,12.6,11.9,11.9,1300
BT6,06/24/2011,12.4,12.8,11.8,12.4,2830
BT6,06/23/2011,11.8,12.3,11.8,12.3,4810
BT6,06/22/2011,12.0,12.1,12.0,12.0,6640
BT6,06/21/2011,12.5,12.5,12.0,12.0,10410
BT6,06/20/2011,12.8,12.8,12.0,12.5,6830
BT6,06/17/2011,12.7,12.7,12.6,12.6,39580
BT6,06/16/2011,12.8,13.2,12.8,13.2,3970
BT6,06/15/2011,13.0,13.6,13.0,13.0,24500
BT6,06/14/2011,13.1,13.7,13.1,13.6,40220
BT6,06/13/2011,13.2,13.6,13.1,13.6,11720
BT6,06/10/2011,12.6,13.1,12.5,13.1,47570
BT6,06/09/2011,13.0,13.0,12.4,12.5,47200
BT6,06/08/2011,13.2,13.2,12.5,13.0,4900
BT6,06/07/2011,13.1,13.1,12.8,12.8,17610
BT6,06/06/2011,13.0,13.0,12.8,12.8,100
BT6,06/03/2011,12.8,12.8,12.3,12.7,27320
BT6,06/02/2011,12.2,12.2,11.8,12.2,43140
BT6,06/01/2011,11.5,12.6,11.4,11.7,24970
BT6,05/31/2011,12.0,12.0,12.0,12.0,6520
BT6,05/30/2011,12.6,12.6,12.6,12.6,5640
BT6,05/27/2011,13.2,13.5,13.2,13.2,16070
BT6,05/26/2011,13.5,14.7,13.5,13.8,13660
BT6,05/25/2011,14.2,14.2,14.2,14.2,610
BT6,05/24/2011,14.9,14.9,14.9,14.9,1190
BT6,05/23/2011,15.6,15.6,15.5,15.6,2540
BT6,05/20/2011,17.0,17.0,16.3,16.3,1500
BT6,05/19/2011,16.0,17.0,16.0,17.0,850
BT6,05/18/2011,16.8,16.8,16.8,16.8,1020
BT6,05/17/2011,16.9,16.9,16.5,16.5,1410
BT6,05/16/2011,17.6,17.6,17.0,17.0,1040
BT6,05/13/2011,17.0,17.0,17.0,17.0,20
BT6,05/12/2011,16.5,16.8,16.4,16.8,4540
BT6,05/11/2011,17.0,17.0,17.0,17.0,1000
BT6,05/10/2011,16.9,17.0,16.9,17.0,550
BT6,05/09/2011,17.4,17.4,16.5,16.5,1510
BT6,05/06/2011,16.8,16.8,16.7,16.7,660
BT6,05/05/2011,17.0,17.0,16.5,16.5,4890
BT6,05/04/2011,16.4,16.7,16.4,16.7,1030
BT6,04/29/2011,17.1,17.1,17.1,17.1,110
BT6,04/28/2011,17.1,17.1,16.5,16.8,2650
BT6,04/27/2011,16.9,17.1,16.9,17.1,1390
BT6,04/26/2011,16.4,16.9,16.4,16.9,2820
BT6,04/25/2011,16.7,17.3,16.1,16.9,1210
BT6,04/22/2011,17.4,17.4,16.1,16.5,3770
BT6,04/21/2011,16.2,16.9,15.6,16.9,3640
BT6,04/20/2011,17.2,17.2,16.4,16.4,7400
BT6,04/19/2011,17.2,17.2,16.5,17.2,3850
BT6,04/18/2011,17.4,17.4,17.2,17.2,7350
BT6,04/15/2011,18.6,18.6,18.0,18.1,3410
BT6,04/14/2011,18.1,18.8,18.1,18.1,1130
BT6,04/13/2011,19.0,19.0,18.4,18.4,3000
BT6,04/08/2011,19.0,19.1,19.0,19.1,2870
BT6,04/07/2011,18.8,19.0,18.8,19.0,1040
BT6,04/06/2011,18.6,18.8,18.3,18.6,15160
BT6,04/05/2011,19.8,19.8,19.0,19.2,1280
BT6,04/04/2011,18.8,19.5,18.8,19.5,7300
BT6,04/01/2011,19.5,19.7,19.4,19.4,8890
BT6,03/31/2011,20.2,20.2,19.5,19.7,1240
BT6,03/30/2011,19.7,19.8,19.7,19.7,5000
BT6,03/29/2011,20.5,20.5,19.7,19.7,5700
BT6,03/28/2011,21.0,21.0,19.8,20.0,11850
BT6,03/25/2011,19.6,20.7,19.6,20.7,1810
BT6,03/24/2011,20.2,20.8,20.0,20.0,1280
BT6,03/23/2011,21.1,20.2,20.1,20.1,4080
BT6,03/22/2011,20.2,20.8,20.0,20.2,19180
BT6,03/21/2011,21.2,21.3,19.9,20.0,7410
BT6,03/18/2011,20.8,21.0,20.7,20.7,24260
BT6,03/17/2011,21.7,22.6,21.7,21.7,26850
BT6,03/16/2011,22.9,22.8,22.8,22.8,1500
BT6,03/15/2011,21.5,23.0,21.5,22.9,80
BT6,03/14/2011,21.6,22.6,21.6,22.6,360
BT6,03/11/2011,21.5,22.0,20.5,21.6,60680
BT6,03/10/2011,21.5,23.4,21.5,21.5,16510
BT6,03/09/2011,22.5,22.6,22.5,22.6,2060
BT6,03/08/2011,22.0,22.2,22.0,22.0,1430
BT6,03/07/2011,19.8,21.5,19.6,21.5,6840
BT6,03/04/2011,20.6,22.0,20.6,20.6,13750
BT6,03/03/2011,21.8,23.8,21.6,21.6,4560
BT6,03/02/2011,24.0,24.0,22.7,22.7,1610
BT6,03/01/2011,23.8,25.0,23.8,23.8,1830
BT6,02/28/2011,26.0,26.0,25.0,25.0,2030
BT6,02/25/2011,26.0,26.0,25.2,25.5,7200
BT6,02/24/2011,25.2,25.2,25.1,25.2,29710
BT6,02/23/2011,24.0,24.2,23.3,24.0,15310
BT6,02/22/2011,23.8,24.0,23.6,24.0,9060
BT6,02/21/2011,24.3,24.3,23.6,23.8,10810
BT6,02/18/2011,24.1,24.1,23.3,23.8,22950
BT6,02/17/2011,22.9,23.1,22.4,23.1,5830
BT6,02/16/2011,22.4,23.1,22.3,23.1,3560
BT6,02/15/2011,22.3,23.1,22.3,23.1,1110
BT6,02/14/2011,23.5,23.5,23.0,23.1,4530
BT6,02/10/2011,22.8,22.8,22.8,22.8,10
BT6,02/08/2011,23.3,22.5,22.5,22.5,1000
BT6,01/28/2011,23.3,23.3,23.3,23.3,3000
BT6,01/27/2011,23.3,23.3,23.3,23.3,100
BT6,01/26/2011,23.3,23.3,23.3,23.3,510
BT6,01/25/2011,23.3,23.3,22.3,22.3,8200
BT6,01/24/2011,22.8,23.3,22.4,23.3,1020
BT6,01/21/2011,22.3,23.1,22.3,23.1,1010
BT6,01/20/2011,22.4,22.8,22.4,22.8,710
BT6,01/19/2011,22.1,23.1,22.1,23.1,1010
BT6,01/18/2011,23.1,23.1,22.4,22.8,2710
BT6,01/17/2011,22.6,23.1,23.1,23.1,500
BT6,01/14/2011,21.6,22.6,21.6,22.6,650
BT6,01/13/2011,22.1,22.4,22.4,22.4,20
BT6,01/12/2011,23.3,23.3,22.1,22.1,1130
BT6,01/11/2011,22.8,22.8,22.8,22.8,100
BT6,01/10/2011,22.0,22.8,22.0,22.8,610
BT6,01/07/2011,23.6,23.6,21.9,22.8,540
BT6,01/06/2011,21.4,22.6,21.4,22.6,20
BT6,01/05/2011,22.1,22.1,22.1,22.1,320
BT6,01/04/2011,22.6,23.1,22.6,23.1,510
BT6,12/31/2010,22.2,23.1,22.2,23.1,2310
BT6,12/29/2010,23.4,23.4,23.4,23.4,5000
BT6,12/28/2010,23.2,23.4,23.2,23.4,1010
BT6,12/27/2010,23.6,23.4,23.4,23.4,1000
BT6,12/24/2010,23.3,23.6,23.3,23.6,2500
BT6,12/23/2010,23.1,23.6,23.6,23.6,2000
BT6,12/22/2010,23.1,23.1,23.1,23.1,7000
BT6,12/21/2010,22.5,23.3,22.5,23.3,3060
BT6,12/20/2010,22.4,23.3,22.4,23.3,1020
BT6,12/17/2010,21.9,23.6,21.9,23.6,570
BT6,12/16/2010,22.6,22.8,22.6,22.6,10730
BT6,12/15/2010,22.5,23.8,22.5,23.8,960
BT6,12/14/2010,23.5,23.5,23.0,23.0,1450
BT6,12/13/2010,24.4,24.4,23.4,24.2,6050
BT6,12/10/2010,24.3,24.3,22.8,24.2,2190
BT6,12/09/2010,24.0,24.0,24.0,24.0,1000
BT6,12/08/2010,22.8,24.0,22.6,24.0,1050
BT6,12/07/2010,22.4,23.8,22.4,23.8,130
BT6,12/06/2010,23.6,23.6,23.6,23.6,510
BT6,12/03/2010,23.8,23.8,23.3,23.8,2420
BT6,12/02/2010,23.6,23.8,23.6,23.8,2020
BT6,12/01/2010,23.8,23.8,23.8,23.8,10
BT6,11/30/2010,23.1,23.6,22.8,23.6,1610
BT6,11/29/2010,22.8,23.5,22.8,23.1,2420
BT6,11/26/2010,22.8,22.8,22.8,22.8,10
BT6,11/25/2010,23.8,24.0,24.0,24.0,1510
BT6,11/24/2010,23.8,23.8,23.8,23.8,2000
BT6,11/23/2010,22.6,23.8,22.6,23.8,2200
BT6,11/22/2010,23.8,23.8,23.8,23.8,100
BT6,11/18/2010,23.3,23.8,23.3,23.8,1210
BT6,11/17/2010,22.9,23.6,23.6,23.6,1000
BT6,11/16/2010,22.1,22.9,22.1,22.9,330
BT6,11/12/2010,22.3,23.1,22.1,23.1,2000
BT6,11/08/2010,23.3,23.3,23.3,23.3,1000
BT6,11/05/2010,22.8,23.7,22.7,23.3,1650
BT6,11/04/2010,23.3,23.5,23.3,23.5,1410
BT6,11/03/2010,22.7,23.5,22.7,23.5,1400
BT6,11/02/2010,23.0,23.5,23.0,23.5,2000
BT6,10/29/2010,23.5,23.5,23.4,23.5,2010
BT6,10/28/2010,23.7,23.7,22.7,22.7,2030
BT6,10/27/2010,23.7,23.7,23.7,23.7,2210
BT6,10/26/2010,22.7,23.0,22.3,23.0,1150
BT6,10/22/2010,23.3,23.3,22.0,22.0,180
BT6,10/21/2010,21.4,23.0,21.4,23.0,2410
BT6,10/20/2010,23.0,22.2,22.2,22.2,2620
BT6,10/19/2010,23.0,23.0,23.0,23.0,20
BT6,10/18/2010,23.2,23.2,22.5,22.5,2210
BT6,10/15/2010,22.2,22.2,22.2,22.2,20
BT6,10/14/2010,22.9,22.9,22.9,22.9,10
BT6,10/13/2010,23.9,23.9,23.9,23.9,10
BT6,10/12/2010,23.4,23.4,23.4,23.4,200
BT6,10/11/2010,22.5,23.7,22.5,23.7,1260
BT6,10/08/2010,23.7,23.7,23.7,23.7,20
BT6,10/07/2010,24.4,24.4,22.9,22.9,90
BT6,10/06/2010,22.9,23.8,22.9,23.4,320
BT6,10/05/2010,24.3,24.3,23.1,23.1,110
BT6,10/04/2010,23.8,23.8,23.8,23.8,520
BT6,10/01/2010,24.6,25.1,23.1,23.1,40
BT6,09/30/2010,24.1,24.3,24.0,24.3,10050
BT6,09/29/2010,23.5,24.3,23.5,24.3,10100
BT6,09/28/2010,24.1,24.3,24.3,24.3,5000
BT6,09/27/2010,23.9,24.1,24.1,24.1,2010
BT6,09/24/2010,23.4,23.9,22.9,23.9,3290
BT6,09/23/2010,24.3,24.3,24.1,24.1,6460
BT6,09/22/2010,24.4,24.4,23.4,24.3,1460
BT6,09/21/2010,23.4,24.6,23.4,24.6,920
BT6,09/20/2010,23.9,24.6,23.9,24.6,240
BT6,09/17/2010,23.7,23.9,22.5,23.9,5490
BT6,09/16/2010,24.1,24.1,23.7,23.7,4960
BT6,09/15/2010,25.4,25.4,24.9,24.9,6050
BT6,09/14/2010,26.8,26.8,25.0,26.1,570
BT6,09/13/2010,25.5,25.8,25.0,25.8,6220
BT6,09/10/2010,25.8,25.8,25.6,25.8,9560
BT6,09/09/2010,25.8,25.8,24.8,25.6,18320
BT6,09/07/2010,24.1,24.8,24.8,24.8,10
BT6,09/06/2010,24.1,24.1,24.1,24.1,2000
BT6,09/01/2010,24.8,25.3,25.3,25.3,2000
BT6,08/31/2010,23.3,24.8,23.3,24.8,7010
BT6,08/30/2010,23.2,24.5,23.2,24.5,5020
BT6,08/27/2010,23.5,23.5,23.5,23.5,3000
BT6,08/26/2010,21.9,23.5,21.9,23.5,2480
BT6,08/25/2010,22.9,22.9,22.7,22.7,3560
BT6,08/24/2010,23.9,23.9,23.9,23.9,1000
BT6,08/18/2010,23.9,23.9,23.9,23.9,10
BT6,08/17/2010,24.6,24.6,24.6,24.6,300
BT6,08/16/2010,24.8,24.8,24.8,24.8,200
