<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CII,06/29/2011,24.8,24.9,24.6,24.9,50800
CII,06/28/2011,25.0,25.2,24.8,24.8,28160
CII,06/27/2011,25.1,25.7,25.1,25.2,126640
CII,06/24/2011,25.1,25.3,25.0,25.1,100090
CII,06/23/2011,25.3,25.7,25.0,25.3,130830
CII,06/22/2011,25.2,25.6,25.2,25.3,167920
CII,06/21/2011,25.3,26.0,25.0,25.2,182410
CII,06/20/2011,25.7,25.9,25.3,25.3,196430
CII,06/17/2011,25.0,25.9,25.0,25.7,298110
CII,06/16/2011,25.8,25.8,24.7,24.7,142900
CII,06/15/2011,25.2,25.3,24.5,24.6,253730
CII,06/14/2011,25.2,26.6,25.0,25.2,356790
CII,06/13/2011,26.5,26.6,25.6,25.6,79610
CII,06/10/2011,26.6,26.7,26.3,26.6,132470
CII,06/09/2011,24.6,25.5,24.6,25.5,536180
CII,06/08/2011,25.6,27.0,25.6,25.6,429250
CII,06/07/2011,26.7,26.9,26.5,26.9,393260
CII,06/06/2011,26.4,26.4,25.4,25.7,12730
CII,06/03/2011,27.0,27.6,25.4,25.9,66490
CII,06/02/2011,25.5,26.7,25.5,26.7,273310
CII,06/01/2011,25.8,26.5,25.5,25.5,68400
CII,05/31/2011,26.6,26.6,25.6,25.8,56060
CII,05/30/2011,28.0,28.0,26.6,26.6,23830
CII,05/27/2011,28.1,28.1,26.7,28.0,222860
CII,05/26/2011,25.5,28.1,25.5,28.1,255260
CII,05/25/2011,27.0,27.2,26.8,26.8,120800
CII,05/24/2011,29.0,29.0,28.2,28.2,126500
CII,05/23/2011,30.9,30.9,28.4,29.6,133980
CII,05/20/2011,31.3,31.3,29.8,29.8,437920
CII,05/19/2011,31.3,32.0,31.3,31.3,127830
CII,05/18/2011,33.5,33.5,31.9,32.9,212370
CII,05/17/2011,33.4,33.5,32.0,33.5,267370
CII,05/16/2011,33.8,33.8,33.5,33.6,10090
CII,05/13/2011,34.0,34.4,34.0,34.0,10060
CII,05/12/2011,34.2,34.8,34.0,34.4,189250
CII,05/11/2011,33.2,34.9,33.2,34.2,158840
CII,05/10/2011,33.2,33.9,33.2,33.3,36360
CII,05/09/2011,33.2,34.2,33.2,33.2,197000
CII,05/06/2011,33.8,34.8,33.8,34.5,77580
CII,05/05/2011,34.5,35.5,34.0,34.9,187600
CII,05/04/2011,33.7,34.1,33.7,34.1,68400
CII,04/29/2011,30.1,32.5,30.1,32.5,144390
CII,04/28/2011,31.0,31.5,30.0,31.0,35300
CII,04/27/2011,32.8,32.8,31.2,31.5,136210
CII,04/26/2011,34.0,34.0,32.8,32.8,13960
CII,04/25/2011,34.5,35.0,34.3,34.3,123820
CII,04/22/2011,34.9,34.9,33.9,34.7,184280
CII,04/21/2011,34.0,34.9,34.0,34.9,88510
CII,04/20/2011,34.2,34.9,34.2,34.5,93880
CII,04/19/2011,34.2,35.0,34.0,34.2,52630
CII,04/18/2011,34.1,35.0,34.0,35.0,45650
CII,04/15/2011,34.0,34.5,34.5,34.1,89440
CII,04/14/2011,34.7,34.8,34.5,34.5,22640
CII,04/13/2011,35.0,35.0,34.7,34.7,24780
CII,04/08/2011,34.6,35.1,34.6,35.0,127130
CII,04/07/2011,35.0,35.1,35.0,35.0,34520
CII,04/06/2011,35.8,35.9,35.1,35.1,6000
CII,04/05/2011,35.8,35.8,34.8,34.8,28420
CII,04/04/2011,34.6,35.8,34.6,35.8,32450
CII,04/01/2011,36.1,36.1,34.5,34.8,143970
CII,03/31/2011,36.4,36.4,35.5,36.1,136920
CII,03/30/2011,36.0,36.0,35.2,36.0,113290
CII,03/29/2011,35.2,36.0,35.2,36.0,349410
CII,03/28/2011,36.4,36.4,35.5,36.0,17380
CII,03/25/2011,36.5,36.5,36.0,36.4,81910
CII,03/24/2011,36.2,36.5,35.6,36.4,94120
CII,03/23/2011,35.1,36.5,35.1,36.2,308090
CII,03/22/2011,35.0,35.3,35.0,35.1,21760
CII,03/21/2011,35.9,36.1,35.4,35.5,244800
CII,03/18/2011,35.8,36.1,35.1,35.5,189900
CII,03/17/2011,34.5,36.4,34.5,35.2,74620
CII,03/16/2011,35.6,35.6,34.0,35.5,162940
CII,03/15/2011,35.3,35.3,34.1,34.1,70270
CII,03/14/2011,36.5,36.5,35.2,35.2,131160
CII,03/11/2011,36.5,36.8,36.3,36.5,425940
CII,03/10/2011,36.4,37.0,35.9,36.6,534970
CII,03/09/2011,36.4,36.4,35.7,36.0,199290
CII,03/08/2011,36.4,36.5,35.8,36.4,292850
CII,03/07/2011,36.4,36.6,35.8,36.4,629040
CII,03/04/2011,34.5,36.5,34.5,36.4,533510
CII,03/03/2011,35.5,35.5,34.7,35.1,62140
CII,03/02/2011,36.4,36.4,34.6,35.1,91730
CII,03/01/2011,36.9,36.9,36.0,36.4,202190
CII,02/28/2011,36.0,36.1,35.6,36.0,93360
CII,02/25/2011,37.0,37.0,36.0,36.0,85470
CII,02/24/2011,35.2,36.7,33.9,36.7,406250
CII,02/23/2011,32.7,35.2,32.7,35.2,219620
CII,02/22/2011,31.7,33.7,31.7,33.5,208190
CII,02/21/2011,34.8,34.8,33.3,33.4,294110
CII,02/18/2011,35.2,35.2,35.0,35.0,328130
CII,02/17/2011,35.2,35.2,34.9,35.2,176070
CII,02/16/2011,35.2,35.2,33.7,35.2,174750
CII,02/15/2011,34.8,35.2,34.7,35.2,175620
CII,02/14/2011,35.3,35.7,34.8,34.8,69210
CII,02/11/2011,35.6,35.6,34.8,34.8,78430
CII,02/10/2011,35.9,35.9,34.7,35.3,72650
CII,02/09/2011,36.1,36.1,35.2,35.3,83700
CII,02/08/2011,36.2,36.2,35.2,36.1,104240
CII,01/28/2011,35.2,35.5,34.7,35.2,133600
CII,01/27/2011,35.2,35.3,35.1,35.2,155820
CII,01/26/2011,35.2,35.2,35.0,35.2,143180
CII,01/25/2011,34.2,35.1,34.2,35.1,189160
CII,01/24/2011,35.2,35.2,34.8,34.9,112110
CII,01/21/2011,35.2,35.2,34.8,35.1,310340
CII,01/20/2011,35.1,35.3,35.0,35.1,322810
CII,01/19/2011,35.2,35.7,34.8,35.1,312550
CII,01/18/2011,34.8,35.1,34.7,35.1,418580
CII,01/17/2011,34.7,35.0,34.3,34.8,295720
CII,01/14/2011,34.4,34.5,34.1,34.2,156050
CII,01/13/2011,34.2,34.2,34.0,34.2,164200
CII,01/12/2011,33.9,34.1,33.8,34.0,263140
CII,01/11/2011,33.9,33.9,33.2,33.9,151220
CII,01/10/2011,33.9,34.0,33.8,33.9,221260
CII,01/07/2011,34.2,34.3,34.1,34.2,108640
CII,01/06/2011,34.2,34.4,34.2,34.2,296430
CII,01/05/2011,34.4,34.5,34.2,34.2,337540
CII,01/04/2011,35.2,35.2,34.2,34.2,326260
CII,12/31/2010,34.2,35.2,34.0,35.2,305690
CII,12/30/2010,33.9,34.2,33.9,34.1,222270
CII,12/29/2010,34.3,34.5,34.0,34.1,210560
CII,12/28/2010,33.7,34.6,33.7,34.4,185540
CII,12/27/2010,34.0,34.1,33.9,34.0,148080
CII,12/24/2010,34.0,34.2,33.7,34.0,138140
CII,12/23/2010,34.0,34.1,33.6,34.0,334690
CII,12/22/2010,34.5,34.6,34.0,34.2,362500
CII,12/21/2010,34.2,34.4,33.6,34.2,290690
CII,12/20/2010,34.7,35.2,33.7,33.7,256450
CII,12/17/2010,33.1,33.4,32.7,34.7,1248780
CII,12/16/2010,34.1,34.5,33.1,33.1,492350
CII,12/15/2010,34.5,35.2,34.4,34.5,594740
CII,12/14/2010,35.7,35.7,34.5,34.5,411560
CII,12/13/2010,36.7,36.7,35.7,35.7,433050
CII,12/10/2010,34.7,35.4,34.7,35.3,837310
CII,12/09/2010,33.4,35.0,32.9,33.7,185200
CII,12/08/2010,34.2,34.6,33.6,33.6,275330
CII,12/07/2010,35.6,35.7,34.7,34.7,237250
CII,12/06/2010,36.4,36.4,35.3,35.7,338600
CII,12/03/2010,36.2,36.2,35.0,36.2,582110
CII,12/02/2010,34.0,34.6,33.3,34.5,255530
CII,12/01/2010,33.6,34.1,33.6,33.8,97640
CII,11/30/2010,34.5,34.9,34.1,34.1,383500
CII,11/29/2010,34.2,34.2,33.8,34.1,97600
CII,11/26/2010,34.3,34.3,33.3,34.2,170040
