<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ITA,06/29/2011,10.6,11.0,10.5,10.9,896660
ITA,06/28/2011,10.9,11.1,10.6,10.6,610420
ITA,06/27/2011,11.2,11.2,10.9,10.9,306130
ITA,06/24/2011,10.9,11.1,10.9,10.9,716550
ITA,06/23/2011,11.2,11.2,10.9,11.0,488710
ITA,06/22/2011,11.5,11.6,11.1,11.1,787380
ITA,06/21/2011,10.6,11.1,10.6,11.1,670360
ITA,06/20/2011,10.9,11.2,10.6,10.6,846150
ITA,06/17/2011,11.2,11.4,11.1,11.1,2091060
ITA,06/16/2011,11.3,11.8,11.0,11.6,697830
ITA,06/15/2011,11.6,11.8,11.4,11.4,1380950
ITA,06/14/2011,12.0,12.7,11.9,11.9,1586090
ITA,06/13/2011,11.5,12.1,11.3,12.1,1683650
ITA,06/10/2011,11.5,11.6,11.3,11.6,1517160
ITA,06/09/2011,11.0,11.3,10.8,11.1,596480
ITA,06/08/2011,11.2,11.5,10.8,11.0,722800
ITA,06/07/2011,11.1,11.1,10.9,11.1,762470
ITA,06/06/2011,10.6,10.6,10.2,10.6,518330
ITA,06/03/2011,11.3,11.3,10.5,10.6,1184690
ITA,06/02/2011,10.6,10.8,10.5,10.8,569490
ITA,06/01/2011,9.8,10.3,9.5,10.3,1629140
ITA,05/31/2011,9.3,10.0,9.3,9.9,519930
ITA,05/30/2011,10.1,10.1,9.6,9.6,827750
ITA,05/27/2011,10.0,10.1,9.8,10.1,934440
ITA,05/26/2011,8.9,9.7,8.9,9.7,3303680
ITA,05/25/2011,9.3,9.3,9.3,9.3,235290
ITA,05/24/2011,9.9,10.0,9.7,9.7,595300
ITA,05/23/2011,10.5,10.5,10.2,10.2,578210
ITA,05/20/2011,11.1,11.1,10.6,10.7,724680
ITA,05/19/2011,11.3,11.6,11.1,11.1,886470
ITA,05/18/2011,11.9,12.0,11.5,11.6,516170
ITA,05/17/2011,12.4,12.4,12.0,12.0,335580
ITA,05/16/2011,12.5,12.6,12.3,12.3,409190
ITA,05/13/2011,12.6,12.6,12.5,12.5,322740
ITA,05/12/2011,12.6,12.7,12.5,12.6,340740
ITA,05/11/2011,12.8,12.9,12.6,12.6,346890
ITA,05/10/2011,12.8,13.0,12.8,12.8,226020
ITA,05/09/2011,12.8,13.0,12.8,13.0,365520
ITA,05/06/2011,12.9,12.9,12.6,12.8,180930
ITA,05/05/2011,12.8,12.8,12.6,12.8,594760
ITA,05/04/2011,12.4,12.8,12.4,12.8,355340
ITA,04/29/2011,12.4,12.8,12.4,12.6,372820
ITA,04/28/2011,12.4,12.6,12.4,12.4,222920
ITA,04/27/2011,12.4,12.6,12.3,12.5,475570
ITA,04/26/2011,12.9,13.0,12.5,12.5,297500
ITA,04/25/2011,12.5,12.9,12.5,12.9,1176770
ITA,04/22/2011,12.7,12.8,12.3,12.3,451080
ITA,04/21/2011,13.0,13.0,12.7,12.8,642170
ITA,04/20/2011,13.0,13.1,12.8,12.9,573530
ITA,04/19/2011,13.0,13.2,12.8,13.0,441170
ITA,04/18/2011,13.5,13.6,13.0,13.0,1027240
ITA,04/15/2011,13.7,13.9,13.6,13.6,604250
ITA,04/14/2011,13.6,13.7,13.5,13.7,516260
ITA,04/13/2011,13.7,13.8,13.6,13.6,290580
ITA,04/08/2011,13.9,13.9,13.7,13.8,250900
ITA,04/07/2011,14.2,14.2,13.8,13.8,200030
ITA,04/06/2011,13.7,14.0,13.6,14.0,725760
ITA,04/05/2011,13.6,13.8,13.5,13.5,450450
ITA,04/04/2011,13.8,13.8,13.5,13.6,397340
ITA,04/01/2011,13.8,13.9,13.7,13.8,245000
ITA,03/31/2011,14.0,14.0,13.8,13.8,511070
ITA,03/30/2011,13.6,14.0,13.6,13.9,306260
ITA,03/29/2011,14.2,14.3,13.9,14.0,521540
ITA,03/28/2011,14.2,14.4,14.2,14.2,328530
ITA,03/25/2011,14.2,14.4,14.1,14.2,528040
ITA,03/24/2011,14.5,14.5,14.2,14.2,663900
ITA,03/23/2011,14.3,14.5,14.2,14.5,543870
ITA,03/22/2011,14.4,14.5,14.1,14.3,590900
ITA,03/21/2011,14.7,14.7,14.4,14.5,752010
ITA,03/18/2011,14.2,14.6,14.0,14.6,878360
ITA,03/17/2011,14.3,14.6,14.1,14.2,809520
ITA,03/16/2011,14.2,14.4,14.0,14.3,903580
ITA,03/15/2011,14.0,14.4,13.9,14.1,711550
ITA,03/14/2011,14.4,14.8,14.1,14.1,1430130
ITA,03/11/2011,14.7,14.8,14.5,14.8,1654890
ITA,03/10/2011,13.5,14.1,13.5,14.1,722600
ITA,03/09/2011,13.6,13.6,13.1,13.5,643020
ITA,03/08/2011,13.6,13.9,13.6,13.7,439990
ITA,03/07/2011,13.7,13.9,13.6,13.7,386030
ITA,03/04/2011,13.5,13.8,13.5,13.6,325570
ITA,03/03/2011,13.7,14.0,13.5,13.5,728870
ITA,03/02/2011,14.2,14.4,13.9,13.9,2129410
ITA,03/01/2011,14.6,14.7,14.3,14.6,390330
ITA,02/28/2011,15.1,15.2,14.6,14.6,1424460
ITA,02/25/2011,15.0,15.3,14.8,15.2,924710
ITA,02/24/2011,14.5,14.9,14.1,14.9,1571140
ITA,02/23/2011,14.3,14.9,14.4,14.8,1200910
ITA,02/22/2011,14.3,14.9,14.3,14.3,2794700
ITA,02/21/2011,15.3,15.3,15.0,15.0,1374200
ITA,02/18/2011,16.0,16.1,15.7,15.7,1152530
ITA,02/17/2011,16.1,16.3,15.8,16.0,1740710
ITA,02/16/2011,16.6,16.6,16.3,16.3,1774050
ITA,02/15/2011,16.5,16.7,16.3,16.6,1333680
ITA,02/14/2011,16.8,17.0,16.6,16.6,780500
ITA,02/11/2011,17.1,17.1,16.7,16.9,1282010
ITA,02/10/2011,16.9,17.2,16.7,17.1,4577360
ITA,02/09/2011,17.0,17.1,16.4,16.4,1217410
ITA,02/08/2011,16.5,16.8,16.5,16.7,706470
ITA,01/28/2011,16.6,16.6,16.4,16.4,689350
ITA,01/27/2011,16.3,16.6,16.1,16.5,735380
ITA,01/26/2011,15.9,16.2,15.9,16.1,460150
ITA,01/25/2011,16.1,16.1,15.9,15.9,784660
ITA,01/24/2011,16.3,16.4,16.1,16.1,938670
ITA,01/21/2011,16.4,16.6,16.2,16.3,1074890
ITA,01/20/2011,16.3,16.7,16.2,16.2,1419070
ITA,01/19/2011,16.3,16.6,16.1,16.6,1407170
ITA,01/18/2011,16.3,16.8,16.3,16.3,922750
ITA,01/17/2011,16.6,17.2,16.4,16.5,1746540
ITA,01/14/2011,15.9,16.4,15.6,16.4,2618150
ITA,01/13/2011,15.3,15.9,15.2,15.7,912000
ITA,01/12/2011,15.0,15.6,15.0,15.3,680640
ITA,01/11/2011,15.4,15.5,15.0,15.0,1220930
ITA,01/10/2011,16.0,16.1,15.5,15.5,1280620
ITA,01/07/2011,16.2,16.4,16.1,16.1,854390
ITA,01/06/2011,16.2,16.3,16.0,16.2,858610
ITA,01/05/2011,16.8,16.8,16.2,16.2,1110390
ITA,01/04/2011,16.7,16.9,16.6,16.6,1060580
ITA,12/31/2010,16.4,16.7,16.4,16.6,1386090
ITA,12/30/2010,16.4,16.7,16.4,16.4,1141580
ITA,12/29/2010,17.1,17.4,16.5,16.5,1964360
ITA,12/28/2010,16.2,16.8,16.1,16.8,1768890
ITA,12/27/2010,16.3,16.4,15.9,16.0,1371400
ITA,12/24/2010,16.1,16.6,15.7,16.1,2287720
ITA,12/23/2010,16.4,16.7,16.0,16.1,2456060
ITA,12/22/2010,17.4,17.2,16.4,16.4,2688070
ITA,12/21/2010,17.5,18.0,17.1,17.2,4421790
ITA,12/20/2010,17.9,17.9,17.5,17.9,4858270
ITA,12/17/2010,16.7,17.1,16.1,17.1,4825080
ITA,12/16/2010,16.0,17.0,16.0,16.3,5544700
ITA,12/15/2010,16.2,16.3,16.0,16.3,6069260
ITA,12/14/2010,15.5,16.6,15.5,15.6,3345110
ITA,12/13/2010,16.3,16.3,16.0,16.3,3154250
ITA,12/10/2010,15.5,15.6,15.0,15.6,2621110
ITA,12/09/2010,14.5,15.2,14.0,14.9,1173670
ITA,12/08/2010,14.8,15.2,14.5,14.5,1840570
ITA,12/07/2010,15.5,16.0,15.2,15.2,1990280
ITA,12/06/2010,16.4,16.5,15.5,16.0,3488810
ITA,12/03/2010,16.0,16.0,15.9,16.0,3214900
ITA,12/02/2010,14.7,15.3,14.4,15.3,2943810
ITA,12/01/2010,14.6,14.9,14.2,14.6,1189950
ITA,11/30/2010,14.7,14.8,14.5,14.6,1938050
ITA,11/29/2010,13.4,14.1,13.2,14.1,642850
ITA,11/26/2010,13.9,14.0,13.4,13.5,481770
ITA,11/25/2010,13.4,13.9,13.4,13.7,651590
ITA,11/24/2010,12.9,13.4,12.8,13.3,513420
ITA,11/23/2010,12.8,13.3,12.8,13.1,558200
ITA,11/22/2010,13.0,13.0,12.7,12.8,1199220
ITA,11/19/2010,13.5,13.6,13.2,13.3,290370
ITA,11/18/2010,13.4,13.6,13.2,13.4,642140
ITA,11/17/2010,13.0,13.4,12.9,13.0,601380
ITA,11/16/2010,13.8,13.9,13.2,13.2,827280
ITA,11/15/2010,14.2,14.6,13.8,13.8,517010
ITA,11/12/2010,15.0,15.0,14.4,14.4,1020920
ITA,11/11/2010,15.3,15.4,15.1,15.1,643710
ITA,11/10/2010,15.2,15.4,15.2,15.3,245070
ITA,11/09/2010,15.4,15.4,15.2,15.4,667640
ITA,11/08/2010,15.5,15.7,15.4,15.5,235080
ITA,11/05/2010,15.8,15.8,15.5,15.7,328500
ITA,11/04/2010,15.3,15.6,15.2,15.4,281250
ITA,11/03/2010,15.3,15.5,15.2,15.2,424400
ITA,11/02/2010,15.6,15.6,15.4,15.4,386020
ITA,11/01/2010,15.8,15.8,15.6,15.7,302200
ITA,10/29/2010,16.0,16.1,15.8,15.8,369720
ITA,10/28/2010,16.0,16.1,15.8,15.9,294490
ITA,10/27/2010,16.4,16.4,15.9,16.1,551090
ITA,10/26/2010,15.8,16.3,15.7,16.3,715980
ITA,10/25/2010,15.5,15.7,15.4,15.6,381190
ITA,10/22/2010,15.6,15.7,15.4,15.6,382170
ITA,10/21/2010,15.7,15.9,15.3,15.5,537260
ITA,10/20/2010,16.1,16.1,15.4,15.5,935180
ITA,10/19/2010,16.7,16.7,16.1,16.2,700640
ITA,10/18/2010,16.6,16.8,16.4,16.4,467950
ITA,10/15/2010,16.9,16.9,16.6,16.7,491420
ITA,10/14/2010,17.1,17.2,16.7,16.7,454290
ITA,10/13/2010,16.6,17.0,16.5,17.0,478630
ITA,10/12/2010,16.8,16.8,16.4,16.6,512670
ITA,10/11/2010,17.0,17.1,16.8,16.8,408840
ITA,10/08/2010,17.2,17.5,17.1,17.1,588920
ITA,10/07/2010,17.6,18.0,17.3,17.4,1542430
ITA,10/06/2010,16.7,17.4,16.7,17.4,1441020
ITA,10/05/2010,16.0,16.6,16.0,16.6,912190
ITA,10/04/2010,17.0,17.0,16.3,16.5,1157130
ITA,10/01/2010,17.1,17.3,17.0,17.0,1005360
ITA,09/30/2010,17.2,17.4,17.1,17.3,800150
ITA,09/29/2010,17.8,17.8,17.3,17.4,673610
ITA,09/28/2010,18.0,18.0,17.6,17.8,633280
ITA,09/27/2010,17.8,18.0,17.5,17.5,871050
ITA,09/24/2010,17.8,18.1,17.7,17.8,2275210
ITA,09/23/2010,18.5,18.6,18.0,18.1,1107720
ITA,09/22/2010,18.7,19.1,18.7,18.8,674530
ITA,09/21/2010,18.6,18.7,18.3,18.5,759450
ITA,09/20/2010,18.4,19.2,18.4,18.7,3370790
ITA,09/17/2010,19.2,19.5,18.9,19.3,830000
ITA,09/16/2010,18.5,19.0,18.5,18.9,296870
ITA,09/15/2010,19.3,19.3,18.6,18.8,652450
ITA,09/14/2010,18.9,18.9,18.8,18.9,2179890
ITA,09/13/2010,18.4,19.0,17.8,18.0,993060
ITA,09/10/2010,19.1,19.6,18.7,18.7,990700
ITA,09/09/2010,20.0,20.0,19.4,19.6,895980
ITA,09/08/2010,19.3,19.7,19.1,19.6,1016220
ITA,09/07/2010,20.0,21.0,19.8,20.0,938240
ITA,09/06/2010,20.0,20.4,19.9,20.4,1291200
ITA,09/01/2010,19.2,19.6,18.8,19.5,1058300
ITA,08/31/2010,18.4,18.9,18.1,18.9,1732550
ITA,08/30/2010,17.7,18.0,17.6,18.0,912270
ITA,08/27/2010,17.2,17.6,16.8,17.2,423020
ITA,08/26/2010,17.6,17.6,16.8,17.2,439700
ITA,08/25/2010,17.4,17.4,17.1,17.1,1083080
ITA,08/24/2010,18.1,18.2,18.0,18.0,798140
ITA,08/23/2010,19.0,19.1,18.9,18.9,1016290
ITA,08/20/2010,19.0,19.8,18.5,19.8,362020
ITA,08/19/2010,19.3,19.4,19.0,19.0,281010
ITA,08/18/2010,20.0,20.0,19.3,19.3,142350
ITA,08/17/2010,19.6,20.2,19.6,20.0,240960
ITA,08/16/2010,19.6,20.2,19.5,20.2,379100
ITA,08/13/2010,19.0,19.3,18.8,19.3,164720
ITA,08/12/2010,19.9,20.0,19.3,19.3,561130
ITA,08/11/2010,19.9,20.5,19.9,20.3,390690
ITA,08/10/2010,20.0,20.2,19.4,20.0,454730
ITA,08/09/2010,21.2,21.2,20.2,20.3,388750
ITA,08/06/2010,21.3,21.3,21.1,21.2,254830
ITA,08/05/2010,21.6,21.6,21.3,21.4,464190
ITA,08/04/2010,21.7,21.7,21.3,21.3,190300
ITA,08/03/2010,21.7,22.0,21.7,21.7,392070
ITA,08/02/2010,22.0,22.0,21.6,21.6,168350
ITA,07/30/2010,21.6,22.3,21.6,21.9,262170
ITA,07/29/2010,21.4,21.7,21.4,21.6,648970
ITA,07/28/2010,21.5,21.5,21.2,21.3,276440
ITA,07/27/2010,21.5,21.6,21.3,21.5,600600
ITA,07/26/2010,21.7,21.7,21.2,21.2,184150
ITA,07/23/2010,21.5,21.6,21.4,21.4,292050
ITA,07/22/2010,21.5,21.5,21.3,21.4,276870
ITA,07/21/2010,21.9,21.9,21.5,21.5,228320
ITA,07/20/2010,22.0,22.2,21.8,21.8,232600
ITA,07/19/2010,22.0,22.1,21.7,21.9,395350
ITA,07/16/2010,22.0,22.3,22.0,22.1,242690
ITA,07/15/2010,22.3,22.6,22.1,22.1,154320
ITA,07/14/2010,23.0,23.1,22.6,22.5,457530
ITA,07/13/2010,22.2,22.7,22.0,22.7,800360
ITA,07/12/2010,21.8,21.8,21.5,21.7,94960
ITA,07/09/2010,21.9,21.9,21.6,21.7,188190
ITA,07/08/2010,21.8,22.0,21.5,21.5,321520
ITA,07/07/2010,21.7,21.9,21.5,21.6,184510
ITA,07/06/2010,22.1,22.1,21.7,21.7,330130
ITA,07/05/2010,21.9,22.1,21.9,22.1,368510
ITA,07/02/2010,21.8,22.0,21.6,21.8,452430
ITA,07/01/2010,22.2,22.3,22.0,22.0,315530
ITA,06/30/2010,22.5,22.5,22.2,22.2,281370
ITA,06/29/2010,22.5,22.6,22.4,22.6,633750
ITA,06/28/2010,22.1,22.2,21.6,21.6,592920
ITA,06/25/2010,22.5,22.6,22.2,22.2,476470
ITA,06/24/2010,22.9,23.0,22.6,22.6,388610
ITA,06/23/2010,22.7,23.0,22.6,22.9,470670
ITA,06/22/2010,23.0,23.1,22.8,22.8,432750
ITA,06/21/2010,23.5,23.5,23.0,23.0,352400
ITA,06/18/2010,23.0,23.5,23.0,23.3,815820
ITA,06/17/2010,22.9,22.9,22.7,22.8,494890
ITA,06/16/2010,23.0,23.1,22.8,22.9,578820
ITA,06/15/2010,23.1,23.1,22.7,22.7,551940
ITA,06/14/2010,23.3,23.4,23.1,23.1,692320
