<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KDC,07/01/2011,36.6,38.0,36.1,36.6,122900
KDC,06/30/2011,35.7,38.0,35.4,38.0,245480
KDC,06/29/2011,35.8,37.2,34.6,37.2,116800
KDC,06/28/2011,36.0,36.0,35.4,35.5,257960
KDC,06/27/2011,35.1,35.8,34.6,35.8,269300
KDC,06/24/2011,35.1,35.2,34.6,35.1,170960
KDC,06/23/2011,34.7,35.3,34.6,34.6,119740
KDC,06/22/2011,35.9,35.9,34.9,35.3,113270
KDC,06/21/2011,35.5,35.5,34.4,35.5,117620
KDC,06/20/2011,35.1,35.9,34.9,34.9,111370
KDC,06/17/2011,36.1,36.1,35.7,35.7,170950
KDC,06/16/2011,36.0,36.4,35.6,36.2,317650
KDC,06/15/2011,36.4,36.4,36.0,36.2,234140
KDC,06/14/2011,36.5,36.5,35.5,36.4,137500
KDC,06/13/2011,36.8,36.8,36.5,36.5,125720
KDC,06/10/2011,36.9,36.9,36.3,36.8,232450
KDC,06/09/2011,36.9,36.9,36.0,36.6,163370
KDC,06/08/2011,37.5,37.5,36.0,36.9,89460
KDC,06/07/2011,36.5,37.5,36.5,37.5,72620
KDC,06/06/2011,36.5,37.3,36.5,37.0,85550
KDC,06/03/2011,38.3,38.3,36.5,37.3,135030
KDC,06/02/2011,36.0,37.3,36.0,37.3,148980
KDC,06/01/2011,36.3,37.0,36.0,37.0,151870
KDC,05/31/2011,36.0,36.8,35.5,36.8,150740
KDC,05/30/2011,37.0,37.0,36.0,36.9,84020
KDC,05/27/2011,36.0,37.0,35.7,37.0,147300
KDC,05/26/2011,33.3,36.0,33.3,36.0,64020
KDC,05/25/2011,35.2,35.2,33.5,35.0,55920
KDC,05/24/2011,33.5,35.2,33.5,35.2,153680
KDC,05/23/2011,34.5,36.0,34.2,35.2,66410
KDC,05/20/2011,36.6,36.6,36.0,36.0,73930
KDC,05/19/2011,36.6,37.0,35.5,36.6,93160
KDC,05/18/2011,36.1,38.0,36.1,37.0,89210
KDC,05/17/2011,38.4,38.4,37.8,38.0,92100
KDC,05/16/2011,38.2,39.3,38.0,38.0,90480
KDC,05/13/2011,38.6,39.3,38.6,39.0,68670
KDC,05/12/2011,39.1,39.3,39.1,39.2,98110
KDC,05/11/2011,39.0,39.4,38.7,39.3,97780
KDC,05/10/2011,38.8,39.0,38.4,39.0,85670
KDC,05/09/2011,38.8,39.8,38.8,38.8,123940
KDC,05/06/2011,38.9,39.0,38.5,38.8,105220
KDC,05/05/2011,39.2,39.8,39.0,39.5,71880
KDC,05/04/2011,39.0,40.4,39.0,39.9,95140
KDC,04/29/2011,41.0,41.0,39.0,40.5,78440
KDC,04/28/2011,38.8,40.1,38.8,40.1,140370
KDC,04/27/2011,40.5,40.5,38.7,40.0,133740
KDC,04/26/2011,40.5,41.0,40.5,40.5,88660
KDC,04/25/2011,40.9,41.5,40.6,41.0,94270
KDC,04/22/2011,40.3,41.0,40.3,40.9,86240
KDC,04/21/2011,41.0,41.0,40.5,40.5,96090
KDC,04/20/2011,41.0,41.1,40.8,41.0,128110
KDC,04/19/2011,41.1,41.3,40.5,41.1,123220
KDC,04/18/2011,41.8,41.8,40.8,41.4,96010
KDC,04/15/2011,41.5,41.7,41.3,41.7,138950
KDC,04/14/2011,41.5,42.9,41.5,41.5,107670
KDC,04/13/2011,42.6,43.1,42.6,43.0,83400
KDC,04/08/2011,43.2,43.2,41.5,43.2,100330
KDC,04/07/2011,42.5,43.2,42.5,43.2,106480
KDC,04/06/2011,43.1,43.2,42.6,43.2,91230
KDC,04/05/2011,43.3,43.3,42.8,43.1,86680
KDC,04/04/2011,43.0,43.5,42.0,43.3,128590
KDC,04/01/2011,43.0,43.0,42.3,43.0,71480
KDC,03/31/2011,43.1,43.1,42.4,42.9,76750
KDC,03/30/2011,41.2,43.1,41.2,43.1,80200
KDC,03/29/2011,43.4,43.4,42.8,43.0,84810
KDC,03/28/2011,43.0,43.3,42.9,42.9,91350
KDC,03/25/2011,43.3,43.3,42.8,43.0,112090
KDC,03/24/2011,43.4,43.5,42.8,43.3,77640
KDC,03/23/2011,44.0,42.9,43.0,43.0,86590
KDC,03/22/2011,44.1,45.1,42.9,42.9,128430
KDC,03/21/2011,45.5,45.5,44.5,45.1,113660
KDC,03/18/2011,46.8,46.8,45.0,45.0,155870
KDC,03/17/2011,45.5,47.4,45.5,46.8,163400
KDC,03/16/2011,47.0,47.0,46.0,46.9,96860
KDC,03/15/2011,47.3,47.5,46.2,47.0,90650
KDC,03/14/2011,47.0,47.5,46.9,47.3,91700
KDC,03/11/2011,48.9,48.9,47.7,48.0,186660
KDC,03/10/2011,47.0,48.9,46.0,48.9,253400
KDC,03/09/2011,47.5,47.5,46.8,47.0,134670
KDC,03/08/2011,47.9,48.0,47.2,47.5,150570
KDC,03/07/2011,48.0,48.3,47.4,48.2,247180
KDC,03/04/2011,46.9,48.8,46.9,48.0,300800
KDC,03/03/2011,48.8,48.8,46.9,46.9,196190
KDC,03/02/2011,48.0,49.4,47.3,48.8,169310
KDC,03/01/2011,49.8,49.8,48.5,49.5,105220
KDC,02/28/2011,49.9,49.9,49.5,49.8,87600
KDC,02/25/2011,49.9,49.9,48.0,49.9,112590
KDC,02/24/2011,48.5,49.9,48.0,49.9,116790
KDC,02/23/2011,48.0,49.9,48.0,49.9,88800
KDC,02/22/2011,48.7,50.0,48.7,49.9,122580
KDC,02/21/2011,52.5,52.5,50.0,51.0,157380
KDC,02/18/2011,53.5,53.5,52.5,52.5,105880
KDC,02/17/2011,54.0,54.0,53.0,53.5,91700
KDC,02/16/2011,53.0,53.5,52.0,53.5,111980
KDC,02/15/2011,54.0,54.0,53.0,53.0,73160
KDC,02/14/2011,54.0,54.0,53.0,54.0,109200
KDC,02/11/2011,54.0,54.0,53.0,54.0,82910
KDC,02/10/2011,54.0,54.0,53.5,54.0,73600
KDC,02/09/2011,55.0,55.0,54.0,54.5,103550
KDC,02/08/2011,55.0,55.5,54.5,55.0,100580
KDC,01/28/2011,54.0,55.0,53.5,55.0,173390
KDC,01/27/2011,54.0,54.0,53.0,54.0,105800
KDC,01/26/2011,53.5,54.0,53.0,54.0,99590
KDC,01/25/2011,53.0,53.5,52.0,53.5,137090
KDC,01/24/2011,53.0,53.0,51.0,53.0,101790
KDC,01/21/2011,52.5,53.0,52.0,53.0,233350
KDC,01/20/2011,51.5,53.0,51.5,53.0,98250
KDC,01/19/2011,54.0,54.0,52.0,53.0,147440
KDC,01/18/2011,52.5,53.0,52.5,53.0,87820
KDC,01/17/2011,52.5,53.0,52.0,53.0,88440
KDC,01/14/2011,52.0,52.5,51.5,52.5,96440
KDC,01/13/2011,52.0,52.0,50.5,52.0,113320
KDC,01/12/2011,52.0,52.0,51.0,52.0,87770
KDC,01/11/2011,51.0,52.0,51.0,52.0,68730
KDC,01/10/2011,52.0,52.0,51.0,51.5,73460
KDC,01/07/2011,52.5,52.5,51.0,52.0,90600
KDC,01/06/2011,50.0,52.5,50.0,52.5,204950
KDC,01/05/2011,52.0,52.0,51.0,52.0,115240
KDC,01/04/2011,51.0,52.0,51.0,52.0,156080
KDC,12/31/2010,51.0,51.5,51.0,51.5,140640
KDC,12/30/2010,51.5,51.5,50.0,51.5,189580
KDC,12/29/2010,51.0,51.5,50.0,51.5,122590
KDC,12/28/2010,50.5,51.0,50.0,51.0,86370
KDC,12/27/2010,50.0,51.0,50.0,50.5,81920
KDC,12/24/2010,48.7,50.0,48.5,50.0,91750
KDC,12/23/2010,50.0,50.0,48.0,48.0,139880
KDC,12/22/2010,50.5,49.0,48.7,49.5,157680
KDC,12/21/2010,49.5,49.5,49.0,49.0,189180
KDC,12/20/2010,50.0,50.5,49.0,49.5,136430
KDC,12/17/2010,50.5,50.5,49.5,50.5,84650
KDC,12/16/2010,51.5,51.5,49.1,50.5,142610
KDC,12/15/2010,51.5,51.5,50.0,51.0,104720
KDC,12/14/2010,52.0,52.0,49.6,50.5,214890
