<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
LAF,06/29/2011,16.3,16.3,16.0,16.3,24170
LAF,06/28/2011,16.1,16.3,16.0,16.0,68250
LAF,06/27/2011,15.9,16.1,15.8,16.1,13650
LAF,06/24/2011,15.8,15.9,15.6,15.8,36190
LAF,06/23/2011,16.0,16.0,15.6,15.6,31540
LAF,06/22/2011,16.5,16.5,15.9,15.9,79430
LAF,06/21/2011,15.5,16.2,15.5,16.1,65900
LAF,06/20/2011,15.9,16.1,15.5,15.6,79670
LAF,06/17/2011,16.6,16.6,15.7,15.8,167620
LAF,06/16/2011,16.2,16.9,16.2,16.5,100380
LAF,06/15/2011,16.8,17.0,16.4,16.4,174880
LAF,06/14/2011,17.0,18.1,16.8,17.2,245250
LAF,06/13/2011,16.8,17.3,16.2,17.3,121650
LAF,06/10/2011,16.5,16.8,16.4,16.8,201030
LAF,06/09/2011,15.0,16.0,15.0,16.0,221920
LAF,06/08/2011,15.5,15.8,15.3,15.3,111050
LAF,06/07/2011,15.5,15.5,15.0,15.5,363450
LAF,06/06/2011,14.5,14.9,14.3,14.8,81040
LAF,06/03/2011,15.8,15.8,14.6,14.9,164840
LAF,06/02/2011,15.2,15.2,15.0,15.2,149630
LAF,06/01/2011,13.9,14.5,13.9,14.5,159030
LAF,05/31/2011,13.5,14.0,13.5,13.9,80100
LAF,05/30/2011,14.7,14.7,13.8,13.8,68480
LAF,05/27/2011,14.3,14.5,13.9,14.5,181090
LAF,05/26/2011,12.7,13.9,12.7,13.9,274150
LAF,05/25/2011,14.0,14.0,13.3,13.3,127610
LAF,05/24/2011,14.8,14.8,14.0,14.0,117040
LAF,05/23/2011,15.2,15.5,14.7,14.7,152090
LAF,05/20/2011,15.6,15.7,15.4,15.4,76950
LAF,05/19/2011,15.7,16.2,15.5,15.7,164120
LAF,05/18/2011,16.0,16.1,15.5,16.1,127710
LAF,05/17/2011,16.4,16.6,16.1,16.1,134290
LAF,05/16/2011,16.9,17.0,16.5,16.5,118730
LAF,05/13/2011,17.2,17.3,16.8,16.9,81460
LAF,05/12/2011,17.3,17.4,17.0,17.0,114140
LAF,05/11/2011,17.8,17.8,17.3,17.4,59050
LAF,05/10/2011,17.5,17.6,17.3,17.5,110210
LAF,05/09/2011,17.5,17.5,17.2,17.4,27410
LAF,05/06/2011,17.3,17.6,17.1,17.2,80670
LAF,05/05/2011,17.9,17.9,17.3,17.3,136340
LAF,05/04/2011,17.8,18.3,17.8,17.8,193260
LAF,04/29/2011,17.7,18.1,17.6,18.0,199980
LAF,04/28/2011,17.6,17.6,17.2,17.4,66240
LAF,04/27/2011,17.4,17.9,17.3,17.3,165750
LAF,04/26/2011,17.9,17.9,17.8,17.9,504120
LAF,04/25/2011,17.2,17.3,16.7,17.1,53200
LAF,04/22/2011,17.0,17.0,16.3,16.7,98610
LAF,04/21/2011,16.9,17.5,16.7,17.0,89860
LAF,04/20/2011,17.5,17.5,16.6,16.9,39060
LAF,04/19/2011,17.4,18.0,17.0,17.4,93170
LAF,04/18/2011,20.6,20.6,18.9,17.8,101500
LAF,04/15/2011,19.7,19.8,19.6,19.6,192500
LAF,04/14/2011,19.6,19.7,19.5,19.6,95230
LAF,04/13/2011,19.8,19.8,19.6,19.6,100140
LAF,04/08/2011,19.7,19.7,19.4,19.6,102190
LAF,04/07/2011,19.7,19.7,19.2,19.2,91080
LAF,04/06/2011,19.8,19.8,19.5,19.7,112110
LAF,04/05/2011,19.6,19.9,19.4,19.5,88480
LAF,04/04/2011,19.8,19.8,19.4,19.5,104230
LAF,04/01/2011,19.8,19.8,19.5,19.7,88380
LAF,03/31/2011,20.0,20.1,19.7,19.7,75300
LAF,03/30/2011,19.6,20.0,19.5,20.0,173470
LAF,03/29/2011,20.2,20.2,19.6,20.0,106370
LAF,03/28/2011,20.4,20.5,20.1,20.2,149210
LAF,03/25/2011,20.2,20.3,20.0,20.1,211290
LAF,03/24/2011,20.1,20.2,19.9,20.0,174910
LAF,03/23/2011,20.5,20.0,20.0,20.0,280600
LAF,03/22/2011,20.6,20.6,19.9,20.0,200890
LAF,03/21/2011,20.7,20.9,20.5,20.6,239350
LAF,03/18/2011,19.8,20.3,19.6,20.1,204210
LAF,03/17/2011,19.7,20.0,19.4,19.7,133160
LAF,03/16/2011,20.1,20.2,19.8,19.8,153790
LAF,03/15/2011,19.7,20.3,19.7,19.9,94670
LAF,03/14/2011,21.3,21.3,19.9,19.9,471440
LAF,03/11/2011,20.2,20.4,20.2,20.3,412440
LAF,03/10/2011,18.9,19.5,18.9,19.5,186240
LAF,03/09/2011,19.2,19.2,18.6,18.9,242120
LAF,03/08/2011,19.4,19.4,19.0,19.1,100060
LAF,03/07/2011,19.5,19.5,18.9,19.4,108170
LAF,03/04/2011,19.6,19.6,19.2,19.4,312420
LAF,03/03/2011,18.4,19.1,18.4,18.9,101100
LAF,03/02/2011,19.5,19.5,18.5,18.6,348520
LAF,03/01/2011,19.4,19.5,18.9,19.0,70950
LAF,02/28/2011,19.4,19.8,19.3,19.4,361250
LAF,02/25/2011,18.7,18.9,18.5,18.9,152070
LAF,02/24/2011,18.3,18.7,18.0,18.2,228780
LAF,02/23/2011,19.1,19.1,18.6,18.8,192970
LAF,02/22/2011,18.7,19.1,18.6,18.6,236490
LAF,02/21/2011,19.8,20.0,19.5,19.5,226380
LAF,02/18/2011,21.0,21.0,20.4,20.5,194810
LAF,02/17/2011,21.2,21.2,20.7,20.9,132810
LAF,02/16/2011,21.4,21.4,21.0,21.1,211320
LAF,02/15/2011,21.4,21.4,20.9,20.9,128020
LAF,02/14/2011,22.0,22.0,21.4,21.4,190300
