<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MHC,06/29/2011,3.5,3.5,3.5,3.5,18630
MHC,06/28/2011,3.6,3.6,3.6,3.6,8640
MHC,06/27/2011,3.7,3.7,3.7,3.7,4200
MHC,06/24/2011,3.8,3.8,3.8,3.8,4000
MHC,06/23/2011,3.8,3.8,3.8,3.8,10000
MHC,06/22/2011,3.8,3.8,3.8,3.8,3400
MHC,06/21/2011,3.9,3.9,3.9,3.9,8670
MHC,06/20/2011,3.8,3.8,3.8,3.8,15000
MHC,06/17/2011,3.9,3.9,3.9,3.9,10450
MHC,06/16/2011,3.9,3.9,3.9,3.9,18880
MHC,06/15/2011,3.8,3.8,3.8,3.8,60080
MHC,06/14/2011,4.0,4.0,4.0,4.0,36910
MHC,06/13/2011,4.0,4.0,4.0,4.0,13120
MHC,06/10/2011,3.9,3.9,3.9,3.9,17500
MHC,06/09/2011,3.8,3.8,3.8,3.8,31800
MHC,06/08/2011,3.7,3.7,3.7,3.7,49630
MHC,06/07/2011,3.6,3.6,3.6,3.6,6700
MHC,06/06/2011,3.5,3.5,3.5,3.5,8100
MHC,06/03/2011,3.4,3.4,3.4,3.4,24870
MHC,06/02/2011,3.3,3.3,3.3,3.3,82680
MHC,06/01/2011,3.2,3.2,3.2,3.2,82370
MHC,05/31/2011,3.3,3.3,3.3,3.3,42080
MHC,05/30/2011,3.4,3.4,3.4,3.4,24300
MHC,05/27/2011,3.5,3.5,3.5,3.5,132660
MHC,05/26/2011,3.6,3.6,3.6,3.6,10530
MHC,05/25/2011,3.7,3.7,3.7,3.7,300
MHC,05/24/2011,3.8,3.8,3.8,3.8,1000
MHC,05/23/2011,4.0,4.0,4.0,4.0,15720
MHC,05/20/2011,4.2,4.2,4.2,4.2,8910
MHC,05/19/2011,4.4,4.4,4.4,4.4,33500
MHC,05/18/2011,4.6,4.6,4.6,4.6,400
MHC,05/17/2011,4.8,4.8,4.8,4.8,140
MHC,05/16/2011,5.0,5.0,5.0,5.0,22330
MHC,05/13/2011,5.2,5.2,5.2,5.2,76900
MHC,05/12/2011,5.0,5.0,5.0,5.0,15780
MHC,05/11/2011,4.8,4.8,4.8,4.8,19930
MHC,05/10/2011,4.6,4.6,4.6,4.6,26600
MHC,05/09/2011,4.4,4.4,4.4,4.4,53560
MHC,05/06/2011,4.5,4.5,4.5,4.5,36880
MHC,05/05/2011,4.7,4.7,4.7,4.7,11240
MHC,05/04/2011,4.9,4.9,4.9,4.9,33190
MHC,04/29/2011,5.1,5.1,5.1,5.1,5890
MHC,04/28/2011,5.3,5.3,5.3,5.3,4570
MHC,04/27/2011,5.5,5.5,5.5,5.5,10120
MHC,04/07/2011,5.7,5.7,5.7,5.7,93130
MHC,04/06/2011,6.1,6.1,6.0,6.0,29520
MHC,04/05/2011,6.0,6.1,6.0,6.0,54010
MHC,04/04/2011,5.8,6.0,5.8,6.0,43410
MHC,04/01/2011,6.0,6.0,5.8,5.9,24820
MHC,03/31/2011,6.0,6.1,5.9,5.9,19100
MHC,03/30/2011,6.0,6.0,5.8,6.0,25570
MHC,03/29/2011,6.0,6.0,5.8,6.0,55910
