<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
RAL,06/29/2011,16.3,16.3,16.1,16.2,51060
RAL,06/28/2011,16.3,16.3,16.1,16.1,7360
RAL,06/27/2011,16.4,16.5,16.4,16.5,12900
RAL,06/24/2011,16.5,16.6,16.3,16.5,16970
RAL,06/23/2011,16.5,16.5,16.4,16.4,1730
RAL,06/22/2011,16.8,16.8,16.3,16.4,5030
RAL,06/21/2011,16.4,16.8,16.4,16.5,42640
RAL,06/20/2011,16.1,16.4,16.1,16.4,18110
RAL,06/17/2011,16.9,16.9,16.2,16.4,43270
RAL,06/16/2011,16.9,16.9,16.5,16.9,9410
RAL,06/15/2011,17.0,17.0,16.4,16.4,45690
RAL,06/14/2011,17.4,17.9,17.0,17.2,28340
RAL,06/13/2011,17.2,17.6,17.2,17.4,35730
RAL,06/10/2011,17.0,17.6,16.9,17.5,155950
RAL,06/09/2011,17.0,17.0,16.8,16.8,42520
RAL,06/08/2011,17.0,17.1,16.7,16.7,52290
RAL,06/07/2011,17.1,17.2,17.0,17.2,43360
RAL,06/06/2011,17.0,17.0,16.6,16.7,13230
RAL,06/03/2011,17.3,17.3,16.7,16.7,32040
RAL,06/02/2011,17.0,17.3,17.0,17.3,38500
RAL,06/01/2011,16.3,17.0,16.3,16.9,36680
RAL,05/31/2011,16.5,16.5,15.9,16.3,115650
RAL,05/30/2011,16.4,16.8,16.1,16.1,40110
RAL,05/27/2011,16.4,16.4,16.2,16.4,89770
RAL,05/26/2011,14.7,15.7,14.6,15.7,43510
RAL,05/25/2011,15.1,15.3,14.7,15.0,46310
RAL,05/24/2011,15.7,15.7,15.3,15.3,60760
RAL,05/23/2011,16.1,16.1,15.5,15.7,47720
RAL,05/20/2011,16.2,16.7,16.0,16.1,30030
RAL,05/19/2011,16.7,16.7,16.4,16.5,37090
RAL,05/18/2011,16.5,16.8,16.5,16.8,20780
RAL,05/17/2011,16.9,17.2,16.8,16.9,42610
RAL,05/16/2011,17.2,17.2,16.8,16.9,39840
RAL,05/13/2011,17.2,17.3,17.1,17.2,44270
RAL,05/12/2011,18.0,18.0,17.3,17.3,51170
RAL,05/11/2011,17.0,17.5,16.9,17.3,57740
RAL,05/10/2011,17.6,17.9,17.4,17.4,39530
RAL,05/09/2011,17.1,17.3,17.0,17.3,68560
RAL,05/06/2011,16.5,16.7,16.5,16.5,29650
RAL,05/05/2011,17.3,17.3,16.5,16.5,16870
RAL,05/04/2011,17.2,17.6,17.0,17.1,65330
RAL,04/29/2011,16.6,17.0,16.4,17.0,27970
RAL,04/28/2011,16.5,16.8,15.8,16.4,23430
RAL,04/27/2011,16.3,16.5,15.6,16.2,40810
RAL,04/26/2011,16.5,16.5,15.9,16.4,16560
RAL,04/25/2011,16.4,16.5,16.3,16.5,8710
RAL,04/22/2011,16.0,16.5,15.7,15.9,49880
RAL,04/21/2011,16.2,16.5,15.9,16.0,43360
RAL,04/20/2011,16.9,17.0,16.6,16.7,44560
RAL,04/19/2011,16.6,16.9,16.4,16.6,15660
RAL,04/18/2011,17.0,17.0,16.6,16.6,13880
RAL,04/15/2011,17.4,17.6,17.1,17.1,49610
RAL,04/14/2011,17.4,17.6,17.4,17.4,39670
