<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SMC,06/29/2011,14.6,14.8,14.5,14.8,6040
SMC,06/28/2011,14.9,14.9,14.9,14.9,3750
SMC,06/27/2011,14.4,15.0,14.4,14.9,2000
SMC,06/24/2011,15.0,15.0,14.3,15.0,3910
SMC,06/23/2011,15.0,15.0,15.0,15.0,4730
SMC,06/22/2011,15.0,15.0,14.6,15.0,2310
SMC,06/21/2011,15.0,15.0,15.0,15.0,10750
SMC,06/20/2011,15.0,15.0,14.5,14.9,8200
SMC,06/17/2011,14.9,15.3,14.7,14.7,1890
SMC,06/16/2011,15.3,15.3,15.3,15.3,3700
SMC,06/15/2011,16.0,16.0,15.0,15.0,570
SMC,06/14/2011,15.5,16.2,15.4,15.4,9200
SMC,06/13/2011,15.7,15.8,15.6,15.7,9830
SMC,06/10/2011,15.6,15.8,15.4,15.7,11920
SMC,06/09/2011,15.6,15.6,15.6,15.6,4310
SMC,06/08/2011,15.9,15.9,15.6,15.6,4950
SMC,06/07/2011,15.0,16.0,15.0,15.6,13110
SMC,06/06/2011,15.9,15.9,15.6,15.6,2410
SMC,06/03/2011,16.0,16.0,15.5,15.5,11700
SMC,06/02/2011,16.0,16.0,16.0,16.0,16140
SMC,06/01/2011,15.2,16.0,15.2,16.0,1800
SMC,05/31/2011,15.0,15.8,14.8,15.8,4530
SMC,05/30/2011,16.4,16.4,15.2,15.2,21530
SMC,05/27/2011,15.1,16.0,15.1,16.0,3820
SMC,05/26/2011,14.1,15.4,14.1,15.4,16520
SMC,05/25/2011,14.7,15.5,14.7,14.7,35220
SMC,05/24/2011,15.5,15.9,15.4,15.4,28840
SMC,05/23/2011,16.2,16.2,16.0,16.2,58800
SMC,05/20/2011,16.6,16.6,16.1,16.4,9730
SMC,05/19/2011,16.8,16.8,16.6,16.6,25070
SMC,05/18/2011,16.8,16.8,16.6,16.8,26440
SMC,05/17/2011,17.0,17.0,16.8,16.9,19260
SMC,05/16/2011,17.0,17.0,16.9,17.0,11850
SMC,05/13/2011,17.0,17.0,16.9,17.0,30400
SMC,05/12/2011,17.0,17.0,17.0,17.0,19010
SMC,05/11/2011,17.1,17.1,16.9,17.1,1240
SMC,05/10/2011,17.1,17.1,17.0,17.1,7770
SMC,05/09/2011,16.8,17.1,16.8,17.1,11200
SMC,05/06/2011,17.0,17.1,16.9,17.1,12570
SMC,05/05/2011,16.8,17.2,16.6,17.1,34680
SMC,05/04/2011,17.6,17.6,17.0,17.2,16600
