<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TNA,06/29/2011,18.6,18.9,18.6,18.9,1930
TNA,06/28/2011,18.6,18.6,18.6,18.6,110
TNA,06/27/2011,19.0,19.0,18.3,18.4,360
TNA,06/24/2011,19.2,19.2,17.5,19.2,3210
TNA,06/23/2011,18.5,18.8,18.0,18.3,7100
TNA,06/22/2011,19.0,19.5,18.7,18.7,4780
TNA,06/21/2011,18.8,19.6,18.8,19.6,2040
TNA,06/20/2011,19.0,19.0,18.6,18.9,590
TNA,06/17/2011,18.7,19.6,18.7,19.0,6910
TNA,06/16/2011,19.2,19.2,18.6,18.7,770
TNA,06/15/2011,18.6,18.7,18.6,18.6,1080
TNA,06/14/2011,19.4,19.5,19.0,19.0,530
TNA,06/13/2011,19.5,20.0,18.9,18.9,7120
TNA,06/10/2011,18.6,19.5,18.6,19.5,150
TNA,06/09/2011,18.5,19.1,18.5,19.0,260
TNA,06/08/2011,19.4,19.4,19.0,19.1,11180
TNA,06/07/2011,19.9,20.0,18.5,18.5,70
TNA,06/06/2011,19.5,19.5,18.1,19.2,2300
TNA,06/03/2011,19.5,19.5,18.0,19.0,9370
TNA,06/02/2011,18.5,18.6,17.8,18.6,7820
TNA,06/01/2011,17.5,17.8,17.5,17.8,6370
TNA,05/31/2011,17.6,17.6,17.0,17.0,210
TNA,05/30/2011,17.1,17.7,16.9,16.9,2250
TNA,05/27/2011,16.8,18.2,16.8,16.9,4490
TNA,05/26/2011,17.8,17.8,17.0,17.4,11630
TNA,05/25/2011,19.0,19.0,17.8,17.8,1420
TNA,05/24/2011,19.1,19.1,18.5,18.7,1360
TNA,05/23/2011,18.3,19.5,18.2,19.3,17660
TNA,05/20/2011,19.2,19.9,19.1,19.1,8840
TNA,05/19/2011,19.2,19.2,19.0,19.2,3850
TNA,05/18/2011,18.8,19.0,18.8,19.0,8330
TNA,05/17/2011,18.8,19.4,18.8,19.0,12590
TNA,05/16/2011,19.0,19.2,19.0,19.2,15030
TNA,05/13/2011,19.1,19.3,19.1,19.3,1010
TNA,05/12/2011,19.5,19.5,19.1,19.1,1200
TNA,05/11/2011,18.8,19.3,18.8,19.1,5020
TNA,05/10/2011,19.3,19.3,18.8,19.0,18440
TNA,05/09/2011,19.0,19.3,18.9,18.9,2840
TNA,05/06/2011,19.6,19.6,18.5,19.0,2730
TNA,05/05/2011,20.0,20.0,19.0,19.0,13320
TNA,05/04/2011,20.0,20.0,18.9,20.0,2390
TNA,04/29/2011,19.7,19.7,18.7,19.7,250
TNA,04/28/2011,19.5,19.5,19.3,19.3,420
TNA,04/27/2011,19.5,19.5,19.0,19.0,5400
TNA,04/26/2011,19.9,19.9,18.8,19.9,4310
TNA,04/25/2011,19.4,19.5,18.7,19.5,70
TNA,04/22/2011,18.9,20.0,18.7,18.7,43640
TNA,04/21/2011,19.6,21.0,19.6,19.6,16860
TNA,04/20/2011,20.8,21.0,20.6,20.6,12330
TNA,04/19/2011,21.5,21.6,20.5,21.5,8410
TNA,04/18/2011,20.8,21.5,20.8,21.5,1520
TNA,04/15/2011,23.2,22.2,21.1,21.1,74440
TNA,04/14/2011,22.5,22.5,22.0,22.2,3340
TNA,04/13/2011,22.8,23.0,22.5,22.5,4080
TNA,04/08/2011,22.5,23.0,22.1,22.1,3550
TNA,04/07/2011,22.9,22.9,22.1,22.1,810
TNA,04/06/2011,23.0,21.9,21.9,21.9,3200
TNA,04/05/2011,23.0,23.1,23.0,23.0,3780
TNA,04/04/2011,24.0,24.0,23.0,23.0,1100
TNA,04/01/2011,24.0,24.0,24.0,24.0,1010
TNA,03/31/2011,23.8,23.8,23.8,23.8,4000
TNA,03/30/2011,23.5,24.0,23.5,23.9,8880
TNA,03/29/2011,24.5,24.5,23.9,24.2,8380
TNA,03/28/2011,24.6,24.6,23.2,23.9,2310
TNA,03/25/2011,23.2,23.9,23.2,23.9,5060
TNA,03/24/2011,24.0,24.0,24.0,24.0,710
TNA,03/23/2011,24.5,24.5,23.6,23.6,610
TNA,03/22/2011,24.3,24.3,23.4,24.1,7110
TNA,03/21/2011,23.5,23.5,23.1,23.2,1280
TNA,03/18/2011,22.3,23.2,22.2,23.2,5000
TNA,03/17/2011,23.4,23.4,22.7,22.7,1410
TNA,03/16/2011,23.8,23.8,23.4,23.4,9180
TNA,03/15/2011,22.8,23.8,22.8,22.8,720
TNA,03/14/2011,24.3,24.3,22.5,23.9,3150
TNA,03/11/2011,23.0,23.5,22.3,23.5,9180
TNA,03/10/2011,22.7,23.0,22.7,22.7,15230
TNA,03/09/2011,22.9,22.9,20.9,22.7,830
TNA,03/08/2011,23.0,22.0,22.0,22.0,9460
TNA,03/04/2011,22.9,23.0,23.0,23.0,2500
TNA,03/03/2011,24.0,24.0,22.9,22.9,12550
TNA,03/02/2011,24.8,24.8,24.1,24.1,3770
TNA,03/01/2011,26.4,26.4,24.8,25.1,5870
TNA,02/28/2011,26.0,26.0,25.2,25.2,710
TNA,02/25/2011,25.9,25.9,25.0,25.7,2020
TNA,02/24/2011,26.0,26.0,25.0,25.5,2100
TNA,02/23/2011,24.5,25.7,24.5,25.7,1910
TNA,02/22/2011,24.5,24.5,24.5,24.5,6020
TNA,02/21/2011,27.0,27.0,25.7,25.7,12600
TNA,02/18/2011,27.9,27.9,26.5,27.0,3320
TNA,02/17/2011,27.0,27.2,26.8,27.0,10970
TNA,02/16/2011,28.3,28.3,27.4,27.4,17230
TNA,02/15/2011,28.0,28.0,27.0,27.0,1130
TNA,02/14/2011,27.4,28.0,27.4,28.0,23420
TNA,02/11/2011,27.4,27.4,27.3,27.4,4220
TNA,02/10/2011,27.2,27.2,27.2,27.2,4420
TNA,02/09/2011,27.8,27.8,27.0,27.0,2040
TNA,02/08/2011,28.1,28.1,27.8,27.8,4630
TNA,01/28/2011,27.5,27.8,27.8,27.8,10
TNA,01/27/2011,27.5,27.5,27.3,27.5,2010
TNA,01/26/2011,27.0,27.0,27.0,27.0,300
TNA,01/25/2011,27.6,27.6,26.0,26.0,1720
TNA,01/24/2011,27.4,27.4,26.6,26.6,14820
TNA,01/21/2011,26.4,27.2,25.5,26.7,1830
TNA,01/20/2011,26.0,26.9,26.0,26.6,20720
TNA,01/19/2011,26.4,26.7,26.4,26.7,2210
TNA,01/18/2011,27.1,27.3,26.4,27.2,20080
TNA,01/17/2011,26.6,27.1,26.6,26.6,6860
TNA,01/14/2011,27.1,27.1,26.4,26.6,10200
TNA,01/13/2011,26.1,26.6,26.1,26.3,2300
TNA,01/12/2011,26.9,26.9,26.9,26.9,10
TNA,01/11/2011,26.4,26.4,26.2,26.2,47530
TNA,01/10/2011,26.8,26.8,26.4,26.7,5100
TNA,01/07/2011,26.9,27.0,26.8,26.8,8790
TNA,01/06/2011,26.9,26.9,25.8,26.6,8540
TNA,01/05/2011,27.6,27.6,25.8,25.8,24890
TNA,01/04/2011,26.6,27.1,27.1,27.1,30
TNA,12/31/2010,26.8,26.8,26.6,26.6,5040
TNA,12/30/2010,26.2,27.6,26.1,26.1,10900
TNA,12/29/2010,27.6,27.6,26.2,27.3,17050
TNA,12/28/2010,25.5,27.1,25.5,27.0,12170
TNA,12/27/2010,25.4,26.3,25.4,26.3,23330
TNA,12/24/2010,25.1,25.4,25.1,25.4,5800
TNA,12/23/2010,26.1,26.1,25.4,25.4,15190
TNA,12/22/2010,26.2,26.3,25.7,26.3,10760
TNA,12/21/2010,25.6,25.8,24.6,25.6,37720
TNA,12/20/2010,26.1,26.3,25.6,25.6,2490
TNA,12/17/2010,24.4,25.8,24.4,25.8,12130
TNA,12/16/2010,25.3,26.2,25.1,25.1,14520
TNA,12/15/2010,27.6,27.6,26.2,26.2,29260
TNA,12/14/2010,29.0,29.0,27.0,27.0,36950
TNA,12/13/2010,28.5,28.5,28.4,28.4,7550
TNA,12/10/2010,28.8,28.8,27.2,27.2,14250
TNA,12/09/2010,25.9,27.6,25.7,27.5,27900
TNA,12/08/2010,27.2,27.2,26.9,26.9,30510
TNA,12/07/2010,29.0,29.0,28.3,28.3,25480
TNA,12/06/2010,29.4,29.7,28.0,29.7,38200
TNA,12/03/2010,28.7,28.7,28.1,28.5,31960
TNA,12/02/2010,26.4,27.4,25.3,27.4,31070
TNA,12/01/2010,25.0,26.4,24.6,26.4,53780
TNA,11/30/2010,26.5,26.7,25.7,25.7,22630
TNA,11/29/2010,24.2,25.5,24.2,25.5,4560
TNA,11/26/2010,24.7,25.7,24.3,24.9,22720
TNA,11/25/2010,25.0,25.0,24.8,25.0,57820
TNA,11/24/2010,23.9,23.9,23.9,23.9,12900
TNA,11/23/2010,22.8,22.8,22.8,22.8,20830
TNA,11/22/2010,21.8,22.6,21.8,21.8,30070
TNA,11/19/2010,24.3,24.3,22.7,22.9,18750
TNA,11/18/2010,23.4,23.9,23.3,23.8,5150
TNA,11/17/2010,23.3,24.9,23.1,23.1,7080
TNA,11/16/2010,25.2,25.2,23.6,24.3,2590
TNA,11/15/2010,23.3,25.0,23.3,24.8,7330
TNA,11/12/2010,24.8,24.8,24.3,24.3,5830
TNA,11/11/2010,27.2,27.2,25.5,25.5,5700
TNA,11/10/2010,27.1,27.1,26.6,26.7,2220
TNA,11/09/2010,26.7,27.5,26.6,26.6,4950
TNA,11/08/2010,27.1,28.0,27.1,28.0,110
TNA,11/05/2010,28.0,28.5,28.0,28.1,7220
TNA,11/04/2010,27.9,28.0,27.9,27.9,8140
TNA,11/03/2010,27.9,28.0,27.7,28.0,13110
TNA,11/02/2010,28.2,29.7,28.1,29.1,90
TNA,11/01/2010,29.9,29.9,29.1,29.1,2420
TNA,10/29/2010,30.6,30.6,30.6,30.6,1010
TNA,10/28/2010,30.7,30.7,30.2,30.2,1550
TNA,10/27/2010,30.3,30.3,29.8,29.8,11980
TNA,10/26/2010,31.5,31.6,31.2,31.2,3510
TNA,10/25/2010,31.1,31.1,29.3,30.5,8210
TNA,10/22/2010,29.7,30.2,29.3,29.8,10800
TNA,10/21/2010,29.5,29.5,28.7,29.3,11110
TNA,10/20/2010,29.5,29.5,28.1,28.1,3290
TNA,10/19/2010,30.7,30.9,29.1,29.1,29340
TNA,10/18/2010,31.0,31.1,30.6,30.6,6280
TNA,10/15/2010,30.8,31.0,30.8,31.0,3410
TNA,10/14/2010,31.7,31.7,31.2,31.2,12320
TNA,10/13/2010,30.7,31.2,30.7,31.2,22720
TNA,10/12/2010,30.7,30.8,30.0,30.7,21770
TNA,10/11/2010,29.8,30.6,29.1,30.6,10830
TNA,10/08/2010,29.4,30.2,29.3,29.4,23330
TNA,10/07/2010,31.6,31.6,29.4,29.4,12260
TNA,10/06/2010,30.0,30.7,30.0,30.6,4120
TNA,10/05/2010,29.3,29.3,29.0,29.3,7840
TNA,10/04/2010,30.2,30.2,29.1,29.3,31550
TNA,10/01/2010,31.4,31.4,30.5,30.5,1890
TNA,09/30/2010,30.2,30.8,30.2,30.2,69580
TNA,09/29/2010,32.1,32.1,31.8,31.8,28700
TNA,09/28/2010,33.8,33.8,32.2,33.4,117290
TNA,09/27/2010,32.2,32.2,32.2,32.2,17600
TNA,09/24/2010,30.7,30.7,30.7,30.7,20850
TNA,09/23/2010,28.4,29.3,27.9,29.3,73050
TNA,09/22/2010,27.9,28.0,27.9,27.9,14000
TNA,09/21/2010,28.4,28.9,27.9,27.9,15280
TNA,09/20/2010,29.1,29.1,27.0,28.4,17960
TNA,09/17/2010,27.9,27.9,27.4,27.9,15720
TNA,09/16/2010,27.9,27.9,27.8,27.8,2260
TNA,09/15/2010,27.6,27.6,26.3,27.5,16510
TNA,09/14/2010,26.5,27.6,26.0,27.6,9050
TNA,09/13/2010,27.1,27.1,26.5,26.5,32590
TNA,09/10/2010,27.0,27.9,26.8,27.9,2450
TNA,09/09/2010,27.8,27.9,26.7,27.9,7510
TNA,09/08/2010,28.2,28.2,26.9,26.9,2760
TNA,09/07/2010,29.3,29.3,26.9,26.9,26270
TNA,09/06/2010,28.3,28.3,27.9,28.3,21620
TNA,09/01/2010,27.0,27.0,26.5,27.0,2980
TNA,08/31/2010,28.0,28.0,27.0,27.0,14150
TNA,08/30/2010,27.6,27.6,27.5,27.6,5390
TNA,08/27/2010,26.5,27.0,26.3,26.3,8090
TNA,08/26/2010,27.0,27.0,26.5,27.0,6050
TNA,08/25/2010,28.3,28.3,26.5,26.5,16210
TNA,08/24/2010,26.5,27.9,26.5,27.9,2230
TNA,08/23/2010,29.2,29.2,27.4,27.4,2010
TNA,08/20/2010,28.9,28.9,28.8,28.8,11160
TNA,08/19/2010,29.7,29.7,29.2,29.2,2310
TNA,08/18/2010,29.6,29.6,29.0,29.0,14550
TNA,08/17/2010,29.2,30.1,29.2,29.7,17550
TNA,08/16/2010,29.1,29.2,28.3,29.2,10390
TNA,08/13/2010,26.4,27.8,26.4,27.8,4690
TNA,08/12/2010,28.6,29.3,26.6,26.6,41130
TNA,08/11/2010,26.0,27.9,26.0,27.9,11560
TNA,08/10/2010,28.6,28.6,26.6,26.6,34640
TNA,08/09/2010,28.4,28.7,27.8,27.8,41920
TNA,08/06/2010,28.9,29.0,28.7,28.7,17000
TNA,08/05/2010,30.1,30.1,28.9,28.9,17840
TNA,08/04/2010,27.8,29.2,27.1,29.2,14390
TNA,08/03/2010,29.1,29.2,28.0,28.0,20840
TNA,08/02/2010,28.9,29.5,28.9,29.3,11950
TNA,07/30/2010,29.3,29.9,29.3,29.7,12730
TNA,07/29/2010,29.1,29.6,29.1,29.6,11890
TNA,07/28/2010,28.4,29.7,28.4,29.6,6470
TNA,07/27/2010,30.6,30.6,29.7,29.7,21200
TNA,07/26/2010,29.8,29.8,28.1,29.6,490
TNA,07/23/2010,29.4,29.4,29.3,29.4,11290
TNA,07/22/2010,30.5,30.5,29.4,29.4,8190
TNA,07/21/2010,29.3,31.2,29.3,29.8,3780
TNA,07/20/2010,30.3,30.3,29.3,29.8,28400
TNA,07/19/2010,30.6,30.6,30.3,30.3,16680
TNA,07/16/2010,31.0,31.0,30.4,30.6,4560
TNA,07/15/2010,31.4,31.4,30.6,30.6,26330
TNA,07/14/2010,31.3,31.3,30.5,31.1,27760
TNA,07/13/2010,30.0,30.9,30.0,30.6,5130
TNA,07/12/2010,30.9,30.9,29.7,30.2,4710
TNA,07/09/2010,31.0,31.0,30.1,30.1,3910
TNA,07/08/2010,30.5,31.0,30.5,30.6,160
TNA,07/07/2010,30.6,30.9,30.4,30.5,14740
TNA,07/06/2010,31.2,31.2,30.3,30.9,480
TNA,07/05/2010,30.5,30.9,30.5,30.9,2090
TNA,07/02/2010,29.9,31.1,29.9,30.9,14550
TNA,07/01/2010,30.6,30.6,29.9,29.9,6570
TNA,06/30/2010,29.9,30.3,29.9,29.9,10500
TNA,06/29/2010,30.6,31.0,30.3,30.3,17340
TNA,06/28/2010,30.6,31.0,30.4,30.5,29710
TNA,06/25/2010,31.2,31.3,30.5,31.0,9270
TNA,06/24/2010,30.9,31.0,30.5,30.9,30240
TNA,06/23/2010,31.3,31.3,30.8,30.9,16970
TNA,06/22/2010,31.2,31.2,30.8,30.8,7800
TNA,06/21/2010,31.9,31.9,31.2,31.6,17180
TNA,06/18/2010,31.2,31.2,30.4,31.2,33000
TNA,06/17/2010,31.6,31.6,31.6,31.6,1050
TNA,06/16/2010,30.5,31.7,30.5,31.2,31150
TNA,06/15/2010,31.7,31.7,30.2,30.6,48790
TNA,06/14/2010,32.1,32.1,31.1,31.1,21560
TNA,06/11/2010,31.7,31.7,30.6,31.7,52040
TNA,06/10/2010,30.8,31.0,30.8,31.0,18760
TNA,06/09/2010,31.2,31.2,30.5,30.8,47690
TNA,06/08/2010,30.5,31.1,30.0,30.5,21500
TNA,06/07/2010,30.6,31.6,30.5,30.5,66500
TNA,06/04/2010,32.6,33.3,31.7,32.0,74110
TNA,06/03/2010,32.4,33.3,32.3,33.3,57110
TNA,06/02/2010,32.6,32.6,31.1,32.2,51010
TNA,06/01/2010,30.2,31.9,30.2,31.8,43790
TNA,05/31/2010,31.5,31.6,30.4,30.8,48370
TNA,05/28/2010,30.4,30.4,30.4,30.4,66260
TNA,05/27/2010,28.9,29.0,28.3,29.0,58230
TNA,05/26/2010,28.6,28.7,27.5,28.7,38410
TNA,05/25/2010,26.6,27.8,26.6,27.4,34080
TNA,05/24/2010,28.6,29.2,27.4,27.4,22920
TNA,05/21/2010,28.6,28.6,28.6,28.6,17280
TNA,05/20/2010,28.8,31.6,28.8,30.1,15230
TNA,05/19/2010,30.3,30.6,30.3,30.3,46480
TNA,05/18/2010,32.8,32.8,30.3,31.9,43000
TNA,05/17/2010,32.0,32.8,31.9,31.9,56450
TNA,05/14/2010,32.3,33.6,32.3,32.8,65200
TNA,05/13/2010,32.0,33.6,32.0,33.2,29900
TNA,05/12/2010,33.2,33.2,31.8,32.0,85950
TNA,05/11/2010,34.5,34.5,33.1,33.2,31240
TNA,05/10/2010,33.4,34.5,32.9,33.1,113320
TNA,05/07/2010,35.1,35.3,34.6,34.6,109960
TNA,05/06/2010,37.1,38.6,36.4,36.4,176190
TNA,05/05/2010,38.3,38.7,38.3,38.3,75950
TNA,05/04/2010,39.9,41.7,38.3,40.3,134570
TNA,04/29/2010,40.1,40.3,39.0,40.3,171640
TNA,04/28/2010,38.1,38.4,36.6,38.4,115590
TNA,04/27/2010,35.4,36.6,35.4,36.6,110920
TNA,04/26/2010,34.6,35.3,33.8,34.9,96410
TNA,04/22/2010,37.2,37.2,34.2,35.0,247090
TNA,04/21/2010,38.0,38.0,35.5,35.9,308980
TNA,04/20/2010,36.2,36.2,36.2,36.2,78320
TNA,04/19/2010,34.5,34.5,34.5,34.5,138370
TNA,04/16/2010,32.9,32.9,32.9,32.9,39920
TNA,04/15/2010,31.4,31.4,31.2,31.4,159860
TNA,04/14/2010,30.0,30.0,28.6,30.0,124610
TNA,04/13/2010,28.6,28.6,28.1,28.6,100580
TNA,04/12/2010,27.3,27.3,26.3,27.3,170440
TNA,04/09/2010,26.1,26.1,26.1,26.1,215570
TNA,04/08/2010,24.9,24.9,24.9,24.9,37160
TNA,04/07/2010,23.8,23.8,23.8,23.8,59100
TNA,04/06/2010,22.6,22.6,22.6,22.7,11700
TNA,04/05/2010,21.6,21.6,21.6,21.6,13920
TNA,04/02/2010,19.6,20.6,19.5,20.6,159130
TNA,04/01/2010,18.9,19.6,19.6,19.6,18290
TNA,03/31/2010,19.6,19.9,19.6,19.6,57290
TNA,03/30/2010,19.6,19.6,19.6,19.6,39900
TNA,03/29/2010,18.7,18.7,18.7,18.7,62700
TNA,03/26/2010,18.2,18.2,17.8,17.8,17620
TNA,03/25/2010,18.2,18.2,17.5,17.7,14170
TNA,03/24/2010,17.8,18.2,17.8,18.2,11350
TNA,03/23/2010,0.0,18.2,17.7,17.7,9950
TNA,03/22/2010,17.9,18.2,17.9,18.2,6510
TNA,03/19/2010,0.0,18.2,17.7,17.9,17480
TNA,03/18/2010,17.5,17.7,16.9,17.7,14230
TNA,03/17/2010,18.0,18.0,16.9,16.9,2720
TNA,03/16/2010,17.8,18.0,17.5,17.5,18780
TNA,03/15/2010,18.4,18.7,18.4,18.4,11350
TNA,03/12/2010,18.2,18.4,18.2,18.4,10310
TNA,03/11/2010,18.3,18.4,18.2,18.2,11170
TNA,03/10/2010,17.8,18.5,17.8,18.3,19640
TNA,03/09/2010,17.5,18.2,17.5,18.2,13080
TNA,03/08/2010,18.4,18.6,17.6,17.7,11940
TNA,03/05/2010,18.3,18.5,18.2,18.2,5400
TNA,03/04/2010,18.4,18.6,18.2,18.3,24910
TNA,03/03/2010,17.4,17.9,17.2,17.9,37700
TNA,03/02/2010,16.8,17.1,16.6,17.1,19820
TNA,03/01/2010,16.5,17.0,16.3,16.3,9150
TNA,02/26/2010,16.2,16.7,16.2,16.5,2550
TNA,02/25/2010,16.5,16.7,16.5,16.5,2840
TNA,02/24/2010,15.9,16.5,15.9,16.5,220
TNA,02/23/2010,16.8,16.8,16.4,16.5,5470
TNA,02/22/2010,17.3,17.3,16.7,16.7,4450
TNA,02/12/2010,16.8,17.0,16.7,17.0,11610
TNA,02/11/2010,16.5,16.8,16.4,16.8,7770
TNA,02/10/2010,16.5,16.5,16.5,16.5,1030
