<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TTP,07/01/2011,24.2,24.2,24.2,24.2,2000
TTP,06/30/2011,24.2,24.2,24.2,24.2,1000
TTP,06/29/2011,24.3,24.3,24.3,24.3,2000
TTP,06/27/2011,23.5,24.3,23.5,24.3,2100
TTP,06/24/2011,24.4,24.4,23.1,24.4,2330
TTP,06/22/2011,24.3,24.3,24.3,24.3,1500
TTP,06/21/2011,25.5,25.5,25.5,25.5,2000
TTP,06/20/2011,25.3,25.3,25.3,25.3,800
TTP,06/17/2011,25.0,25.0,25.0,25.0,500
TTP,06/16/2011,25.0,25.0,25.0,25.0,200
TTP,06/15/2011,25.0,25.0,25.0,25.0,500
TTP,06/13/2011,25.0,25.0,25.0,25.0,880
TTP,06/10/2011,25.5,25.5,25.5,25.5,500
TTP,06/09/2011,24.0,24.9,24.0,24.9,510
TTP,06/08/2011,24.0,25.2,24.0,25.2,550
TTP,06/07/2011,24.3,24.3,24.3,24.3,150
TTP,06/06/2011,23.1,24.3,23.1,24.3,90
TTP,06/03/2011,24.3,24.3,24.3,24.3,1830
TTP,06/02/2011,25.5,25.5,25.5,25.5,10
TTP,06/01/2011,23.1,25.5,23.1,25.5,1250
TTP,05/31/2011,24.3,24.3,24.3,24.3,3000
TTP,05/30/2011,23.5,24.5,23.3,24.5,20010
TTP,05/27/2011,24.4,24.5,24.4,24.5,1010
TTP,05/26/2011,23.9,23.9,23.9,23.9,100
TTP,05/25/2011,22.0,23.2,22.0,23.2,1600
TTP,05/24/2011,23.1,23.1,23.1,23.1,500
TTP,05/23/2011,22.0,22.6,21.5,22.6,10080
TTP,05/20/2011,22.6,22.6,22.6,22.6,5330
TTP,05/19/2011,23.6,23.6,23.6,23.6,150
TTP,05/18/2011,23.5,23.6,23.5,23.5,47090
TTP,05/17/2011,23.6,24.7,23.6,24.7,320
TTP,05/16/2011,24.7,24.8,24.0,24.8,24120
TTP,05/13/2011,24.7,24.7,24.7,24.7,10
TTP,05/11/2011,24.0,24.7,24.0,24.7,10010
TTP,05/10/2011,23.0,24.8,23.0,24.8,4930
TTP,05/09/2011,24.2,24.2,24.2,24.2,1770
TTP,05/06/2011,24.8,24.8,24.8,24.8,1800
TTP,05/04/2011,24.0,24.5,24.0,24.5,1010
TTP,04/29/2011,23.1,24.6,23.0,24.6,4760
TTP,04/28/2011,24.0,24.0,24.0,24.0,590
TTP,04/27/2011,23.7,24.7,23.6,24.7,650
TTP,04/26/2011,24.8,24.8,24.8,24.8,100
TTP,04/25/2011,24.8,24.9,24.8,24.9,2340
TTP,04/21/2011,24.9,24.9,24.9,24.9,7500
TTP,04/20/2011,23.9,23.9,23.8,23.8,13000
TTP,04/19/2011,24.9,24.9,24.3,24.9,36820
TTP,04/18/2011,24.4,24.9,24.0,24.9,21510
TTP,04/15/2011,24.7,24.8,24.7,24.9,29050
TTP,04/14/2011,24.7,24.8,24.7,24.8,300
TTP,04/13/2011,23.8,25.0,23.8,25.0,20440
TTP,04/08/2011,24.8,25.0,24.6,25.0,4050
TTP,04/06/2011,23.5,24.8,23.5,24.8,2850
TTP,04/05/2011,24.7,24.7,24.7,24.7,2200
TTP,04/04/2011,24.0,24.7,24.0,24.7,2710
TTP,04/01/2011,24.9,24.8,24.8,24.8,200
TTP,03/31/2011,24.2,24.9,24.2,24.9,2900
TTP,03/30/2011,25.0,25.0,25.0,25.0,3000
TTP,03/29/2011,25.0,25.0,25.0,25.0,3000
TTP,03/28/2011,24.4,25.0,24.4,25.0,1240
TTP,03/25/2011,25.0,25.0,25.0,25.0,11000
TTP,03/24/2011,25.0,25.0,24.4,25.0,3770
TTP,03/23/2011,25.0,25.0,25.0,25.0,2350
TTP,03/22/2011,25.0,25.0,25.0,25.0,5000
TTP,03/21/2011,25.1,25.1,25.0,25.0,4040
TTP,03/18/2011,25.0,25.4,24.9,25.4,19200
TTP,03/17/2011,24.2,25.0,24.2,25.0,2300
TTP,03/16/2011,25.4,25.4,25.3,25.3,1050
TTP,03/15/2011,24.4,25.4,24.2,25.4,3210
TTP,03/14/2011,25.5,25.5,25.5,25.5,400
TTP,03/11/2011,25.6,25.6,25.6,25.6,2850
TTP,03/10/2011,25.4,25.5,25.4,25.5,1650
TTP,03/09/2011,23.8,24.8,23.8,24.8,14010
TTP,03/08/2011,24.1,25.4,24.1,24.2,1510
TTP,03/07/2011,26.0,25.0,25.0,25.0,120
TTP,03/04/2011,26.0,26.0,26.0,26.0,1500
TTP,03/03/2011,25.7,25.7,25.2,25.7,5500
TTP,03/02/2011,25.6,25.7,25.6,25.7,30860
TTP,03/01/2011,27.2,27.2,27.0,27.0,120
TTP,02/28/2011,27.2,27.2,27.1,27.2,3750
TTP,02/25/2011,27.0,27.2,27.0,27.2,33590
TTP,02/24/2011,26.5,27.2,26.5,27.2,10750
TTP,02/23/2011,27.9,27.9,27.0,27.9,6350
TTP,02/22/2011,26.5,27.9,26.5,27.9,2410
TTP,02/21/2011,27.6,29.0,27.6,27.9,5240
TTP,02/18/2011,30.2,30.2,29.0,29.0,6000
TTP,02/17/2011,30.2,30.5,30.5,30.5,100
TTP,02/16/2011,30.0,30.2,30.0,30.2,2820
TTP,02/15/2011,30.1,30.1,30.1,30.1,7100
TTP,02/14/2011,31.8,31.6,31.6,31.6,3000
TTP,02/11/2011,31.8,31.8,31.8,31.8,2000
TTP,02/10/2011,31.8,31.8,31.8,31.8,1000
TTP,02/09/2011,31.9,31.9,30.1,31.8,13550
TTP,02/08/2011,31.5,31.5,30.0,31.5,17610
TTP,01/28/2011,30.1,31.5,30.1,31.4,25790
TTP,01/27/2011,30.9,30.0,30.0,30.0,6980
TTP,01/26/2011,30.6,30.9,30.9,30.9,5000
TTP,01/25/2011,29.4,30.6,29.4,30.6,3360
TTP,01/24/2011,30.0,30.7,30.7,30.7,1010
TTP,01/21/2011,31.0,31.0,30.0,30.0,8690
TTP,01/20/2011,31.2,31.3,31.3,31.3,15000
TTP,01/19/2011,30.7,31.2,31.2,31.2,3000
TTP,01/18/2011,31.0,31.0,29.8,30.7,3190
TTP,01/17/2011,30.2,31.2,31.2,31.2,8000
TTP,01/14/2011,30.3,30.3,30.1,30.2,15400
TTP,01/13/2011,31.5,31.6,31.5,31.6,5100
TTP,01/12/2011,30.0,31.6,29.9,31.6,5000
TTP,01/11/2011,30.5,31.5,30.1,31.5,5260
TTP,01/10/2011,31.5,30.5,30.5,30.5,9830
TTP,01/07/2011,32.0,32.0,32.0,32.0,5010
TTP,01/06/2011,31.0,32.0,30.8,32.0,22060
TTP,01/05/2011,32.4,32.4,30.4,32.4,1300
TTP,01/04/2011,31.8,32.0,31.8,32.0,13010
TTP,12/31/2010,29.5,32.5,29.5,32.6,61390
TTP,12/30/2010,29.5,31.0,29.3,31.0,57790
TTP,12/29/2010,31.4,31.4,30.5,30.7,37100
TTP,12/28/2010,30.5,31.4,30.5,31.4,61000
TTP,12/27/2010,31.0,31.0,30.6,30.6,5760
TTP,12/24/2010,31.0,31.0,31.0,31.0,2060
TTP,12/23/2010,30.5,31.4,30.5,31.4,26000
TTP,12/22/2010,31.1,32.0,31.0,31.4,15950
TTP,12/21/2010,30.0,32.4,30.0,32.4,41800
TTP,12/20/2010,30.5,30.9,30.0,30.9,14350
TTP,12/17/2010,30.0,30.9,30.0,30.9,20480
TTP,12/16/2010,30.5,30.8,29.5,30.8,8070
TTP,12/15/2010,31.0,31.0,31.0,31.0,2050
TTP,12/14/2010,31.4,31.4,30.0,31.0,8640
TTP,12/13/2010,31.4,32.9,30.5,31.4,57470
TTP,12/10/2010,29.5,31.4,29.5,31.4,19220
TTP,12/09/2010,29.2,30.7,29.0,30.7,3060
TTP,12/08/2010,30.7,30.7,30.4,30.4,31640
TTP,12/07/2010,31.2,31.9,31.2,31.9,10470
TTP,12/06/2010,32.7,32.7,31.7,32.7,4730
TTP,12/03/2010,31.6,31.7,30.7,31.6,4320
TTP,12/02/2010,31.0,31.5,30.2,30.2,203580
TTP,12/01/2010,32.5,32.5,31.3,31.3,170990
TTP,11/30/2010,33.0,33.0,32.0,32.9,27630
TTP,11/29/2010,31.5,33.0,31.5,33.0,13000
TTP,11/26/2010,31.5,32.3,31.5,32.3,4730
TTP,11/25/2010,32.0,32.0,31.7,31.7,6600
TTP,11/24/2010,32.0,32.3,31.5,31.5,30850
TTP,11/23/2010,32.0,32.0,31.8,32.0,91970
TTP,11/22/2010,31.9,32.0,31.0,32.0,32200
TTP,11/19/2010,30.4,32.0,30.4,32.0,4630
TTP,11/18/2010,32.5,32.5,32.0,32.0,6510
TTP,11/17/2010,32.5,32.5,32.0,32.5,12450
TTP,11/16/2010,31.5,32.5,31.0,32.5,7820
TTP,11/15/2010,31.7,32.5,31.7,32.5,12000
TTP,11/12/2010,31.4,31.6,31.0,31.6,18080
TTP,11/11/2010,31.4,31.8,31.4,31.8,8200
TTP,11/10/2010,30.5,31.4,30.5,31.4,6500
TTP,11/09/2010,31.0,31.0,31.0,31.0,5200
TTP,11/08/2010,32.4,32.4,31.5,32.4,8430
TTP,11/05/2010,31.5,32.4,31.3,32.4,2120
TTP,11/04/2010,31.0,32.4,30.4,32.4,14630
TTP,11/03/2010,31.9,31.9,31.9,31.9,5000
TTP,11/02/2010,31.0,31.9,31.0,31.9,3000
TTP,11/01/2010,31.6,32.0,31.5,32.0,13030
TTP,10/29/2010,31.8,31.8,31.8,31.8,10000
TTP,10/28/2010,30.5,31.4,30.5,31.4,5800
TTP,10/27/2010,30.0,31.1,30.0,31.1,34960
