<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VSH,06/29/2011,8.5,8.6,8.4,8.5,224260
VSH,06/28/2011,8.4,8.7,8.4,8.5,605310
VSH,06/27/2011,8.4,8.5,8.3,8.3,675880
VSH,06/24/2011,8.4,8.6,8.4,8.4,550480
VSH,06/23/2011,8.5,8.6,8.3,8.5,226220
VSH,06/22/2011,8.7,8.7,8.5,8.6,398140
VSH,06/21/2011,8.5,8.8,8.4,8.7,427160
VSH,06/20/2011,8.4,8.6,8.3,8.5,1074380
VSH,06/17/2011,8.5,8.7,8.2,8.2,1641530
VSH,06/16/2011,8.6,8.6,8.4,8.5,1221500
VSH,06/15/2011,9.0,9.0,8.5,8.6,955710
VSH,06/14/2011,9.0,9.1,8.7,8.9,1100240
VSH,06/13/2011,9.2,9.2,8.8,8.8,925160
VSH,06/10/2011,9.2,9.3,9.1,9.1,713870
VSH,06/09/2011,9.3,9.3,9.1,9.1,172470
VSH,06/08/2011,9.4,9.5,9.2,9.3,80430
VSH,06/07/2011,9.4,9.4,9.2,9.3,175810
VSH,06/06/2011,9.1,9.2,8.9,9.0,48030
VSH,06/03/2011,9.7,9.7,9.2,9.3,131620
VSH,06/02/2011,9.2,9.5,9.2,9.5,160990
VSH,06/01/2011,8.7,9.1,8.7,9.1,150850
VSH,05/31/2011,8.7,8.8,8.5,8.7,84740
VSH,05/30/2011,9.3,9.3,8.8,8.8,118910
VSH,05/27/2011,9.0,9.2,8.5,9.2,195450
VSH,05/26/2011,8.1,8.9,8.1,8.9,300850
VSH,05/25/2011,8.6,8.6,8.5,8.5,151570
VSH,05/24/2011,9.0,9.1,8.9,8.9,191370
VSH,05/23/2011,9.6,9.6,9.3,9.3,103220
VSH,05/20/2011,9.8,9.8,9.5,9.7,182510
VSH,05/19/2011,10.0,10.0,9.7,9.8,82860
VSH,05/18/2011,9.8,10.0,9.8,9.9,108520
VSH,05/17/2011,10.0,10.0,9.7,9.9,49980
VSH,05/16/2011,9.9,10.0,9.9,9.9,55300
VSH,05/13/2011,9.9,10.0,9.9,9.9,36500
VSH,05/12/2011,10.0,10.0,9.9,10.0,70840
VSH,05/11/2011,10.1,10.1,10.0,10.0,75350
VSH,05/10/2011,10.1,10.1,10.0,10.1,65310
VSH,05/09/2011,10.0,10.2,10.0,10.1,43230
VSH,05/06/2011,10.0,10.2,10.0,10.2,66580
VSH,05/05/2011,10.2,10.2,10.0,10.2,90090
VSH,05/04/2011,10.2,10.3,10.0,10.2,109510
VSH,04/29/2011,10.1,10.4,10.1,10.3,80440
VSH,04/28/2011,10.2,10.3,10.1,10.1,51470
VSH,04/27/2011,10.3,10.3,10.1,10.3,93260
VSH,04/26/2011,10.3,10.4,10.1,10.2,97750
VSH,04/25/2011,10.1,10.5,10.1,10.5,50930
VSH,04/22/2011,10.4,10.4,10.1,10.1,113710
VSH,04/21/2011,10.6,10.6,10.3,10.4,105690
VSH,04/20/2011,10.6,10.6,10.3,10.5,164750
VSH,04/19/2011,10.5,10.5,10.3,10.5,68200
VSH,04/18/2011,10.6,10.9,10.3,10.3,244190
VSH,04/15/2011,10.9,10.7,10.7,10.8,119040
VSH,04/14/2011,10.6,10.9,10.6,10.7,109690
VSH,04/13/2011,11.0,11.0,10.9,10.9,201090
VSH,04/08/2011,10.9,11.1,10.9,11.1,68600
VSH,04/07/2011,10.9,11.1,10.9,11.1,57420
VSH,04/06/2011,11.0,11.0,10.9,11.0,169710
VSH,04/05/2011,10.9,11.0,10.8,10.9,224930
VSH,04/04/2011,10.9,11.0,10.9,11.0,140920
VSH,04/01/2011,11.1,11.1,10.9,11.0,221250
VSH,03/31/2011,11.0,11.2,11.0,11.0,77220
VSH,03/30/2011,11.0,11.4,11.0,11.1,64940
VSH,03/29/2011,11.2,11.3,11.1,11.1,185720
VSH,03/28/2011,11.3,11.4,11.3,11.4,43850
VSH,03/25/2011,11.6,11.6,11.3,11.4,163640
VSH,03/24/2011,11.5,11.6,11.5,11.6,79310
VSH,03/23/2011,11.4,11.7,11.3,11.7,236090
VSH,03/22/2011,11.4,11.5,11.3,11.3,171640
VSH,03/21/2011,11.3,11.5,11.3,11.3,118640
VSH,03/18/2011,11.0,11.2,10.9,11.0,437020
VSH,03/17/2011,11.1,11.2,11.0,11.0,179750
VSH,03/16/2011,11.2,11.3,10.9,11.1,197000
VSH,03/15/2011,11.2,11.4,11.2,11.2,106920
VSH,03/14/2011,11.5,11.6,11.3,11.3,102590
VSH,03/11/2011,11.7,11.9,11.7,11.7,139460
VSH,03/10/2011,11.2,11.6,11.2,11.6,183970
VSH,03/09/2011,11.3,11.3,11.1,11.2,162510
VSH,03/08/2011,11.4,11.5,11.2,11.4,213230
VSH,03/07/2011,11.5,11.5,11.3,11.4,113960
VSH,03/04/2011,11.6,11.7,11.5,11.4,203520
VSH,03/03/2011,11.7,11.9,11.6,11.6,170600
VSH,03/02/2011,12.1,12.1,11.7,11.9,269660
VSH,03/01/2011,12.2,12.2,12.1,12.2,83250
VSH,02/28/2011,12.3,12.5,12.1,12.2,155720
VSH,02/25/2011,12.6,12.6,12.3,12.3,181690
VSH,02/24/2011,12.6,12.6,12.3,12.6,441260
VSH,02/23/2011,12.6,12.7,12.5,12.6,385400
VSH,02/22/2011,12.0,12.7,12.0,12.6,636010
VSH,02/21/2011,12.6,12.6,12.1,12.2,901820
VSH,02/18/2011,12.7,12.7,12.6,12.7,573260
VSH,02/17/2011,12.7,12.8,12.5,12.7,396880
VSH,02/16/2011,12.6,12.7,12.6,12.6,248890
VSH,02/15/2011,12.7,12.8,12.5,12.6,510040
VSH,02/14/2011,12.2,12.7,12.2,12.7,1010710
VSH,02/11/2011,12.3,12.3,12.0,12.1,56380
VSH,02/10/2011,12.1,12.2,12.0,12.2,78230
VSH,02/09/2011,12.2,12.3,12.0,12.0,252690
VSH,02/08/2011,12.5,12.5,12.2,12.2,167030
VSH,01/28/2011,12.4,12.5,12.3,12.5,177870
VSH,01/27/2011,12.2,12.4,12.1,12.4,195340
VSH,01/26/2011,11.9,12.2,11.9,12.2,75150
VSH,01/25/2011,12.0,12.1,11.9,12.0,109780
VSH,01/24/2011,12.2,12.3,12.0,12.0,79110
VSH,01/21/2011,12.2,12.3,12.0,12.1,259300
VSH,01/20/2011,12.1,12.3,12.0,12.1,443330
VSH,01/19/2011,12.2,12.3,12.1,12.3,323240
