MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
GIL,10/2/2002,45.6,45.6,45.6,45.6,1400,47.88,43.32,46,-0.4,-0.87,0,0,0
GIL,10/3/2002,45.9,45.9,45.9,45.9,100,48.2,43.61,45.6,0.3,0.66,0,0,0
GIL,10/4/2002,45.9,45.9,45.9,45.9,100,48.2,43.61,45.9,0,0,0,0,0
GIL,10/7/2002,46.4,46.4,46.4,46.4,100,48.72,44.08,45.9,0.5,1.09,0,0,0
GIL,10/8/2002,45.4,45.4,45.4,45.4,2400,47.67,43.13,46.4,-1,-2.16,0,0,0
GIL,10/9/2002,45.1,45.1,45.1,45.1,1000,47.36,42.85,45.4,-0.3,-0.66,0,0,0
GIL,10/10/2002,45.1,45.1,45.1,45.1,1000,47.36,42.85,45.1,0,0,0,0,0
GIL,10/11/2002,45.1,45.1,45.1,45.1,300,47.36,42.85,45.1,0,0,0,0,0
GIL,10/14/2002,45.1,45.1,45.1,45.1,1600,47.36,42.85,45.1,0,0,0,0,0
GIL,10/15/2002,45.5,45.5,45.5,45.5,100,47.78,43.23,45.1,0.4,0.89,0,0,0
GIL,10/16/2002,45.5,45.5,45.5,45.5,3000,47.78,43.23,45.5,0,0,0,0,0
GIL,10/17/2002,45.6,45.6,45.6,45.6,1200,47.88,43.32,45.5,0.1,0.22,0,0,0
GIL,10/18/2002,45.5,45.5,45.5,45.5,1000,47.78,43.23,45.6,-0.1,-0.22,0,0,0
GIL,10/21/2002,45.5,45.5,45.5,45.5,200,47.78,43.23,45.5,0,0,0,0,0
GIL,10/22/2002,45.5,45.5,45.5,45.5,700,47.78,43.23,45.5,0,0,0,0,0
GIL,10/23/2002,46.6,46.6,46.6,46.6,1100,48.93,44.27,45.5,1.1,2.42,0,0,0
GIL,10/24/2002,46.6,46.6,46.6,46.6,0,48.93,44.27,46.6,0,0,0,0,0
GIL,10/25/2002,46,46,46,46,1800,48.3,43.7,46.6,-0.6,-1.29,0,0,0
GIL,10/28/2002,45.3,45.3,45.3,45.3,1000,47.57,43.04,46,-0.7,-1.52,0,0,0
GIL,10/29/2002,46,46,46,46,100,48.3,43.7,45.3,0.7,1.55,0,0,0
GIL,10/30/2002,46,46,46,46,0,48.3,43.7,46,0,0,0,0,0
GIL,10/31/2002,46,46,46,46,0,48.3,43.7,46,0,0,0,0,0
GIL,11/1/2002,45.2,45.2,45.2,45.2,5000,47.46,42.94,46,-0.8,-1.74,0,0,0
GIL,11/4/2002,45.2,45.2,45.2,45.2,0,47.46,42.94,45.2,0,0,0,0,0
GIL,11/5/2002,43.9,43.9,43.9,43.9,1100,46.1,41.71,45.2,-1.3,-2.88,0,0,0
GIL,11/6/2002,43.9,43.9,43.9,43.9,3000,46.1,41.71,43.9,0,0,0,0,0
GIL,11/7/2002,43.9,43.9,43.9,43.9,1300,46.1,41.71,43.9,0,0,0,0,0
GIL,11/8/2002,43,43,43,43,1200,45.15,40.85,43.9,-0.9,-2.05,0,0,0
GIL,11/11/2002,43.2,43.2,43.2,43.2,200,45.36,41.04,43,0.2,0.47,0,0,0
GIL,11/12/2002,43.3,43.3,43.3,43.3,800,45.47,41.14,43.2,0.1,0.23,0,0,0
GIL,11/13/2002,43.3,43.3,43.3,43.3,800,45.47,41.14,43.3,0,0,0,0,0
GIL,11/14/2002,43.5,43.5,43.5,43.5,200,45.68,41.33,43.3,0.2,0.46,0,0,0
GIL,11/15/2002,43.5,43.5,43.5,43.5,0,45.68,41.33,43.5,0,0,0,0,0
GIL,11/18/2002,43.1,43.1,43.1,43.1,2200,45.26,40.95,43.5,-0.4,-0.92,0,0,0
GIL,11/19/2002,43.4,43.4,43.4,43.4,1000,45.57,41.23,43.1,0.3,0.7,0,0,0
GIL,11/20/2002,43.5,43.5,43.5,43.5,2200,45.68,41.33,43.4,0.1,0.23,0,0,0
GIL,11/21/2002,43.5,43.5,43.5,43.5,1500,45.68,41.33,43.5,0,0,0,0,0
GIL,11/22/2002,43.7,43.7,43.7,43.7,2200,45.99,41.61,43.5,0.2,0.46,0,0,0
GIL,11/25/2002,43.7,43.7,43.7,43.7,2000,45.89,41.52,43.8,-0.1,-0.23,0,0,0
GIL,11/26/2002,43.7,43.7,43.7,43.7,500,45.89,41.52,43.7,0,0,0,0,0
GIL,11/27/2002,43.7,43.7,43.7,43.7,2000,45.89,41.52,43.7,0,0,0,0,0
GIL,11/28/2002,43.8,43.8,43.8,43.8,700,45.99,41.61,43.7,0.1,0.23,0,0,0
GIL,11/29/2002,44,44,44,44,600,46.2,41.8,43.8,0.2,0.46,0,0,0
GIL,12/2/2002,44.1,44.1,44.1,44.1,100,46.31,41.9,44,0.1,0.23,0,0,0
GIL,12/3/2002,45.4,45.4,45.4,45.4,1500,47.67,43.13,44.1,1.3,2.95,0,0,0
