MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
GMD,9/26/2002,38,38,38,38,2500,39.9,36.1,37.7,0.3,0.8,0,0,0
GMD,9/27/2002,38,38,38,38,3500,39.9,36.1,38,0,0,0,0,0
GMD,9/30/2002,38,38,38,38,5500,39.9,36.1,38,0,0,0,0,0
GMD,10/1/2002,38.5,38.5,38.5,38.5,2400,40.42,36.58,38,0.5,1.32,0,0,0
GMD,10/2/2002,38.2,38.2,38.2,38.2,2100,40.01,36.2,38.5,-0.3,-0.78,0,0,0
GMD,10/3/2002,38.2,38.2,38.2,38.2,1500,40.11,36.29,38.1,0.1,0.26,0,0,0
GMD,10/4/2002,38.2,38.2,38.2,38.2,4800,40.11,36.29,38.2,0,0,0,0,0
GMD,10/7/2002,38.2,38.2,38.2,38.2,1200,40.11,36.29,38.2,0,0,0,0,0
GMD,10/8/2002,37.8,37.8,37.8,37.8,2500,39.69,35.91,38.2,-0.4,-1.05,0,0,0
GMD,10/9/2002,38,38,38,38,2300,39.9,36.1,37.8,0.2,0.53,0,0,0
GMD,10/10/2002,38,38,38,38,6900,39.9,36.1,38,0,0,0,0,0
GMD,10/11/2002,38,38,38,38,1800,39.9,36.1,38,0,0,0,0,0
GMD,10/14/2002,38,38,38,38,2500,39.9,36.1,38,0,0,0,0,0
GMD,10/15/2002,38,38,38,38,14500,39.9,36.1,38,0,0,0,0,0
GMD,10/16/2002,37.9,37.9,37.9,37.9,4900,39.8,36.01,38,-0.1,-0.26,0,0,0
GMD,10/17/2002,37.9,37.9,37.9,37.9,5500,39.8,36.01,37.9,0,0,0,0,0
GMD,10/18/2002,37.5,37.5,37.5,37.5,200,39.38,35.63,37.9,-0.4,-1.06,0,0,0
GMD,10/21/2002,37.5,37.5,37.5,37.5,7600,39.38,35.63,37.5,0,0,0,0,0
