MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
LAF,9/26/2002,21,21,21,21,1000,22.05,19.95,21.3,-0.3,-1.41,0,0,0
LAF,9/27/2002,21.2,21.2,21.2,21.2,800,22.26,20.14,21,0.2,0.95,0,0,0
LAF,9/30/2002,21.2,21.2,21.2,21.2,1500,22.26,20.14,21.2,0,0,0,0,0
LAF,10/1/2002,21.2,21.2,21.2,21.2,1000,22.26,20.14,21.2,0,0,0,0,0
LAF,10/2/2002,21.2,21.2,21.2,21.2,0,22.26,20.14,21.2,0,0,0,0,0
LAF,10/3/2002,21.2,21.2,21.2,21.2,0,22.26,20.14,21.2,0,0,0,0,0
LAF,10/4/2002,20.9,20.9,20.9,20.9,900,21.95,19.86,21.2,-0.3,-1.42,0,0,0
LAF,10/7/2002,20.3,20.3,20.3,20.3,300,21.32,19.29,20.9,-0.6,-2.87,0,0,0
LAF,10/8/2002,20.3,20.3,20.3,20.3,0,21.32,19.29,20.3,0,0,0,0,0
LAF,10/9/2002,20.3,20.3,20.3,20.3,0,21.32,19.29,20.3,0,0,0,0,0
LAF,10/10/2002,20.3,20.3,20.3,20.3,0,21.32,19.29,20.3,0,0,0,0,0
LAF,10/11/2002,20.3,20.3,20.3,20.3,0,21.32,19.29,20.3,0,0,0,0,0
LAF,10/14/2002,20.2,20.2,20.2,20.2,100,21.21,19.19,20.3,-0.1,-0.49,0,0,0
LAF,10/15/2002,20.2,20.2,20.2,20.2,0,21.21,19.19,20.2,0,0,0,0,0
LAF,10/16/2002,20,20,20,20,900,21,19,20.2,-0.2,-0.99,0,0,0
LAF,10/17/2002,20,20,20,20,2200,21,19,20,0,0,0,0,0
LAF,10/18/2002,20,20,20,20,0,21,19,20,0,0,0,0,0
LAF,10/21/2002,20.6,20.6,20.6,20.6,800,21.63,19.57,20,0.6,3,0,0,0
LAF,10/22/2002,21.2,21.2,21.2,21.2,1400,22.26,20.14,20.6,0.6,2.91,0,0,0
LAF,10/23/2002,21.8,21.8,21.8,21.8,2400,22.89,20.71,21.2,0.6,2.83,0,0,0
LAF,10/24/2002,21.9,21.9,21.9,21.9,1500,23,20.81,21.8,0.1,0.46,0,0,0
LAF,10/25/2002,22.2,22.2,22.2,22.2,1900,23.31,21.09,21.9,0.3,1.37,0,0,0
LAF,10/28/2002,22.2,22.2,22.2,22.2,1300,23.31,21.09,22.2,0,0,0,0,0
LAF,10/29/2002,22.3,22.3,22.3,22.3,200,23.42,21.19,22.2,0.1,0.45,0,0,0
LAF,10/30/2002,22.2,22.2,22.2,22.2,600,23.31,21.09,22.3,-0.1,-0.45,0,0,0
LAF,10/31/2002,22,22,22,22,700,23.1,20.9,22.2,-0.2,-0.9,0,0,0
LAF,11/1/2002,22,22,22,22,0,23.1,20.9,22,0,0,0,0,0
LAF,11/4/2002,21.9,21.9,21.9,21.9,400,23,20.81,22,-0.1,-0.45,0,0,0
LAF,11/5/2002,21.8,21.8,21.8,21.8,1100,22.89,20.71,21.9,-0.1,-0.46,0,0,0
LAF,11/6/2002,21.8,21.8,21.8,21.8,0,22.89,20.71,21.8,0,0,0,0,0
LAF,11/7/2002,21.8,21.8,21.8,21.8,1900,22.89,20.71,21.8,0,0,0,0,0
LAF,11/8/2002,22.4,22.4,22.4,22.4,400,23.52,21.28,21.8,0.6,2.75,0,0,0
LAF,11/11/2002,22,22,22,22,2000,23.1,20.9,22.4,-0.4,-1.79,0,0,0
LAF,11/12/2002,22.6,22.6,22.6,22.6,200,23.73,21.47,22,0.6,2.73,0,0,0
LAF,11/13/2002,22.6,22.6,22.6,22.6,0,23.73,21.47,22.6,0,0,0,0,0
LAF,11/14/2002,22.4,22.4,22.4,22.4,100,23.52,21.28,22.6,-0.2,-0.88,0,0,0
LAF,11/15/2002,22.4,22.4,22.4,22.4,500,23.52,21.28,22.4,0,0,0,0,0
LAF,11/18/2002,22.4,22.4,22.4,22.4,500,23.52,21.28,22.4,0,0,0,0,0
LAF,11/19/2002,22.4,22.4,22.4,22.4,600,23.52,21.28,22.4,0,0,0,0,0
LAF,11/20/2002,22.5,22.5,22.5,22.5,200,23.63,21.38,22.4,0.1,0.45,0,0,0
LAF,11/21/2002,22.6,22.6,22.6,22.6,100,23.73,21.47,22.5,0.1,0.44,0,0,0
LAF,11/22/2002,22.6,22.6,22.6,22.6,1100,23.73,21.47,22.6,0,0,0,0,0
LAF,11/25/2002,22.5,22.5,22.5,22.5,200,23.63,21.38,22.6,-0.1,-0.44,0,0,0
LAF,11/26/2002,22.2,22.2,22.2,22.2,500,23.31,21.09,22.5,-0.3,-1.33,0,0,0
LAF,11/27/2002,22.2,22.2,22.2,22.2,800,23.31,21.09,22.2,0,0,0,0,0
LAF,11/28/2002,22.3,22.3,22.3,22.3,1000,23.42,21.19,22.2,0.1,0.45,0,0,0
LAF,11/29/2002,22.5,22.5,22.5,22.5,1000,23.63,21.38,22.3,0.2,0.9,0,0,0
LAF,12/2/2002,22.9,22.9,22.9,22.9,1200,24.05,21.76,22.5,0.4,1.78,0,0,0
LAF,12/3/2002,23.5,23.5,23.5,23.5,3300,24.68,22.33,22.9,0.6,2.62,0,0,0
LAF,12/4/2002,24.2,24.2,24.2,24.2,800,25.41,22.99,23.5,0.7,2.98,0,0,0
LAF,12/5/2002,24.3,24.3,24.3,24.3,1500,25.52,23.09,24.2,0.1,0.41,0,0,0
LAF,12/6/2002,24,24,24,24,2000,25.2,22.8,24.3,-0.3,-1.23,0,0,0
LAF,12/9/2002,23.7,23.7,23.7,23.7,900,24.89,22.52,24,-0.3,-1.25,0,0,0
LAF,12/10/2002,23.9,23.9,23.9,23.9,500,25.1,22.71,23.7,0.2,0.84,0,0,0
LAF,12/11/2002,24.4,24.4,24.4,24.4,1500,25.62,23.18,23.9,0.5,2.09,0,0,0
LAF,12/12/2002,24.1,24.1,24.1,24.1,1900,25.31,22.9,24.4,-0.3,-1.23,0,0,0
LAF,12/13/2002,24,24,24,24,200,25.2,22.8,24.1,-0.1,-0.41,0,0,0
LAF,12/16/2002,24,24,24,24,0,25.2,22.8,24,0,0,0,0,0
LAF,12/17/2002,24,24,24,24,600,25.2,22.8,24,0,0,0,0,0
LAF,12/18/2002,24.7,24.7,24.7,24.7,300,25.94,23.47,24,0.7,2.92,0,0,0
LAF,12/19/2002,25,25,25,25,100,26.25,23.75,24.7,0.3,1.21,0,0,0
LAF,12/20/2002,25,25,25,25,0,26.25,23.75,25,0,0,0,0,0
