MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
GIL,1/2/2002,38,38,38,38,8400,39.9,36.1,38,0,0,0,0,0
GIL,1/4/2002,38.7,38.7,38.7,38.7,9500,40.64,36.77,38,0.7,1.84,0,0,0
GIL,1/7/2002,39.4,39.4,39.4,39.4,14000,0,0,38.7,0.7,1.81,0,0,0
GIL,1/9/2002,40.1,40.1,40.1,40.1,7900,42.11,38.1,38.7,1.4,3.62,0,0,0
GIL,1/11/2002,40.9,40.9,40.9,40.9,19800,42.95,38.85,40.1,0.8,2,0,0,0
GIL,1/14/2002,40.9,40.9,40.9,40.9,2000,42.95,38.85,40.9,0,0,0,0,0
GIL,1/16/2002,40.1,40.1,40.1,40.1,300,42.11,38.1,40.9,-0.8,-1.96,0,0,0
GIL,1/18/2002,39.3,39.3,39.3,39.3,100,41.27,37.34,40.1,-0.8,-2,0,0,0
GIL,1/21/2002,39.3,39.3,39.3,39.3,8000,41.27,37.34,39.3,0,0,0,0,0
GIL,1/23/2002,39.3,39.3,39.3,39.3,13400,41.27,37.34,39.3,0,0,0,0,0
GIL,1/25/2002,39.3,39.3,39.3,39.3,17600,0,0,39.3,0,0,0,0,0
GIL,1/28/2002,40,40,40,40,8000,42,38,39.3,0.7,1.78,0,0,0
GIL,1/30/2002,40,40,40,40,14700,42,38,40,0,0,0,0,0
GIL,2/1/2002,39.2,39.2,39.2,39.2,400,41.16,37.24,40,-0.8,-2,0,0,0
GIL,2/4/2002,39.2,39.2,39.2,39.2,100,41.16,37.24,39.2,0,0,0,0,0
GIL,2/6/2002,38.5,38.5,38.5,38.5,1500,40.42,36.58,39.2,-0.7,-1.79,0,0,0
GIL,2/8/2002,39.2,39.2,39.2,39.2,4100,41.16,37.24,38.5,0.7,1.82,0,0,0
GIL,2/18/2002,39.2,39.2,39.2,39.2,1100,41.16,37.24,39.2,0,0,0,0,0
GIL,2/20/2002,38.5,38.5,38.5,38.5,4200,40.42,36.58,39.2,-0.7,-1.79,0,0,0
GIL,2/22/2002,37.8,37.8,37.8,37.8,300,39.69,35.91,38.5,-0.7,-1.82,0,0,0
GIL,2/25/2002,37.8,37.8,37.8,37.8,700,39.69,35.91,37.8,0,0,0,0,0
GIL,2/27/2002,38,38,38,38,4500,39.9,36.1,37.8,0.2,0.53,0,0,0
