MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
GMD,4/22/2002,42.5,42.5,42.5,42.5,19500,44.63,40.38,42.5,0,0,0,0,0
GMD,4/23/2002,43.3,43.3,43.3,43.3,16900,45.47,41.14,42.5,0.8,1.88,0,0,0
GMD,4/24/2002,44.1,44.1,44.1,44.1,36800,46.31,41.9,43.3,0.8,1.85,0,0,0
GMD,4/25/2002,44,44,44,44,23400,46.2,41.8,44.1,-0.1,-0.23,0,0,0
GMD,4/26/2002,44,44,44,44,16500,46.2,41.8,44,0,0,0,0,0
GMD,5/2/2002,43.3,43.3,43.3,43.3,11900,45.47,41.14,44,-0.7,-1.59,0,0,0
GMD,5/3/2002,44,44,44,44,11500,46.2,41.8,43.3,0.7,1.62,0,0,0
GMD,5/6/2002,44,44,44,44,13900,46.2,41.8,44,0,0,0,0,0
GMD,5/7/2002,43.2,43.2,43.2,43.2,3400,45.36,41.04,44,-0.8,-1.82,0,0,0
GMD,5/8/2002,42.5,42.5,42.5,42.5,11500,44.63,40.38,43.2,-0.7,-1.62,0,0,0
GMD,5/9/2002,42.5,42.5,42.5,42.5,5200,44.63,40.38,42.5,0,0,0,0,0
GMD,5/10/2002,43.3,43.3,43.3,43.3,7200,45.47,41.14,42.5,0.8,1.88,0,0,0
GMD,5/13/2002,42.5,42.5,42.5,42.5,2800,44.63,40.38,43.3,-0.8,-1.85,0,0,0
GMD,5/14/2002,42.5,42.5,42.5,42.5,2700,44.63,40.38,42.5,0,0,0,0,0
GMD,5/15/2002,42.5,42.5,42.5,42.5,13600,44.63,40.38,42.5,0,0,0,0,0
GMD,5/16/2002,42.2,42.2,42.2,42.2,5600,44.31,40.09,42.5,-0.3,-0.71,0,0,0
GMD,5/17/2002,42.8,42.8,42.8,42.8,1300,44.94,40.66,42.2,0.6,1.42,0,0,0
GMD,5/20/2002,42.2,42.2,42.2,42.2,7000,44.31,40.09,42.8,-0.6,-1.4,0,0,0
GMD,5/21/2002,42.2,42.2,42.2,42.2,5000,44.31,40.09,42.2,0,0,0,0,0
GMD,5/22/2002,42.8,42.8,42.8,42.8,300,44.94,40.66,42.2,0.6,1.42,0,0,0
GMD,5/23/2002,42.5,42.5,42.5,42.5,1100,44.63,40.38,42.8,-0.3,-0.7,0,0,0
GMD,5/24/2002,42,42,42,42,4100,44.1,39.9,42.5,-0.5,-1.18,0,0,0
GMD,5/27/2002,41.4,41.4,41.4,41.4,2400,43.26,39.14,42,-0.6,-1.43,0,0,0
GMD,5/28/2002,40.8,40.8,40.8,40.8,6000,42.84,38.76,41.2,-0.4,-0.97,0,0,0
GMD,5/29/2002,40,40,40,40,6000,42,38,40.8,-0.8,-1.96,0,0,0
GMD,5/30/2002,40,40,40,40,12100,42,38,40,0,0,0,0,0
GMD,5/31/2002,40.8,40.8,40.8,40.8,10900,42.84,38.76,40,0.8,2,0,0,0
GMD,6/3/2002,40.8,40.8,40.8,40.8,11000,42.84,38.76,40.8,0,0,0,0,0
GMD,6/4/2002,40.8,40.8,40.8,40.8,2700,42.84,38.76,40.8,0,0,0,0,0
GMD,6/5/2002,40.8,40.8,40.8,40.8,1000,42.84,38.76,40.8,0,0,0,0,0
GMD,6/6/2002,40.6,40.6,40.6,40.6,2100,42.63,38.57,40.8,-0.2,-0.49,0,0,0
GMD,6/7/2002,40,40,40,40,3100,42,38,40.6,-0.6,-1.48,0,0,0
GMD,6/10/2002,40.8,40.8,40.8,40.8,3200,42.84,38.76,40,0.8,2,0,0,0
GMD,6/11/2002,40.2,40.2,40.2,40.2,2800,42.21,38.19,40.8,-0.6,-1.47,0,0,0
GMD,6/12/2002,40.8,40.8,40.8,40.8,1500,42.84,38.76,40.2,0.6,1.49,0,0,0
GMD,6/13/2002,40.8,40.8,40.8,40.8,400,42.84,38.76,40.8,0,0,0,0,0
GMD,6/14/2002,41.1,41.1,41.1,41.1,3300,43.16,39.05,40.8,0.3,0.74,0,0,0
GMD,6/17/2002,40.3,40.3,40.3,40.3,2000,42.32,38.28,41.1,-0.8,-1.95,0,0,0
GMD,6/18/2002,40.3,40.3,40.3,40.3,900,42.32,38.28,40.3,0,0,0,0,0
GMD,6/19/2002,39.5,39.5,39.5,39.5,5000,41.48,37.53,40.3,-0.8,-1.99,0,0,0
GMD,6/20/2002,40.2,40.2,40.2,40.2,2600,42.21,38.19,39.5,0.7,1.77,0,0,0
GMD,6/21/2002,41,41,41,41,7800,43.05,38.95,40.2,0.8,1.99,0,0,0
GMD,6/24/2002,41.8,41.8,41.8,41.8,11000,43.89,39.71,41,0.8,1.95,0,0,0
GMD,6/25/2002,41.8,41.8,41.8,41.8,8500,43.89,39.71,41.8,0,0,0,0,0
GMD,6/26/2002,41,41,41,41,1700,43.05,38.95,41.8,-0.8,-1.91,0,0,0
GMD,6/27/2002,40.3,40.3,40.3,40.3,2200,42.32,38.28,41,-0.7,-1.71,0,0,0
GMD,6/28/2002,41.1,41.1,41.1,41.1,600,43.16,39.05,40.3,0.8,1.99,0,0,0
GMD,7/1/2002,40.5,40.5,40.5,40.5,1600,42.53,38.48,41.1,-0.6,-1.46,0,0,0
GMD,7/2/2002,40.5,40.5,40.5,40.5,2100,42.53,38.48,40.5,0,0,0,0,0
GMD,7/3/2002,40.5,40.5,40.5,40.5,3000,42.53,38.48,40.5,0,0,0,0,0
GMD,7/4/2002,41,41,41,41,2800,43.05,38.95,40.5,0.5,1.23,0,0,0
