MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SAM,7/28/2000,17,17,17,17,3200,11.9,10.76,11.3,5.7,50.44,0,0,0
SAM,7/31/2000,17.2,17.2,17.2,17.2,10000,12.04,10.9,11.3,5.9,52.21,0,0,0
SAM,8/2/2000,17.5,17.5,17.5,17.5,200,12.25,11.09,11.5,6,52.17,0,0,0
SAM,8/4/2000,17.8,17.8,17.8,17.8,1900,12.46,11.28,11.7,6.1,52.14,0,0,0
SAM,8/7/2000,18.1,18.1,18.1,18.1,7300,12.67,11.47,11.9,6.2,52.1,0,0,0
SAM,8/9/2000,18.4,18.4,18.4,18.4,13300,12.88,11.66,12.1,6.3,52.07,0,0,0
SAM,8/11/2000,18.7,18.7,18.7,18.7,300,13.09,11.85,12.3,6.4,52.03,0,0,0
SAM,8/14/2000,19,19,19,19,2400,13.3,12.04,12.5,6.5,52,0,0,0
SAM,8/16/2000,19.3,19.3,19.3,19.3,8300,13.51,12.23,12.7,6.6,51.97,0,0,0
SAM,8/18/2000,19.6,19.6,19.6,19.6,5800,13.72,12.42,12.9,6.7,51.94,0,0,0
SAM,8/21/2000,19.9,19.9,19.9,19.9,24400,13.93,12.61,13.1,6.8,51.91,0,0,0
SAM,8/23/2000,20.2,20.2,20.2,20.2,67200,14.14,12.8,13.3,6.9,51.88,0,0,0
SAM,8/25/2000,20.5,20.5,20.5,20.5,74200,14.35,12.99,13.5,7,51.85,0,0,0
SAM,8/28/2000,20.1,20.1,20.1,20.1,59900,14.07,12.73,13.7,6.4,46.72,0,0,0
SAM,8/30/2000,19.7,19.7,19.7,19.7,115200,13.79,12.47,13.4,6.3,47.01,0,0,0
SAM,9/1/2000,19.4,19.4,19.4,19.4,70100,13.58,12.28,13.1,6.3,48.09,0,0,0
SAM,9/6/2000,19.4,19.4,19.4,19.4,56600,13.58,12.28,12.9,6.5,50.39,0,0,0
SAM,9/8/2000,19.7,19.7,19.7,19.7,12100,13.79,12.47,12.9,6.8,52.71,0,0,0
SAM,9/11/2000,20,20,20,20,600,14,12.66,13.1,6.9,52.67,0,0,0
SAM,9/13/2000,20.4,20.4,20.4,20.4,11000,14.28,12.92,13.3,7.1,53.38,0,0,0
SAM,9/15/2000,20.8,20.8,20.8,20.8,5400,14.56,13.18,13.6,7.2,52.94,0,0,0
SAM,9/18/2000,21.2,21.2,21.2,21.2,49000,14.84,13.42,13.9,7.3,52.52,0,0,0
SAM,9/20/2000,20.8,20.8,20.8,20.8,26800,14.56,13.18,14.1,6.7,47.52,0,0,0
SAM,9/22/2000,20.8,20.8,20.8,20.8,49900,14.56,13.18,13.9,6.9,49.64,0,0,0
SAM,9/25/2000,20.8,20.8,20.8,20.8,41200,14.56,13.18,13.9,6.9,49.64,0,0,0
SAM,9/27/2000,21,21,21,21,32800,14.7,13.3,13.9,7.1,51.08,0,0,0
SAM,9/29/2000,21.2,21.2,21.2,21.2,26100,14.84,13.42,14,7.2,51.43,0,0,0
SAM,10/2/2000,21.2,21.2,21.2,21.2,24100,14.84,13.42,14.1,7.1,50.35,0,0,0
SAM,10/4/2000,21.2,21.2,21.2,21.2,36200,14.84,13.42,14.1,7.1,50.35,0,0,0
SAM,10/6/2000,21.6,21.6,21.6,21.6,17400,15.12,13.68,14.1,7.5,53.19,0,0,0
SAM,10/9/2000,22,22,22,22,13400,15.4,13.94,14.4,7.6,52.78,0,0,0
SAM,10/11/2000,22.4,22.4,22.4,22.4,34600,15.68,14.18,14.7,7.7,52.38,0,0,0
SAM,10/13/2000,22.8,22.8,22.8,22.8,13400,15.96,14.44,14.9,7.9,53.02,0,0,0
SAM,10/16/2000,23.2,23.2,23.2,23.2,16100,24.36,22.04,15.2,8,52.63,0,0,0
SAM,10/18/2000,23.6,23.6,23.6,23.6,10500,16.52,14.94,23.2,0.4,1.72,0,0,0
SAM,10/20/2000,24,24,24,24,43900,16.8,15.2,15.7,8.3,52.87,0,0,0
SAM,10/23/2000,24,24,24,24,18300,16.8,15.2,16,8,50,0,0,0
SAM,10/25/2000,23.6,23.6,23.6,23.6,27100,16.52,14.94,16,7.6,47.5,0,0,0
SAM,10/27/2000,24,24,24,24,42500,16.8,15.2,15.7,8.3,52.87,0,0,0
SAM,10/30/2000,24.4,24.4,24.4,24.4,54000,17.08,15.46,16,8.4,52.5,0,0,0
