MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TMS,8/4/2000,14,14,14,14,100,14.7,13.3,14,0,0,0,0,0
TMS,8/7/2000,14,14,14,14,0,14.7,13.3,14,0,0,0,0,0
TMS,8/9/2000,14,14,14,14,0,14.7,13.3,14,0,0,0,0,0
TMS,8/11/2000,14,14,14,14,0,14.7,13.3,14,0,0,0,0,0
TMS,8/14/2000,14,14,14,14,0,14.7,13.3,14,0,0,0,0,0
TMS,8/16/2000,14,14,14,14,0,14.7,13.3,14,0,0,0,0,0
TMS,8/18/2000,14,14,14,14,0,14.7,13.3,14,0,0,0,0,0
TMS,8/21/2000,14,14,14,14,0,14.7,13.3,14,0,0,0,0,0
TMS,8/23/2000,14,14,14,14,0,14.7,13.3,14,0,0,0,0,0
TMS,8/25/2000,14,14,14,14,0,14.7,13.3,14,0,0,0,0,0
TMS,8/28/2000,14,14,14,14,0,14.7,13.3,14,0,0,0,0,0
TMS,8/30/2000,14,14,14,14,0,14.7,13.3,14,0,0,0,0,0
TMS,9/1/2000,14,14,14,14,0,14.7,13.3,14,0,0,0,0,0
TMS,9/6/2000,0,0,0,14,0,14.7,13.3,14,0,0,0,0,0
TMS,9/8/2000,0,0,0,14,0,14.7,13.3,14,0,0,0,0,0
TMS,9/11/2000,0,0,0,14,0,14.7,13.3,14,0,0,0,0,0
TMS,9/13/2000,0,0,0,14,0,14.7,13.3,14,0,0,0,0,0
TMS,9/15/2000,0,0,0,14,0,14.7,13.3,14,0,0,0,0,0
TMS,9/18/2000,0,0,0,14,0,14.7,13.3,14,0,0,0,0,0
TMS,9/20/2000,0,0,0,14,0,14.7,13.3,14,0,0,0,0,0
TMS,9/22/2000,17.1,17.1,17.1,17.1,100,17.95,16.25,14,3.1,22.14,0,0,0
TMS,9/25/2000,17.4,17.4,17.4,17.4,100,18.27,16.53,17.1,0.3,1.75,0,0,0
TMS,9/27/2000,17.7,17.7,17.7,17.7,100,18.59,16.82,17.4,0.3,1.72,0,0,0
TMS,9/29/2000,18,18,18,18,200,18.9,17.1,17.7,0.3,1.69,0,0,0
TMS,10/2/2000,18.3,18.3,18.3,18.3,300,19.22,17.39,18,0.3,1.67,0,0,0
TMS,10/4/2000,18.6,18.6,18.6,18.6,100,19.53,17.67,18.3,0.3,1.64,0,0,0
TMS,10/6/2000,18.6,18.6,18.6,18.6,0,19.53,17.67,18.6,0,0,0,0,0
TMS,10/9/2000,18.9,18.9,18.9,18.9,100,19.85,17.95,18.6,0.3,1.61,0,0,0
TMS,10/11/2000,19.2,19.2,19.2,19.2,100,20.16,18.24,18.9,0.3,1.59,0,0,0
TMS,10/13/2000,19.5,19.5,19.5,19.5,100,20.48,18.52,19.2,0.3,1.56,0,0,0
TMS,10/16/2000,19.8,19.8,19.8,19.8,100,20.79,18.81,19.5,0.3,1.54,0,0,0
TMS,10/18/2000,20.1,20.1,20.1,20.1,100,21.11,19.1,19.8,0.3,1.52,0,0,0
TMS,10/20/2000,20.5,20.5,20.5,20.5,100,21.53,19.48,20.1,0.4,1.99,0,0,0
TMS,10/23/2000,20.9,20.9,20.9,20.9,100,21.95,19.86,20.5,0.4,1.95,0,0,0
TMS,10/25/2000,21.3,21.3,21.3,21.3,400,22.37,20.24,20.9,0.4,1.91,0,0,0
TMS,10/27/2000,21.7,21.7,21.7,21.7,100,22.79,20.62,21.3,0.4,1.88,0,0,0
TMS,10/30/2000,22.1,22.1,22.1,22.1,100,23.21,21,21.7,0.4,1.84,0,0,0
TMS,11/1/2000,22.5,22.5,22.5,22.5,100,23.63,21.38,22.1,0.4,1.81,0,0,0
TMS,11/3/2000,22.9,22.9,22.9,22.9,100,24.05,21.76,22.5,0.4,1.78,0,0,0
TMS,11/6/2000,23.3,23.3,23.3,23.3,100,24.47,22.14,22.9,0.4,1.75,0,0,0
TMS,11/8/2000,23.7,23.7,23.7,23.7,200,24.89,22.52,23.3,0.4,1.72,0,0,0
TMS,11/10/2000,24.1,24.1,24.1,24.1,100,25.31,22.9,23.7,0.4,1.69,0,0,0
TMS,11/13/2000,24.5,24.5,24.5,24.5,200,25.73,23.28,24.1,0.4,1.66,0,0,0
TMS,11/15/2000,24.9,24.9,24.9,24.9,100,26.15,23.66,24.5,0.4,1.63,0,0,0
TMS,11/17/2000,25.3,25.3,25.3,25.3,100,26.57,24.04,24.9,0.4,1.61,0,0,0
TMS,11/20/2000,25.8,25.8,25.8,25.8,1000,27.09,24.51,25.3,0.5,1.98,0,0,0
TMS,11/22/2000,26.3,26.3,26.3,26.3,500,27.62,24.99,25.8,0.5,1.94,0,0,0
TMS,11/24/2000,26.8,26.8,26.8,26.8,400,28.14,25.46,26.3,0.5,1.9,0,0,0
TMS,11/27/2000,27.3,27.3,27.3,27.3,600,28.67,25.94,26.8,0.5,1.87,0,0,0
TMS,11/29/2000,27.8,27.8,27.8,27.8,200,29.19,26.41,27.3,0.5,1.83,0,0,0
TMS,12/1/2000,28.3,28.3,28.3,28.3,300,29.72,26.89,27.8,0.5,1.8,0,0,0
TMS,12/4/2000,28.8,28.8,28.8,28.8,700,30.24,27.36,28.3,0.5,1.77,0,0,0
TMS,12/6/2000,29.3,29.3,29.3,29.3,800,30.77,27.84,28.8,0.5,1.74,0,0,0
TMS,12/8/2000,29.8,29.8,29.8,29.8,1100,31.29,28.31,29.3,0.5,1.71,0,0,0
TMS,12/11/2000,30.3,30.3,30.3,30.3,100,31.82,28.79,29.8,0.5,1.68,0,0,0
TMS,12/13/2000,29.9,29.9,29.9,29.9,100,31.4,28.41,30.3,-0.4,-1.32,0,0,0
TMS,12/15/2000,30.4,30.4,30.4,30.4,200,31.92,28.88,29.9,0.5,1.67,0,0,0
TMS,12/18/2000,31,31,31,31,100,32.55,29.45,30.4,0.6,1.97,0,0,0
TMS,12/20/2000,31.6,31.6,31.6,31.6,100,33.18,30.02,31,0.6,1.94,0,0,0
TMS,12/22/2000,32.2,32.2,32.2,32.2,2700,33.81,30.59,31.6,0.6,1.9,0,0,0
TMS,12/25/2000,32.8,32.8,32.8,32.8,800,34.44,31.16,32.2,0.6,1.86,0,0,0
TMS,12/27/2000,33.4,33.4,33.4,33.4,800,35.07,31.73,32.8,0.6,1.83,0,0,0
TMS,12/29/2000,34,34,34,34,1700,35.7,32.3,33.4,0.6,1.8,0,0,0
TMS,1/3/2001,34.6,34.6,34.6,34.6,1500,36.33,32.87,34,0.6,1.76,0,0,0
TMS,1/5/2001,35.2,35.2,35.2,35.2,1300,36.96,33.44,34.6,0.6,1.73,0,0,0
TMS,1/8/2001,35.9,35.9,35.9,35.9,3900,37.7,34.1,35.2,0.7,1.99,0,0,0
TMS,1/10/2001,36.6,36.6,36.6,36.6,900,38.43,34.77,35.9,0.7,1.95,0,0,0
TMS,1/12/2001,37.3,37.3,37.3,37.3,1100,39.17,35.44,36.6,0.7,1.91,0,0,0
TMS,1/15/2001,38,38,38,38,1200,39.9,36.1,37.3,0.7,1.88,0,0,0
TMS,1/17/2001,38.7,38.7,38.7,38.7,200,40.64,36.77,38,0.7,1.84,0,0,0
TMS,1/19/2001,39.4,39.4,39.4,39.4,300,41.37,37.43,38.7,0.7,1.81,0,0,0
TMS,1/29/2001,40.1,40.1,40.1,40.1,200,42.11,38.1,39.4,0.7,1.78,0,0,0
TMS,1/31/2001,40.9,40.9,40.9,40.9,200,42.95,38.85,40.1,0.8,2,0,0,0
TMS,2/2/2001,41.7,41.7,41.7,41.7,1400,43.79,39.62,40.9,0.8,1.96,0,0,0
TMS,2/5/2001,42.5,42.5,42.5,42.5,300,44.63,40.38,41.7,0.8,1.92,0,0,0
