MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TS4,8/8/2002,22,22,22,22,10000,23.1,20.9,22,0,0,0,0,0
TS4,8/9/2002,21.4,21.4,21.4,21.4,1400,22.47,20.33,22,-0.6,-2.73,0,0,0
TS4,8/12/2002,20.8,20.8,20.8,20.8,100,21.84,19.76,21.4,-0.6,-2.8,0,0,0
TS4,8/13/2002,20.2,20.2,20.2,20.2,100,21.21,19.19,20.8,-0.6,-2.88,0,0,0
TS4,8/14/2002,19.6,19.6,19.6,19.6,100,20.58,18.62,20.2,-0.6,-2.97,0,0,0
TS4,8/15/2002,19.1,19.1,19.1,19.1,500,20.06,18.15,19.6,-0.5,-2.55,0,0,0
TS4,8/16/2002,18.7,18.7,18.7,18.7,6000,19.64,17.77,19.1,-0.4,-2.09,0,0,0
TS4,8/19/2002,19.2,19.2,19.2,19.2,8600,20.16,18.24,18.7,0.5,2.67,0,0,0
TS4,8/20/2002,19.6,19.6,19.6,19.6,600,20.58,18.62,19.2,0.4,2.08,0,0,0
TS4,8/21/2002,19.6,19.6,19.6,19.6,300,20.58,18.62,19.6,0,0,0,0,0
TS4,8/22/2002,20,20,20,20,500,21,19,19.6,0.4,2.04,0,0,0
TS4,8/23/2002,19.4,19.4,19.4,19.4,400,20.37,18.43,20,-0.6,-3,0,0,0
TS4,8/26/2002,19,19,19,19,5200,19.95,18.05,19.4,-0.4,-2.06,0,0,0
TS4,8/27/2002,18.8,18.8,18.8,18.8,1400,19.74,17.86,19,-0.2,-1.05,0,0,0
TS4,8/28/2002,18.8,18.8,18.8,18.8,1400,19.74,17.86,18.8,0,0,0,0,0
TS4,8/29/2002,19,19,19,19,600,19.95,18.05,18.8,0.2,1.06,0,0,0
TS4,8/30/2002,19,19,19,19,0,19.95,18.05,19,0,0,0,0,0
TS4,9/3/2002,19.3,19.3,19.3,19.3,100,20.37,18.43,19,0.3,1.58,0,0,0
