Code,Date,Open,High,Low,Close,Volume
5,20030101,85.25,85.25,85.25,81.35,0
5,20030102,85.75,86.25,85.5,82.07,4845300
5,20030103,87.75,87.75,87.5,83.5,4116300
5,20030106,88.25,89,88,84.45,7081500
5,20030107,88.75,89,88,84.69,6454200
5,20030108,88.25,89.5,88.25,84.69,11349400
5,20030109,88,88.5,87.75,84.22,6137200
5,20030110,88.25,88.75,88,84.45,4936800
5,20030113,88.5,89.25,88.5,84.69,5967600
5,20030114,88.5,88.75,88.25,84.22,5394800
5,20030115,88.5,89,88.25,84.69,3963300
5,20030116,88.25,88.5,87.5,83.74,7210900
5,20030117,87.75,87.75,87,83.26,8349200
5,20030120,86.75,87.5,86.75,83.26,7181600
5,20030121,87.25,87.25,86.75,83.02,5260000
5,20030122,86,86.25,85.5,82.31,11526200
5,20030123,85,85.75,85,81.83,14038500
5,20030124,85.25,85.25,84.5,81.11,18302900
5,20030127,83.75,84,83.5,79.68,9749500
5,20030128,82.5,83.5,82.5,79.44,13921100
5,20030129,82.5,82.5,82,78.49,15735900
5,20030130,82,82.25,81.5,78.25,14693500
5,20030131,82,82,82,78.25,0
5,20030203,82,82,82,78.25,0
5,20030204,83,83,82.5,78.97,6296400
5,20030205,82.25,82.5,82,78.49,4685900
5,20030206,82.25,82.5,81.5,78.25,9159300
5,20030207,81.5,82,81.25,78.25,6636100
5,20030210,82,82.75,82,78.97,4033500
5,20030211,82.5,82.75,82,78.49,6960500
5,20030212,82,83,81.75,78.97,9186200
5,20030213,82.5,83,82,78.73,6884500
5,20030214,83,83.75,83,79.68,9186000
5,20030217,83.75,84.25,83.75,80.16,8639800
5,20030218,84,84.5,83.75,80.4,5397000
5,20030219,84.75,84.75,84.25,80.64,6137900
5,20030220,84.5,85,84.5,80.88,7353100
5,20030221,84.75,84.75,83.75,80.16,6683300
5,20030224,84.25,84.5,84,80.4,4111600
5,20030225,83.5,83.75,83.25,79.68,5688700
5,20030226,83.25,83.5,83,79.44,4008100
5,20030227,82.75,83.5,82.5,79.44,8516400
5,20030228,83.25,83.5,83.25,79.68,4911800
5,20030303,84,85,84,80.88,9297800
5,20030304,84.5,84.75,84,80.4,6325700
5,20030305,83.5,83.75,83.25,79.92,8197000
5,20030306,83.5,83.75,83,79.21,7230900
5,20030307,82.75,83,82.5,78.97,6595900
5,20030310,82.75,83,82.5,79.21,7284700
5,20030311,81.75,82.25,81.75,78.25,12827700
5,20030312,82,82.5,82,78.49,5462700
5,20030313,81.75,81.75,81.25,77.54,9950700
5,20030314,82.75,83,82.5,79.21,9048700
5,20030317,82.75,83,82.5,78.73,6756400
5,20030318,84.25,84.5,84,80.4,10552100
5,20030319,82.25,83.5,82,79.99,13139600
5,20030320,83.75,84.25,83.25,80.23,15242700
5,20030321,83.75,84,83.25,80.23,7398400
5,20030324,84,84,83,79.51,10740600
5,20030325,82.25,82.75,82.25,79.03,8888900
5,20030326,82.5,82.75,82,79.03,8970600
5,20030327,82.5,82.5,81.5,78.08,12399100
5,20030328,81.5,82,81.5,78.08,9656500
5,20030331,80.75,81,80,76.88,19670200
5,20030401,80.25,80.5,79.5,77.12,17374700
5,20030402,80.75,81.75,80.5,78.32,16810600
5,20030403,82.25,82.5,81.75,78.55,14349900
5,20030404,82.25,83,82,79.27,13610200
5,20030407,82.75,84,82.5,80.47,12839400
5,20030408,83.75,84,83.25,80.23,10132000
5,20030409,83.5,83.5,82.25,79.51,14154300
5,20030410,82.5,83,82.25,79.27,8899600
5,20030411,82.75,83,82.5,79.51,8252800
5,20030414,82.75,82.75,82,79.03,7268400
5,20030415,83,83.5,82.75,79.75,10709200
