MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
DHA,10/4/2004,29.8,29.8,29.6,29.6,3350,31.08,28.12,29.8,-0.2,-0.67,0,0,0
DHA,10/5/2004,29.6,29.6,29.6,29.6,12600,31.08,28.12,29.6,0,0,0,0,0
DHA,10/6/2004,29.6,29.7,29.6,29.7,4980,31.19,28.22,29.6,0.1,0.34,0,0,0
DHA,10/7/2004,29.7,29.7,29.6,29.6,8550,31.08,28.12,29.7,-0.1,-0.34,0,0,0
DHA,10/8/2004,29.6,29.6,29.6,29.6,2820,31.08,28.12,29.6,0,0,0,0,0
DHA,10/11/2004,29.6,29.6,29.4,29.4,1150,30.87,27.93,29.6,-0.2,-0.68,0,0,0
DHA,10/12/2004,29.4,29.4,29.2,29.2,500,30.66,27.74,29.4,-0.2,-0.68,0,0,0
DHA,10/13/2004,29.2,29.5,29.2,29.5,2000,30.98,28.03,29.2,0.3,1.03,0,0,0
DHA,10/14/2004,29.5,29.6,29.5,29.6,2410,31.08,28.12,29.5,0.1,0.34,0,0,0
DHA,10/15/2004,29.6,29.6,29.6,29.6,2960,31.08,28.12,29.6,0,0,0,0,0
DHA,10/18/2004,29.6,30,29.6,30,6260,31.5,28.5,29.6,0.4,1.35,0,0,0
DHA,10/19/2004,30,30.5,30,30.5,12580,32.03,28.98,30,0.5,1.67,0,0,0
DHA,10/20/2004,30.5,30.6,30.5,30.6,3990,32.13,29.07,30.5,0.1,0.33,0,0,0
DHA,10/21/2004,30.6,30.6,30.5,30.5,1490,32.03,28.98,30.6,-0.1,-0.33,0,0,0
DHA,10/22/2004,30.4,30.5,30.4,30.5,4290,32.03,28.98,30.5,0,0,0,0,0
DHA,10/25/2004,30.5,30.6,30.5,30.6,1900,32.13,29.07,30.5,0.1,0.33,0,0,0
DHA,10/26/2004,30.6,30.6,30.6,30.6,6100,32.13,29.07,30.6,0,0,0,0,0
DHA,10/27/2004,30.6,31,30.6,31,17090,32.55,29.45,30.6,0.4,1.31,0,0,0
DHA,10/28/2004,31,31,31,31,4100,32.55,29.45,31,0,0,0,0,0
DHA,10/29/2004,31,31,30.9,30.9,12310,32.45,29.36,31,-0.1,-0.32,0,0,0
DHA,11/1/2004,31,31,31,31,1150,32.55,29.45,30.9,0.1,0.32,0,0,0
DHA,11/2/2004,31,31,31,31,3930,32.55,29.45,31,0,0,0,0,0
DHA,11/3/2004,31,31,31,31,110,32.55,29.45,31,0,0,0,0,0
DHA,11/4/2004,31,31,31,31,5600,32.55,29.45,31,0,0,0,0,0
DHA,11/5/2004,30.8,30.9,30.8,30.9,540,32.45,29.36,31,-0.1,-0.32,0,0,0
DHA,11/8/2004,30.9,30.9,30.7,30.7,2600,32.24,29.17,30.9,-0.2,-0.65,0,0,0
DHA,11/9/2004,30.5,30.5,30.5,30.5,2270,32.03,28.98,30.7,-0.2,-0.65,0,0,0
DHA,11/10/2004,30.5,30.5,30.5,30.5,450,32.03,28.98,30.5,0,0,0,0,0
DHA,11/11/2004,30.5,30.5,30.5,30.5,2000,32.03,28.98,30.5,0,0,0,0,0
DHA,11/12/2004,30.5,30.5,30.3,30.3,1200,31.82,28.79,30.5,-0.2,-0.66,0,0,0
DHA,11/15/2004,30.3,30.3,30.3,30.3,110,31.82,28.79,30.3,0,0,0,0,0
DHA,11/16/2004,30.3,30.3,30.3,30.3,1300,31.82,28.79,30.3,0,0,0,0,0
DHA,11/17/2004,30.2,30.8,30.2,30.8,2850,0,0,30.3,0.5,1.65,0,0,0
DHA,11/18/2004,30.8,30.8,30.8,30.8,5000,32.34,29.26,30.3,0.5,1.65,0,0,0
DHA,11/19/2004,31,31,30.9,30.9,15890,32.45,29.36,30.8,0.1,0.32,0,0,0
DHA,11/22/2004,31,31,30.5,30.5,700,32.03,28.98,30.9,-0.4,-1.29,0,0,0
DHA,11/23/2004,30.5,30.5,30.5,30.5,3110,32.03,28.98,30.5,0,0,0,0,0
DHA,11/24/2004,30.5,30.8,30.5,30.8,330,32.34,29.26,30.5,0.3,0.98,0,0,0
DHA,11/25/2004,30.4,30.5,30.4,30.5,2810,32.03,28.98,30.8,-0.3,-0.97,0,0,0
DHA,11/26/2004,30.1,30.3,30.1,30.3,2500,31.82,28.79,30.5,-0.2,-0.66,0,0,0
DHA,11/29/2004,29.8,30.4,29.8,30.4,7130,31.92,28.88,30.3,0.1,0.33,0,0,0
DHA,11/30/2004,30.5,31,30.5,31,15270,32.55,29.45,30.4,0.6,1.97,0,0,0
DHA,12/1/2004,31.3,31.3,31,31,15200,32.55,29.45,31,0,0,0,0,0
DHA,12/2/2004,31,31,30.2,30.2,2380,31.71,28.69,31,-0.8,-2.58,0,0,0
DHA,12/3/2004,30.2,30.5,30.2,30.5,500,32.03,28.98,30.2,0.3,0.99,0,0,0
DHA,12/6/2004,30.5,30.5,30.5,30.5,20,32.03,28.98,30.5,0,0,0,0,0
DHA,12/7/2004,30.5,30.7,30.5,30.7,100,32.24,29.17,30.5,0.2,0.66,0,0,0
DHA,12/8/2004,30.7,30.7,30.5,30.5,630,32.03,28.98,30.7,-0.2,-0.65,0,0,0
DHA,12/9/2004,30.5,30.5,30.4,30.4,200,31.92,28.88,30.5,-0.1,-0.33,0,0,0
DHA,12/10/2004,30.4,30.5,30.4,30.5,1100,32.03,28.98,30.4,0.1,0.33,0,0,0
DHA,12/13/2004,30.6,30.6,30.2,30.2,360,31.71,28.69,30.5,-0.3,-0.98,0,0,0
DHA,12/14/2004,30.2,30.3,30.2,30.3,1130,31.82,28.79,30.2,0.1,0.33,0,0,0
DHA,12/15/2004,30.3,30.4,30.3,30.4,3770,31.92,28.88,30.3,0.1,0.33,0,0,0
DHA,12/16/2004,30.4,30.5,30.4,30.5,7010,32.03,28.98,30.4,0.1,0.33,0,0,0
DHA,12/17/2004,30.8,30.8,30.8,30.8,17700,32.34,29.26,30.5,0.3,0.98,0,0,0
DHA,12/20/2004,30.5,30.8,30.5,30.8,10440,32.34,29.26,30.8,0,0,0,0,0
DHA,12/21/2004,30.8,30.9,30.8,30.9,3680,32.45,29.36,30.8,0.1,0.32,0,0,0
DHA,12/22/2004,30.9,30.9,30.9,30.9,2210,32.45,29.36,30.9,0,0,0,0,0
DHA,12/23/2004,30.9,31,30.9,31,10800,32.55,29.45,30.9,0.1,0.32,0,0,0
DHA,12/24/2004,31,31.4,31,31.4,18920,32.97,29.83,31,0.4,1.29,0,0,0
DHA,12/27/2004,32.9,32.9,32.4,32.4,7360,34.02,30.78,31.4,1,3.18,0,0,0
DHA,12/28/2004,32.4,32.4,31.8,31.8,3310,33.39,30.21,32.4,-0.6,-1.85,0,0,0
DHA,12/29/2004,31.3,31.3,31.3,31.3,17640,32.87,29.74,31.8,-0.5,-1.57,0,0,0
DHA,12/30/2004,31.2,31.4,31.2,31.4,1260,32.97,29.83,31.3,0.1,0.32,0,0,0
DHA,12/31/2004,31.5,31.5,31.4,31.4,1610,32.97,29.83,31.4,0,0,0,0,0
DHA,1/4/2005,31.4,31.4,31,31,1200,32.9,29.9,31.4,-0.4,-1.27,0,0,0
DHA,1/5/2005,31,31,31,31,340,32.5,29.5,31,0,0,0,0,0
DHA,1/6/2005,30.8,31,30.8,31,1130,32.5,29.5,31,0,0,0,0,0
DHA,1/7/2005,30.8,30.8,30.8,30.8,420,32.5,29.5,31,-0.2,-0.65,0,0,0
DHA,1/10/2005,30.7,30.7,30.6,30.6,4440,32.3,29.3,30.8,-0.2,-0.65,0,0,0
DHA,1/11/2005,30.5,30.7,30.5,30.7,1000,32.1,29.1,30.6,0.1,0.33,0,0,0
DHA,1/12/2005,30.7,30.7,30.5,30.5,3230,32.2,29.2,30.7,-0.2,-0.65,0,0,0
DHA,1/13/2005,30.5,31,30.5,31,150,32,29,30.5,0.5,1.64,0,0,0
DHA,1/14/2005,30.6,31,30.6,31,6450,32.5,29.5,31,0,0,0,0,0
DHA,1/17/2005,31.2,31.2,31,31,360,32.5,29.5,31,0,0,0,0,0
DHA,1/18/2005,30.8,30.8,30.8,30.8,2030,32.5,29.5,31,-0.2,-0.65,0,0,0
DHA,1/19/2005,30.8,30.8,30.7,30.7,100,32.3,29.3,30.8,-0.1,-0.32,0,0,0
DHA,1/20/2005,30.7,30.8,30.7,30.8,1930,32.2,29.2,30.7,0.1,0.33,0,0,0
DHA,1/21/2005,30.8,31,30.8,31,320,32.3,29.3,30.8,0.2,0.65,0,0,0
DHA,1/24/2005,31,31,31,31,13430,85,77,31,0,0,0,0,0
