MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
HAS,10/4/2004,28.9,28.9,28.9,28.9,0,30.35,27.46,28.9,0,0,0,0,0
HAS,10/5/2004,28.4,28.5,28.4,28.5,80,29.93,27.08,28.9,-0.4,-1.38,0,0,0
HAS,10/6/2004,28.5,28.9,28.5,28.9,1450,30.35,27.46,28.5,0.4,1.4,0,0,0
HAS,10/7/2004,28.9,29,28.9,29,1300,30.45,27.55,28.9,0.1,0.35,0,0,0
HAS,10/8/2004,29,29,29,29,1000,30.45,27.55,29,0,0,0,0,0
HAS,10/11/2004,28.6,29,28.6,29,650,30.45,27.55,29,0,0,0,0,0
HAS,10/12/2004,28.8,28.8,28.8,28.8,3010,30.24,27.36,29,-0.2,-0.69,0,0,0
HAS,10/13/2004,28.8,28.8,28.8,28.8,100,30.24,27.36,28.8,0,0,0,0,0
HAS,10/14/2004,28.8,28.8,28.7,28.7,2430,30.14,27.27,28.8,-0.1,-0.35,0,0,0
HAS,10/15/2004,28.8,28.8,28.8,28.8,2490,30.24,27.36,28.7,0.1,0.35,0,0,0
HAS,10/18/2004,28.9,29,28.9,29,2910,30.45,27.55,28.8,0.2,0.69,0,0,0
HAS,10/19/2004,29.2,29.2,29.2,29.2,7860,30.66,27.74,29,0.2,0.69,0,0,0
HAS,10/20/2004,29.2,29.2,29.2,29.2,1000,30.66,27.74,29.2,0,0,0,0,0
HAS,10/21/2004,29.3,29.3,29.2,29.2,2840,30.66,27.74,29.2,0,0,0,0,0
HAS,10/22/2004,29.2,29.6,29.2,29.6,2130,31.08,28.12,29.2,0.4,1.37,0,0,0
HAS,10/25/2004,29.6,30.4,29.6,30.4,2500,31.92,28.88,29.6,0.8,2.7,0,0,0
HAS,10/26/2004,30,30,29.9,29.9,1800,31.4,28.41,30.4,-0.5,-1.64,0,0,0
HAS,10/27/2004,29.6,29.6,29.6,29.6,3160,30.98,28.03,29.9,-0.3,-1,0,0,0
HAS,10/28/2004,29.6,29.6,29.6,29.6,980,31.08,28.12,29.5,0.1,0.34,0,0,0
HAS,10/29/2004,29,29,29,29,1140,30.45,27.55,29.6,-0.6,-2.03,0,0,0
HAS,11/1/2004,29,29,28.4,28.4,2120,29.82,26.98,29,-0.6,-2.07,0,0,0
HAS,11/2/2004,28.4,28.4,28.4,28.4,7100,29.82,26.98,28.4,0,0,0,0,0
HAS,11/3/2004,28.4,28.4,28.4,28.4,4280,29.82,26.98,28.4,0,0,0,0,0
HAS,11/4/2004,28.5,28.5,28.5,28.5,700,29.93,27.08,28.4,0.1,0.35,0,0,0
HAS,11/5/2004,29,29,29,29,320,30.45,27.55,28.5,0.5,1.75,0,0,0
HAS,11/8/2004,29,29.1,29,29.1,2010,30.56,27.65,29,0.1,0.34,0,0,0
HAS,11/9/2004,29.1,29.2,29.1,29.2,330,30.66,27.74,29.1,0.1,0.34,0,0,0
HAS,11/10/2004,29.2,29.2,28.9,28.9,1510,30.35,27.46,29.2,-0.3,-1.03,0,0,0
HAS,11/11/2004,28.9,28.9,28.8,28.8,250,30.24,27.36,28.9,-0.1,-0.35,0,0,0
HAS,11/12/2004,28.8,28.8,28.3,28.3,9020,29.72,26.89,28.8,-0.5,-1.74,0,0,0
HAS,11/15/2004,28.3,28.3,28,28,2700,29.4,26.6,28.3,-0.3,-1.06,0,0,0
HAS,11/16/2004,28,28.2,28,28.2,3410,29.61,26.79,28,0.2,0.71,0,0,0
HAS,11/17/2004,28.4,28.5,28.4,28.5,770,0,0,28.2,0.3,1.06,0,0,0
HAS,11/18/2004,28.5,28.5,28.5,28.5,1500,29.93,27.08,28.2,0.3,1.06,0,0,0
HAS,11/19/2004,28.5,28.5,28.4,28.4,1040,29.82,26.98,28.5,-0.1,-0.35,0,0,0
HAS,11/22/2004,28.3,28.4,28.3,28.4,1300,29.82,26.98,28.4,0,0,0,0,0
HAS,11/23/2004,28.4,28.4,28.4,28.4,1450,29.82,26.98,28.4,0,0,0,0,0
HAS,11/24/2004,28.4,28.4,28.2,28.2,120,29.61,26.79,28.4,-0.2,-0.7,0,0,0
HAS,11/25/2004,28,28,27.9,27.9,3160,29.3,26.51,28.2,-0.3,-1.06,0,0,0
HAS,11/26/2004,27.9,27.9,27.8,27.8,1010,29.19,26.41,27.9,-0.1,-0.36,0,0,0
HAS,11/29/2004,27.8,28,27.8,28,2330,29.4,26.6,27.8,0.2,0.72,0,0,0
HAS,11/30/2004,28,28.5,28,28.5,4290,29.93,27.08,28,0.5,1.79,0,0,0
HAS,12/1/2004,28.4,28.4,28.4,28.4,10700,29.82,26.98,28.5,-0.1,-0.35,0,0,0
HAS,12/2/2004,28.4,28.4,28.3,28.3,220,29.72,26.89,28.4,-0.1,-0.35,0,0,0
HAS,12/3/2004,27.5,28.2,27.5,28.2,840,29.61,26.79,28.3,-0.1,-0.35,0,0,0
HAS,12/6/2004,28.2,28.5,28.2,28.5,350,29.93,27.08,28.2,0.3,1.06,0,0,0
HAS,12/7/2004,28.5,28.5,28,28,6430,29.4,26.6,28.5,-0.5,-1.75,0,0,0
HAS,12/8/2004,27.8,28,27.8,28,160,29.4,26.6,28,0,0,0,0,0
HAS,12/9/2004,27.9,28,27.9,28,2640,29.4,26.6,28,0,0,0,0,0
HAS,12/10/2004,29,29,28.5,28.5,2900,29.93,27.08,28,0.5,1.79,0,0,0
HAS,12/13/2004,28.7,28.8,28.7,28.8,1520,30.24,27.36,28.5,0.3,1.05,0,0,0
HAS,12/14/2004,28.9,28.9,28.8,28.8,260,30.24,27.36,28.8,0,0,0,0,0
HAS,12/15/2004,28.8,28.8,28.5,28.5,3320,29.93,27.08,28.8,-0.3,-1.04,0,0,0
HAS,12/16/2004,28.5,28.5,28.5,28.5,210,29.93,27.08,28.5,0,0,0,0,0
HAS,12/17/2004,28.5,28.5,28.5,28.5,780,29.93,27.08,28.5,0,0,0,0,0
HAS,12/20/2004,28.5,28.5,28.3,28.3,7150,29.72,26.89,28.5,-0.2,-0.7,0,0,0
HAS,12/21/2004,28,28,28,28,10100,29.4,26.6,28.3,-0.3,-1.06,0,0,0
HAS,12/22/2004,28,28.2,28,28.2,5500,29.61,26.79,28,0.2,0.71,0,0,0
HAS,12/23/2004,28,28,27.4,27.4,1000,28.77,26.03,28.2,-0.8,-2.84,0,0,0
HAS,12/24/2004,27.9,27.9,27.9,27.9,1110,29.3,26.51,27.4,0.5,1.82,0,0,0
HAS,12/27/2004,28,28,28,28,2680,29.4,26.6,27.9,0.1,0.36,0,0,0
