labels 1 0 -1
1 0 0.228595137785552 0.768804503904509 0.0026003583099392 
0 1 0.870043751313395 0.12459367887808 0.00536256980852506 
0 1 0.69447808654203 0.299659130989428 0.00586278246854154 
0 0 0.197886259994445 0.799182580981759 0.00293115902379558 
0 0 0.47795742050417 0.517885160619826 0.00415741887600399 
0 0 0.357909378332635 0.635788892861405 0.00630172880596024 
0 1 0.557522969553341 0.43448561397069 0.0079914164759693 
1 0 0.320669754559265 0.674865607489275 0.00446463795145914 
1 1 0.748808611647398 0.245090496596896 0.00610089175570632 
0 0 0.182849088252141 0.814849149137842 0.00230176261001647 
1 0 0.288014451928194 0.709376328105408 0.00260921996639896 
1 0 0.420115921901301 0.577139875532128 0.00274420256657109 
1 0 0.478651108721112 0.518877458849822 0.00247143242906579 
1 1 0.539624318622667 0.458259024765214 0.00211665661211902 
1 1 0.558537687029733 0.439675382838066 0.0017869301322012 
1 1 0.820939408582823 0.177480954027548 0.00157963738962836 
1 1 0.787088876956755 0.211590407635141 0.00132071540810379 
1 1 0.744258265743165 0.254640025949273 0.00110170830756284 
0 1 0.585913401983072 0.413064011591634 0.001022586425294 
0 1 0.713836588883844 0.285824818748908 0.000338592367248123 
0 0 0.193787831287746 0.804354673437116 0.00185749527513827 
0 0 0.0920539897586326 0.902568437467866 0.00537757277350192 
0 0 0.0368943429462782 0.948778672267395 0.0143269847863265 
0 0 0.0185281076709261 0.940212265173663 0.0412596271554104 
0 0 0.0163932638363327 0.914189028850513 0.0694177073131541 
0 0 0.0122011168857515 0.939643857376395 0.0481550257378537 
0 0 0.00953331590520193 0.955194133054228 0.0352725510405705 
0 0 0.00762783979463261 0.959660750086996 0.0327114101183715 
0 0 0.00764742882570499 0.950844804968634 0.0415077662056611 
0 0 0.0271923522109799 0.865778846381369 0.107028801407651 
0 0 0.0290196599107416 0.86008482194458 0.110895518144678 
0 0 0.0535381966150173 0.766995610303346 0.179466193081637 
0 0 0.0801276086741182 0.618153770022474 0.301718621303408 
0 -1 0.0874524285856999 0.400589706821832 0.511957864592469 
0 -1 0.0610423484077734 0.234515653388973 0.704441998203253 
-1 -1 0.0323684846971679 0.116929136328144 0.850702378974688 
-1 -1 0.0150625698881018 0.05194894362979 0.932988486482108 
-1 -1 0.00656168534793859 0.0267979109415149 0.966640403710547 
-1 -1 0.00216359852906747 0.00891680984330344 0.988919591627629 
-1 -1 0.000965920660710853 0.00513935100164626 0.993894728337643 
-1 -1 0.000435123598814325 0.00293408992982695 0.996630786471359 
-1 -1 0.000198630853783566 0.00224635511214927 0.997555014034067 
-1 -1 9.18057239386176E-05 0.00181394271093533 0.998094251565126 
-1 -1 2.36074790300333E-06 2.83930470795923E-06 0.999994799947389 
-1 -1 1.83911064976627E-06 2.21144057173503E-06 0.999995949448779 
-1 -1 1.44694373752421E-06 1.73951778865621E-06 0.999996813538474 
-1 -1 2.13219218186928E-06 2.56437474458553E-06 0.999995303433074 
-1 -1 1.03860461174218E-05 0.00182297176201368 0.998166642191869 
0 0 0.00598229271876614 0.988655142000058 0.00536256528117579 
0 0 0.0278337697907944 0.96563910698338 0.0065271232258257 
0 0 0.138809230961481 0.851625750942324 0.00956501809619495 
0 0 0.153881487319348 0.839862873338862 0.00625563934178971 
0 0 0.235979019393777 0.758798799814979 0.00522218079124433 
0 0 0.348232522033613 0.647747570046018 0.00401990792036868 
0 0 0.42950279743963 0.566439182891755 0.00405801966861511 
0 1 0.541413404063051 0.454090312544367 0.00449628339258239 
0 1 0.549673046278288 0.416773850197448 0.0335531035242632 
0 0 0.31371033900478 0.671691003172402 0.0145986578228174 
0 0 0.216536780307861 0.771286033661138 0.0121771860310018 
0 0 0.12482721209697 0.8658951684422 0.00927761946082992 
0 0 0.243618062120235 0.748159281775526 0.00822265610423982 
0 0 0.470856787498837 0.523233099776203 0.00591011272496038 
0 0 0.414394712972766 0.581107442203045 0.00449784482418866 
0 1 0.804850769147445 0.1923963448809 0.00275288597165442 
0 1 0.853576545240527 0.144445386975584 0.00197806778388841 
1 1 0.810113816489101 0.187671497106066 0.00221468640483274 
1 1 0.936916053022192 0.0623352755074248 0.000748671470383067 
1 1 0.836739384349668 0.162630266316052 0.000630349334279761 
1 1 0.776283345944312 0.223342517719667 0.00037413633602088 
1 1 0.910162013150859 0.0893517835643549 0.000486203284785793 
1 1 0.876179919133516 0.123266872541232 0.000553208325251813 
1 1 0.960772135627204 0.0389450625389067 0.000282801833889437 
1 1 0.967664190212591 0.0321323840938806 0.000203425693528439 
1 1 0.956741225699522 0.0430976693121733 0.000161104988304909 
1 1 0.95701803614875 0.0428599690534353 0.00012199479781502 
1 1 0.968418074077514 0.0315105958976819 7.13300248041416E-05 
1 1 0.932895878625712 0.066988937910205 0.000115183464082604 
1 1 0.856640204307422 0.143158334999357 0.00020146069322095 
1 1 0.892316873227069 0.107602176532671 8.09502402598379E-05 
1 1 0.837841012118345 0.161941996371549 0.000216991510106029 
1 1 0.976497934173213 0.0233717909125965 0.000130274914190567 
1 1 0.978329213239069 0.021542335813368 0.00012845094756321 
0 1 0.948395397417466 0.0513316625109358 0.000272940071598363 
0 1 0.854246110611493 0.145320061443985 0.000433827944522229 
1 1 0.667224278120965 0.332344014791123 0.000431707087912266 
1 1 0.867926347889094 0.131771483040308 0.000302169070597748 
1 1 0.821802399865579 0.177768729790366 0.00042887034405418 
1 1 0.956009206175082 0.0435208134878844 0.000469980337033159 
0 1 0.854460992072525 0.145102858401204 0.000436149526271242 
0 1 0.79544831810558 0.203777666356471 0.00077401553794931 
0 0 0.112050385511845 0.884213788862999 0.00373582562515597 
0 0 0.12149974926845 0.877084159297781 0.00141609143376874 
0 0 0.0664164483517522 0.931179966240784 0.00240358540746404 
0 0 0.242539471753834 0.755684654262803 0.00177587398336232 
0 0 0.167197358732129 0.831844338880431 0.000958302387439438 
0 0 0.0394073630030598 0.953554639166166 0.00703799783077448 
0 0 0.0276834841165494 0.95076273153517 0.0215537843482802 
0 0 0.0215639178452399 0.965655538427767 0.0127805437269927 
0 0 0.148616579047122 0.848852362616683 0.0025310583361946 
0 0 0.0478626555361586 0.947181770602567 0.00495557386127418 
0 0 0.0148818607367677 0.975362634461613 0.0097555048016191 
0 0 0.0343674050459373 0.936428874622386 0.0292037203316765 
0 0 0.0894098663868166 0.903945031895989 0.00664510171719456 
0 0 0.147271549679877 0.848640078255397 0.00408837206472616 
0 0 0.167363233059815 0.827059773082811 0.00557699385737374 
0 0 0.0360720068666653 0.956885962720625 0.00704203041270933 
0 0 0.116908092852685 0.873516604723027 0.0095753024242882 
0 0 0.183723944218287 0.809038814892243 0.00723724088947047 
0 0 0.242662483420255 0.74780391463332 0.00953360194642445 
0 0 0.106801615321499 0.885754650474729 0.00744373420377121 
