labels 0 1 -1
-1 -1 1.31539715572594E-13 6.5769874414881E-14 0.999999999999803 
-1 -1 6.32009946547227E-14 3.16005006254837E-14 0.999999999999905 
-1 -1 4.15567931440969E-14 2.07783972897587E-14 0.999999999999938 
-1 -1 3.33333405555542E-14 1.66666702777773E-14 0.99999999999995 
-1 -1 3.33333405555542E-14 1.66666702777773E-14 0.99999999999995 
-1 -1 3.33333405555542E-14 1.66666702777773E-14 0.99999999999995 
-1 -1 3.33333405555542E-14 1.66666702777773E-14 0.99999999999995 
-1 -1 3.33333405555542E-14 1.66666702777773E-14 0.99999999999995 
-1 -1 3.33333405555542E-14 1.66666702777773E-14 0.99999999999995 
-1 -1 1.0539274172411E-12 5.2696427332328E-13 0.999999999998419 
-1 -1 9.05440150917714E-05 0.00297876486903771 0.996930691115871 
-1 -1 5.22726133021893E-08 2.61435613832969E-08 0.999999921583825 
-1 -1 5.25446240840851E-09 2.6274629287088E-09 0.999999992118075 
-1 -1 3.85470184831723E-06 0.000968550419726985 0.999027594878425 
-1 -1 1.13141444113627E-07 5.65936727777988E-08 0.999999830264883 
-1 -1 3.04739861058944E-08 1.52401971372206E-08 0.999999954285817 
-1 -1 2.95390069835213E-07 1.4779186754037E-07 0.999999556818063 
-1 -1 8.02682221883542E-08 4.01478209219936E-08 0.999999879583957 
-1 -1 1.33089297913477E-07 6.65739470567042E-08 0.999999800336755 
-1 -1 2.05749953216315E-07 1.02931371802261E-07 0.999999691318675 
-1 -1 2.8581021433289E-07 1.42997390711912E-07 0.999999571192395 
-1 -1 7.3126951118682E-07 3.6601479201846E-07 0.999998902715697 
-1 -1 1.14207310518207E-06 5.717822358783E-07 0.999998286144659 
-1 -1 1.6569716293916E-06 8.29798294336946E-07 0.999997513230076 
-1 -1 2.44058808413227E-06 1.2226622589826E-06 0.999996336749657 
-1 -1 2.70580391637806E-06 1.35568828753425E-06 0.999995938507796 
-1 -1 2.98641481705122E-06 1.49647685367409E-06 0.999995517108329 
-1 -1 3.44284958138894E-06 1.72552285978566E-06 0.999994831627559 
-1 -1 4.09270481149027E-06 2.05172024078449E-06 0.999993855574948 
-1 -1 3.12891954767656E-06 0.000872550737863483 0.999124320342589 
-1 -1 4.09543249570667E-06 0.00100254777427038 0.998993356793234 
-1 -1 6.0997296082211E-06 0.00122940309576165 0.99876449717463 
-1 -1 8.66666783342748E-06 0.00147012329490014 0.998521210037267 
-1 -1 1.27608736453605E-05 0.00178890066787547 0.998198338458479 
-1 -1 1.86741758872543E-05 0.0021691772315606 0.997812148592552 
-1 -1 2.77282519586431E-05 0.00264655828662369 0.997325713461418 
-1 -1 4.12617473577272E-05 0.00323331162827133 0.996725426624371 
-1 -1 6.21964105928726E-05 0.00397796460359847 0.995959838985809 
-1 -1 3.56074575624192E-05 0.00300547957020895 0.996958912972229 
-1 -1 9.08870080410381E-05 0.00482943637517734 0.995079676616782 
-1 -1 0.000544045153412988 0.012014150368326 0.987441804478261 
-1 -1 0.000752012905428873 0.0142010053114421 0.985046981783129 
-1 -1 0.00100228095361779 0.016486126897672 0.98251159214871 
-1 -1 0.00128595714617662 0.0187764121689834 0.97993763068484 
-1 -1 0.00165331523348864 0.0214196403425845 0.976927044423927 
-1 -1 0.00212338310973441 0.0244458588648718 0.973430758025394 
-1 -1 0.00264101799590212 0.0274510206536225 0.969907961350475 
-1 -1 0.00320008646345145 0.0304186731891187 0.96638124034743 
-1 -1 0.00383565186198359 0.0335382665389481 0.962626081599068 
-1 -1 0.00290204870509804 0.0369387253050326 0.960159225989869 
-1 -1 0.00242584371678832 0.0261864691407689 0.971387687142443 
-1 -1 0.00303305999250556 0.029268474880419 0.967698465127075 
-1 -1 0.0357921443407992 0.119341222489059 0.844866633170142 
-1 -1 0.0149362077831525 0.0779028271741197 0.907160965042728 
-1 -1 0.017778231883868 0.0782874776677489 0.903934290448383 
0 0 0.407716865835264 0.33110200022493 0.261181133939806 
0 1 0.119781239719435 0.630839152257681 0.249379608022884 
0 1 0.0835249549504779 0.628548107291684 0.287926937757838 
0 1 0.341048847990274 0.564153588030067 0.0947975639796586 
0 1 0.285088007350002 0.590677448591135 0.124234544058863 
0 1 0.36162718047702 0.489149792706793 0.149223026816187 
0 0 0.414401799338597 0.407833899415905 0.177764301245498 
0 0 0.424365297628509 0.362788722623874 0.212845979747617 
0 0 0.398993820436114 0.350556980190366 0.250449199373519 
0 0 0.365171908278816 0.346985398830832 0.287842692890352 
0 1 0.325103789972816 0.348434477184551 0.326461732842633 
-1 -1 0.293229738570368 0.342710679361464 0.364059582068168 
-1 -1 0.267156101989026 0.324865184141827 0.407978713869148 
-1 -1 0.24786254586186 0.298761445137089 0.453376009001051 
-1 -1 0.224251441478815 0.27975568493564 0.495992873585545 
-1 -1 0.20293214154233 0.267730098593653 0.529337759864017 
-1 -1 0.128421296526369 0.314678818617033 0.556899884856598 
-1 -1 0.0983588675873791 0.286201654268554 0.615439478144067 
1 1 0.00048490909627148 0.988169911949497 0.0113451789542314 
1 1 0.000734008092145209 0.985014883349999 0.0142511085578554 
0 1 0.00381802166254547 0.972792089194198 0.0233898891432569 
0 1 0.00998851353325958 0.950007382447465 0.0400041040192753 
0 1 0.0217806943251072 0.909371585158461 0.0688477205164317 
0 1 0.0397209084796818 0.832837813512738 0.12744127800758 
0 1 0.0459285816277976 0.752264433982093 0.201806984390109 
0 1 0.0418873099277077 0.680781199729494 0.277331490342798 
0 1 0.0353121696951961 0.644673265270037 0.320014565034767 
0 1 0.0482129679941413 0.582842477061537 0.368944554944322 
0 1 0.0785779618906701 0.610647778095295 0.310774260014035 
0 -1 0.0444892765304578 0.464528522547379 0.490982200922163 
0 1 0.205591916749835 0.406242075855064 0.388166007395101 
0 -1 0.0785247205749787 0.43424439782467 0.487230881600352 
0 -1 0.11736941217984 0.408223341126473 0.474407246693687 
-1 0 0.689123241794408 0.0880921059985944 0.222784652206997 
-1 0 0.479270313570338 0.138653594439259 0.382076091990403 
-1 -1 0.390540916656842 0.157684144407315 0.451774938935843 
-1 -1 0.294956283048968 0.175794898312672 0.52924881863836 
-1 -1 0.26901709557094 0.164518036033115 0.566464868395944 
-1 -1 0.27585936513609 0.175364031486904 0.548776603377006 
-1 0 0.566673659357293 0.127050820651342 0.306275519991365 
-1 -1 0.320044782817596 0.23568496522063 0.444270251961774 
-1 -1 0.220939408502398 0.20713658943807 0.571924002059532 
-1 0 0.421792693784703 0.174098161998316 0.404109144216981 
-1 0 0.49353560277785 0.136812386764609 0.369652010457541 
-1 -1 0.290782662951562 0.186354219303506 0.522863117744931 
-1 -1 0.240014010019135 0.189858554311033 0.570127435669832 
-1 -1 0.18709644566474 0.168067789013925 0.644835765321335 
-1 -1 0.200412749486074 0.153825393209631 0.645761857304295 
-1 0 0.903138754099054 0.0278755116990802 0.068985734201866 
-1 0 0.792550964187218 0.0563677196606061 0.151081316152176 
-1 0 0.786461253167788 0.0569211512266835 0.156617595605528 
-1 0 0.651989934079198 0.157816869581904 0.190193196338899 
-1 0 0.515444960168748 0.225561726116095 0.258993313715157 
-1 0 0.783461798343956 0.108032110406998 0.108506091249047 
-1 0 0.812731297770029 0.0509755038173955 0.136293198412576 
-1 0 0.813193979600622 0.0506979584419484 0.13610806195743 
-1 0 0.780177853914517 0.103667362363768 0.116154783721714 
-1 0 0.554975421286376 0.197989660539684 0.247034918173941 
-1 0 0.85669562001839 0.0386428604262486 0.104661519555361 
-1 0 0.80894819466301 0.11889536272984 0.0721564426071496 
-1 0 0.558102672617624 0.274971923411796 0.166925403970581 
-1 0 0.971360545159662 0.011948203314162 0.0166912515261763 
-1 0 0.906366059919972 0.0749078632892641 0.0187260767907646 
-1 0 0.978495081218164 0.00881511766373575 0.0126898011181001 
-1 0 0.860522253004916 0.113635440698874 0.0258423062962094 
-1 0 0.992039701002105 0.00631016305194063 0.00165013594595476 
-1 0 0.83108778040168 0.154527602685135 0.0143846169131852 
-1 0 0.698057178381537 0.255271264225651 0.0466715573928118 
