MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
REE,9/28/2004,22.7,22.8,22.7,22.8,9740,23.94,21.66,22.7,0.1,0.44,0,0,0
REE,9/29/2004,22.9,22.9,22.9,22.9,25170,24.05,21.76,22.8,0.1,0.44,0,0,0
REE,9/30/2004,23,23,23,23,42010,24.15,21.85,22.9,0.1,0.44,0,0,0
REE,10/1/2004,22.9,22.9,22.6,22.6,25630,23.73,21.47,23,-0.4,-1.74,0,0,0
REE,10/4/2004,22.6,22.7,22.6,22.7,31820,23.84,21.57,22.6,0.1,0.44,0,0,0
REE,10/5/2004,22.8,22.9,22.8,22.9,13510,24.05,21.76,22.7,0.2,0.88,0,0,0
REE,10/6/2004,22.9,23,22.9,23,28200,24.15,21.85,22.9,0.1,0.44,0,0,0
REE,10/7/2004,23,23,23,23,8530,24.15,21.85,23,0,0,0,0,0
REE,10/8/2004,22.7,22.7,22.7,22.7,12610,23.84,21.57,23,-0.3,-1.3,0,0,0
REE,10/11/2004,22.7,22.7,22.7,22.7,17300,23.84,21.57,22.7,0,0,0,0,0
REE,10/12/2004,22.6,22.6,22.6,22.6,24310,23.73,21.47,22.7,-0.1,-0.44,0,0,0
REE,10/13/2004,22.8,23,22.8,23,30000,24.15,21.85,22.6,0.4,1.77,0,0,0
REE,10/14/2004,23,23.1,23,23.1,41760,24.26,21.95,23,0.1,0.43,0,0,0
REE,10/15/2004,23.2,23.2,23.2,23.2,42830,24.36,22.04,23.1,0.1,0.43,0,0,0
REE,10/18/2004,23.7,23.7,23.6,23.6,40010,24.78,22.42,23.2,0.4,1.72,0,0,0
REE,10/19/2004,23.9,24.1,23.9,24.1,77600,25.31,22.9,23.6,0.5,2.12,0,0,0
REE,10/20/2004,24.3,24.3,24.3,24.3,61310,25.52,23.09,24.1,0.2,0.83,0,0,0
REE,10/21/2004,23.8,23.9,23.8,23.9,33410,25.1,22.71,24.3,-0.4,-1.65,0,0,0
REE,10/22/2004,23.7,23.7,23.7,23.7,21720,24.89,22.52,23.9,-0.2,-0.84,0,0,0
REE,10/25/2004,23.7,23.9,23.7,23.9,15940,25.1,22.71,23.7,0.2,0.84,0,0,0
REE,10/26/2004,24.1,24.1,24.1,24.1,38550,25.31,22.9,23.9,0.2,0.84,0,0,0
REE,10/27/2004,24.2,24.4,24.2,24.4,31100,25.62,23.18,24.1,0.3,1.24,0,0,0
REE,10/28/2004,24.4,24.4,24.2,24.2,8620,25.41,22.99,24.4,-0.2,-0.82,0,0,0
REE,10/29/2004,24.2,24.2,24.1,24.1,31720,25.31,22.9,24.2,-0.1,-0.41,0,0,0
REE,11/1/2004,24,24,23.9,23.9,22010,25.1,22.71,24.1,-0.2,-0.83,0,0,0
REE,11/2/2004,23.9,24.1,23.9,24.1,42300,25.31,22.9,23.9,0.2,0.84,0,0,0
REE,11/3/2004,24,24,24,24,29320,25.2,22.8,24.1,-0.1,-0.41,0,0,0
REE,11/4/2004,23.9,23.9,23.9,23.9,16040,25.1,22.71,24,-0.1,-0.42,0,0,0
REE,11/5/2004,23.9,24,23.9,24,17770,25.2,22.8,23.9,0.1,0.42,0,0,0
REE,11/8/2004,24,24.1,24,24.1,16950,25.31,22.9,24,0.1,0.42,0,0,0
REE,11/9/2004,24,24,24,24,14460,25.2,22.8,24.1,-0.1,-0.41,0,0,0
REE,11/10/2004,23.9,24.1,23.9,24.1,18120,25.31,22.9,24,0.1,0.42,0,0,0
REE,11/11/2004,24.1,24.1,24,24,17770,25.2,22.8,24.1,-0.1,-0.41,0,0,0
REE,11/12/2004,23.5,23.8,23.5,23.8,43350,24.99,22.61,24,-0.2,-0.83,0,0,0
REE,11/15/2004,23.8,23.9,23.8,23.9,34980,25.1,22.71,23.8,0.1,0.42,0,0,0
REE,11/16/2004,23.9,23.9,23.9,23.9,20300,25.1,22.71,23.9,0,0,0,0,0
REE,11/17/2004,23.9,23.9,23.8,23.8,17650,0,0,23.9,-0.1,-0.42,0,0,0
REE,11/18/2004,23.7,23.7,23.7,23.7,38480,24.89,22.52,23.9,-0.2,-0.84,0,0,0
REE,11/19/2004,23.7,23.7,23.7,23.7,16500,24.89,22.52,23.7,0,0,0,0,0
REE,11/22/2004,23.6,23.6,23.5,23.5,83400,24.68,22.33,23.7,-0.2,-0.84,0,0,0
REE,11/23/2004,23.4,23.4,23.1,23.1,62290,24.26,21.95,23.5,-0.4,-1.7,0,0,0
REE,11/24/2004,22.9,22.9,22.9,22.9,93900,24.05,21.76,23.1,-0.2,-0.87,0,0,0
REE,11/25/2004,22.9,23,22.9,23,41170,24.15,21.85,22.9,0.1,0.44,0,0,0
REE,11/26/2004,23.2,23.2,23.2,23.2,38220,24.36,22.04,23,0.2,0.87,0,0,0
REE,11/29/2004,23.3,23.4,23.3,23.4,27500,24.57,22.23,23.2,0.2,0.86,0,0,0
REE,11/30/2004,23.7,24,23.7,24,79170,25.2,22.8,23.4,0.6,2.56,0,0,0
REE,12/1/2004,24.4,24.4,23.9,23.9,99320,25.1,22.71,24,-0.1,-0.42,0,0,0
REE,12/2/2004,23.6,23.6,23.5,23.5,73860,24.68,22.33,23.9,-0.4,-1.67,0,0,0
REE,12/3/2004,23.5,23.9,23.5,23.9,18490,25.1,22.71,23.5,0.4,1.7,0,0,0
REE,12/6/2004,23.9,23.9,23.9,23.9,22650,25.1,22.71,23.9,0,0,0,0,0
REE,12/7/2004,23.9,23.9,23.9,23.9,15120,25.1,22.71,23.9,0,0,0,0,0
REE,12/8/2004,23.8,23.8,23.8,23.8,7510,24.99,22.61,23.9,-0.1,-0.42,0,0,0
REE,12/9/2004,23.7,23.7,23.7,23.7,3940,24.89,22.52,23.8,-0.1,-0.42,0,0,0
REE,12/10/2004,23.7,23.8,23.7,23.8,9820,24.99,22.61,23.7,0.1,0.42,0,0,0
REE,12/13/2004,23.8,23.9,23.8,23.9,14620,25.1,22.71,23.8,0.1,0.42,0,0,0
REE,12/14/2004,23.9,23.9,23.8,23.8,6400,24.99,22.61,23.9,-0.1,-0.42,0,0,0
REE,12/15/2004,23.8,23.8,23.8,23.8,20270,24.99,22.61,23.8,0,0,0,0,0
REE,12/16/2004,24,24,24,24,18120,25.2,22.8,23.8,0.2,0.84,0,0,0
REE,12/17/2004,24,24,23.9,23.9,13230,25.1,22.71,24,-0.1,-0.42,0,0,0
REE,12/20/2004,23.9,23.9,23.8,23.8,11770,24.99,22.61,23.9,-0.1,-0.42,0,0,0
REE,12/21/2004,23.8,23.8,23.6,23.6,12340,24.78,22.42,23.8,-0.2,-0.84,0,0,0
REE,12/22/2004,23.8,23.8,23.8,23.8,8050,24.99,22.61,23.6,0.2,0.85,0,0,0
REE,12/23/2004,23.9,23.9,23.9,23.9,33050,25.1,22.71,23.8,0.1,0.42,0,0,0
REE,12/24/2004,24.2,24.3,24.2,24.3,69610,25.52,23.09,23.9,0.4,1.67,0,0,0
REE,12/27/2004,24.1,24.1,24.1,24.1,63000,25.31,22.9,24.3,-0.2,-0.82,0,0,0
REE,12/28/2004,24.1,24.1,24.1,24.1,69100,25.31,22.9,24.1,0,0,0,0,0
