MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SAV,9/28/2004,29.7,29.7,29.4,29.4,1780,30.87,27.93,29.4,0,0,0,0,0
SAV,9/29/2004,29.4,29.5,29.4,29.5,6670,30.98,28.03,29.4,0.1,0.34,0,0,0
SAV,9/30/2004,30.5,30.5,30.2,30.2,2340,31.71,28.69,29.5,0.7,2.37,0,0,0
SAV,10/1/2004,30.4,30.4,30.3,30.3,570,31.82,28.79,30.2,0.1,0.33,0,0,0
SAV,10/4/2004,30.3,30.3,29.6,29.6,940,31.08,28.12,30.3,-0.7,-2.31,0,0,0
SAV,10/5/2004,29.6,29.8,29.6,29.8,3470,31.29,28.31,29.6,0.2,0.68,0,0,0
SAV,10/6/2004,29.8,30,29.8,30,3720,31.5,28.5,29.8,0.2,0.67,0,0,0
SAV,10/7/2004,30,30,29.9,29.9,3740,31.4,28.41,30,-0.1,-0.33,0,0,0
SAV,10/8/2004,29.9,29.9,29.9,29.9,4400,31.4,28.41,29.9,0,0,0,0,0
SAV,10/11/2004,29.7,29.7,29.7,29.7,2650,31.19,28.22,29.9,-0.2,-0.67,0,0,0
SAV,10/12/2004,29.5,29.7,29.5,29.7,830,31.19,28.22,29.7,0,0,0,0,0
SAV,10/13/2004,29.7,29.7,29.7,29.7,1200,31.19,28.22,29.7,0,0,0,0,0
SAV,10/14/2004,29.7,29.7,29.7,29.7,310,31.19,28.22,29.7,0,0,0,0,0
SAV,10/15/2004,29.7,29.8,29.7,29.8,1350,31.29,28.31,29.7,0.1,0.34,0,0,0
SAV,10/18/2004,29.8,30,29.8,30,6580,31.5,28.5,29.8,0.2,0.67,0,0,0
SAV,10/19/2004,30,31,30,31,960,32.55,29.45,30,1,3.33,0,0,0
SAV,10/20/2004,31.3,31.3,31.3,31.3,4490,32.87,29.74,31,0.3,0.97,0,0,0
SAV,10/21/2004,31.3,31.3,31,31,470,32.55,29.45,31.3,-0.3,-0.96,0,0,0
SAV,10/22/2004,30.7,30.7,30.7,30.7,510,32.24,29.17,31,-0.3,-0.97,0,0,0
SAV,10/25/2004,30.7,30.7,30.5,30.5,2230,32.03,28.98,30.7,-0.2,-0.65,0,0,0
SAV,10/26/2004,30.7,30.7,30.2,30.2,8850,31.71,28.69,30.5,-0.3,-0.98,0,0,0
SAV,10/27/2004,30.2,30.2,30.2,30.2,4370,31.71,28.69,30.2,0,0,0,0,0
SAV,10/28/2004,31.2,31.2,31,31,2020,32.55,29.45,30.2,0.8,2.65,0,0,0
SAV,10/29/2004,31,31,30.5,30.5,8520,32.03,28.98,31,-0.5,-1.61,0,0,0
SAV,11/1/2004,30.4,30.6,30.4,30.6,3650,32.13,29.07,30.5,0.1,0.33,0,0,0
SAV,11/2/2004,30.8,30.8,30.6,30.6,4480,32.13,29.07,30.6,0,0,0,0,0
SAV,11/3/2004,30.6,30.6,30.5,30.5,2040,32.03,28.98,30.6,-0.1,-0.33,0,0,0
SAV,11/4/2004,30.5,30.5,30.3,30.3,1270,31.82,28.79,30.5,-0.2,-0.66,0,0,0
SAV,11/5/2004,30.3,30.3,30.1,30.1,1050,31.61,28.6,30.3,-0.2,-0.66,0,0,0
SAV,11/8/2004,30.3,30.3,30.3,30.3,1730,31.82,28.79,30.1,0.2,0.66,0,0,0
SAV,11/9/2004,30.3,30.3,29.8,29.8,2720,31.29,28.31,30.3,-0.5,-1.65,0,0,0
SAV,11/10/2004,29.8,30,29.8,30,2270,31.5,28.5,29.8,0.2,0.67,0,0,0
SAV,11/11/2004,29.9,29.9,29.9,29.9,2660,31.4,28.41,30,-0.1,-0.33,0,0,0
SAV,11/12/2004,29.9,29.9,29.9,29.9,4500,31.4,28.41,29.9,0,0,0,0,0
SAV,11/15/2004,29.9,30,29.9,30,700,31.5,28.5,29.9,0.1,0.33,0,0,0
SAV,11/16/2004,30,30,29.9,29.9,2580,31.4,28.41,30,-0.1,-0.33,0,0,0
SAV,11/17/2004,29.9,29.9,29.9,29.9,2460,0,0,29.9,0,0,0,0,0
SAV,11/18/2004,29.9,29.9,29.8,29.8,2240,31.29,28.31,29.9,-0.1,-0.33,0,0,0
SAV,11/19/2004,29.8,29.8,29.8,29.8,4900,31.29,28.31,29.8,0,0,0,0,0
SAV,11/22/2004,29.8,29.8,29.7,29.7,3070,31.19,28.22,29.8,-0.1,-0.34,0,0,0
