MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TMS,9/28/2004,32,32.4,32,32.4,1000,34.02,30.78,32,0.4,1.25,0,0,0
TMS,9/29/2004,32.5,32.5,32.5,32.5,2270,34.13,30.88,32.4,0.1,0.31,0,0,0
TMS,9/30/2004,32.8,32.8,32.8,32.8,1400,34.44,31.16,32.5,0.3,0.92,0,0,0
TMS,10/1/2004,32.8,32.8,32.4,32.4,510,34.02,30.78,32.8,-0.4,-1.22,0,0,0
TMS,10/4/2004,32.1,32.1,32,32,480,33.6,30.4,32.4,-0.4,-1.23,0,0,0
TMS,10/5/2004,31.6,32.4,31.6,32.4,1110,34.02,30.78,32,0.4,1.25,0,0,0
TMS,10/6/2004,32.5,32.5,32.5,32.5,1020,34.13,30.88,32.4,0.1,0.31,0,0,0
TMS,10/7/2004,32,32,31.8,31.8,690,33.39,30.21,32.5,-0.7,-2.15,0,0,0
TMS,10/8/2004,31.8,32,31.8,32,2630,33.6,30.4,31.8,0.2,0.63,0,0,0
TMS,10/11/2004,32,32,31.8,31.8,610,33.39,30.21,32,-0.2,-0.63,0,0,0
TMS,10/12/2004,31.7,32,31.7,32,2300,33.6,30.4,31.8,0.2,0.63,0,0,0
TMS,10/13/2004,31.7,31.7,31.7,31.7,10,33.28,30.12,32,-0.3,-0.94,0,0,0
TMS,10/14/2004,31.7,31.7,31.7,31.7,0,33.28,30.12,31.7,0,0,0,0,0
TMS,10/15/2004,31.7,31.8,31.7,31.8,1700,33.39,30.21,31.7,0.1,0.32,0,0,0
TMS,10/18/2004,32,32,32,32,250,33.6,30.4,31.8,0.2,0.63,0,0,0
TMS,10/19/2004,32,32.3,32,32.3,1120,33.92,30.69,32,0.3,0.94,0,0,0
TMS,10/20/2004,32.5,32.6,32.5,32.6,2390,34.23,30.97,32.3,0.3,0.93,0,0,0
TMS,10/21/2004,32.6,32.6,32.5,32.5,1230,34.13,30.88,32.6,-0.1,-0.31,0,0,0
TMS,10/22/2004,32.5,32.5,31.9,31.9,30,33.49,30.31,32.5,-0.6,-1.85,0,0,0
TMS,10/25/2004,31.9,32.5,31.9,32.5,610,34.13,30.88,31.9,0.6,1.88,0,0,0
TMS,10/26/2004,32.5,32.5,32.5,32.5,150,34.13,30.88,32.5,0,0,0,0,0
TMS,10/27/2004,32.5,32.5,32.5,32.5,1570,34.13,30.88,32.5,0,0,0,0,0
