<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,07/01/2011,48.0,48.5,46.6,46.6,138900
FPT,06/30/2011,49.0,49.0,47.9,48.0,124130
FPT,06/29/2011,48.4,49.0,48.1,48.1,154190
FPT,06/28/2011,48.6,49.0,48.6,49.0,83480
FPT,06/27/2011,50.0,50.0,48.6,48.6,118410
FPT,06/24/2011,49.5,50.0,49.5,49.5,153920
FPT,06/23/2011,50.0,50.5,49.7,49.7,114290
FPT,06/22/2011,50.0,50.5,49.9,50.5,154350
FPT,06/21/2011,49.9,50.5,49.6,50.0,109460
FPT,06/20/2011,50.0,50.5,49.5,49.5,98350
FPT,06/17/2011,51.0,51.5,50.0,50.0,471410
FPT,06/16/2011,49.5,51.0,49.5,50.5,69510
FPT,06/15/2011,50.0,50.5,49.9,50.0,388950
FPT,06/14/2011,50.0,52.5,50.0,50.0,236750
FPT,06/13/2011,50.0,50.5,50.0,50.5,127810
FPT,06/10/2011,51.0,51.5,50.5,50.5,126840
FPT,06/09/2011,50.0,51.0,50.0,51.0,23780
FPT,06/08/2011,54.0,54.0,51.0,51.0,267390
FPT,06/07/2011,49.1,52.0,49.1,52.0,283800
FPT,06/06/2011,50.0,50.5,49.6,50.0,274460
FPT,06/03/2011,51.0,51.0,49.7,50.5,410090
FPT,06/02/2011,48.9,49.8,48.7,49.8,342390
FPT,06/01/2011,43.5,47.5,43.5,47.5,410760
FPT,05/31/2011,45.3,45.3,45.0,45.3,122910
FPT,05/30/2011,45.8,45.8,45.3,45.3,207990
FPT,05/27/2011,47.6,47.6,45.3,45.6,329390
FPT,05/26/2011,41.3,45.5,41.3,45.5,253150
FPT,05/25/2011,43.5,43.6,43.4,43.4,311790
FPT,05/24/2011,46.5,46.6,45.6,45.6,245690
FPT,05/23/2011,50.0,50.0,48.0,48.0,207850
FPT,05/20/2011,51.5,51.5,49.8,50.5,222500
FPT,05/19/2011,51.5,52.0,51.0,51.5,103090
FPT,05/18/2011,50.0,51.0,50.0,51.0,121770
FPT,05/17/2011,51.0,52.0,51.0,51.5,103050
FPT,05/16/2011,52.5,53.0,51.5,51.5,153430
FPT,05/13/2011,52.5,53.0,52.5,52.5,206020
FPT,05/12/2011,51.5,52.5,51.5,52.5,101770
FPT,05/11/2011,52.0,53.0,52.0,52.5,296850
FPT,05/10/2011,53.0,53.5,53.0,53.0,184360
FPT,05/09/2011,53.0,53.0,52.0,53.0,169860
FPT,05/06/2011,51.5,53.0,51.5,52.0,173370
FPT,05/05/2011,51.5,51.5,51.0,51.5,99170
FPT,05/04/2011,50.0,51.5,50.0,51.0,116010
FPT,04/29/2011,50.0,51.5,50.0,50.5,198900
FPT,04/28/2011,50.5,50.5,49.5,50.0,106310
FPT,04/27/2011,51.5,51.5,49.4,50.5,283140
FPT,04/26/2011,51.5,52.0,50.5,50.5,142470
FPT,04/25/2011,49.5,51.5,49.5,51.5,104440
FPT,04/22/2011,51.0,51.0,49.4,49.4,108710
FPT,04/21/2011,50.0,50.5,49.5,50.0,125940
FPT,04/20/2011,51.0,51.0,50.0,50.0,288500
FPT,04/19/2011,50.5,51.5,50.0,50.5,121670
FPT,04/18/2011,52.5,52.5,51.0,51.0,119010
FPT,04/15/2011,52.5,53.0,52.0,52.5,268920
FPT,04/14/2011,53.0,54.5,52.5,52.5,143580
FPT,04/13/2011,57.0,57.0,54.5,54.5,184160
FPT,04/08/2011,56.5,57.0,56.0,57.0,215430
FPT,04/07/2011,59.0,59.0,56.5,57.0,1194250
FPT,04/06/2011,56.5,56.5,56.5,56.5,324410
FPT,04/05/2011,54.0,54.0,54.0,54.0,122720
FPT,04/04/2011,51.5,51.5,51.5,51.5,131820
FPT,04/01/2011,50.5,50.5,49.2,49.4,122770
FPT,03/31/2011,50.5,51.0,50.0,50.5,58030
FPT,03/30/2011,50.5,51.0,50.0,50.5,196660
FPT,03/29/2011,51.5,51.5,51.0,51.0,35290
FPT,03/28/2011,52.5,52.5,51.0,51.5,67550
FPT,03/25/2011,52.0,52.0,51.5,52.0,99110
FPT,03/24/2011,52.5,53.0,52.0,52.5,52750
FPT,03/23/2011,52.5,53.0,52.5,53.0,101550
FPT,03/22/2011,52.5,53.0,52.0,52.5,214610
FPT,03/21/2011,53.0,53.0,52.5,52.5,229180
FPT,03/18/2011,51.5,52.5,51.0,52.5,412110
FPT,03/17/2011,52.0,52.5,51.5,51.5,118750
FPT,03/16/2011,52.5,52.5,51.5,52.0,246180
FPT,03/15/2011,52.0,52.5,52.0,52.0,190180
FPT,03/14/2011,52.5,53.5,52.5,52.5,179190
FPT,03/11/2011,54.5,54.5,53.5,53.5,288970
FPT,03/10/2011,53.0,54.0,53.0,54.0,301530
FPT,03/09/2011,54.5,54.5,52.0,53.5,176060
FPT,03/08/2011,53.5,54.5,53.5,54.5,233450
FPT,03/07/2011,53.5,54.0,53.5,53.5,132760
FPT,03/04/2011,54.5,54.5,53.5,53.5,260440
FPT,03/03/2011,52.0,54.0,52.0,53.5,243550
FPT,03/02/2011,54.0,54.0,51.5,53.5,428290
FPT,03/01/2011,53.5,54.0,53.0,54.0,223800
FPT,02/28/2011,54.5,56.0,53.5,53.5,466550
FPT,02/25/2011,52.5,55.0,52.0,55.0,365920
FPT,02/24/2011,51.5,52.5,50.5,52.5,591360
FPT,02/23/2011,53.0,55.0,53.0,53.0,379950
FPT,02/22/2011,53.0,55.0,52.5,53.5,654500
FPT,02/21/2011,56.5,56.5,55.0,55.0,349210
FPT,02/18/2011,59.5,60.5,57.5,57.5,674860
FPT,02/17/2011,60.5,60.5,59.5,60.5,182910
FPT,02/16/2011,61.0,61.5,60.5,60.5,179170
FPT,02/15/2011,60.5,61.0,60.5,61.0,266520
FPT,02/14/2011,62.5,62.5,60.5,61.0,290810
FPT,02/11/2011,62.0,62.0,61.0,61.5,576950
FPT,02/10/2011,62.5,63.0,62.0,62.0,393200
FPT,02/09/2011,64.5,64.5,62.5,62.5,211100
FPT,02/08/2011,63.0,65.5,63.0,63.0,480160
FPT,01/28/2011,65.0,65.0,62.5,62.5,408070
FPT,01/27/2011,61.0,64.5,61.0,64.5,386830
FPT,01/26/2011,61.5,62.0,61.0,61.5,348000
FPT,01/25/2011,62.0,63.0,62.0,62.0,437760
FPT,01/24/2011,63.5,63.5,62.5,62.5,370470
FPT,01/21/2011,64.5,64.5,63.5,63.5,285390
FPT,01/20/2011,63.5,64.0,63.0,63.0,140760
FPT,01/19/2011,65.5,65.5,64.0,64.0,244690
FPT,01/18/2011,64.5,65.5,64.0,64.5,346590
FPT,01/17/2011,66.0,66.0,64.5,64.5,590470
FPT,01/14/2011,62.0,63.0,62.0,63.0,185040
FPT,01/13/2011,60.0,61.0,60.0,60.0,207110
FPT,01/12/2011,62.5,62.5,60.5,60.5,365320
FPT,01/11/2011,62.0,62.5,61.0,62.0,248270
FPT,01/10/2011,61.5,63.0,61.5,62.0,389750
FPT,01/07/2011,61.5,62.0,61.5,61.5,482230
FPT,01/06/2011,61.5,62.5,61.5,62.0,133570
FPT,01/05/2011,63.5,63.5,61.5,62.0,319330
FPT,01/04/2011,64.5,64.5,63.0,63.0,253340
FPT,12/31/2010,63.0,64.0,63.0,64.0,291090
FPT,12/30/2010,63.0,64.0,63.0,63.0,536960
FPT,12/29/2010,64.5,64.5,63.0,64.0,326940
FPT,12/28/2010,64.5,64.5,63.5,64.5,285250
FPT,12/27/2010,64.5,64.5,63.5,64.0,256120
FPT,12/24/2010,64.5,65.0,63.5,64.0,231970
FPT,12/23/2010,63.5,64.5,63.5,64.5,347800
FPT,12/22/2010,64.5,65.0,64.0,64.0,251060
FPT,12/21/2010,64.5,65.5,64.0,64.5,487160
FPT,12/20/2010,65.5,66.5,64.0,65.5,412040
FPT,12/17/2010,65.5,66.0,65.0,65.5,416970
FPT,12/16/2010,66.0,67.0,65.0,65.0,453340
FPT,12/15/2010,68.0,68.5,67.0,67.0,429720
FPT,12/14/2010,69.0,69.0,67.5,68.5,383570
FPT,12/13/2010,68.0,69.5,68.0,69.0,383130
FPT,12/10/2010,68.0,68.0,67.0,68.0,419620
FPT,12/09/2010,67.0,68.0,66.5,67.5,161060
FPT,12/08/2010,67.5,67.0,66.5,66.5,144930
FPT,12/07/2010,67.5,68.0,67.0,67.0,341380
FPT,12/06/2010,68.5,68.5,67.0,68.0,617980
FPT,12/03/2010,70.0,70.0,68.5,68.5,229420
FPT,12/02/2010,69.0,69.5,68.0,68.5,177920
FPT,12/01/2010,70.0,70.0,68.0,68.0,691780
FPT,11/30/2010,73.0,73.0,69.5,69.5,243360
FPT,11/29/2010,68.5,70.0,68.5,70.0,162860
FPT,11/26/2010,70.0,70.0,68.0,68.0,123150
FPT,11/25/2010,70.0,70.5,69.5,69.5,75870
FPT,11/24/2010,69.5,70.5,68.5,70.5,95090
FPT,11/23/2010,68.5,70.0,68.5,69.5,165780
FPT,11/22/2010,66.0,68.5,66.0,68.5,153690
FPT,11/19/2010,70.0,70.0,67.5,67.5,282930
FPT,11/18/2010,69.5,69.5,68.0,68.5,177040
FPT,11/17/2010,69.5,70.0,68.0,68.0,331060
FPT,11/16/2010,69.5,69.5,68.5,69.0,274720
