MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
KHA,10/2/2002,23.5,23.5,23.5,23.5,4900,24.68,22.33,23.5,0,0,0,0,0
KHA,10/3/2002,23.5,23.5,23.5,23.5,7700,24.68,22.33,23.5,0,0,0,0,0
KHA,10/4/2002,23.5,23.5,23.5,23.5,5500,24.68,22.33,23.5,0,0,0,0,0
KHA,10/7/2002,24,24,24,24,2100,24.68,22.33,23.5,0.5,2.13,0,0,0
KHA,10/8/2002,24.2,24.2,24.2,24.2,400,25.41,22.99,23.5,0.7,2.98,0,0,0
KHA,10/9/2002,24.2,24.2,24.2,24.2,300,25.41,22.99,24.2,0,0,0,0,0
KHA,10/10/2002,24.3,24.3,24.3,24.3,1300,25.41,22.99,24.2,0.1,0.41,0,0,0
KHA,10/11/2002,24.3,24.3,24.3,24.3,2200,25.52,23.09,24.2,0.1,0.41,0,0,0
KHA,10/14/2002,24.3,24.3,24.3,24.3,3100,25.52,23.09,24.3,0,0,0,0,0
KHA,10/15/2002,24.3,24.3,24.3,24.3,3500,25.52,23.09,24.3,0,0,0,0,0
KHA,10/16/2002,24.3,24.3,24.3,24.3,6400,24.99,22.61,24.3,0,0,0,0,0
KHA,10/17/2002,23.7,23.7,23.7,23.7,1900,24.89,22.52,23.8,-0.1,-0.42,0,0,0
KHA,10/18/2002,23.7,23.7,23.7,23.7,19300,24.89,22.52,23.7,0,0,0,0,0
KHA,10/21/2002,23.7,23.7,23.7,23.7,400,24.89,22.52,23.7,0,0,0,0,0
KHA,10/22/2002,23.6,23.6,23.6,23.6,6700,24.78,22.42,23.7,-0.1,-0.42,0,0,0
KHA,10/23/2002,23,23,23,23,9500,24.15,21.85,23.6,-0.6,-2.54,0,0,0
KHA,10/24/2002,23,23,23,23,14800,24.15,21.85,23,0,0,0,0,0
KHA,10/25/2002,23,23,23,23,9000,24.15,21.85,23,0,0,0,0,0
KHA,10/28/2002,23,23,23,23,2200,24.15,21.85,23,0,0,0,0,0
KHA,10/29/2002,23,23,23,23,7000,24.15,21.85,23,0,0,0,0,0
KHA,10/30/2002,23,23,23,23,9500,24.15,21.85,23,0,0,0,0,0
KHA,10/31/2002,22.9,22.9,22.9,22.9,7700,23.73,21.47,23,-0.1,-0.43,0,0,0
KHA,11/1/2002,23,23,23,23,9700,24.15,21.85,22.6,0.4,1.77,0,0,0
KHA,11/4/2002,23,23,23,23,10000,24.15,21.85,23,0,0,0,0,0
KHA,11/5/2002,23,23,23,23,8300,24.15,21.85,23,0,0,0,0,0
KHA,11/6/2002,22.9,22.9,22.9,22.9,7000,24.05,21.76,23,-0.1,-0.43,0,0,0
KHA,11/7/2002,22.7,22.7,22.7,22.7,3200,23.84,21.57,22.9,-0.2,-0.87,0,0,0
KHA,11/8/2002,22.7,22.7,22.7,22.7,6700,23.84,21.57,22.7,0,0,0,0,0
KHA,11/11/2002,22.9,22.9,22.9,22.9,200,24.05,21.76,22.7,0.2,0.88,0,0,0
KHA,11/12/2002,23,23,23,23,3600,24.15,21.85,22.9,0.1,0.44,0,0,0
KHA,11/13/2002,23,23,23,23,500,24.15,21.85,23,0,0,0,0,0
KHA,11/14/2002,23.2,23.2,23.2,23.2,6000,24.36,22.04,23,0.2,0.87,0,0,0
KHA,11/15/2002,23.4,23.4,23.4,23.4,7800,24.57,22.23,23.2,0.2,0.86,0,0,0
KHA,11/18/2002,23.4,23.4,23.4,23.4,1700,24.57,22.23,23.4,0,0,0,0,0
KHA,11/19/2002,23.4,23.4,23.4,23.4,7300,24.57,22.23,23.4,0,0,0,0,0
KHA,11/20/2002,23.4,23.4,23.4,23.4,2100,24.57,22.23,23.4,0,0,0,0,0
KHA,11/21/2002,23.4,23.4,23.4,23.4,3600,24.57,22.23,23.4,0,0,0,0,0
KHA,11/22/2002,23.5,23.5,23.5,23.5,3300,24.68,22.33,23.4,0.1,0.43,0,0,0
KHA,11/25/2002,23.5,23.5,23.5,23.5,4700,24.68,22.33,23.5,0,0,0,0,0
KHA,11/26/2002,23.5,23.5,23.5,23.5,9400,24.68,22.33,23.5,0,0,0,0,0
KHA,11/27/2002,23.4,23.4,23.4,23.4,4000,24.57,22.23,23.5,-0.1,-0.43,0,0,0
KHA,11/28/2002,23.4,23.4,23.4,23.4,3500,24.57,22.23,23.4,0,0,0,0,0
KHA,11/29/2002,23.6,23.6,23.6,23.6,2500,24.78,22.42,23.4,0.2,0.85,0,0,0
KHA,12/2/2002,23.7,23.7,23.7,23.7,5800,24.89,22.52,23.6,0.1,0.42,0,0,0
KHA,12/3/2002,24.4,24.4,24.4,24.4,10900,25.62,23.18,23.7,0.7,2.95,0,0,0
KHA,12/4/2002,25,25,25,25,15500,26.25,23.75,24.4,0.6,2.46,0,0,0
