<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PPC,07/01/2011,8.1,8.1,7.7,7.7,57340
PPC,06/30/2011,7.8,8.1,7.8,8.1,178230
PPC,06/29/2011,8.4,8.4,8.1,8.1,208420
PPC,06/28/2011,7.7,8.4,7.6,8.4,831180
PPC,06/27/2011,7.8,8.0,7.5,8.0,410630
PPC,06/24/2011,7.7,7.7,7.3,7.7,279910
PPC,06/23/2011,7.4,7.4,7.3,7.4,234040
PPC,06/22/2011,7.3,7.5,7.3,7.5,120390
PPC,06/21/2011,7.2,7.5,7.2,7.5,105110
PPC,06/20/2011,7.6,7.6,7.2,7.2,156110
PPC,06/17/2011,7.8,7.8,7.5,7.5,503100
PPC,06/16/2011,7.5,7.8,7.5,7.8,226290
PPC,06/15/2011,7.9,7.9,7.6,7.6,338140
PPC,06/14/2011,7.9,8.2,7.9,7.9,316040
PPC,06/13/2011,7.9,8.0,7.8,8.0,297650
PPC,06/10/2011,8.0,8.4,7.9,8.1,153560
PPC,06/09/2011,7.7,8.0,7.7,8.0,75780
PPC,06/08/2011,7.9,8.0,7.7,8.0,367980
PPC,06/07/2011,7.6,7.7,7.5,7.7,116980
PPC,06/06/2011,7.3,7.4,7.2,7.4,105260
PPC,06/03/2011,7.8,7.9,7.4,7.4,347520
PPC,06/02/2011,7.5,7.6,7.5,7.6,161730
PPC,06/01/2011,7.0,7.3,6.9,7.3,238040
PPC,05/31/2011,6.9,7.0,6.9,7.0,127660
PPC,05/30/2011,7.1,7.3,7.1,7.1,145500
PPC,05/27/2011,7.3,7.4,7.0,7.4,342120
PPC,05/26/2011,7.0,7.5,7.0,7.3,372050
PPC,05/25/2011,7.3,7.3,7.3,7.3,74310
PPC,05/24/2011,7.7,7.8,7.6,7.6,159920
PPC,05/23/2011,8.1,8.3,8.0,8.0,137700
PPC,05/20/2011,8.6,8.6,8.4,8.4,181290
PPC,05/19/2011,8.8,8.8,8.6,8.6,123580
PPC,05/18/2011,8.9,8.9,8.5,8.8,177710
PPC,05/17/2011,8.8,8.8,8.7,8.7,235930
PPC,05/16/2011,8.8,9.0,8.8,8.8,97250
PPC,05/13/2011,8.9,8.9,8.8,8.9,106930
PPC,05/12/2011,8.8,8.9,8.8,8.9,113550
PPC,05/11/2011,9.0,9.0,8.8,8.9,94090
PPC,05/10/2011,8.9,9.0,8.9,9.0,110420
PPC,05/09/2011,8.9,9.0,8.8,9.0,103790
PPC,05/06/2011,9.0,9.0,8.9,8.9,124970
PPC,05/05/2011,8.9,9.0,8.8,9.0,201360
PPC,05/04/2011,9.0,9.0,8.8,8.9,115170
PPC,04/29/2011,9.1,9.1,8.9,8.9,136930
PPC,04/28/2011,8.9,9.0,8.9,9.0,98770
PPC,04/27/2011,8.8,9.0,8.8,8.9,177700
PPC,04/26/2011,9.0,9.2,8.8,8.8,155310
PPC,04/25/2011,9.1,9.1,9.0,9.1,83230
PPC,04/22/2011,9.1,9.2,8.9,8.9,176420
PPC,04/21/2011,9.4,9.4,9.0,9.3,96660
PPC,04/20/2011,9.3,9.4,9.2,9.4,217400
PPC,04/19/2011,9.2,9.4,8.9,9.2,174150
PPC,04/18/2011,9.5,9.6,9.1,9.1,257270
PPC,04/15/2011,9.8,9.8,9.5,9.5,163900
PPC,04/14/2011,9.7,9.8,9.7,9.7,104800
PPC,04/13/2011,9.8,9.9,9.7,9.7,89010
PPC,04/08/2011,9.8,10.0,9.8,9.9,124620
PPC,04/07/2011,9.9,9.9,9.8,9.8,126810
PPC,04/06/2011,9.8,10.0,9.8,9.9,137700
PPC,04/05/2011,9.9,9.9,9.7,9.7,79630
PPC,04/04/2011,9.8,9.9,9.7,9.8,128360
PPC,04/01/2011,10.0,10.0,9.7,9.8,322630
PPC,03/31/2011,9.9,10.0,9.8,10.0,129900
PPC,03/30/2011,9.9,9.9,9.7,9.7,342480
PPC,03/29/2011,10.1,10.1,9.8,9.9,203050
PPC,03/28/2011,10.0,10.1,9.9,10.0,241430
PPC,03/25/2011,10.0,10.2,10.0,10.0,185760
PPC,03/24/2011,10.2,10.4,10.1,10.2,154680
PPC,03/23/2011,10.2,10.4,10.1,10.4,292900
PPC,03/22/2011,10.1,10.2,9.9,10.1,178680
PPC,03/21/2011,10.1,10.1,9.9,9.9,613060
PPC,03/18/2011,9.8,10.3,9.7,9.7,717190
PPC,03/17/2011,10.3,10.3,9.7,9.9,450420
PPC,03/16/2011,10.3,10.5,10.1,10.2,340950
PPC,03/15/2011,10.3,10.6,10.3,10.3,178310
PPC,03/14/2011,10.6,10.7,10.4,10.5,321000
PPC,03/11/2011,10.8,11.0,10.8,10.8,385530
PPC,03/10/2011,10.7,10.7,10.3,10.7,334920
PPC,03/09/2011,10.7,10.7,10.3,10.3,211330
PPC,03/08/2011,10.5,10.7,10.5,10.7,183280
PPC,03/07/2011,10.8,11.0,10.6,10.6,245660
PPC,03/04/2011,10.8,11.0,10.6,10.8,109430
PPC,03/03/2011,11.0,11.3,10.8,10.8,170580
PPC,03/02/2011,11.7,11.7,11.3,11.3,221050
PPC,03/01/2011,11.8,11.8,11.6,11.8,88800
PPC,02/28/2011,11.8,11.8,11.5,11.7,122950
PPC,02/25/2011,11.6,11.8,11.6,11.7,124270
PPC,02/24/2011,11.7,11.8,11.5,11.7,273860
PPC,02/23/2011,11.8,12.1,11.8,11.9,258170
PPC,02/22/2011,11.4,11.8,11.4,11.8,189030
PPC,02/21/2011,11.8,11.8,11.5,11.6,228940
PPC,02/18/2011,12.1,12.1,11.9,12.1,262050
PPC,02/17/2011,12.0,12.1,11.9,12.1,276060
PPC,02/16/2011,12.4,12.4,12.0,12.0,161360
PPC,02/15/2011,12.2,12.5,12.1,12.2,261730
PPC,02/14/2011,12.4,12.8,12.2,12.4,559980
PPC,02/11/2011,12.3,12.3,12.0,12.2,178020
PPC,02/10/2011,12.3,12.3,12.0,12.2,163450
PPC,02/09/2011,12.5,12.5,12.2,12.2,250420
PPC,02/08/2011,12.3,12.7,12.3,12.5,445430
PPC,01/28/2011,12.3,12.3,12.1,12.3,299970
PPC,01/27/2011,11.7,12.1,11.7,12.1,379420
PPC,01/26/2011,12.0,12.0,11.8,11.8,156010
PPC,01/25/2011,12.0,12.0,11.5,12.0,502900
PPC,01/24/2011,12.3,12.4,11.9,12.1,188710
PPC,01/21/2011,12.4,12.5,12.3,12.3,315350
PPC,01/20/2011,12.4,12.5,12.3,12.3,361050
PPC,01/19/2011,12.2,12.4,12.2,12.4,540440
PPC,01/18/2011,12.2,12.3,12.0,12.2,389480
PPC,01/17/2011,12.2,12.4,12.1,12.2,144890
PPC,01/14/2011,11.7,12.2,11.7,12.2,634600
PPC,01/13/2011,11.5,11.7,11.4,11.7,151480
PPC,01/12/2011,11.6,11.6,11.3,11.4,228390
