<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AGF,06/29/2011,18.8,18.8,18.8,18.8,1430
AGF,06/28/2011,18.4,18.8,18.4,18.8,11180
AGF,06/27/2011,18.7,18.9,18.7,18.8,2670
AGF,06/24/2011,18.6,18.6,18.4,18.6,3450
AGF,06/23/2011,19.0,19.0,18.6,18.6,2440
AGF,06/22/2011,19.0,19.2,19.0,19.0,2500
AGF,06/21/2011,18.9,18.9,18.7,18.7,3420
AGF,06/20/2011,19.0,19.0,18.5,18.5,1040
AGF,06/17/2011,19.3,19.3,18.9,18.9,8460
AGF,06/16/2011,19.1,19.6,19.0,19.5,2050
AGF,06/15/2011,19.0,19.9,19.0,19.4,2880
AGF,06/14/2011,19.3,20.0,19.3,19.8,2320
AGF,06/13/2011,19.4,19.9,19.4,19.9,2760
AGF,06/10/2011,19.6,19.6,19.4,19.4,4990
AGF,06/09/2011,19.9,19.9,19.1,19.4,830
AGF,06/08/2011,19.6,19.8,19.3,19.3,2470
AGF,06/07/2011,20.0,20.0,19.2,19.6,30450
AGF,06/06/2011,19.1,19.2,19.1,19.2,24070
AGF,06/03/2011,20.3,20.3,19.2,19.2,7500
AGF,06/02/2011,20.3,20.3,19.9,20.2,6740
AGF,06/01/2011,19.5,19.7,19.4,19.7,2570
AGF,05/31/2011,19.5,19.5,19.4,19.4,4100
AGF,05/30/2011,19.7,19.7,18.2,19.7,9260
AGF,05/27/2011,17.8,18.9,17.8,18.9,3010
AGF,05/26/2011,18.0,18.5,17.1,18.5,8070
AGF,05/25/2011,18.4,18.4,18.0,18.0,5120
AGF,05/24/2011,18.5,19.0,18.5,18.9,4820
AGF,05/23/2011,19.5,20.1,18.4,18.9,13300
AGF,05/20/2011,19.6,19.6,19.3,19.3,5980
AGF,05/19/2011,20.4,20.4,19.8,19.8,4850
AGF,05/18/2011,20.0,20.0,19.6,19.8,4550
AGF,05/17/2011,19.5,20.0,19.5,19.9,21800
AGF,05/16/2011,20.4,20.4,19.9,19.9,1130
AGF,05/13/2011,20.1,20.2,20.1,20.2,160
AGF,05/12/2011,20.4,20.4,20.1,20.1,490
AGF,05/11/2011,20.6,20.6,20.0,20.3,2770
AGF,05/10/2011,20.5,20.5,20.2,20.5,1750
AGF,05/09/2011,19.6,20.8,19.6,20.6,150
AGF,05/06/2011,20.4,20.4,20.3,20.3,500
AGF,05/05/2011,20.5,20.5,20.0,20.2,18850
AGF,05/04/2011,20.6,21.0,20.5,21.0,1200
AGF,04/29/2011,21.5,21.5,21.5,21.5,10
AGF,04/28/2011,21.0,21.0,20.7,20.7,710
AGF,04/27/2011,21.4,21.4,19.9,20.7,720
AGF,04/26/2011,22.5,22.5,20.9,20.9,490
AGF,04/25/2011,22.6,22.6,20.6,22.0,780
AGF,04/22/2011,20.2,21.6,20.0,21.6,4170
AGF,04/21/2011,19.9,21.0,19.9,20.8,9270
AGF,04/20/2011,21.0,21.0,20.4,20.4,3430
AGF,04/19/2011,21.2,21.2,21.2,21.2,10
AGF,04/15/2011,20.2,21.0,20.8,21.0,6230
AGF,04/14/2011,20.0,20.8,20.0,20.8,5920
AGF,04/13/2011,20.8,20.9,20.8,20.8,10570
AGF,04/08/2011,20.8,20.9,20.8,20.9,3770
AGF,04/07/2011,21.0,21.0,20.9,20.9,3120
AGF,04/06/2011,20.2,20.8,20.1,20.8,11760
AGF,04/05/2011,21.5,21.5,20.1,20.1,4470
AGF,04/04/2011,21.1,21.1,20.5,20.5,2100
AGF,04/01/2011,21.4,21.4,20.6,20.6,700
AGF,03/31/2011,21.3,21.3,20.7,20.7,910
AGF,03/30/2011,21.1,21.4,21.1,21.3,260
AGF,03/29/2011,22.4,22.4,21.1,21.1,2640
AGF,03/28/2011,21.9,21.9,21.9,21.9,20
AGF,03/25/2011,21.0,21.4,21.0,21.4,14910
AGF,03/24/2011,21.0,21.0,20.4,20.4,2650
AGF,03/23/2011,20.5,20.5,20.2,20.2,4340
AGF,03/22/2011,21.7,21.7,20.1,21.0,4340
AGF,03/21/2011,21.2,21.2,21.0,21.1,840
AGF,03/18/2011,20.5,20.9,20.2,20.9,4460
AGF,03/17/2011,20.3,20.3,20.0,20.0,1510
AGF,03/16/2011,18.9,20.0,18.9,20.0,350
AGF,03/14/2011,20.0,20.0,19.6,19.6,2700
AGF,03/11/2011,19.8,20.6,19.8,20.6,4460
AGF,03/10/2011,19.4,20.9,19.4,19.6,2170
AGF,03/09/2011,18.9,18.9,18.7,18.7,1200
AGF,03/08/2011,20.6,20.7,19.4,19.4,1000
AGF,03/07/2011,20.4,20.4,20.4,20.4,10
AGF,03/04/2011,19.8,19.8,19.5,19.5,630
AGF,03/03/2011,19.0,19.6,18.9,18.9,6210
AGF,03/02/2011,21.0,21.0,19.6,19.6,12150
AGF,03/01/2011,20.1,20.1,20.1,20.1,550
AGF,02/28/2011,21.0,21.0,21.0,21.0,110
AGF,02/25/2011,20.4,20.9,20.4,20.5,6120
AGF,02/24/2011,20.0,20.4,20.0,20.4,570
AGF,02/23/2011,20.1,21.0,20.1,20.2,7270
AGF,02/22/2011,20.6,22.0,20.2,20.2,9640
AGF,02/21/2011,22.0,22.6,21.1,21.1,9630
AGF,02/18/2011,22.6,22.6,22.2,22.2,8970
AGF,02/17/2011,22.4,22.9,22.3,22.6,2840
AGF,02/16/2011,22.7,22.8,22.6,22.8,2270
AGF,02/15/2011,23.0,23.0,22.5,22.8,4650
AGF,02/14/2011,22.3,22.8,22.3,22.3,5090
AGF,02/11/2011,21.9,22.3,21.9,22.3,110
AGF,02/10/2011,22.8,22.8,22.3,22.3,3670
AGF,02/09/2011,22.1,23.0,22.1,22.7,350
AGF,02/08/2011,22.0,22.9,22.9,22.9,10
AGF,01/28/2011,22.0,22.4,22.0,22.0,5080
AGF,01/27/2011,21.7,22.5,21.7,22.5,2080
AGF,01/26/2011,23.0,23.0,21.9,22.0,11610
AGF,01/25/2011,22.3,22.6,22.3,22.3,2040
AGF,01/24/2011,22.9,23.0,22.8,22.9,2170
AGF,01/21/2011,22.5,22.9,22.5,22.9,110
AGF,01/20/2011,21.9,23.2,21.9,22.9,42680
AGF,01/19/2011,22.2,22.7,22.2,22.7,11700
AGF,01/18/2011,22.9,22.9,22.5,22.5,9650
AGF,01/17/2011,22.7,23.0,22.7,22.8,9120
AGF,01/14/2011,22.9,22.9,22.5,22.6,5620
AGF,01/13/2011,22.7,22.7,22.7,22.7,200
AGF,01/12/2011,22.1,22.5,21.9,21.9,1180
AGF,01/11/2011,22.5,22.5,21.8,22.1,12780
AGF,01/10/2011,22.8,22.8,22.3,22.8,127760
AGF,01/07/2011,22.1,22.8,22.1,22.8,14450
AGF,01/06/2011,22.6,23.2,22.1,22.1,8260
AGF,01/05/2011,22.6,22.6,22.5,22.5,9540
AGF,01/04/2011,23.5,23.5,22.4,22.5,2760
AGF,12/31/2010,22.8,22.8,22.5,22.5,13120
AGF,12/30/2010,22.9,22.9,22.8,22.8,120
AGF,12/29/2010,23.1,23.1,22.8,22.8,8100
AGF,12/28/2010,23.2,23.2,22.6,22.8,3160
AGF,12/27/2010,22.8,23.0,22.4,22.9,4270
AGF,12/24/2010,22.6,23.0,22.6,22.8,4270
AGF,12/23/2010,23.5,23.5,22.6,22.6,6080
AGF,12/22/2010,23.1,23.1,23.0,23.0,18710
AGF,12/21/2010,23.5,23.5,23.0,23.1,44700
AGF,12/20/2010,24.1,24.1,23.1,23.1,30250
AGF,12/17/2010,24.1,23.0,22.8,23.0,32990
AGF,12/16/2010,22.6,23.0,22.6,23.0,3930
AGF,12/15/2010,23.7,24.7,23.7,23.7,21110
AGF,12/14/2010,24.2,25.0,23.7,23.7,8300
AGF,12/13/2010,24.3,25.0,22.9,24.8,90490
AGF,12/10/2010,24.0,24.0,23.5,23.9,7900
AGF,12/09/2010,23.5,23.5,22.5,23.5,7510
AGF,12/08/2010,23.7,23.7,22.8,22.8,6200
AGF,12/07/2010,24.9,24.9,23.7,23.7,160760
AGF,12/06/2010,26.2,26.2,24.7,24.9,25150
AGF,12/03/2010,26.3,26.3,24.9,25.9,3940
AGF,12/02/2010,23.6,25.3,23.6,25.3,1900
AGF,12/01/2010,22.4,24.7,22.4,24.6,150700
AGF,11/30/2010,22.6,23.5,22.6,23.5,16860
AGF,11/29/2010,22.5,22.7,22.5,22.6,18320
AGF,11/26/2010,23.0,23.0,22.6,22.6,9120
AGF,11/25/2010,23.0,23.3,22.8,23.0,6250
AGF,11/24/2010,22.9,22.9,22.5,22.8,1070
AGF,11/23/2010,22.9,22.9,22.9,22.9,120
AGF,11/22/2010,21.9,22.7,21.9,22.7,2140
AGF,11/19/2010,23.0,23.0,22.3,23.0,1080
AGF,11/18/2010,23.1,23.1,23.0,23.0,1300
AGF,11/17/2010,22.1,23.1,22.1,23.1,1160
AGF,11/16/2010,23.0,23.2,22.3,23.2,1400
AGF,11/15/2010,23.2,23.5,23.2,23.2,3980
AGF,11/12/2010,23.5,23.9,23.5,23.5,1400
AGF,11/11/2010,23.9,24.1,23.9,24.1,210
AGF,11/10/2010,24.6,24.6,24.6,24.6,240
AGF,11/09/2010,24.1,24.6,24.1,24.6,70
AGF,11/08/2010,24.8,24.8,24.8,24.8,500
AGF,11/05/2010,24.2,24.8,24.0,24.8,11610
AGF,11/04/2010,23.5,24.0,23.5,24.0,10740
AGF,11/03/2010,24.0,24.0,23.8,24.0,10660
AGF,11/02/2010,24.0,24.0,24.0,24.0,7100
AGF,11/01/2010,25.5,25.5,24.8,25.0,3440
AGF,10/29/2010,24.5,24.9,24.5,24.9,11220
AGF,10/28/2010,25.5,25.5,24.9,25.0,30400
AGF,10/27/2010,24.1,24.9,24.0,24.9,2850
AGF,10/26/2010,24.8,25.0,24.8,25.0,250
AGF,10/25/2010,25.6,25.6,24.8,24.8,370
AGF,10/22/2010,24.7,24.8,23.5,24.8,4410
AGF,10/21/2010,23.6,23.6,23.5,23.6,2390
AGF,10/20/2010,24.7,24.7,24.5,24.5,4860
AGF,10/18/2010,25.4,25.7,24.4,25.7,18580
AGF,10/15/2010,25.2,25.4,25.2,25.4,1210
AGF,10/14/2010,25.2,25.2,25.2,25.2,1000
AGF,10/13/2010,25.6,25.6,25.6,25.6,1200
