<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BBC,06/29/2011,12.7,12.7,12.3,12.5,4130
BBC,06/28/2011,12.4,12.4,12.3,12.3,13600
BBC,06/27/2011,12.4,12.9,12.3,12.9,6120
BBC,06/24/2011,12.4,12.4,11.9,12.4,23300
BBC,06/23/2011,11.7,12.6,11.7,11.9,12610
BBC,06/22/2011,12.5,12.6,12.2,12.2,11200
BBC,06/21/2011,12.3,12.8,12.3,12.8,5360
BBC,06/20/2011,12.1,12.8,11.7,12.8,25820
BBC,06/17/2011,12.9,12.9,12.3,12.3,24000
BBC,06/16/2011,12.8,12.9,12.0,12.9,14880
BBC,06/15/2011,12.5,12.9,12.4,12.4,32710
BBC,06/14/2011,13.1,13.2,12.7,13.0,57070
BBC,06/13/2011,12.4,12.6,12.1,12.6,33910
BBC,06/10/2011,11.8,12.0,11.7,12.0,45050
BBC,06/09/2011,11.4,11.6,11.3,11.5,11530
BBC,06/08/2011,11.6,12.0,11.4,11.4,62930
BBC,06/07/2011,12.0,12.1,11.6,12.0,31720
BBC,06/06/2011,11.5,11.7,11.2,11.7,1720
BBC,06/03/2011,12.3,12.4,11.4,11.4,29210
BBC,06/02/2011,11.4,11.9,11.4,11.9,53880
BBC,06/01/2011,10.6,11.4,10.6,11.4,28810
BBC,05/31/2011,11.0,11.2,11.0,11.0,23610
BBC,05/30/2011,11.5,11.5,11.5,11.5,9310
BBC,05/27/2011,12.0,12.1,11.8,12.1,14000
BBC,05/26/2011,10.7,11.6,10.7,11.6,15700
BBC,05/25/2011,12.1,12.1,11.1,11.1,47290
BBC,05/24/2011,12.0,12.0,11.6,11.6,23990
BBC,05/23/2011,13.2,13.2,12.2,12.2,19820
BBC,05/20/2011,12.8,12.8,12.8,12.8,200
BBC,05/19/2011,13.5,13.5,12.8,12.8,36650
BBC,05/18/2011,12.8,13.2,12.8,13.2,16020
BBC,05/17/2011,13.7,13.7,12.8,12.8,14140
BBC,05/16/2011,13.9,14.3,13.4,13.4,10370
BBC,05/13/2011,14.1,14.1,13.9,14.0,13080
BBC,05/12/2011,13.8,14.1,13.8,14.1,19080
BBC,05/11/2011,13.7,14.1,13.7,13.8,21800
BBC,05/10/2011,14.0,14.2,14.0,14.0,2280
BBC,05/09/2011,14.2,14.4,14.0,14.0,15070
BBC,05/06/2011,14.4,14.4,13.9,13.9,26680
BBC,05/05/2011,14.5,14.6,14.0,14.4,8070
BBC,05/04/2011,13.8,14.3,13.8,14.2,38130
BBC,04/29/2011,13.5,13.8,13.5,13.7,7770
BBC,04/28/2011,13.5,13.9,13.4,13.6,9280
BBC,04/27/2011,13.4,13.8,13.4,13.7,13560
BBC,04/26/2011,13.7,13.7,13.6,13.7,30570
BBC,04/25/2011,13.6,14.0,13.6,13.7,22830
BBC,04/22/2011,14.2,14.2,13.3,13.6,31790
BBC,04/21/2011,13.9,13.9,13.7,13.7,35890
BBC,04/20/2011,13.8,13.9,13.7,13.8,29680
BBC,04/19/2011,13.8,13.9,13.6,13.8,22500
BBC,04/18/2011,13.9,14.0,13.8,13.9,35070
BBC,04/15/2011,14.0,14.2,13.9,14.0,11850
BBC,04/14/2011,14.1,14.4,14.0,14.2,15990
BBC,04/13/2011,14.5,14.6,14.1,14.1,22180
BBC,04/08/2011,14.6,14.7,14.4,14.6,10530
BBC,04/07/2011,14.7,14.8,14.6,14.7,25120
BBC,04/06/2011,14.3,14.9,14.3,14.9,19700
BBC,04/05/2011,14.2,14.3,14.0,14.2,20810
BBC,04/04/2011,14.4,14.4,14.1,14.2,33570
BBC,04/01/2011,14.7,14.7,14.4,14.4,31380
BBC,03/31/2011,14.7,15.0,14.5,14.7,10370
BBC,03/30/2011,14.5,14.6,14.4,14.6,13450
BBC,03/29/2011,14.6,15.1,14.5,14.5,67240
BBC,03/28/2011,15.1,15.1,14.5,14.5,29300
BBC,03/25/2011,15.0,15.2,14.9,15.1,22060
BBC,03/24/2011,15.1,15.4,14.8,15.1,15860
BBC,03/23/2011,15.2,15.3,15.0,15.3,8640
BBC,03/22/2011,15.1,15.2,14.8,15.1,19210
BBC,03/21/2011,15.3,15.3,14.7,15.1,62460
BBC,03/18/2011,15.0,15.0,14.7,14.8,74900
BBC,03/17/2011,14.9,15.0,14.6,15.0,22810
BBC,03/16/2011,14.6,14.9,14.6,14.9,6180
BBC,03/15/2011,14.4,14.8,14.3,14.6,6800
BBC,03/14/2011,15.5,15.5,14.7,14.7,20010
BBC,03/11/2011,15.6,15.8,15.4,15.4,43310
BBC,03/10/2011,14.1,15.2,14.1,15.2,57750
BBC,03/09/2011,14.5,14.5,13.9,14.5,21260
BBC,03/08/2011,14.5,14.5,14.2,14.5,17570
BBC,03/07/2011,14.4,14.4,13.5,14.3,80170
BBC,03/04/2011,13.9,14.4,13.9,14.1,8050
BBC,03/03/2011,13.9,14.3,13.9,13.9,61360
BBC,03/02/2011,15.2,15.2,14.5,14.5,212860
BBC,03/01/2011,15.2,15.5,15.1,15.2,19450
BBC,02/28/2011,16.0,16.1,15.2,15.2,36650
BBC,02/25/2011,15.3,15.7,15.3,15.7,77040
BBC,02/24/2011,15.1,15.3,15.0,15.3,42460
BBC,02/23/2011,15.5,15.8,15.1,15.7,91500
BBC,02/22/2011,15.6,15.9,15.5,15.5,79790
BBC,02/21/2011,17.0,17.0,16.2,16.2,88080
BBC,02/18/2011,17.3,17.9,17.0,17.0,25280
BBC,02/17/2011,17.9,18.3,17.5,17.5,53940
BBC,02/16/2011,18.1,18.4,17.8,18.0,33850
BBC,02/15/2011,18.3,18.6,18.1,18.3,34270
BBC,02/14/2011,18.7,18.7,18.2,18.2,21260
BBC,02/11/2011,18.6,19.1,18.4,18.8,78490
BBC,02/10/2011,19.3,19.5,19.1,19.1,63300
BBC,02/09/2011,20.0,20.0,20.0,19.6,38820
BBC,02/08/2011,19.7,20.3,19.2,19.6,125760
BBC,01/28/2011,19.5,19.9,19.5,19.7,43740
BBC,01/27/2011,19.3,20.1,19.3,19.9,323410
BBC,01/26/2011,19.8,19.8,19.3,19.3,246300
BBC,01/25/2011,19.6,19.6,19.4,19.4,35300
BBC,01/24/2011,20.1,20.1,19.1,19.8,32000
BBC,01/21/2011,19.5,19.6,19.4,19.4,69410
BBC,01/20/2011,19.6,19.6,19.2,19.2,13960
BBC,01/19/2011,19.6,19.9,19.2,19.6,18580
BBC,01/18/2011,19.8,19.8,19.2,19.2,56570
BBC,01/17/2011,20.0,20.1,19.6,19.6,18160
BBC,01/14/2011,19.8,20.0,19.5,19.9,40570
BBC,01/13/2011,20.0,20.5,19.7,19.7,14970
BBC,01/12/2011,19.6,20.0,19.6,19.7,113520
BBC,01/11/2011,19.2,19.3,19.0,19.1,29860
BBC,01/10/2011,19.6,19.8,19.2,19.8,69840
BBC,01/07/2011,19.4,20.3,19.4,19.9,36340
BBC,01/06/2011,19.3,19.9,19.2,19.9,78730
BBC,01/05/2011,20.0,20.4,19.4,19.4,59120
BBC,01/04/2011,20.2,20.2,19.5,20.0,111760
BBC,12/31/2010,19.3,20.2,19.2,20.2,124670
BBC,12/30/2010,19.7,19.7,19.2,19.4,129770
BBC,12/29/2010,19.6,19.6,19.2,19.2,144640
BBC,12/28/2010,19.4,19.9,19.3,19.5,183060
BBC,12/27/2010,18.8,19.3,18.4,19.3,206390
BBC,12/24/2010,19.0,20.3,18.9,19.1,85700
