<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BMI,06/29/2011,11.6,11.8,11.6,11.8,8600
BMI,06/28/2011,11.6,12.0,11.6,12.0,1060
BMI,06/27/2011,12.0,12.0,11.5,11.9,8500
BMI,06/24/2011,11.8,11.8,11.3,11.8,1340
BMI,06/23/2011,11.9,11.9,11.6,11.8,1280
BMI,06/22/2011,11.5,12.0,11.5,12.0,9310
BMI,06/21/2011,11.7,11.7,11.2,11.7,7650
BMI,06/20/2011,11.6,11.6,11.5,11.5,5030
BMI,06/17/2011,12.0,12.0,11.6,11.6,9080
BMI,06/16/2011,11.8,11.8,11.3,11.8,4550
BMI,06/15/2011,11.9,11.9,11.5,11.6,4100
BMI,06/14/2011,11.5,12.0,11.4,11.9,40920
BMI,06/13/2011,11.5,12.0,11.5,11.9,6300
BMI,06/10/2011,11.4,11.5,11.4,11.5,35710
BMI,06/09/2011,11.3,11.3,11.3,11.3,1320
BMI,06/08/2011,11.7,11.7,11.2,11.3,39060
BMI,06/07/2011,11.4,11.8,11.3,11.3,13390
BMI,06/06/2011,11.5,11.5,11.1,11.3,11160
BMI,06/03/2011,11.6,11.6,11.0,11.4,13060
BMI,06/02/2011,11.3,11.3,10.6,11.1,13650
BMI,06/01/2011,11.1,11.3,10.9,10.9,40010
BMI,05/31/2011,11.2,11.2,10.7,11.1,30260
BMI,05/30/2011,11.2,11.2,11.2,11.2,11510
BMI,05/27/2011,11.5,11.5,11.0,11.2,7870
BMI,05/26/2011,10.0,11.0,10.0,11.0,30760
BMI,05/25/2011,11.0,11.0,10.5,10.5,15360
BMI,05/24/2011,11.2,11.2,11.0,11.0,15840
BMI,05/23/2011,12.6,12.6,11.4,11.5,24190
BMI,05/20/2011,11.7,12.0,11.6,12.0,19530
BMI,05/19/2011,11.9,12.2,11.7,12.1,12940
BMI,05/18/2011,12.3,12.3,11.9,12.2,45050
BMI,05/17/2011,12.5,12.5,12.0,12.3,16630
BMI,05/16/2011,12.1,12.3,12.0,12.3,35570
BMI,05/13/2011,11.9,11.9,11.5,11.8,2340
BMI,05/12/2011,11.4,11.5,11.4,11.5,10910
BMI,05/11/2011,11.8,11.8,11.4,11.4,28610
BMI,05/10/2011,11.8,11.8,11.8,11.8,6250
BMI,05/09/2011,12.2,12.2,11.8,11.8,25370
BMI,05/06/2011,11.8,11.9,11.7,11.8,43220
BMI,05/05/2011,12.0,12.0,11.7,11.8,26510
BMI,05/04/2011,11.5,11.8,11.5,11.8,11210
