<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CYC,06/16/2011,3.9,3.9,3.9,3.9,30
CYC,06/15/2011,3.8,4.1,3.8,4.1,47150
CYC,06/14/2011,3.8,4.0,3.8,4.0,2610
CYC,06/13/2011,3.7,3.9,3.7,3.9,3690
CYC,06/10/2011,3.9,3.9,3.8,3.8,1900
CYC,06/09/2011,3.8,4.0,3.8,3.8,1410
CYC,06/08/2011,4.0,4.1,3.9,3.9,3860
CYC,06/07/2011,4.0,4.1,4.0,4.1,1620
CYC,06/06/2011,3.8,4.1,3.8,4.0,1910
CYC,06/03/2011,4.0,4.1,4.0,4.0,590
CYC,06/02/2011,4.0,4.2,3.8,4.2,1240
CYC,06/01/2011,3.9,4.0,3.8,4.0,1340
CYC,05/31/2011,3.9,3.9,3.7,3.9,1340
CYC,05/30/2011,4.0,4.1,3.8,3.8,210
CYC,05/27/2011,3.8,4.0,3.8,4.0,5110
CYC,05/26/2011,3.9,3.9,3.8,3.9,140
CYC,05/25/2011,3.7,3.9,3.7,3.9,4020
CYC,05/24/2011,3.8,4.0,3.8,3.8,9820
CYC,05/23/2011,3.8,4.0,3.8,4.0,7470
CYC,05/20/2011,4.0,4.1,3.9,3.9,10370
CYC,05/19/2011,4.1,4.1,4.1,4.1,310
CYC,05/18/2011,3.9,4.0,3.9,4.0,2550
CYC,05/17/2011,4.2,4.2,3.9,3.9,1300
CYC,05/16/2011,4.0,4.2,4.0,4.1,1610
CYC,05/13/2011,4.1,4.1,4.0,4.0,7350
CYC,05/12/2011,4.0,4.2,4.0,4.2,160
CYC,05/11/2011,4.2,4.2,4.0,4.2,1020
CYC,05/10/2011,4.2,4.2,4.2,4.2,100
CYC,05/06/2011,4.1,4.2,4.1,4.2,610
CYC,05/05/2011,4.3,4.3,4.3,4.3,400
CYC,05/04/2011,3.9,4.3,3.9,4.3,5940
CYC,04/29/2011,4.1,4.1,4.1,4.1,3570
CYC,04/28/2011,4.4,4.4,4.3,4.3,30
CYC,04/27/2011,4.4,4.4,4.3,4.4,520
CYC,04/26/2011,4.2,4.2,4.2,4.2,1190
CYC,04/25/2011,3.8,4.0,3.8,4.0,2030
CYC,04/22/2011,3.9,4.2,3.9,3.9,5950
CYC,04/21/2011,4.0,4.0,4.0,4.0,1680
CYC,04/20/2011,4.2,4.2,4.2,4.2,110
CYC,04/19/2011,4.2,4.2,4.2,4.2,10
CYC,04/18/2011,4.2,4.2,4.2,4.2,20
CYC,04/15/2011,4.0,4.1,4.1,4.1,13550
CYC,04/14/2011,4.3,4.3,4.2,4.2,5100
CYC,04/13/2011,4.1,4.2,4.0,4.2,12010
CYC,04/08/2011,4.2,4.2,4.1,4.1,7240
CYC,04/06/2011,4.1,4.3,4.0,4.3,5010
CYC,04/05/2011,4.1,4.3,4.1,4.2,4000
CYC,04/04/2011,4.4,4.4,4.2,4.2,1940
CYC,04/01/2011,4.6,4.6,4.3,4.4,1930
CYC,03/31/2011,4.5,4.6,4.5,4.5,3590
CYC,03/30/2011,4.4,4.7,4.4,4.6,1890
CYC,03/29/2011,4.8,4.8,4.6,4.6,2520
CYC,03/28/2011,4.6,4.8,4.6,4.8,2170
CYC,03/25/2011,4.8,4.9,4.8,4.8,1080
CYC,03/24/2011,4.9,4.9,4.7,4.9,2460
CYC,03/23/2011,4.8,5.0,4.8,4.9,1070
CYC,03/22/2011,4.9,4.9,4.8,4.9,6300
CYC,03/21/2011,4.9,4.9,4.8,4.9,2360
CYC,03/18/2011,4.8,4.9,4.7,4.9,2320
CYC,03/17/2011,4.8,5.1,4.8,4.8,10340
CYC,03/16/2011,5.0,5.0,4.8,5.0,350
CYC,03/15/2011,4.7,4.9,4.7,4.9,4120
CYC,03/14/2011,5.0,5.1,4.9,4.9,3420
CYC,03/11/2011,4.8,4.9,4.8,4.9,28390
CYC,03/10/2011,4.4,4.8,4.4,4.7,10370
CYC,03/09/2011,4.6,5.0,4.6,4.6,220
CYC,03/08/2011,4.8,5.0,4.8,4.8,2380
CYC,03/07/2011,5.1,5.1,4.9,5.0,450
CYC,03/04/2011,5.1,5.1,5.0,5.0,430
CYC,03/03/2011,4.9,5.1,4.9,5.0,3260
CYC,03/02/2011,5.1,5.1,5.1,5.1,6320
CYC,03/01/2011,5.4,5.4,5.3,5.3,1110
CYC,02/28/2011,5.3,5.3,5.3,5.3,10
CYC,02/25/2011,5.2,5.2,5.2,5.2,9350
CYC,02/24/2011,5.3,5.4,5.2,5.4,6410
CYC,02/23/2011,5.3,5.4,5.2,5.4,13680
CYC,02/22/2011,5.4,5.4,5.4,5.4,950
CYC,02/21/2011,5.8,5.8,5.6,5.6,2660
CYC,02/18/2011,5.8,5.8,5.8,5.8,70
CYC,02/17/2011,5.7,6.1,5.7,5.8,6770
CYC,02/16/2011,6.0,6.0,5.9,6.0,660
CYC,02/14/2011,6.2,6.2,6.1,6.1,1470
CYC,02/11/2011,6.0,6.2,6.0,6.2,900
CYC,02/10/2011,6.0,6.2,6.0,6.2,180
CYC,02/09/2011,6.1,6.2,6.1,6.2,4080
CYC,02/08/2011,6.4,6.4,6.4,6.4,20
CYC,01/28/2011,6.0,6.3,6.0,6.3,220
CYC,01/27/2011,6.3,6.3,6.0,6.1,3180
CYC,01/26/2011,6.0,6.0,6.0,6.0,1290
CYC,01/25/2011,6.0,6.0,6.0,6.0,540
CYC,01/24/2011,5.8,6.3,5.8,6.1,1110
CYC,01/21/2011,6.4,6.4,6.1,6.1,11990
CYC,01/20/2011,6.2,6.4,6.2,6.4,3660
CYC,01/19/2011,6.4,6.5,6.4,6.5,1470
CYC,01/18/2011,6.2,6.4,6.2,6.4,2910
CYC,01/17/2011,6.4,6.4,6.4,6.4,50
CYC,01/14/2011,6.4,6.4,6.2,6.4,3060
CYC,01/13/2011,6.3,6.3,6.3,6.3,160
CYC,01/12/2011,6.2,6.3,6.2,6.2,5510
CYC,01/11/2011,6.2,6.5,6.2,6.5,1210
CYC,01/10/2011,6.4,6.4,6.3,6.3,1150
CYC,01/07/2011,6.5,6.5,6.3,6.3,5810
CYC,01/06/2011,6.5,6.5,6.3,6.3,2630
CYC,01/05/2011,6.2,6.3,6.2,6.3,10320
CYC,01/04/2011,6.4,6.6,6.4,6.4,780
CYC,12/31/2010,6.4,6.6,6.1,6.6,1910
CYC,12/30/2010,6.4,6.4,6.3,6.4,770
CYC,12/29/2010,6.5,6.5,6.4,6.4,550
CYC,12/28/2010,6.3,6.4,6.3,6.3,7250
CYC,12/27/2010,6.5,6.5,6.3,6.3,280
CYC,12/24/2010,6.5,6.5,6.5,6.5,190
CYC,12/23/2010,6.4,6.4,6.3,6.4,6500
CYC,12/22/2010,6.6,6.7,6.6,6.6,5030
CYC,12/21/2010,6.7,6.7,6.3,6.6,7250
CYC,12/20/2010,6.6,6.7,6.4,6.6,3200
CYC,12/17/2010,6.6,6.7,6.6,6.6,1260
