<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DCT,07/01/2011,6.9,6.9,6.7,6.9,43120
DCT,06/30/2011,6.9,6.9,6.8,6.9,15430
DCT,06/29/2011,6.9,7.0,6.9,7.0,31650
DCT,06/28/2011,7.0,7.0,6.9,6.9,34860
DCT,06/27/2011,7.1,7.1,7.0,7.0,16980
DCT,06/24/2011,7.1,7.1,7.0,7.1,2010
DCT,06/23/2011,7.0,7.1,7.0,7.0,19030
DCT,06/22/2011,7.3,7.3,7.0,7.2,23450
DCT,06/21/2011,7.0,7.2,6.9,7.2,36780
DCT,06/20/2011,7.0,7.0,6.9,6.9,75290
DCT,06/17/2011,7.3,7.3,6.9,7.2,178390
DCT,06/16/2011,7.0,7.3,7.0,7.2,22300
DCT,06/15/2011,7.3,7.4,7.2,7.2,32760
DCT,06/14/2011,7.4,7.7,7.4,7.5,97800
DCT,06/13/2011,7.1,7.4,7.1,7.4,70840
DCT,06/10/2011,7.1,7.1,7.0,7.1,71660
DCT,06/09/2011,6.8,7.0,6.8,6.8,23920
DCT,06/08/2011,7.0,7.0,6.8,6.8,51770
DCT,06/07/2011,6.9,7.0,6.8,7.0,34660
DCT,06/06/2011,6.7,6.7,6.6,6.7,18350
DCT,06/03/2011,7.0,7.1,6.7,6.7,58340
DCT,06/02/2011,6.6,6.9,6.6,6.9,65720
DCT,06/01/2011,6.5,6.7,6.4,6.6,28140
DCT,05/31/2011,6.5,6.5,6.4,6.4,33600
DCT,05/30/2011,6.6,6.8,6.4,6.4,43800
DCT,05/27/2011,6.7,6.7,6.6,6.7,11380
DCT,05/26/2011,6.1,6.7,6.1,6.5,105390
DCT,05/25/2011,6.5,6.5,6.4,6.4,104850
DCT,05/24/2011,6.7,6.8,6.6,6.7,85810
DCT,05/23/2011,7.0,7.1,6.9,6.9,70030
DCT,05/20/2011,7.1,7.1,6.9,7.1,159090
DCT,05/19/2011,7.2,7.2,7.0,7.1,45610
DCT,05/18/2011,7.2,7.2,7.1,7.1,38670
DCT,05/17/2011,7.3,7.4,7.2,7.4,38600
DCT,05/16/2011,7.3,7.4,7.3,7.4,36770
DCT,05/13/2011,7.4,7.4,7.3,7.3,5040
DCT,05/12/2011,7.2,7.5,7.2,7.3,11060
DCT,05/11/2011,7.6,7.6,7.3,7.3,49250
DCT,05/10/2011,7.7,7.7,7.6,7.6,30360
DCT,05/09/2011,7.6,7.7,7.5,7.7,75400
DCT,05/06/2011,7.4,7.6,7.4,7.5,77330
DCT,05/05/2011,7.6,7.6,7.4,7.5,29100
DCT,05/04/2011,7.5,7.6,7.5,7.6,122890
DCT,04/29/2011,7.3,7.3,7.2,7.3,157790
DCT,04/28/2011,6.7,7.0,6.6,7.0,55800
DCT,04/27/2011,6.8,7.0,6.8,6.9,50520
DCT,04/26/2011,7.0,7.1,6.9,6.9,45410
DCT,04/25/2011,7.0,7.1,6.9,7.1,60800
DCT,04/22/2011,7.0,7.1,6.9,6.9,46100
DCT,04/21/2011,6.9,7.0,6.9,7.0,30970
DCT,04/20/2011,6.8,7.1,6.8,6.9,31620
DCT,04/19/2011,6.9,7.0,6.8,6.9,48050
DCT,04/18/2011,7.0,7.1,7.0,7.1,43920
DCT,04/15/2011,7.1,7.2,7.2,7.1,34550
DCT,04/14/2011,7.2,7.3,7.1,7.2,55390
DCT,04/13/2011,7.5,7.5,7.2,7.3,32200
DCT,04/08/2011,7.3,7.3,7.2,7.3,43870
DCT,04/07/2011,7.3,7.3,7.2,7.3,9100
DCT,04/06/2011,7.2,7.3,7.2,7.3,22050
DCT,04/05/2011,7.2,7.2,7.2,7.2,41380
DCT,04/04/2011,7.3,7.3,7.2,7.2,75140
DCT,04/01/2011,7.3,7.4,7.3,7.3,19240
DCT,03/31/2011,7.4,7.5,7.3,7.3,46760
DCT,03/30/2011,7.4,7.5,7.3,7.4,81750
DCT,03/29/2011,7.4,7.6,7.4,7.5,93870
DCT,03/28/2011,7.6,7.6,7.4,7.5,79540
DCT,03/25/2011,7.5,7.5,7.5,7.5,182650
DCT,03/24/2011,7.4,7.5,7.4,7.5,38830
DCT,03/23/2011,7.6,7.5,7.4,7.5,111640
DCT,03/22/2011,7.6,7.7,7.4,7.5,56460
DCT,03/21/2011,7.7,7.8,7.6,7.7,33480
DCT,03/18/2011,7.6,7.7,7.5,7.7,18470
DCT,03/17/2011,7.7,7.8,7.4,7.5,194440
DCT,03/16/2011,7.6,7.8,7.5,7.6,54290
DCT,03/15/2011,7.7,7.7,7.4,7.6,11370
DCT,03/14/2011,7.7,7.9,7.6,7.6,73350
DCT,03/11/2011,7.9,8.0,7.8,7.9,102690
DCT,03/10/2011,7.4,7.7,7.4,7.7,174110
DCT,03/09/2011,7.4,7.4,7.2,7.4,74330
DCT,03/08/2011,7.6,7.6,7.5,7.5,25610
DCT,03/07/2011,7.6,7.7,7.5,7.6,39450
DCT,03/04/2011,7.6,7.7,7.3,7.5,47760
DCT,03/03/2011,7.5,7.7,7.4,7.4,40570
DCT,03/02/2011,7.7,7.7,7.5,7.5,50080
DCT,03/01/2011,7.9,7.9,7.7,7.7,36520
DCT,02/28/2011,8.0,8.0,7.8,7.8,44800
DCT,02/25/2011,7.7,7.9,7.6,7.9,77200
DCT,02/24/2011,7.8,7.8,7.6,7.7,98420
DCT,02/23/2011,7.8,7.8,7.5,7.8,149690
DCT,02/22/2011,7.7,7.9,7.6,7.6,126410
DCT,02/21/2011,8.1,8.1,8.0,8.0,113110
DCT,02/18/2011,8.5,8.6,8.4,8.4,41380
DCT,02/17/2011,8.5,8.5,8.2,8.5,49420
DCT,02/16/2011,8.8,8.8,8.5,8.5,68880
DCT,02/15/2011,8.8,8.9,8.7,8.8,48360
DCT,02/14/2011,8.8,9.0,8.8,8.9,48980
DCT,02/11/2011,8.9,9.0,8.8,8.9,19000
DCT,02/10/2011,9.0,9.0,8.9,9.0,28320
DCT,02/09/2011,9.3,9.3,9.0,9.0,13590
DCT,02/08/2011,9.3,9.3,9.0,9.1,74780
DCT,01/28/2011,9.3,9.3,8.9,9.0,61310
DCT,01/27/2011,9.2,9.3,9.1,9.1,101710
DCT,01/26/2011,8.8,9.1,8.8,9.0,269990
DCT,01/25/2011,9.0,9.0,8.8,8.8,10580
DCT,01/24/2011,8.9,9.0,8.9,8.9,25690
DCT,01/21/2011,9.0,9.0,8.9,9.0,83730
DCT,01/20/2011,8.9,9.0,8.9,8.9,29700
DCT,01/19/2011,9.1,9.1,8.9,9.0,21690
DCT,01/18/2011,9.3,9.3,8.9,9.0,57070
DCT,01/17/2011,9.3,9.4,9.1,9.2,73310
DCT,01/14/2011,9.4,9.4,9.1,9.2,76050
DCT,01/13/2011,9.2,9.3,9.1,9.2,49210
DCT,01/12/2011,9.0,9.3,9.0,9.1,14830
DCT,01/11/2011,9.2,9.6,9.0,9.0,46820
DCT,01/10/2011,9.5,9.5,9.2,9.2,59240
DCT,01/07/2011,9.5,9.6,9.4,9.5,52790
DCT,01/06/2011,9.4,9.7,9.4,9.6,26170
DCT,01/05/2011,9.7,9.7,9.5,9.6,8230
DCT,01/04/2011,9.6,9.7,9.6,9.6,42390
DCT,12/31/2010,9.6,9.6,9.5,9.6,58660
DCT,12/30/2010,9.5,9.8,9.5,9.5,147660
DCT,12/29/2010,9.6,9.6,9.5,9.5,83220
DCT,12/28/2010,9.5,9.7,9.3,9.6,58820
DCT,12/27/2010,9.6,9.8,9.3,9.3,21420
DCT,12/24/2010,9.7,9.7,9.3,9.4,33040
DCT,12/23/2010,9.9,9.9,9.5,9.5,78910
DCT,12/22/2010,10.0,10.1,9.8,9.9,30620
DCT,12/21/2010,9.6,10.2,9.4,10.0,112040
DCT,12/20/2010,9.9,10.0,9.8,9.8,51290
DCT,12/17/2010,9.9,10.0,9.5,9.9,127030
DCT,12/16/2010,10.0,10.0,9.6,9.6,164660
DCT,12/15/2010,10.2,10.3,10.1,10.1,93860
DCT,12/14/2010,10.4,10.5,10.1,10.2,113840
DCT,12/13/2010,10.7,10.8,10.5,10.6,359310
DCT,12/10/2010,10.0,10.5,10.0,10.4,153490
DCT,12/09/2010,9.8,10.1,9.6,10.0,107310
DCT,12/08/2010,10.3,10.4,10.0,10.0,309990
DCT,12/07/2010,10.2,10.5,10.2,10.5,298330
DCT,12/06/2010,10.2,10.5,9.8,10.5,352090
DCT,12/03/2010,9.8,10.0,9.8,10.0,270780
DCT,12/02/2010,9.2,9.7,9.2,9.6,126050
DCT,12/01/2010,9.4,9.7,9.4,9.5,86940
DCT,11/30/2010,9.3,9.8,9.3,9.7,218330
DCT,11/29/2010,8.9,9.4,8.9,9.4,124480
DCT,11/26/2010,9.1,9.1,8.5,9.0,60550
DCT,11/25/2010,8.4,8.8,8.3,8.8,137000
DCT,11/24/2010,8.2,8.4,8.0,8.4,72960
DCT,11/23/2010,7.9,8.5,7.9,8.1,168100
DCT,11/22/2010,8.0,8.1,7.9,8.1,69670
DCT,11/19/2010,8.0,8.3,8.0,8.2,67150
DCT,11/18/2010,8.0,8.1,8.0,8.0,69420
DCT,11/17/2010,7.7,8.0,7.7,7.9,82470
DCT,11/16/2010,8.1,8.1,7.8,7.8,80310
DCT,11/15/2010,8.2,8.4,7.9,8.0,43480
DCT,11/12/2010,8.5,8.6,8.2,8.2,145460
DCT,11/11/2010,8.6,8.8,8.5,8.6,64560
DCT,11/10/2010,8.9,8.9,8.6,8.6,45850
DCT,11/09/2010,9.0,9.0,8.7,8.9,57590
DCT,11/08/2010,8.9,9.0,8.9,9.0,24390
DCT,11/05/2010,9.0,9.2,8.9,9.1,85690
DCT,11/04/2010,8.7,8.9,8.7,8.8,89750
DCT,11/03/2010,8.7,8.9,8.7,8.7,45120
DCT,11/02/2010,8.9,9.0,8.8,8.9,29180
DCT,11/01/2010,8.9,9.0,8.8,8.9,72570
DCT,10/29/2010,9.0,9.2,9.0,9.0,74450
DCT,10/28/2010,9.2,9.4,9.1,9.1,31100
DCT,10/27/2010,9.3,9.5,9.2,9.2,59800
DCT,10/26/2010,9.6,9.7,9.5,9.5,84850
DCT,10/25/2010,9.1,9.4,9.1,9.4,33870
DCT,10/22/2010,9.2,9.4,9.2,9.3,66020
DCT,10/21/2010,9.5,9.6,9.3,9.3,57560
DCT,10/20/2010,9.7,9.7,9.3,9.4,102790
DCT,10/19/2010,9.7,9.9,9.7,9.7,67370
DCT,10/18/2010,9.9,9.9,9.7,9.8,64720
DCT,10/15/2010,9.7,9.9,9.7,9.7,24000
DCT,10/14/2010,9.9,9.9,9.7,9.7,32640
DCT,10/13/2010,9.7,9.9,9.6,9.9,77680
DCT,10/12/2010,9.8,10.0,9.7,9.7,66280
DCT,10/11/2010,10.0,10.0,9.8,9.9,25850
DCT,10/08/2010,10.0,10.0,9.9,9.9,38700
DCT,10/07/2010,10.0,10.2,9.9,9.9,108630
DCT,10/06/2010,9.8,10.3,9.8,10.0,121990
DCT,10/05/2010,9.8,9.9,9.6,9.9,91160
DCT,10/04/2010,10.2,10.2,9.8,9.8,198390
DCT,10/01/2010,10.2,10.3,10.2,10.2,53850
DCT,09/30/2010,10.3,10.4,10.2,10.2,77140
DCT,09/29/2010,10.2,10.5,10.2,10.3,101450
DCT,09/28/2010,10.7,10.7,10.4,10.5,77540
DCT,09/27/2010,10.6,10.6,10.4,10.4,55300
DCT,09/24/2010,10.6,10.6,10.4,10.5,68930
DCT,09/23/2010,10.6,10.8,10.4,10.5,127850
DCT,09/22/2010,10.6,10.8,10.6,10.7,112310
DCT,09/21/2010,11.0,11.0,10.6,10.8,121750
DCT,09/20/2010,11.1,11.1,10.8,10.9,196700
DCT,09/17/2010,11.0,11.3,11.0,11.3,217880
DCT,09/16/2010,10.8,11.1,10.7,10.9,166610
DCT,09/15/2010,11.1,11.2,10.9,11.0,160240
DCT,09/14/2010,11.3,11.4,11.2,11.2,127620
DCT,09/13/2010,11.2,11.6,11.1,11.3,273650
DCT,09/10/2010,11.6,11.6,11.0,11.2,844670
DCT,09/09/2010,11.0,11.1,11.0,11.1,498980
DCT,09/08/2010,10.9,10.9,10.5,10.6,96170
DCT,09/07/2010,11.0,11.3,10.7,10.9,157030
DCT,09/06/2010,10.7,11.0,10.7,11.0,189110
DCT,09/01/2010,10.6,10.7,10.4,10.5,184400
DCT,08/31/2010,10.6,10.9,10.4,10.6,181010
DCT,08/30/2010,10.6,10.6,10.4,10.6,51870
DCT,08/27/2010,10.0,10.4,10.0,10.1,25260
DCT,08/26/2010,10.1,10.4,9.9,10.2,43850
DCT,08/25/2010,10.6,10.6,10.1,10.1,77520
DCT,08/24/2010,10.8,10.8,10.6,10.6,100360
DCT,08/23/2010,11.3,11.3,11.0,11.1,27510
DCT,08/20/2010,11.4,11.4,11.0,11.2,45810
DCT,08/19/2010,11.4,11.4,11.2,11.3,31200
DCT,08/18/2010,11.6,11.6,11.3,11.4,73490
DCT,08/17/2010,11.5,11.8,11.4,11.8,29810
DCT,08/16/2010,11.4,11.8,11.4,11.8,44120
DCT,08/13/2010,11.2,11.3,11.0,11.3,81820
DCT,08/12/2010,11.6,11.6,11.2,11.2,135670
DCT,08/11/2010,11.3,11.7,11.3,11.7,52220
DCT,08/10/2010,11.6,11.6,11.2,11.3,127470
DCT,08/09/2010,12.1,12.1,11.7,11.7,80210
DCT,08/06/2010,12.3,12.3,12.2,12.2,77450
DCT,08/05/2010,12.4,12.5,12.2,12.3,49600
DCT,08/04/2010,12.7,12.7,12.2,12.3,47270
DCT,08/03/2010,12.7,12.8,12.5,12.5,74890
DCT,08/02/2010,12.7,13.0,12.5,12.5,30600
DCT,07/30/2010,13.0,13.1,12.9,12.9,26200
DCT,07/29/2010,12.9,12.9,12.7,12.7,66450
DCT,07/28/2010,13.0,13.1,12.7,12.8,86250
DCT,07/27/2010,13.1,13.3,13.0,13.0,108710
DCT,07/26/2010,13.3,13.4,13.1,13.1,120370
DCT,07/23/2010,13.2,13.5,13.2,13.3,61820
DCT,07/22/2010,13.5,13.5,13.2,13.2,73970
DCT,07/21/2010,13.9,14.0,13.6,13.6,178310
DCT,07/20/2010,13.1,13.7,13.1,13.7,446690
DCT,07/19/2010,13.1,13.3,13.1,13.1,64370
DCT,07/16/2010,13.2,13.3,13.1,13.3,64740
DCT,07/15/2010,13.2,13.5,13.2,13.2,70020
DCT,07/14/2010,13.8,13.8,13.3,13.3,76530
DCT,07/13/2010,13.1,13.7,13.1,13.6,129620
DCT,07/12/2010,13.5,13.5,12.9,13.1,33880
DCT,07/09/2010,13.1,13.1,13.0,13.0,68150
DCT,07/08/2010,13.5,13.5,13.1,13.1,55390
DCT,07/07/2010,13.4,13.7,13.2,13.3,223680
DCT,07/06/2010,13.6,13.8,13.2,13.4,231820
DCT,07/05/2010,13.5,14.0,13.5,13.8,163300
DCT,07/02/2010,13.7,13.7,13.4,13.5,148960
DCT,07/01/2010,13.6,13.9,13.6,13.6,62080
DCT,06/30/2010,14.0,14.4,13.7,13.7,167840
DCT,06/29/2010,13.9,14.3,13.6,14.3,884680
DCT,06/28/2010,13.2,13.7,13.2,13.7,500280
DCT,06/25/2010,13.1,13.6,13.1,13.1,173750
DCT,06/24/2010,13.8,13.8,13.6,13.6,78950
DCT,06/23/2010,13.2,13.9,13.2,13.8,231900
DCT,06/22/2010,13.7,13.8,13.2,13.7,648450
DCT,06/21/2010,12.8,13.2,12.8,13.2,276420
DCT,06/18/2010,12.6,12.7,12.4,12.6,65590
DCT,06/17/2010,12.3,12.5,12.2,12.4,65720
DCT,06/16/2010,12.4,12.5,12.2,12.3,35760
DCT,06/15/2010,12.4,12.4,12.2,12.2,39040
DCT,06/14/2010,12.6,12.6,12.4,12.4,20320
DCT,06/11/2010,12.5,12.5,12.2,12.3,45110
DCT,06/10/2010,12.1,12.3,12.1,12.2,15170
DCT,06/09/2010,12.1,12.3,12.1,12.3,18430
DCT,06/08/2010,12.1,12.2,12.0,12.1,38570
DCT,06/07/2010,11.9,12.3,11.9,12.1,82380
DCT,06/04/2010,12.7,12.7,12.5,12.5,53700
DCT,06/03/2010,12.9,12.9,12.7,12.7,28310
DCT,06/02/2010,12.7,12.7,12.4,12.7,85530
DCT,06/01/2010,12.5,12.7,12.5,12.7,23270
DCT,05/31/2010,12.8,12.9,12.6,12.7,99860
DCT,05/28/2010,13.0,13.1,12.7,13.1,172920
DCT,05/27/2010,12.3,12.6,12.2,12.5,55990
DCT,05/26/2010,12.1,12.3,12.1,12.2,59480
DCT,05/25/2010,12.0,12.2,11.9,11.9,79650
DCT,05/24/2010,12.2,12.3,12.0,12.1,60960
DCT,05/21/2010,12.0,12.3,12.0,12.0,162770
DCT,05/20/2010,11.9,12.7,11.9,12.6,99080
DCT,05/19/2010,13.0,13.0,12.5,12.5,240920
DCT,05/18/2010,13.1,13.3,12.9,13.1,100090
DCT,05/17/2010,13.7,13.7,12.9,13.2,128750
DCT,05/14/2010,13.5,13.6,13.3,13.5,103550
DCT,05/13/2010,13.5,13.9,13.4,13.4,150320
DCT,05/12/2010,13.6,13.9,13.4,13.4,337050
DCT,05/11/2010,14.7,14.8,14.0,14.1,316610
DCT,05/10/2010,14.8,14.8,14.7,14.7,203760
DCT,05/07/2010,15.6,15.8,14.9,15.4,272060
DCT,05/06/2010,15.2,15.6,14.9,15.6,474560
DCT,05/05/2010,14.2,14.9,14.1,14.9,570140
DCT,05/04/2010,14.0,14.2,13.9,14.2,293490
DCT,04/29/2010,13.5,13.8,13.5,13.6,133330
DCT,04/28/2010,13.6,13.7,13.4,13.5,139370
DCT,04/27/2010,13.9,13.9,13.5,13.6,72160
DCT,04/26/2010,13.7,13.9,13.6,13.8,184880
DCT,04/22/2010,13.6,14.0,13.5,13.7,286600
DCT,04/21/2010,13.7,13.7,13.4,13.4,156230
DCT,04/20/2010,13.8,13.8,13.3,13.4,104400
DCT,04/19/2010,13.7,13.7,13.6,13.7,192000
DCT,04/16/2010,16.0,16.1,15.7,15.7,325650
DCT,04/15/2010,16.0,16.1,15.8,15.9,234300
DCT,04/14/2010,15.8,16.4,15.7,16.1,170300
DCT,04/13/2010,16.8,16.8,15.7,15.7,552340
DCT,04/12/2010,16.3,16.3,16.3,16.3,45270
DCT,04/09/2010,15.6,15.8,15.6,15.6,138750
DCT,04/08/2010,15.9,16.0,15.6,15.6,63870
DCT,04/07/2010,15.7,16.0,15.6,15.8,45170
DCT,04/06/2010,16.3,16.3,15.7,15.7,66730
DCT,04/05/2010,15.4,16.1,15.4,16.1,337580
DCT,04/02/2010,15.8,15.8,15.4,15.4,62950
DCT,04/01/2010,15.0,15.6,15.0,15.6,45230
DCT,03/31/2010,15.2,15.8,15.2,15.6,253610
DCT,03/30/2010,15.0,15.2,15.0,15.1,99310
DCT,03/29/2010,15.3,15.5,15.0,15.0,112980
DCT,03/26/2010,16.0,16.0,15.4,15.5,38560
DCT,03/25/2010,15.8,15.9,15.5,15.8,55160
DCT,03/24/2010,15.9,16.0,15.9,16.0,42230
DCT,03/23/2010,15.9,16.0,15.7,15.9,55080
DCT,03/22/2010,15.9,16.1,15.8,15.9,88580
DCT,03/19/2010,16.1,16.4,15.9,15.9,76050
DCT,03/18/2010,15.9,16.5,15.9,16.3,168860
DCT,03/17/2010,15.7,16.4,15.7,15.9,272300
DCT,03/16/2010,16.5,16.7,15.9,15.9,274510
DCT,03/15/2010,16.4,16.7,16.1,16.7,412640
DCT,03/12/2010,15.5,16.0,15.5,16.0,153370
DCT,03/11/2010,15.3,15.8,15.3,15.7,121500
DCT,03/10/2010,15.5,15.9,15.3,15.4,116750
DCT,03/09/2010,15.1,15.9,15.1,15.8,160700
DCT,03/08/2010,15.4,15.5,15.1,15.2,88890
DCT,03/05/2010,14.7,15.3,14.7,15.1,157700
DCT,03/04/2010,15.2,15.3,14.8,15.0,125700
DCT,03/03/2010,14.2,14.7,14.1,14.7,174920
DCT,03/02/2010,14.0,14.0,13.8,14.0,41620
DCT,03/01/2010,14.0,14.1,13.9,13.9,42810
DCT,02/26/2010,13.8,13.9,13.7,13.9,26890
DCT,02/25/2010,14.0,14.0,13.8,13.8,27710
DCT,02/24/2010,13.9,13.9,13.4,13.8,17830
DCT,02/23/2010,13.8,13.8,13.6,13.8,21500
DCT,02/22/2010,14.2,14.2,13.7,14.2,27260
DCT,02/12/2010,13.9,14.0,13.7,14.0,32490
DCT,02/11/2010,13.7,14.0,13.7,13.9,15550
DCT,02/10/2010,13.8,13.9,13.7,13.9,12940
DCT,02/09/2010,13.6,13.8,13.4,13.8,87270
DCT,02/08/2010,13.8,13.8,13.5,13.5,14010
DCT,02/05/2010,13.4,13.7,13.4,13.4,21700
DCT,02/04/2010,13.8,13.8,13.6,13.6,58580
DCT,02/03/2010,13.6,13.8,13.6,13.6,26500
DCT,02/02/2010,13.9,13.9,13.6,13.6,46080
DCT,02/01/2010,13.5,13.7,13.5,13.7,88270
DCT,01/29/2010,13.7,13.7,13.5,13.5,60280
DCT,01/28/2010,14.1,14.1,13.7,13.7,51010
DCT,01/27/2010,14.5,14.5,14.0,14.3,21310
DCT,01/26/2010,14.0,14.5,14.0,14.5,87880
DCT,01/25/2010,13.5,14.0,13.5,13.9,47000
DCT,01/22/2010,13.6,13.8,13.3,13.5,78560
