<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DHA,06/29/2011,13.8,13.9,13.8,13.8,4030
DHA,06/28/2011,14.0,14.0,13.7,13.9,10010
DHA,06/27/2011,13.6,14.2,13.6,14.0,5830
DHA,06/24/2011,13.7,13.7,13.7,13.7,5400
DHA,06/23/2011,14.5,14.5,13.9,14.3,610
DHA,06/22/2011,14.7,14.7,13.8,13.9,10120
DHA,06/21/2011,13.9,14.3,13.9,14.3,4580
DHA,06/20/2011,14.3,14.3,13.9,13.9,15500
DHA,06/17/2011,14.5,14.5,14.0,14.3,6170
DHA,06/16/2011,14.0,14.3,13.8,14.3,3860
DHA,06/15/2011,14.3,14.4,13.8,13.8,15810
DHA,06/14/2011,14.9,14.9,14.2,14.5,11040
DHA,06/13/2011,15.2,15.2,14.6,14.6,5650
DHA,06/10/2011,14.5,15.2,14.5,14.6,7900
DHA,06/09/2011,14.7,14.9,14.2,14.5,9440
DHA,06/08/2011,14.3,14.4,14.1,14.2,30930
DHA,06/07/2011,13.6,13.9,13.5,13.9,68130
DHA,06/06/2011,13.3,13.3,13.1,13.3,19500
DHA,06/03/2011,13.9,13.9,13.0,13.0,51300
DHA,06/02/2011,13.5,13.6,13.2,13.6,41800
DHA,06/01/2011,12.8,13.1,12.8,13.0,10610
DHA,05/31/2011,12.4,13.0,12.3,12.6,9390
DHA,05/30/2011,12.7,13.0,12.5,12.5,7230
DHA,05/27/2011,12.7,12.7,12.6,12.7,63490
DHA,05/26/2011,11.1,12.1,11.1,12.1,6060
DHA,05/25/2011,12.2,12.2,11.6,11.6,38360
DHA,05/24/2011,12.5,12.5,12.2,12.2,53020
DHA,05/23/2011,13.2,13.2,12.7,12.8,20120
DHA,05/20/2011,13.0,13.0,12.9,13.0,26810
DHA,05/19/2011,12.9,13.0,12.9,13.0,14520
DHA,05/18/2011,13.0,13.0,12.8,13.0,24790
DHA,05/17/2011,13.1,13.1,12.9,13.0,34270
DHA,05/16/2011,13.1,13.1,13.1,13.1,9300
DHA,05/13/2011,13.1,13.2,13.1,13.1,22250
DHA,05/12/2011,13.2,13.2,13.1,13.1,6730
DHA,05/11/2011,13.1,13.1,13.1,13.1,2200
DHA,05/10/2011,13.0,13.2,13.0,13.2,5930
DHA,05/09/2011,13.2,13.2,13.2,13.2,1900
DHA,05/06/2011,13.3,13.3,13.0,13.2,5860
DHA,05/05/2011,13.0,13.0,12.8,13.0,7770
DHA,05/04/2011,13.0,13.1,13.0,13.0,9910
DHA,04/29/2011,13.1,13.1,13.0,13.0,11150
DHA,04/28/2011,13.0,13.0,13.0,13.0,830
DHA,04/27/2011,13.0,13.1,12.8,13.1,16070
DHA,04/26/2011,13.0,13.0,12.4,12.5,13370
DHA,04/25/2011,12.9,13.1,12.9,13.1,15610
DHA,04/22/2011,13.1,13.2,12.5,12.5,42990
DHA,04/21/2011,13.8,13.9,13.1,13.1,3480
DHA,04/20/2011,13.9,13.9,13.5,13.5,7440
DHA,04/19/2011,13.9,13.9,13.9,13.9,3230
DHA,04/18/2011,14.4,14.5,14.4,14.4,16210
DHA,04/15/2011,14.4,14.4,14.3,14.4,6000
DHA,04/14/2011,14.7,14.7,14.4,14.5,11720
DHA,04/13/2011,14.7,14.7,14.4,14.4,1530
DHA,04/08/2011,15.2,15.2,14.7,14.7,31950
DHA,04/07/2011,14.8,15.2,14.7,14.7,7860
DHA,04/06/2011,14.6,15.2,14.4,15.2,17940
DHA,04/05/2011,14.9,14.9,14.5,14.5,12550
DHA,04/04/2011,15.4,15.4,14.9,14.9,60130
DHA,04/01/2011,15.8,15.8,15.6,15.6,2040
DHA,03/31/2011,16.1,16.1,15.6,15.8,14760
DHA,03/29/2011,16.1,16.1,15.8,15.9,8930
DHA,03/28/2011,16.3,16.3,15.9,16.1,9990
DHA,03/25/2011,16.2,16.3,16.2,16.3,5800
DHA,03/24/2011,16.3,16.4,16.3,16.3,3250
DHA,03/23/2011,15.8,16.0,15.8,16.0,30640
DHA,03/22/2011,16.5,16.5,15.8,15.8,12270
DHA,03/21/2011,16.1,16.7,15.8,16.5,7390
DHA,03/18/2011,16.0,16.1,15.9,16.1,18840
DHA,03/17/2011,16.0,16.0,15.8,16.0,5500
DHA,03/16/2011,15.2,15.7,15.2,15.7,15720
DHA,03/15/2011,15.3,15.6,15.1,15.6,14350
DHA,03/14/2011,15.9,15.9,15.7,15.7,15320
DHA,03/11/2011,16.0,16.5,16.0,16.4,54390
DHA,03/10/2011,15.0,15.8,15.0,15.8,25540
DHA,03/09/2011,15.1,15.3,15.1,15.3,3450
DHA,03/08/2011,15.6,15.8,15.6,15.7,10850
DHA,03/07/2011,15.7,15.7,15.1,15.6,6600
DHA,03/04/2011,15.5,15.6,15.5,15.6,12750
DHA,03/03/2011,15.9,15.9,15.2,15.6,16400
DHA,03/02/2011,16.1,16.1,15.6,15.8,7450
DHA,03/01/2011,16.0,16.0,15.9,16.0,4100
DHA,02/28/2011,16.0,16.0,15.6,16.0,24800
DHA,02/25/2011,15.6,16.0,15.6,16.0,15610
DHA,02/24/2011,15.4,15.9,15.1,15.6,26630
DHA,02/23/2011,15.6,15.9,15.1,15.3,27900
DHA,02/22/2011,15.4,15.7,15.4,15.6,13950
DHA,02/21/2011,16.0,16.3,15.8,15.8,42250
DHA,02/18/2011,16.8,16.9,16.6,16.6,25080
DHA,02/17/2011,17.4,17.4,16.8,16.8,45930
DHA,02/16/2011,18.0,18.0,17.2,17.2,34660
DHA,02/15/2011,18.6,18.6,17.6,17.6,45620
DHA,02/14/2011,18.5,18.6,18.5,18.5,15430
DHA,02/11/2011,18.5,19.0,18.5,18.6,27620
DHA,02/10/2011,19.1,19.3,18.8,19.2,9780
DHA,02/09/2011,19.4,19.4,19.1,19.2,5900
DHA,02/08/2011,18.8,19.6,19.2,19.6,29360
DHA,01/28/2011,19.9,19.9,19.2,19.2,1710
DHA,01/27/2011,19.7,19.7,18.9,19.5,20140
DHA,01/26/2011,18.7,19.0,18.7,19.0,13290
DHA,01/25/2011,18.8,18.9,18.7,18.8,7960
DHA,01/24/2011,19.2,19.4,18.9,18.9,19650
DHA,01/21/2011,19.5,19.5,19.3,19.5,19950
DHA,01/20/2011,19.1,19.7,19.1,19.5,13060
DHA,01/19/2011,19.7,19.7,19.4,19.4,15260
DHA,01/18/2011,19.7,19.7,19.1,19.1,4680
DHA,01/17/2011,19.7,20.0,19.7,19.7,8850
DHA,01/14/2011,19.1,19.7,19.0,19.7,20240
DHA,01/13/2011,19.0,19.6,19.0,19.3,6210
DHA,01/12/2011,19.0,19.1,18.9,19.0,10300
DHA,01/11/2011,19.3,19.3,18.9,18.9,2400
DHA,01/10/2011,19.7,19.8,19.3,19.3,21820
DHA,01/07/2011,20.5,20.5,19.7,19.8,5230
DHA,01/06/2011,20.0,20.0,20.0,20.0,4950
DHA,01/05/2011,20.3,20.3,19.9,20.0,7390
DHA,01/04/2011,19.8,20.3,19.7,20.1,4910
DHA,12/31/2010,20.1,20.1,19.6,19.7,10330
DHA,12/30/2010,19.8,20.0,19.6,19.6,10480
DHA,12/29/2010,20.5,20.5,19.8,19.8,54800
DHA,12/28/2010,20.0,20.9,20.0,20.5,15120
DHA,12/27/2010,19.8,20.2,19.8,20.2,18110
DHA,12/24/2010,19.8,20.3,19.7,19.8,27150
DHA,12/23/2010,20.3,21.0,20.3,20.3,23550
DHA,12/22/2010,21.4,21.2,21.0,21.1,70700
DHA,12/21/2010,20.3,21.1,19.9,21.2,32590
DHA,12/20/2010,21.3,21.3,20.3,20.6,38810
DHA,12/17/2010,20.8,19.9,20.2,20.8,60610
DHA,12/16/2010,20.9,20.9,19.9,19.9,31460
DHA,12/15/2010,21.1,21.1,20.6,20.9,48700
DHA,12/14/2010,20.7,21.0,20.6,20.6,38870
DHA,12/13/2010,21.6,21.6,21.5,21.6,151030
DHA,12/10/2010,19.7,20.6,19.7,20.6,105410
DHA,12/09/2010,19.6,20.1,18.9,19.7,40820
DHA,12/08/2010,19.9,20.1,19.6,19.6,68600
DHA,12/07/2010,21.3,21.5,20.6,20.6,87650
DHA,12/06/2010,21.0,21.9,20.1,21.5,149890
DHA,12/03/2010,20.6,20.9,20.6,20.9,130310
DHA,12/02/2010,19.5,20.0,18.8,20.0,49050
DHA,12/01/2010,19.2,19.4,18.6,19.1,60770
DHA,11/30/2010,18.3,18.5,18.3,18.5,134070
DHA,11/29/2010,17.7,17.7,17.5,17.7,9300
DHA,11/26/2010,17.6,17.7,17.6,17.7,9050
DHA,11/25/2010,17.8,18.2,17.7,17.7,27870
DHA,11/24/2010,17.8,17.8,17.5,17.8,26680
DHA,11/23/2010,17.6,18.0,17.6,17.8,12440
DHA,11/22/2010,17.5,17.5,16.7,17.4,23980
DHA,11/19/2010,18.6,18.6,17.4,17.4,11200
DHA,11/18/2010,17.6,18.1,17.6,18.0,14530
DHA,11/17/2010,17.5,17.5,17.3,17.3,9890
DHA,11/16/2010,17.0,17.2,16.9,17.2,28740
DHA,11/15/2010,17.3,17.5,17.0,17.2,18470
DHA,11/12/2010,18.1,18.1,17.3,17.3,32090
DHA,11/11/2010,18.5,18.5,18.0,18.0,30160
DHA,11/10/2010,18.3,18.6,18.3,18.5,28790
DHA,11/09/2010,18.6,18.8,18.2,18.3,112050
DHA,11/08/2010,19.1,19.2,18.9,19.0,70860
DHA,11/05/2010,18.2,19.1,18.2,19.1,82570
DHA,11/04/2010,18.2,18.3,17.9,18.2,38400
DHA,11/03/2010,17.8,18.1,17.8,18.0,30190
DHA,11/02/2010,18.3,18.3,18.1,18.1,39490
DHA,11/01/2010,18.6,18.8,18.2,18.4,20040
DHA,10/29/2010,18.4,18.7,18.2,18.7,12560
DHA,10/28/2010,18.5,18.9,18.4,18.7,40120
DHA,10/27/2010,19.3,19.3,18.9,18.9,22990
DHA,10/26/2010,19.2,20.1,19.1,19.2,78220
DHA,10/25/2010,19.1,19.1,18.4,19.1,4710
DHA,10/22/2010,19.3,19.4,19.1,19.1,6260
DHA,10/21/2010,19.5,19.6,19.1,19.3,19610
DHA,10/20/2010,19.3,20.1,19.3,19.3,53130
DHA,10/19/2010,20.1,20.2,19.5,20.1,13500
DHA,10/18/2010,20.4,20.4,20.1,20.4,4360
DHA,10/15/2010,20.4,20.4,20.3,20.4,16120
DHA,10/14/2010,20.4,20.5,20.4,20.4,48950
DHA,10/13/2010,20.4,20.4,20.4,20.4,2500
DHA,10/12/2010,21.7,21.7,20.4,20.4,26760
DHA,10/11/2010,20.7,21.1,20.7,20.8,1900
DHA,10/08/2010,21.2,21.6,21.0,21.0,3640
DHA,10/07/2010,21.6,21.6,21.4,21.4,3350
DHA,10/06/2010,21.3,21.7,21.3,21.7,12370
DHA,10/05/2010,20.9,21.3,20.9,21.3,3870
DHA,10/04/2010,21.7,21.8,21.4,21.4,5760
DHA,10/01/2010,22.1,21.8,21.8,21.8,5000
DHA,09/30/2010,22.1,22.1,21.7,22.1,32880
DHA,09/29/2010,22.2,22.2,22.0,22.1,37030
DHA,09/28/2010,22.1,22.1,21.8,22.0,24030
DHA,09/27/2010,21.9,21.9,21.6,21.8,26040
DHA,09/24/2010,21.8,22.1,21.8,21.8,16370
