<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FMC,07/01/2011,10.7,10.7,10.7,10.7,130
FMC,06/30/2011,10.9,10.9,10.5,10.7,6620
FMC,06/29/2011,10.6,10.6,10.4,10.4,8200
FMC,06/28/2011,10.8,10.8,10.6,10.6,1560
FMC,06/27/2011,10.8,11.0,10.8,11.0,1150
FMC,06/24/2011,11.2,11.4,10.9,11.2,1730
FMC,06/23/2011,10.8,11.0,10.7,11.0,5310
FMC,06/22/2011,11.0,11.0,10.8,10.8,2080
FMC,06/21/2011,11.1,11.6,11.0,11.0,10340
FMC,06/20/2011,11.3,11.3,11.3,11.3,1050
FMC,06/17/2011,11.2,11.3,11.1,11.1,24560
FMC,06/16/2011,11.3,11.6,11.2,11.6,15010
FMC,06/15/2011,11.4,11.6,11.3,11.3,22090
FMC,06/14/2011,11.7,11.8,11.7,11.8,19000
FMC,06/13/2011,11.4,11.7,11.0,11.7,12140
FMC,06/10/2011,11.3,11.4,11.3,11.4,10220
FMC,06/09/2011,11.2,11.3,11.0,11.0,21200
FMC,06/08/2011,10.9,11.4,10.9,10.9,37820
FMC,06/07/2011,11.0,11.5,11.0,11.3,11960
FMC,06/06/2011,11.0,11.2,11.0,11.0,4070
FMC,06/03/2011,10.8,11.0,10.7,11.0,26500
FMC,06/02/2011,10.8,10.9,10.6,10.9,9220
FMC,06/01/2011,10.7,10.7,10.5,10.6,4460
FMC,05/31/2011,10.5,10.5,10.1,10.5,1560
FMC,05/30/2011,11.2,11.2,10.5,10.5,12620
FMC,05/27/2011,10.6,11.0,10.5,11.0,4100
FMC,05/26/2011,9.6,10.5,9.6,10.5,9510
FMC,05/25/2011,10.8,10.8,10.0,10.0,43690
FMC,05/24/2011,10.6,10.9,10.4,10.5,50050
FMC,05/23/2011,11.7,11.7,10.8,10.9,2160
FMC,05/20/2011,11.5,11.6,11.2,11.2,900
FMC,05/19/2011,11.4,11.7,11.2,11.7,15800
FMC,05/18/2011,11.2,11.6,11.2,11.5,730
FMC,05/17/2011,11.5,11.7,11.2,11.2,4390
FMC,05/16/2011,11.7,11.7,11.6,11.6,700
FMC,05/13/2011,11.7,11.8,11.7,11.7,10430
FMC,05/12/2011,11.8,11.8,11.8,11.8,630
FMC,05/11/2011,11.9,11.9,11.8,11.8,8660
FMC,05/10/2011,11.7,11.8,11.6,11.7,10560
FMC,05/09/2011,12.0,12.0,11.6,11.6,4050
FMC,05/06/2011,11.5,11.5,11.4,11.5,6130
FMC,05/05/2011,11.5,11.5,11.4,11.4,13340
FMC,05/04/2011,11.3,11.4,11.2,11.4,2250
FMC,04/29/2011,11.3,11.4,11.3,11.4,8030
FMC,04/28/2011,11.2,11.4,11.2,11.3,10600
FMC,04/27/2011,11.3,11.3,11.1,11.2,12290
FMC,04/26/2011,11.3,11.3,11.1,11.1,4840
FMC,04/25/2011,10.9,11.4,10.4,11.2,10720
FMC,04/22/2011,11.1,11.4,10.9,10.9,17190
FMC,04/21/2011,11.4,11.4,11.1,11.1,2650
FMC,04/20/2011,11.2,11.4,11.2,11.4,17590
FMC,04/19/2011,11.3,11.3,11.2,11.3,9040
FMC,04/18/2011,11.4,11.6,11.3,11.3,20250
FMC,04/15/2011,11.6,11.9,11.5,11.9,5250
FMC,04/14/2011,11.7,11.7,11.6,11.6,7350
FMC,04/13/2011,12.0,12.0,11.6,11.6,1310
FMC,04/08/2011,12.0,12.0,11.8,11.9,2350
FMC,04/07/2011,12.3,12.3,12.0,12.1,28590
FMC,04/06/2011,12.4,12.4,11.9,12.2,31740
FMC,04/05/2011,11.8,11.8,11.6,11.8,16100
FMC,04/04/2011,11.5,11.8,11.4,11.8,21840
FMC,04/01/2011,11.5,11.5,11.4,11.4,1100
FMC,03/31/2011,11.4,11.5,11.3,11.5,4630
FMC,03/30/2011,11.4,11.4,11.2,11.4,10010
FMC,03/29/2011,11.6,11.7,11.4,11.4,10400
FMC,03/28/2011,11.6,11.6,11.5,11.6,3360
