<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HAS,07/01/2011,5.2,5.3,5.1,5.1,47640
HAS,06/30/2011,5.1,5.3,5.1,5.3,3040
HAS,06/29/2011,5.4,5.4,5.2,5.2,6200
HAS,06/28/2011,5.6,5.6,5.4,5.4,10700
HAS,06/27/2011,5.6,5.6,5.5,5.6,5300
HAS,06/24/2011,5.6,5.7,5.5,5.6,7860
HAS,06/23/2011,5.5,5.6,5.5,5.6,2510
HAS,06/22/2011,5.6,5.6,5.6,5.6,30
HAS,06/21/2011,5.2,5.5,5.2,5.5,3150
HAS,06/20/2011,5.4,5.4,5.2,5.4,2020
HAS,06/17/2011,5.6,5.6,5.4,5.4,14370
HAS,06/16/2011,5.5,5.7,5.4,5.6,14040
HAS,06/15/2011,5.8,5.8,5.6,5.6,19500
HAS,06/14/2011,5.9,5.9,5.8,5.8,12690
HAS,06/13/2011,5.7,5.7,5.6,5.7,4390
HAS,06/10/2011,5.3,5.5,5.3,5.5,26370
HAS,06/09/2011,5.2,5.3,5.2,5.3,21800
HAS,06/08/2011,5.3,5.4,5.1,5.1,17370
HAS,06/07/2011,5.2,5.3,5.2,5.3,19740
HAS,06/06/2011,5.0,5.1,4.9,5.1,27430
HAS,06/03/2011,5.3,5.3,5.0,5.0,26130
HAS,06/02/2011,5.1,5.1,5.0,5.1,11370
HAS,06/01/2011,5.0,5.2,4.9,4.9,2730
HAS,05/31/2011,5.2,5.2,5.0,5.0,34120
HAS,05/30/2011,5.3,5.3,5.1,5.2,10210
HAS,05/27/2011,5.3,5.4,5.3,5.3,22910
HAS,05/26/2011,5.1,5.4,5.1,5.3,33160
HAS,05/25/2011,5.3,5.5,5.3,5.3,23610
HAS,05/24/2011,5.5,5.7,5.5,5.5,23040
HAS,05/23/2011,5.7,5.8,5.5,5.7,5570
HAS,05/20/2011,6.0,6.0,5.7,5.7,7730
HAS,05/19/2011,5.9,6.2,5.9,5.9,4270
HAS,05/18/2011,6.4,6.4,5.9,6.2,1770
HAS,05/17/2011,6.6,6.6,6.1,6.2,15040
HAS,05/16/2011,6.3,6.7,6.3,6.3,2740
HAS,05/13/2011,6.6,6.7,6.5,6.6,6360
HAS,05/12/2011,6.5,6.9,6.4,6.4,8900
HAS,05/11/2011,6.7,6.7,6.3,6.6,7430
HAS,05/10/2011,6.6,6.7,6.6,6.6,800
HAS,05/09/2011,6.8,6.8,6.6,6.8,7670
HAS,05/06/2011,6.6,6.7,6.4,6.5,6970
HAS,05/05/2011,6.6,6.6,6.3,6.5,2690
HAS,05/04/2011,6.3,6.6,6.1,6.4,6920
HAS,04/29/2011,6.4,6.4,6.2,6.3,6730
HAS,04/28/2011,6.3,6.3,6.1,6.3,7420
HAS,04/27/2011,6.1,6.4,6.1,6.2,7390
HAS,04/26/2011,6.4,6.4,6.2,6.2,2200
HAS,04/25/2011,6.5,6.5,6.4,6.5,1220
HAS,04/22/2011,6.5,6.5,6.3,6.3,33570
HAS,04/21/2011,6.3,6.5,6.3,6.4,18070
HAS,04/20/2011,6.6,6.6,6.2,6.3,15250
HAS,04/19/2011,6.4,6.5,6.4,6.4,11410
HAS,04/18/2011,6.7,6.7,6.5,6.5,18060
HAS,04/15/2011,6.9,6.9,6.9,6.8,1220
HAS,04/14/2011,7.0,7.2,6.9,6.9,4800
HAS,04/13/2011,7.1,7.2,7.1,7.2,760
HAS,04/08/2011,7.3,7.3,6.9,7.1,3430
HAS,04/07/2011,7.5,7.5,7.2,7.2,4310
HAS,04/06/2011,7.3,7.3,7.0,7.2,11730
HAS,04/05/2011,7.2,7.3,7.2,7.2,12730
HAS,04/04/2011,7.4,7.4,7.2,7.2,10500
HAS,04/01/2011,7.3,7.3,7.1,7.2,2240
HAS,03/31/2011,7.3,7.3,7.1,7.1,5590
HAS,03/30/2011,7.4,7.4,7.0,7.2,10270
HAS,03/29/2011,7.4,7.4,7.1,7.2,12440
HAS,03/28/2011,7.2,7.5,7.2,7.4,10480
HAS,03/25/2011,7.5,7.5,7.3,7.5,2220
HAS,03/24/2011,7.5,7.5,7.4,7.4,14090
HAS,03/23/2011,7.4,7.5,7.3,7.5,7570
HAS,03/22/2011,7.5,7.5,7.2,7.2,18520
HAS,03/21/2011,7.7,7.7,7.4,7.4,11470
HAS,03/18/2011,7.4,7.5,7.4,7.5,16240
HAS,03/17/2011,7.5,7.5,7.2,7.2,9880
