<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KHA,07/01/2011,10.0,10.5,9.6,10.2,339230
KHA,06/30/2011,10.1,10.6,10.1,10.1,85820
KHA,06/29/2011,10.0,10.1,10.0,10.1,5940
KHA,06/28/2011,10.0,10.0,10.0,10.0,7440
KHA,06/27/2011,10.0,10.1,10.0,10.0,9810
KHA,06/24/2011,10.0,10.1,9.7,10.0,323610
KHA,06/23/2011,10.4,10.5,10.1,10.2,18990
KHA,06/22/2011,10.4,10.5,10.3,10.5,29560
KHA,06/21/2011,10.3,10.5,9.9,10.4,33780
KHA,06/20/2011,10.5,10.5,9.9,10.2,88610
KHA,06/17/2011,10.8,11.0,10.4,10.4,76090
KHA,06/16/2011,10.8,11.2,10.6,10.9,15660
KHA,06/15/2011,11.0,11.1,10.8,11.0,16660
KHA,06/14/2011,11.0,11.4,11.0,11.3,214690
KHA,06/13/2011,10.9,10.9,10.7,10.9,36600
KHA,06/10/2011,10.7,11.1,10.5,10.7,58290
KHA,06/09/2011,10.6,10.9,10.5,10.7,14760
KHA,06/08/2011,10.8,10.9,10.5,10.7,31410
KHA,06/07/2011,10.4,10.9,10.4,10.7,23440
KHA,06/06/2011,10.2,10.6,10.2,10.6,12670
KHA,06/03/2011,11.0,11.0,10.4,10.6,50320
KHA,06/02/2011,10.7,11.0,10.6,10.8,31420
KHA,06/01/2011,10.3,10.6,10.2,10.5,27870
KHA,05/31/2011,10.1,10.3,9.8,10.3,50800
KHA,05/30/2011,10.7,10.7,10.3,10.3,54260
KHA,05/27/2011,11.4,11.4,10.8,10.8,46510
KHA,05/26/2011,10.2,11.2,10.2,11.2,153980
KHA,05/25/2011,10.7,10.7,10.7,10.7,63440
KHA,05/24/2011,11.0,11.2,10.9,11.2,45720
KHA,05/23/2011,11.2,11.4,11.1,11.4,56840
KHA,05/20/2011,11.3,11.6,11.3,11.6,51310
KHA,05/19/2011,11.4,11.7,11.4,11.7,111530
KHA,05/18/2011,11.6,11.9,11.4,11.7,132410
KHA,05/17/2011,11.7,11.8,11.5,11.8,105020
KHA,05/16/2011,11.3,11.7,11.0,11.7,224890
KHA,05/13/2011,10.8,11.3,10.6,11.3,141860
KHA,05/12/2011,10.6,10.9,10.5,10.9,83020
KHA,05/11/2011,10.6,10.8,10.5,10.7,46900
KHA,05/10/2011,11.0,11.0,10.7,10.7,65630
KHA,05/09/2011,11.1,11.1,10.7,11.0,91630
KHA,05/06/2011,10.9,11.0,10.6,11.0,113760
KHA,05/05/2011,11.2,11.3,10.9,11.0,100820
KHA,05/04/2011,11.1,11.2,10.9,11.1,117170
KHA,04/29/2011,11.2,11.3,10.9,11.0,200950
KHA,04/28/2011,11.2,11.3,10.8,11.2,145900
KHA,04/27/2011,11.2,11.6,11.1,11.2,193510
KHA,04/26/2011,12.0,12.0,11.4,11.6,355310
KHA,04/25/2011,11.6,11.9,11.1,11.9,278490
KHA,04/22/2011,11.7,12.1,11.5,11.6,269300
KHA,04/21/2011,12.1,12.4,11.9,12.1,211970
KHA,04/20/2011,12.7,12.7,12.1,12.5,210220
KHA,04/19/2011,12.7,12.9,12.3,12.7,187100
KHA,04/18/2011,12.8,13.0,12.4,12.9,474290
KHA,04/15/2011,12.6,13.0,12.4,13.0,114720
KHA,04/14/2011,13.2,13.2,12.6,13.0,95120
KHA,04/13/2011,13.2,13.5,12.5,13.2,97000
KHA,04/08/2011,13.5,13.5,13.1,13.1,31680
KHA,04/07/2011,13.5,13.6,13.4,13.5,24090
KHA,04/06/2011,13.3,13.7,13.3,13.7,3070
KHA,04/05/2011,13.6,13.7,13.5,13.6,21270
KHA,04/04/2011,13.6,13.8,13.6,13.8,9450
KHA,04/01/2011,13.7,13.8,13.7,13.8,15540
KHA,03/31/2011,13.7,13.9,13.4,13.8,88320
KHA,03/30/2011,13.6,13.8,13.5,13.8,8750
KHA,03/29/2011,14.1,14.1,13.7,14.0,11940
KHA,03/28/2011,13.7,14.0,13.7,14.0,15570
KHA,03/25/2011,13.5,13.9,13.5,13.9,11620
KHA,03/24/2011,13.8,13.8,13.5,13.7,38410
KHA,03/23/2011,14.0,14.0,13.8,13.8,6330
KHA,03/22/2011,14.0,14.0,13.9,14.0,3730
KHA,03/21/2011,14.2,14.2,13.9,14.0,13000
KHA,03/18/2011,14.0,14.0,13.9,14.0,3020
KHA,03/17/2011,13.8,13.9,13.8,13.9,13160
KHA,03/16/2011,13.3,14.0,13.3,13.7,13600
KHA,03/15/2011,14.0,14.0,13.6,13.6,14850
KHA,03/14/2011,14.0,14.1,13.8,14.1,27510
KHA,03/11/2011,13.9,14.8,13.9,14.5,31590
KHA,03/10/2011,13.8,14.2,13.7,14.2,41170
KHA,03/09/2011,13.6,13.8,13.5,13.7,9640
KHA,03/08/2011,14.1,14.1,13.7,14.0,16020
KHA,03/07/2011,14.0,14.0,14.0,14.0,9780
KHA,03/04/2011,14.1,14.1,13.3,14.0,7670
KHA,03/03/2011,14.5,14.5,14.0,14.0,8880
KHA,03/02/2011,14.8,14.8,14.3,14.7,29160
KHA,03/01/2011,15.0,15.0,15.0,15.0,10
KHA,02/28/2011,15.2,15.2,14.4,15.0,12660
KHA,02/25/2011,14.7,15.0,14.7,15.0,18580
KHA,02/24/2011,15.0,15.0,14.2,14.7,18010
KHA,02/23/2011,14.7,15.1,14.7,14.8,21240
KHA,02/22/2011,14.6,14.7,14.5,14.7,4440
KHA,02/21/2011,15.0,15.3,14.7,14.7,34640
KHA,02/18/2011,15.7,15.7,15.2,15.4,24300
KHA,02/17/2011,15.4,15.7,15.4,15.7,9120
KHA,02/16/2011,16.2,16.2,15.8,15.8,14640
KHA,02/15/2011,16.0,16.2,15.9,16.2,11450
KHA,02/14/2011,16.0,16.3,16.0,16.0,78650
KHA,02/11/2011,16.1,16.1,15.9,16.0,24870
KHA,02/10/2011,15.8,16.0,15.8,16.0,25080
KHA,02/09/2011,16.3,16.3,15.8,15.8,26180
KHA,02/08/2011,16.2,16.3,16.2,16.3,710
KHA,01/28/2011,15.8,16.0,15.7,15.8,47760
KHA,01/27/2011,15.7,15.7,15.3,15.5,4180
KHA,01/26/2011,15.7,15.7,15.1,15.4,28440
KHA,01/25/2011,15.3,15.6,15.3,15.4,7610
KHA,01/24/2011,15.3,15.3,15.2,15.2,27640
KHA,01/21/2011,15.3,15.5,15.1,15.2,43310
KHA,01/20/2011,15.3,15.3,15.2,15.3,15460
KHA,01/19/2011,15.7,15.7,15.1,15.3,75540
KHA,01/18/2011,15.9,15.9,15.6,15.6,60570
KHA,01/17/2011,15.7,15.9,15.7,15.7,6670
KHA,01/14/2011,15.7,15.7,15.3,15.6,33340
KHA,01/13/2011,15.5,15.5,15.2,15.4,16930
KHA,01/12/2011,14.6,15.3,14.6,15.3,12370
KHA,01/11/2011,15.1,15.4,15.1,15.2,32110
KHA,01/10/2011,15.8,15.8,15.5,15.5,39690
KHA,01/07/2011,15.4,16.4,15.4,16.0,1260
KHA,01/06/2011,16.1,16.1,16.0,16.1,8830
KHA,01/05/2011,16.3,16.3,16.1,16.1,2850
KHA,01/04/2011,16.4,16.5,16.3,16.4,15410
KHA,12/31/2010,16.5,16.6,16.4,16.6,14760
KHA,12/30/2010,16.5,16.7,16.1,16.7,22280
