<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
LBM,07/01/2011,7.4,7.6,7.3,7.3,36300
LBM,06/30/2011,7.6,7.7,7.4,7.5,2850
LBM,06/29/2011,7.7,7.7,7.4,7.6,38030
LBM,06/28/2011,7.7,7.7,7.5,7.5,22810
LBM,06/27/2011,7.7,7.7,7.4,7.4,22510
LBM,06/24/2011,7.6,7.7,7.3,7.6,29500
LBM,06/23/2011,7.7,7.8,7.4,7.6,4240
LBM,06/22/2011,7.7,7.7,7.5,7.7,17320
LBM,06/21/2011,7.3,7.6,7.3,7.6,25260
LBM,06/20/2011,7.6,7.6,7.3,7.3,56810
LBM,06/17/2011,7.6,8.1,7.5,7.6,18620
LBM,06/16/2011,7.5,7.8,7.5,7.8,37160
LBM,06/15/2011,7.6,7.8,7.5,7.5,75500
LBM,06/14/2011,8.0,8.4,7.8,7.8,87050
LBM,06/13/2011,7.9,8.0,7.6,8.0,55390
LBM,06/10/2011,7.5,7.7,7.4,7.7,110710
LBM,06/09/2011,7.4,7.5,7.2,7.4,17760
LBM,06/08/2011,7.5,7.6,7.4,7.4,20460
LBM,06/07/2011,7.3,7.5,7.2,7.5,57550
LBM,06/06/2011,6.9,7.3,6.9,7.2,20810
LBM,06/03/2011,7.5,7.7,7.1,7.2,43810
LBM,06/02/2011,7.2,7.4,7.2,7.4,40020
LBM,06/01/2011,6.8,7.1,6.8,7.1,40150
LBM,05/31/2011,6.6,7.0,6.6,6.8,12290
LBM,05/30/2011,7.1,7.1,6.8,6.8,63750
LBM,05/27/2011,6.7,6.8,6.5,6.8,64540
LBM,05/26/2011,5.9,6.5,5.9,6.5,43150
LBM,05/25/2011,6.2,6.3,6.2,6.2,42310
LBM,05/24/2011,6.4,6.5,6.3,6.5,41960
LBM,05/23/2011,6.5,6.7,6.5,6.6,78350
LBM,05/20/2011,7.0,7.0,6.8,6.8,12480
LBM,05/19/2011,7.1,7.1,6.7,7.0,46940
LBM,05/18/2011,7.2,7.3,6.9,7.0,31560
LBM,05/17/2011,7.5,7.5,7.2,7.2,30610
LBM,05/16/2011,7.5,7.5,7.2,7.4,19610
LBM,05/13/2011,7.5,7.6,7.3,7.4,15130
LBM,05/12/2011,7.5,7.6,7.5,7.5,9140
LBM,05/11/2011,7.6,7.6,7.5,7.5,24080
LBM,05/10/2011,7.7,7.7,7.6,7.6,15240
LBM,05/09/2011,7.8,7.8,7.7,7.7,16230
LBM,05/06/2011,7.7,7.8,7.7,7.7,21530
LBM,05/05/2011,7.9,7.9,7.7,7.7,6000
LBM,05/04/2011,7.8,7.9,7.8,7.8,30660
LBM,04/29/2011,7.8,7.9,7.7,7.8,10950
LBM,04/28/2011,7.6,7.8,7.6,7.8,39460
LBM,04/27/2011,7.8,7.8,7.6,7.8,8180
LBM,04/26/2011,8.1,8.1,7.7,7.7,19710
LBM,04/25/2011,7.7,8.0,7.7,7.9,13040
LBM,04/22/2011,8.1,8.1,7.7,7.7,37200
LBM,04/21/2011,8.4,8.4,8.1,8.1,28300
LBM,04/20/2011,8.5,8.5,8.2,8.4,48410
LBM,04/19/2011,8.1,8.5,8.1,8.1,55120
LBM,04/18/2011,8.4,8.4,8.2,8.4,29590
LBM,04/15/2011,8.4,8.6,8.4,8.4,59100
LBM,04/14/2011,8.5,8.5,8.4,8.4,34010
LBM,04/13/2011,8.5,8.6,8.5,8.5,11950
LBM,04/08/2011,8.6,8.7,8.4,8.6,25320
LBM,04/07/2011,8.7,8.9,8.4,8.4,24590
LBM,04/06/2011,8.4,8.8,8.4,8.7,21840
LBM,04/05/2011,8.4,8.7,8.4,8.4,37310
LBM,04/04/2011,8.7,8.7,8.5,8.5,28960
LBM,04/01/2011,8.7,9.0,8.6,8.6,36220
LBM,03/31/2011,8.7,9.2,8.7,8.9,34510
LBM,03/30/2011,8.6,8.9,8.5,8.9,16320
LBM,03/29/2011,9.0,9.0,8.9,8.9,34160
LBM,03/28/2011,9.7,9.8,9.1,9.4,33600
LBM,03/25/2011,9.7,9.7,9.4,9.6,237510
LBM,03/24/2011,8.9,9.3,8.9,9.3,88980
LBM,03/23/2011,8.9,9.0,8.7,8.9,46420
LBM,03/22/2011,8.9,9.0,8.7,8.7,10010
LBM,03/21/2011,8.9,9.1,8.7,8.9,38110
LBM,03/18/2011,8.6,8.8,8.6,8.7,28270
LBM,03/17/2011,8.8,8.8,8.5,8.6,39600
LBM,03/16/2011,8.8,8.8,8.6,8.6,21350
LBM,03/15/2011,8.5,8.6,8.5,8.5,13290
LBM,03/14/2011,9.0,9.1,8.8,8.8,48880
LBM,03/11/2011,9.0,9.2,9.0,9.2,70560
LBM,03/10/2011,8.5,8.8,8.5,8.8,35290
LBM,03/09/2011,8.6,8.6,8.4,8.5,26210
LBM,03/08/2011,8.4,8.8,8.4,8.7,25290
LBM,03/07/2011,8.8,8.8,8.4,8.6,22700
LBM,03/04/2011,8.3,8.5,8.3,8.4,94800
LBM,03/03/2011,8.2,8.6,8.2,8.3,46830
LBM,03/02/2011,8.7,8.9,8.6,8.6,74570
LBM,03/01/2011,8.9,9.1,8.8,9.0,10390
LBM,02/28/2011,9.4,9.5,9.1,9.1,16480
LBM,02/25/2011,8.9,9.4,8.9,9.4,14680
LBM,02/24/2011,9.2,9.2,8.9,9.2,19960
LBM,02/23/2011,9.0,9.2,8.9,9.2,62250
LBM,02/22/2011,8.8,9.0,8.8,8.8,110330
LBM,02/21/2011,9.4,9.4,9.2,9.2,70860
LBM,02/18/2011,10.0,10.0,9.7,9.7,53940
LBM,02/17/2011,10.0,10.0,9.6,9.7,36750
LBM,02/16/2011,10.4,10.4,10.0,10.0,12130
LBM,02/15/2011,10.3,10.3,10.0,10.1,27720
LBM,02/14/2011,10.5,10.5,10.1,10.4,22720
LBM,02/11/2011,10.3,10.6,10.3,10.4,13940
LBM,02/10/2011,10.3,10.5,10.3,10.4,13310
LBM,02/09/2011,10.5,10.5,10.4,10.4,18380
LBM,02/08/2011,10.2,10.6,10.2,10.5,8910
LBM,01/28/2011,10.7,10.7,10.4,10.6,19340
LBM,01/27/2011,10.6,10.6,10.4,10.6,21640
LBM,01/26/2011,10.3,10.5,10.3,10.4,19030
LBM,01/25/2011,10.3,10.4,10.2,10.3,21010
LBM,01/24/2011,10.5,10.5,10.3,10.3,35350
LBM,01/21/2011,10.4,10.8,10.4,10.5,23170
LBM,01/20/2011,10.5,10.7,10.5,10.6,20090
LBM,01/19/2011,10.8,10.9,10.6,10.7,35810
LBM,01/18/2011,10.8,10.8,10.6,10.8,26310
LBM,01/17/2011,10.7,11.1,10.7,10.8,36100
LBM,01/14/2011,10.8,10.8,10.6,10.7,32400
LBM,01/13/2011,10.7,10.8,10.4,10.6,23250
LBM,01/12/2011,10.6,10.6,10.2,10.4,26710
LBM,01/11/2011,10.6,10.6,10.3,10.3,39230
LBM,01/10/2011,11.1,11.1,10.7,10.7,24760
LBM,01/07/2011,11.1,11.1,10.9,10.9,12560
LBM,01/06/2011,11.0,11.0,10.8,11.0,20280
LBM,01/05/2011,11.0,11.1,11.0,11.0,17090
LBM,01/04/2011,11.3,11.3,11.0,11.1,19610
LBM,12/31/2010,11.1,11.1,11.0,11.0,35470
LBM,12/30/2010,11.3,11.3,10.9,10.9,63610
LBM,12/29/2010,11.3,11.5,11.1,11.1,45820
LBM,12/28/2010,11.1,11.4,10.9,11.4,83420
LBM,12/27/2010,11.3,11.3,10.9,10.9,21050
LBM,12/24/2010,11.0,11.2,10.6,11.0,51060
LBM,12/23/2010,11.4,11.4,10.8,10.9,48870
LBM,12/22/2010,11.7,11.8,11.1,11.1,111840
LBM,12/21/2010,11.8,11.8,11.2,11.7,40010
LBM,12/20/2010,12.4,12.4,11.7,11.7,92680
LBM,12/17/2010,11.8,12.1,11.4,12.1,50650
LBM,12/16/2010,11.5,12.1,11.1,11.7,80400
LBM,12/15/2010,12.3,12.4,11.7,11.7,131020
LBM,12/14/2010,12.9,12.9,12.4,12.3,169280
LBM,12/13/2010,12.9,12.9,12.5,12.9,172350
LBM,12/10/2010,11.9,12.3,11.5,12.3,132920
LBM,12/09/2010,11.4,12.1,11.2,11.7,238540
LBM,12/08/2010,12.3,12.4,11.8,11.8,115220
LBM,12/07/2010,12.9,13.0,12.2,12.4,347180
LBM,12/06/2010,11.8,12.4,11.8,12.4,141240
LBM,12/03/2010,11.7,11.8,11.6,11.8,158820
LBM,12/02/2010,10.8,11.3,10.6,11.3,120370
LBM,12/01/2010,10.9,11.3,10.5,10.8,102700
LBM,11/30/2010,10.8,10.8,10.8,10.8,74470
LBM,11/29/2010,10.1,10.3,10.0,10.3,54250
LBM,11/26/2010,10.3,10.4,10.0,10.2,41580
LBM,11/25/2010,9.9,10.2,9.9,10.1,94280
LBM,11/24/2010,9.5,9.9,9.5,9.7,38790
LBM,11/23/2010,9.6,9.8,9.6,9.7,13060
LBM,11/22/2010,9.5,9.7,9.4,9.6,21300
