<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MCV,07/01/2011,6.7,6.7,6.4,6.5,98400
MCV,06/30/2011,6.9,6.9,6.7,6.7,49230
MCV,06/29/2011,7.0,7.0,6.8,6.9,61680
MCV,06/28/2011,7.2,7.3,7.0,7.0,59760
MCV,06/27/2011,7.4,7.4,7.1,7.2,50570
MCV,06/24/2011,7.4,7.4,7.1,7.4,28430
MCV,06/23/2011,7.2,7.4,7.0,7.2,85330
MCV,06/22/2011,7.6,7.7,7.3,7.3,46580
MCV,06/21/2011,7.1,7.4,7.0,7.4,160220
MCV,06/20/2011,7.4,7.4,7.1,7.1,141780
MCV,06/17/2011,7.7,7.9,7.4,7.4,108870
MCV,06/16/2011,7.3,7.7,7.2,7.7,241660
MCV,06/15/2011,7.5,7.7,7.4,7.4,321420
MCV,06/14/2011,8.0,8.0,7.5,7.7,442790
MCV,06/13/2011,7.7,7.7,7.7,7.7,71200
MCV,06/10/2011,7.4,7.4,7.4,7.4,68100
MCV,06/09/2011,6.9,7.1,6.8,7.1,139720
MCV,06/08/2011,6.7,6.8,6.5,6.8,206620
MCV,06/07/2011,6.5,6.5,6.4,6.5,143200
MCV,06/06/2011,6.3,6.3,6.1,6.2,45780
MCV,06/03/2011,6.7,6.7,6.2,6.3,214990
MCV,06/02/2011,6.3,6.4,6.3,6.4,68340
MCV,06/01/2011,5.8,6.1,5.8,6.1,107970
MCV,05/31/2011,5.9,6.0,5.7,5.9,71680
MCV,05/30/2011,6.5,6.5,6.0,6.0,67360
MCV,05/27/2011,6.3,6.3,6.0,6.3,132100
MCV,05/26/2011,5.8,6.4,5.8,6.0,448710
MCV,05/25/2011,6.1,6.2,6.1,6.1,80870
MCV,05/24/2011,6.5,6.5,6.4,6.4,75110
MCV,05/23/2011,6.9,7.0,6.7,6.7,58140
MCV,05/20/2011,7.1,7.3,6.9,7.0,175710
MCV,05/19/2011,7.5,7.5,7.2,7.2,111230
MCV,05/18/2011,7.5,7.6,7.4,7.5,119200
MCV,05/17/2011,8.1,8.2,7.7,7.7,148860
MCV,05/16/2011,8.5,8.5,8.1,8.1,52140
MCV,05/13/2011,8.3,8.4,8.2,8.4,28430
MCV,05/12/2011,8.4,8.4,8.2,8.3,40890
MCV,05/11/2011,8.5,8.5,8.3,8.3,44560
MCV,05/10/2011,8.6,8.8,8.5,8.5,95330
