<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
NKD,12/14/2010,43.8,43.8,40.9,41.2,75470
NKD,12/13/2010,42.8,43.4,40.2,43.0,32180
NKD,12/10/2010,41.0,41.5,40.1,41.5,66250
NKD,12/09/2010,39.6,41.0,39.6,41.0,19330
NKD,12/08/2010,41.0,41.3,40.7,40.7,39670
NKD,12/07/2010,39.9,41.5,39.9,41.0,45350
NKD,12/06/2010,42.3,42.8,41.0,41.0,32160
NKD,12/03/2010,40.1,42.4,40.1,40.8,31500
NKD,12/02/2010,41.0,41.0,39.7,40.4,26260
NKD,12/01/2010,40.0,41.9,40.0,41.0,33400
NKD,11/30/2010,41.0,41.1,40.1,41.0,26240
NKD,11/29/2010,40.0,41.4,40.0,41.0,12120
NKD,11/26/2010,39.5,41.0,39.5,41.0,1010
NKD,11/25/2010,38.0,41.4,38.0,40.0,36880
NKD,11/24/2010,40.0,40.2,39.5,39.5,9290
NKD,11/23/2010,40.0,41.5,38.5,41.5,20840
NKD,11/22/2010,37.6,39.9,37.6,39.9,4890
NKD,11/19/2010,41.0,41.0,39.3,39.3,690
NKD,11/18/2010,41.5,43.2,41.3,41.3,5230
NKD,11/17/2010,40.0,41.4,39.0,41.2,95510
NKD,11/16/2010,39.9,41.0,39.9,41.0,59300
NKD,11/15/2010,39.0,42.0,39.0,42.0,25640
NKD,11/12/2010,40.5,42.0,39.5,41.0,16240
NKD,11/11/2010,40.1,41.2,40.1,41.0,17520
NKD,11/10/2010,39.6,41.2,39.6,41.2,15850
NKD,11/09/2010,42.0,42.0,41.1,41.5,13620
NKD,11/08/2010,41.0,42.5,41.0,42.5,1110
NKD,11/05/2010,41.5,43.0,41.5,41.6,48840
NKD,11/04/2010,43.0,43.0,41.5,41.5,10550
NKD,11/03/2010,41.1,42.0,41.1,42.0,24030
NKD,11/02/2010,42.5,42.5,42.0,42.0,6310
NKD,11/01/2010,42.5,42.5,42.0,42.5,16290
NKD,10/29/2010,42.5,42.5,41.5,42.5,140
NKD,10/28/2010,41.2,44.5,41.2,42.5,13590
NKD,10/27/2010,40.5,42.5,40.5,42.5,31850
NKD,10/26/2010,42.0,42.0,40.5,40.5,2300
NKD,10/25/2010,42.0,42.0,42.0,42.0,10000
NKD,10/22/2010,42.0,42.0,41.6,41.6,11600
NKD,10/21/2010,42.0,42.0,41.5,41.5,3100
NKD,10/20/2010,42.5,42.5,42.0,42.0,8550
NKD,10/19/2010,42.5,42.5,42.0,42.5,5890
NKD,10/18/2010,44.0,44.0,43.0,43.0,1610
NKD,10/15/2010,42.6,44.0,42.3,44.0,2830
NKD,10/14/2010,43.5,43.5,42.6,42.6,1310
NKD,10/13/2010,42.0,42.6,42.0,42.6,980
NKD,10/12/2010,43.2,43.2,42.6,42.6,23050
NKD,10/11/2010,43.0,44.6,43.0,43.2,1130
NKD,10/08/2010,43.5,44.3,43.2,44.3,25020
NKD,10/07/2010,43.5,44.9,43.0,44.8,25780
NKD,10/06/2010,43.0,43.0,43.0,43.0,7730
NKD,10/05/2010,43.2,43.2,43.1,43.2,9560
NKD,10/04/2010,45.0,45.0,43.2,43.2,4580
NKD,10/01/2010,43.0,44.5,43.0,44.0,59230
NKD,09/30/2010,42.4,43.0,41.0,43.0,1820
NKD,09/29/2010,43.8,43.8,42.8,43.0,194440
NKD,09/28/2010,43.2,43.2,43.0,43.0,13280
NKD,09/27/2010,44.3,44.3,42.9,42.9,15340
