<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PNC,07/01/2011,5.7,5.7,5.5,5.7,13580
PNC,06/30/2011,5.8,5.8,5.5,5.6,91560
PNC,06/29/2011,5.5,5.8,5.5,5.6,11300
PNC,06/28/2011,5.8,5.8,5.6,5.6,26690
PNC,06/27/2011,6.0,6.2,5.8,5.8,3360
PNC,06/24/2011,6.1,6.3,5.9,6.1,13020
PNC,06/23/2011,5.9,6.0,5.8,6.0,28190
PNC,06/22/2011,5.6,5.8,5.6,5.8,12660
PNC,06/21/2011,5.6,5.7,5.6,5.7,26410
PNC,06/20/2011,5.4,5.5,5.4,5.5,7420
PNC,06/17/2011,5.8,5.8,5.6,5.6,10990
PNC,06/16/2011,5.8,5.8,5.6,5.6,70050
PNC,06/15/2011,5.8,5.8,5.4,5.7,10920
PNC,06/14/2011,5.8,5.9,5.6,5.6,92910
PNC,06/13/2011,5.8,5.8,5.6,5.8,18330
PNC,06/10/2011,5.6,5.7,5.6,5.7,18690
PNC,06/09/2011,5.7,5.7,5.6,5.6,5760
PNC,06/08/2011,5.7,5.7,5.6,5.6,19030
PNC,06/07/2011,5.8,5.8,5.7,5.8,230
PNC,06/06/2011,5.8,5.8,5.6,5.7,1430
PNC,06/03/2011,5.7,5.8,5.6,5.7,24690
PNC,06/02/2011,5.5,5.6,5.3,5.6,62060
PNC,06/01/2011,5.3,5.4,5.3,5.4,25140
PNC,05/31/2011,5.4,5.5,5.2,5.4,38190
PNC,05/30/2011,5.2,5.4,5.2,5.4,2690
PNC,05/27/2011,5.1,5.3,5.1,5.3,16540
PNC,05/26/2011,5.0,5.1,4.8,5.1,15400
PNC,05/25/2011,5.1,5.2,5.0,5.0,40400
PNC,05/24/2011,5.3,5.3,5.2,5.2,42780
PNC,05/23/2011,5.5,5.7,5.4,5.4,16100
PNC,05/20/2011,5.8,5.8,5.6,5.6,19050
PNC,05/19/2011,5.7,5.7,5.6,5.7,11570
PNC,05/18/2011,5.5,5.8,5.5,5.7,9660
PNC,05/17/2011,5.6,5.7,5.5,5.6,22580
PNC,05/16/2011,5.8,5.9,5.7,5.7,35730
PNC,05/13/2011,5.5,5.8,5.5,5.7,5370
PNC,05/12/2011,5.6,5.6,5.6,5.6,100
PNC,05/11/2011,5.6,5.7,5.6,5.7,20640
PNC,05/10/2011,5.8,5.9,5.7,5.7,12620
PNC,05/09/2011,5.8,5.8,5.6,5.8,41780
PNC,05/06/2011,5.6,5.6,5.5,5.5,8630
PNC,05/05/2011,5.6,5.7,5.6,5.7,9080
PNC,05/04/2011,5.6,5.7,5.6,5.7,11740
PNC,04/29/2011,5.8,5.8,5.8,5.8,760
PNC,04/28/2011,5.6,5.8,5.6,5.8,1070
PNC,04/27/2011,5.6,5.7,5.6,5.7,5300
PNC,04/26/2011,5.6,5.7,5.6,5.6,10740
PNC,04/25/2011,5.6,5.9,5.5,5.9,10230
PNC,04/22/2011,6.1,6.1,5.6,5.6,22300
PNC,04/21/2011,6.1,6.1,5.9,5.9,1110
PNC,04/20/2011,6.1,6.1,6.0,6.0,1900
PNC,04/19/2011,5.9,6.0,5.9,6.0,3580
PNC,04/18/2011,5.9,6.2,5.9,5.9,5640
PNC,04/15/2011,6.2,6.2,6.0,6.1,3410
PNC,04/14/2011,6.1,6.4,6.1,6.3,4200
PNC,04/13/2011,6.0,6.2,6.0,6.2,160
PNC,04/08/2011,6.3,6.3,6.0,6.0,9300
PNC,04/07/2011,6.2,6.3,6.1,6.3,10100
PNC,04/06/2011,6.1,6.4,6.1,6.3,1430
PNC,04/05/2011,6.0,6.2,6.0,6.1,3900
PNC,04/04/2011,6.2,6.4,6.2,6.2,12180
PNC,04/01/2011,6.4,6.5,6.3,6.4,6200
PNC,03/31/2011,6.5,6.5,6.4,6.4,7220
PNC,03/30/2011,6.3,6.6,6.3,6.6,23790
PNC,03/29/2011,6.5,6.7,6.4,6.6,88770
PNC,03/28/2011,6.4,6.5,6.4,6.4,5610
PNC,03/25/2011,6.5,6.6,6.5,6.5,15140
PNC,03/24/2011,6.5,6.5,6.5,6.5,17860
PNC,03/23/2011,6.6,6.6,6.5,6.5,8470
PNC,03/22/2011,6.5,6.7,6.5,6.7,5430
PNC,03/21/2011,6.5,6.7,6.4,6.7,4560
PNC,03/18/2011,6.4,6.5,6.3,6.4,12360
PNC,03/17/2011,6.2,6.4,6.2,6.4,3860
PNC,03/16/2011,6.1,6.4,6.1,6.3,2430
PNC,03/15/2011,6.2,6.5,6.1,6.4,9410
PNC,03/14/2011,6.4,6.6,6.4,6.4,21970
PNC,03/11/2011,6.7,6.7,6.5,6.7,2700
PNC,03/10/2011,6.7,6.7,6.1,6.7,29490
PNC,03/09/2011,6.4,6.4,6.4,6.4,13000
PNC,03/08/2011,6.5,6.7,6.5,6.7,1550
PNC,03/07/2011,6.3,6.5,6.2,6.5,41600
PNC,03/04/2011,6.1,6.2,6.1,6.2,17700
PNC,03/03/2011,6.0,6.1,5.9,5.9,29860
PNC,03/02/2011,6.2,6.2,6.1,6.1,16440
PNC,03/01/2011,6.3,6.5,6.3,6.3,14350
PNC,02/28/2011,6.4,6.5,6.4,6.5,3540
PNC,02/25/2011,6.7,6.7,6.4,6.5,44920
PNC,02/24/2011,6.5,6.6,6.5,6.6,4700
PNC,02/23/2011,6.6,6.7,6.5,6.7,17940
PNC,02/22/2011,6.5,6.7,6.5,6.5,7220
PNC,02/21/2011,7.0,7.0,6.7,6.7,66170
PNC,02/18/2011,7.0,7.5,7.0,7.0,36570
PNC,02/17/2011,7.5,7.5,7.3,7.3,12740
PNC,02/16/2011,7.8,7.8,7.5,7.5,8730
PNC,02/15/2011,7.8,7.8,7.6,7.8,10960
PNC,02/14/2011,7.8,7.9,7.7,7.8,10590
PNC,02/11/2011,7.8,7.8,7.8,7.8,8120
PNC,02/10/2011,7.9,7.9,7.7,7.8,2500
PNC,02/09/2011,7.7,7.9,7.7,7.9,26620
PNC,02/08/2011,7.8,7.8,7.7,7.7,400
PNC,01/28/2011,7.7,7.8,7.5,7.7,26890
PNC,01/27/2011,7.5,7.8,7.5,7.6,15430
PNC,01/26/2011,7.8,7.8,7.7,7.7,5420
PNC,01/25/2011,7.5,7.8,7.4,7.5,125200
PNC,01/24/2011,7.8,7.8,7.6,7.7,66680
PNC,01/21/2011,7.8,8.0,7.8,8.0,25950
PNC,01/20/2011,8.2,8.2,7.9,8.0,10700
PNC,01/19/2011,8.2,8.2,7.9,7.9,10890
PNC,01/18/2011,8.0,8.0,7.9,8.0,16910
PNC,01/17/2011,7.9,8.2,7.9,8.0,14480
PNC,01/14/2011,8.0,8.1,7.9,8.0,13160
PNC,01/13/2011,8.0,8.2,7.9,8.0,128340
PNC,01/12/2011,8.2,8.2,7.8,8.0,3290
PNC,01/11/2011,8.2,8.2,7.9,7.9,15730
PNC,01/10/2011,8.2,8.2,8.1,8.1,14180
PNC,01/07/2011,8.3,8.5,8.0,8.5,142260
PNC,01/06/2011,8.3,8.3,8.2,8.3,3810
PNC,01/05/2011,8.5,8.5,8.2,8.5,7940
PNC,01/04/2011,8.6,8.8,8.3,8.6,58920
PNC,12/31/2010,8.4,8.4,8.0,8.4,160230
PNC,12/30/2010,8.4,8.4,8.0,8.4,24950
PNC,12/29/2010,8.4,8.5,8.4,8.4,44540
PNC,12/28/2010,8.5,8.5,8.0,8.5,11050
PNC,12/27/2010,8.2,8.5,8.2,8.2,16130
PNC,12/24/2010,8.5,8.5,8.0,8.5,71530
PNC,12/23/2010,8.2,8.5,8.0,8.4,3470
PNC,12/22/2010,8.4,8.6,8.0,8.2,8420
PNC,12/21/2010,8.2,8.5,8.1,8.4,29920
PNC,12/20/2010,8.5,8.6,8.2,8.2,21310
PNC,12/17/2010,8.3,8.7,8.3,8.5,20820
PNC,12/16/2010,8.1,8.5,8.1,8.3,13080
PNC,12/15/2010,8.9,9.0,8.5,8.5,33600
PNC,12/14/2010,9.3,9.3,8.7,8.9,98200
PNC,12/13/2010,9.0,9.1,8.9,9.1,173230
PNC,12/10/2010,8.6,8.8,8.6,8.7,24390
PNC,12/09/2010,8.4,8.6,8.2,8.6,5200
PNC,12/08/2010,8.8,8.7,8.4,8.4,62410
PNC,12/07/2010,9.2,9.2,8.8,8.8,55980
PNC,12/06/2010,9.2,9.4,8.7,9.2,128070
PNC,12/03/2010,8.6,9.0,8.4,9.0,60800
PNC,12/02/2010,8.0,8.6,8.0,8.6,64280
PNC,12/01/2010,8.7,8.7,8.0,8.3,15480
PNC,11/30/2010,8.3,8.4,8.2,8.4,56170
PNC,11/29/2010,8.2,8.5,8.0,8.0,5850
PNC,11/26/2010,8.1,8.5,8.1,8.2,3350
PNC,11/25/2010,8.0,8.1,7.9,8.1,41920
PNC,11/24/2010,7.5,8.2,7.5,7.7,31350
PNC,11/23/2010,7.6,8.1,7.6,7.9,7080
PNC,11/22/2010,7.7,8.2,7.7,7.7,5520
PNC,11/19/2010,8.4,8.4,7.8,8.0,11860
PNC,11/18/2010,8.0,8.0,8.0,8.0,30910
PNC,11/17/2010,7.5,7.7,7.5,7.6,22890
PNC,11/16/2010,7.7,8.0,7.6,7.6,32610
PNC,11/15/2010,8.0,8.1,7.9,8.0,10230
PNC,11/12/2010,8.6,8.5,8.2,8.2,29770
PNC,11/11/2010,8.9,9.0,8.5,8.6,3510
PNC,11/10/2010,8.6,8.9,8.7,8.9,13760
PNC,11/09/2010,8.8,8.8,8.5,8.6,20050
PNC,11/08/2010,9.2,9.2,8.8,8.8,16940
PNC,11/05/2010,9.2,9.2,8.8,9.2,57810
PNC,11/04/2010,9.0,9.2,8.9,9.2,61750
PNC,11/03/2010,9.0,9.0,8.7,9.0,18360
PNC,11/02/2010,9.0,9.0,8.8,9.0,24020
PNC,11/01/2010,9.0,9.0,8.8,9.0,8770
PNC,10/29/2010,8.9,9.1,9.0,9.0,12360
PNC,10/28/2010,8.9,9.0,8.7,8.9,12620
PNC,10/27/2010,9.4,9.4,8.9,8.9,11260
PNC,10/26/2010,9.0,9.4,9.1,9.2,3280
PNC,10/25/2010,9.0,9.0,8.8,9.0,1570
PNC,10/22/2010,8.8,9.2,8.8,9.0,30000
PNC,10/21/2010,8.9,9.0,8.8,9.0,45250
PNC,10/20/2010,9.1,9.4,8.7,8.9,26990
PNC,10/19/2010,9.2,9.6,9.1,9.1,70180
PNC,10/18/2010,9.5,9.7,9.5,9.6,30250
PNC,10/15/2010,9.6,9.7,9.5,9.5,4630
PNC,10/14/2010,9.6,9.6,9.6,9.6,9110
PNC,10/13/2010,9.2,9.6,9.3,9.6,36670
PNC,10/12/2010,9.5,9.5,9.2,9.2,15200
PNC,10/11/2010,9.8,9.8,9.5,9.5,32520
PNC,10/08/2010,9.8,9.9,9.6,9.8,6800
PNC,10/07/2010,9.8,10.0,9.5,9.8,35630
PNC,10/06/2010,9.8,10.0,9.5,9.8,12510
PNC,10/05/2010,9.4,9.8,9.3,9.8,11650
PNC,10/04/2010,9.9,9.8,9.5,9.8,60310
PNC,10/01/2010,9.7,10.0,9.7,9.9,23520
PNC,09/30/2010,9.7,10.0,9.7,9.7,52780
PNC,09/29/2010,9.8,10.0,9.7,10.0,70470
PNC,09/28/2010,10.1,10.1,9.7,9.8,21100
PNC,09/27/2010,10.0,10.0,9.8,9.8,36430
PNC,09/24/2010,9.6,9.9,9.6,9.8,106740
PNC,09/23/2010,9.8,9.8,9.6,9.8,33130
PNC,09/22/2010,10.0,10.0,9.8,9.9,74340
PNC,09/21/2010,10.0,10.0,9.8,10.0,38560
PNC,09/20/2010,10.1,10.3,10.0,10.0,88200
PNC,09/17/2010,9.9,10.1,9.9,10.0,51330
PNC,09/16/2010,9.8,10.1,9.8,9.9,35320
PNC,09/15/2010,10.3,10.3,9.8,10.0,33410
PNC,09/14/2010,10.0,10.2,10.0,10.2,48570
PNC,09/13/2010,10.0,10.0,9.8,10.0,18120
PNC,09/10/2010,10.5,10.7,10.0,10.0,117180
PNC,09/09/2010,10.2,10.5,10.0,10.5,181160
PNC,09/08/2010,9.8,10.0,9.6,10.0,113180
PNC,09/07/2010,10.3,10.3,10.0,10.0,34900
PNC,09/06/2010,10.2,10.5,10.0,10.2,119030
PNC,09/01/2010,10.4,10.4,10.0,10.0,67080
PNC,08/31/2010,9.9,10.5,9.9,10.4,58390
PNC,08/30/2010,10.3,10.4,10.2,10.3,66700
PNC,08/27/2010,9.5,9.9,9.5,9.9,42900
PNC,08/26/2010,9.6,10.0,9.4,9.9,107120
PNC,08/25/2010,9.9,10.1,9.9,9.9,23160
PNC,08/24/2010,10.9,10.8,10.4,10.4,30590
PNC,08/23/2010,11.0,11.4,10.9,10.9,10160
